ABB [GOLD] nf=18 down_streak=3 vol=1.1x sret=-0.0% rsi=31 distSMA200=-17% distHigh60=-21% atr=3.1% | close10d[6482,6416,6109,6147,6194,6308,6528,6525,6281,6280] vol5d[0.6x,1.4x,0.5x,1.3x,1.1x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_15pc_20d:atr_20_pct>3.04 & roc_60<=-12.59 & rs_market_60d<=29.67 & weekly_close_loc<=0.69 | hit_10pc_20d:dist_high_60<=-17.39 & dist_sma_20<=-2.87 & dist_sma_200<=-1.47 & rs_market_60d>-13.49
AARTIIND [GOLD-baseline] nf=31 down_streak=1 vol=1.2x sret=-2.7% rsi=60 distSMA200=-25% distHigh60=-17% atr=3.4% | close10d[412,421,408,408,429,438,442,448,452,440] vol5d[1.0x,0.6x,1.2x,3.2x,1.2x] | patterns: hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20<=1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_25pc_30d:atr_20_pct>3.33 & dist_high_120<=-42.37 & dist_sma_50<=10.55
ADANIENT [ENTERPRISE-Dryup] nf=36 down_streak=2 vol=0.6x sret=-0.3% rsi=36 distSMA200=-19% distHigh60=-23% atr=3.9% | close10d[2477,2373,2224,2379,2387,2427,2399,2442,2383,2375] vol5d[1.5x,0.6x,0.6x,0.6x,0.6x] | patterns: hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_25pc_30d:atr_20_pct>3.23 & n_sub_75v_7d>3.5 & slope_sma_50<=-2.14 & weekly_close_vs_sma20<=-7.07 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:atr_20_pct>3.65 & dist_high_20<=-9.05 & dist_high_252<=-24.42 & dist_high_252>-45.84
AXISBANK [GOLD-baseline] nf=12 down_streak=4 vol=1.7x sret=-1.1% rsi=17 distSMA200=-17% distHigh60=-20% atr=2.6% | close10d[1061,1040,1048,1051,1026,1037,990,987,969,958] vol5d[1.4x,4.1x,3.6x,1.2x,1.7x] | patterns: hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_10pc_20d:dist_sma_200<=-7.87 & roc_60<=-15.54 & rs_market_60d<=-12.87 | hit_15pc_20d:dist_high_252<=-25.98 & dist_sma_20<=-1.89 & rsi_14<=27.56
BHEL [ENTERPRISE-Dryup] nf=59 down_streak=2 vol=0.9x sret=-2.0% rsi=34 distSMA200=-24% distHigh60=-20% atr=4.2% | close10d[216,204,192,197,202,210,214,216,209,205] vol5d[1.0x,0.9x,0.6x,0.6x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:atr_20_pct>2.78 & dist_high_252<=-36.5 & dist_high_252>-43.91 & weekly_range_pct>9.13 | hit_15pc_20d:dist_high_252<=-32.38 & dist_high_60<=-19.39 & n_sub_3_range_7d<=3.5 & rs_sector_60d<=1.7 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12
BPCL [GOLD] nf=11 down_streak=1 vol=0.8x sret=-0.9% rsi=35 distSMA200=-11% distHigh60=-13% atr=2.8% | close10d[258,256,244,249,246,246,252,255,258,256] vol5d[1.7x,1.2x,1.2x,1.8x,0.8x] | patterns: hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_10pc_20d:dist_high_120<=-25.59 & roc_5>-0.71 & vol_5d_vs_20d>0.68 | hit_15pc_20d:n_sub_3_range_7d<=3.5 & rs_sector_60d<=12.78 & slope_sma_50<=1.67 & weekly_range_pct>4.51 | hit_15pc_20d:atr_20_pct>2.45 & dist_high_20<=-2.03 & weekly_close_loc>0.17 & weekly_range_pct>5.02 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d<=9.5 & slope_sma_50<=-0.66 & weekly_range_pct>3.68
CANFINHOME [GOLD] nf=23 down_streak=2 vol=0.7x sret=-0.8% rsi=39 distSMA200=-15% distHigh60=-23% atr=3.3% | close10d[683,669,642,661,663,677,681,697,681,676] vol5d[1.0x,1.3x,1.8x,1.0x,0.7x] | patterns: hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_10pc_20d:dist_sma_200<=-7.87 & roc_60<=-15.54 & rs_market_60d<=-12.87 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_25pc_30d:dist_high_252<=-24.86 & n_sub_2_5_range_7d<=2.5 & rs_market_60d<=-5.43 & weekly_close_vs_sma20<=13.27 | hit_15pc_20d:atr_20_pct>3.04 & roc_60<=-12.59 & rs_market_60d<=29.67 & weekly_close_loc<=0.69
COFORGE [ENTERPRISE-Dryup] nf=13 down_streak=2 vol=0.7x sret=-0.4% rsi=14 distSMA200=+22% distHigh60=-18% atr=3.7% | close10d[1835,1859,1721,1699,1697,1726,1709,1713,1633,1627] vol5d[0.8x,0.7x,0.8x,1.0x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.22 & dist_high_20<=-15.18 & weekly_close_loc<=0.63 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:atr_20_pct>3.61 & rs_market_60d<=27.16 & rs_market_60d>-14.48 & slope_sma_20>-3.56 | hit_15pc_20d:n_sub_3_range_7d<=3.5 & rs_sector_60d<=12.78 & slope_sma_50<=1.67 & weekly_range_pct>4.51 | hit_10pc_20d:dist_high_120<=-15.83 & roc_5<=-0.71 & rs_market_20d<=-6.92 | hit_15pc_20d:atr_20_pct>3.52 & dist_sma_200<=32.08 & dist_sma_200>16.34 & weekly_close_vs_sma20>1.3
CHOLAFIN [ENTERPRISE-Dryup] nf=18 down_streak=0 vol=0.9x sret=+1.3% rsi=48 distSMA200=-7% distHigh60=-9% atr=3.3% | close10d[1285,1252,1220,1268,1251,1279,1255,1244,1238,1254] vol5d[1.2x,0.8x,0.4x,0.6x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_10pc_20d:atr_20_pct>3.02 & dist_high_120<=-18.07 & weekly_close_loc>0.43 & weekly_range_pct<=8.64 | hit_10pc_20d:atr_20_pct>3.12 & dist_sma_200<=10.57 & weekly_close_loc>0.53 & weekly_range_pct<=10.47
COLPAL [ENTERPRISE-Dryup] nf=18 down_streak=0 vol=1.3x sret=+1.5% rsi=49 distSMA200=-9% distHigh60=-11% atr=2.8% | close10d[2829,2770,2693,2655,2608,2596,2626,2651,2674,2712] vol5d[0.6x,0.7x,0.5x,0.8x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20<=0.21 & weekly_close_loc>0.8
ASTRAL [GOLD] nf=26 down_streak=4 vol=0.9x sret=-0.6% rsi=23 distSMA200=-26% distHigh60=-22% atr=2.7% | close10d[1547,1560,1468,1489,1472,1498,1497,1479,1461,1451] vol5d[0.5x,1.0x,0.9x,1.1x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:dist_high_120<=-11.56 & dist_high_252<=-38.3 & rs_sector_60d<=-4.73 | hit_10pc_20d:dist_sma_200<=-25.2 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56
