ABB [GOLD] nf=64 down_streak=1 vol=0.9x sret=-0.3% rsi=62 distSMA200=-25% distHigh60=-22% atr=3.5% | close10d[5370,5327,5160,5129,5140,5119,5188,5411,5476,5461] vol5d[0.5x,0.4x,0.7x,0.8x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>2.98 & n_sub_3_range_7d<=3.5 & weekly_close_loc>0.73 & weekly_close_vs_sma20<=-3.68
AARTIIND [ENTERPRISE-Dryup] nf=43 down_streak=1 vol=1.1x sret=-0.0% rsi=52 distSMA200=-25% distHigh60=-16% atr=3.3% | close10d[410,405,390,392,391,382,384,384,398,398] vol5d[0.6x,0.8x,0.0x,1.3x,1.1x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>2.98 & n_sub_3_range_7d<=3.5 & weekly_close_loc>0.73 & weekly_close_vs_sma20<=-3.68 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44
APOLLOHOSP [GOLD] nf=16 down_streak=0 vol=1.3x sret=+0.7% rsi=66 distSMA200=-4% distHigh60=-14% atr=1.9% | close10d[6258,6200,6134,6119,6128,6090,6141,6141,6411,6458] vol5d[0.7x,0.8x,0.0x,1.7x,1.3x] | patterns: hit_15pc_20d:atr_5_vs_20>0.92 & rs_sector_20d<=-2.8 & weekly_close_loc>0.73 & weekly_range_pct>6.25 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=3.35 & rs_sector_20d<=-0.11 & weekly_close_loc>0.5 & weekly_range_pct>6.83 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_10pc_20d:weekly_close_loc>0.96 & weekly_range_pct<=11.78
AUBANK [ENTERPRISE-Dryup] nf=65 down_streak=1 vol=0.8x sret=-0.1% rsi=38 distSMA200=-15% distHigh60=-15% atr=3.5% | close10d[553,544,538,521,507,502,491,491,525,525] vol5d[0.7x,1.1x,0.0x,0.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89
ADANIENT [GOLD-baseline] nf=23 down_streak=0 vol=2.3x sret=+0.9% rsi=81 distSMA200=-15% distHigh60=-12% atr=2.8% | close10d[2252,2246,2227,2249,2241,2220,2252,2252,2318,2338] vol5d[0.6x,0.8x,0.0x,1.0x,2.3x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71
BHEL [ENTERPRISE-Dryup] nf=56 down_streak=0 vol=0.6x sret=+0.4% rsi=69 distSMA200=-18% distHigh60=-15% atr=3.7% | close10d[198,197,192,194,193,193,195,195,205,206] vol5d[0.5x,0.5x,0.0x,0.8x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48
CANBK [ENTERPRISE-Dryup] nf=17 down_streak=0 vol=0.9x sret=+0.3% rsi=58 distSMA200=-17% distHigh60=-17% atr=2.7% | close10d[82,82,80,80,80,80,80,80,83,83] vol5d[1.2x,0.6x,0.0x,1.1x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14
COFORGE [ENTERPRISE-Dryup] nf=50 down_streak=0 vol=0.5x sret=+0.4% rsi=52 distSMA200=+4% distHigh60=-24% atr=4.0% | close10d[1511,1527,1493,1512,1466,1445,1459,1459,1496,1502] vol5d[0.4x,0.6x,0.0x,0.6x,0.5x] | patterns: hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:atr_20_pct>3.79 & dist_sma_200>-1.47 & rs_market_20d<=4.6 & weekly_close_loc>0.44
CHOLAFIN [GOLD-baseline] nf=18 down_streak=1 vol=2.0x sret=-1.3% rsi=60 distSMA200=+9% distHigh60=-3% atr=3.0% | close10d[1457,1456,1418,1447,1450,1443,1454,1454,1511,1491] vol5d[0.4x,0.5x,0.0x,1.0x,2.0x] | patterns: hit_10pc_20d:atr_20_pct>2.35 & roc_20>3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:dist_high_60>-24.04 & dist_sma_200>6.42 & weekly_close_loc>0.51 & weekly_range_pct>5.97 | hit_10pc_20d:rs_market_60d<=81.89 & weekly_close_loc>0.37 & weekly_close_vs_sma20>9.42 & weekly_range_pct>4.76 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43
COLPAL [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.5x sret=+0.2% rsi=39 distSMA200=-20% distHigh60=-19% atr=2.4% | close10d[2400,2421,2388,2406,2381,2360,2333,2333,2362,2367] vol5d[1.0x,1.0x,0.0x,0.9x,0.5x] | patterns: hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:dist_high_120<=-32.65 & dist_high_252>-59.85 & weekly_close_vs_sma20<=12.57 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_10pc_20d:dist_high_120<=-25.59 & roc_5>-0.71 & vol_5d_vs_20d>0.68 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d<=9.5 & slope_sma_50<=-0.66 & weekly_range_pct>3.68
ASTRAL [ENTERPRISE-Dryup] nf=31 down_streak=0 vol=1.5x sret=+1.1% rsi=28 distSMA200=-30% distHigh60=-25% atr=2.9% | close10d[1327,1329,1286,1284,1262,1235,1235,1235,1258,1271] vol5d[1.0x,0.7x,0.0x,1.2x,1.5x] | patterns: hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:dist_high_252<=-41.99 & dist_high_60<=-24.97 & weekly_close_loc>0.15 & weekly_close_vs_sma20<=2.23 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12
