ABB [GOLD] nf=40 down_streak=1 vol=1.0x sret=-4.3% rsi=49 distSMA200=-28% distHigh60=-24% atr=3.3% | close10d[5458,5532,5414,5524,5540,5546,5399,5313,5327,5096] vol5d[0.9x,0.8x,1.5x,0.5x,1.0x] | patterns: hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_15pc_20d:dist_high_252<=-32.38 & dist_high_60<=-19.39 & n_sub_3_range_7d<=3.5 & rs_sector_60d<=1.7 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67
AARTIIND [GOLD] nf=36 down_streak=2 vol=1.9x sret=-6.1% rsi=45 distSMA200=-28% distHigh60=-22% atr=3.5% | close10d[406,407,397,388,394,390,390,400,397,373] vol5d[1.2x,0.8x,0.9x,1.1x,1.9x] | patterns: hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_15pc_20d:dist_high_252<=-32.38 & dist_high_60<=-19.39 & n_sub_3_range_7d<=3.5 & rs_sector_60d<=1.7 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_10pc_20d:dist_sma_200<=-25.2
AUBANK [ENTERPRISE-Dryup] nf=48 down_streak=1 vol=0.6x sret=-2.0% rsi=63 distSMA200=-10% distHigh60=-11% atr=3.6% | close10d[542,549,557,573,554,534,529,539,563,551] vol5d[1.0x,0.7x,0.6x,1.5x,0.6x] | patterns: hit_10pc_20d:roc_5<=0.34 & weekly_close_loc>0.49 & weekly_range_pct<=13.88 & weekly_range_pct>7.86 | hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5 | hit_10pc_20d:dist_high_10<=-3.88 & roc_60<=12.78 & weekly_close_loc>0.41 & weekly_range_pct>7.9 | hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0
BALKRISIND [GOLD-baseline] nf=10 down_streak=2 vol=1.7x sret=-3.8% rsi=39 distSMA200=-17% distHigh60=-16% atr=2.9% | close10d[2593,2594,2549,2565,2534,2538,2507,2551,2466,2373] vol5d[0.8x,0.5x,0.6x,1.4x,1.7x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_25pc_30d:dist_high_252<=-24.86 & n_sub_2_5_range_7d<=2.5 & rs_market_60d<=-5.43 & weekly_close_vs_sma20<=13.27 | hit_10pc_20d:dist_high_120<=-15.83 & dist_high_252<=-27.38 & roc_5<=-0.71 & rs_market_20d>-6.92 | hit_10pc_20d:dist_sma_200<=15.86 & weekly_close_vs_sma20<=1.2 & weekly_range_pct>8.79 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d<=9.5 & slope_sma_50<=-0.66 & weekly_range_pct>3.68
BHARATFORG [GOLD-baseline] nf=59 down_streak=2 vol=2.9x sret=-8.2% rsi=48 distSMA200=-26% distHigh60=-18% atr=4.1% | close10d[1174,1194,1179,1176,1152,1162,1142,1146,1111,1020] vol5d[1.5x,0.7x,0.9x,1.4x,2.9x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:atr_20_pct>2.78 & dist_high_252<=-36.5 & dist_high_252>-43.91 & weekly_range_pct>9.13 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87
BHEL [GOLD] nf=14 down_streak=1 vol=1.7x sret=-1.9% rsi=70 distSMA200=-14% distHigh60=-4% atr=3.3% | close10d[212,217,213,210,214,216,211,212,218,214] vol5d[1.6x,1.3x,0.8x,1.2x,1.7x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_10pc_20d:atr_20_pct>3.02 & dist_high_120<=-18.07 & weekly_close_loc>0.43 & weekly_range_pct<=8.64 | hit_10pc_20d:n_sub_2_5_range_7d<=0.5 & roc_5>-6.67 & weekly_close_vs_sma20<=3.06 & weekly_range_pct<=9.66
COFORGE [GOLD-baseline] nf=65 down_streak=4 vol=3.4x sret=-7.7% rsi=35 distSMA200=-11% distHigh60=-31% atr=4.5% | close10d[1535,1539,1577,1591,1606,1607,1542,1538,1418,1309] vol5d[0.7x,0.6x,0.7x,1.7x,3.4x] | patterns: hit_10pc_20d:atr_20_pct>4.48 & roc_60<=-7.88 & rs_sector_60d<=-3.61 & weekly_range_pct>5.29 | hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_10pc_20d:dist_sma_200<=6.42 & weekly_range_pct>16.33 | hit_15pc_20d:dist_high_252<=-27.48 & rsi_14<=37.51 & weekly_close_vs_sma20<=0.26 & weekly_range_pct>8.5 | hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20>1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57
COLPAL [ENTERPRISE-Dryup] nf=17 down_streak=0 vol=0.7x sret=+0.6% rsi=52 distSMA200=-19% distHigh60=-19% atr=2.3% | close10d[2350,2375,2328,2342,2343,2339,2300,2314,2358,2372] vol5d[1.3x,0.6x,0.7x,0.7x,0.7x] | patterns: hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20<=0.21 & weekly_close_loc>0.8 | hit_25pc_30d:dist_high_120<=-32.65 & dist_high_252>-59.85 & weekly_close_vs_sma20<=12.57
ASTRAL [GOLD] nf=22 down_streak=1 vol=1.6x sret=-1.6% rsi=73 distSMA200=-25% distHigh60=-15% atr=2.6% | close10d[1288,1312,1285,1275,1291,1291,1306,1337,1355,1333] vol5d[1.0x,1.0x,1.0x,1.1x,1.6x] | patterns: hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.75 & rs_sector_20d<=-5.33 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73
CROMPTON [GOLD] nf=11 down_streak=6 vol=0.7x sret=-1.9% rsi=38 distSMA200=-17% distHigh60=-12% atr=2.9% | close10d[360,359,356,357,352,351,343,336,333,326] vol5d[0.7x,0.4x,1.5x,0.8x,0.7x] | patterns: hit_15pc_20d:atr_20_pct>2.14 & rs_sector_60d<=10.06 & weekly_close_loc>0.09 & weekly_range_pct>8.01 | hit_25pc_30d:dist_sma_200<=33.99 & rs_market_20d<=-5.83 & weekly_close_vs_sma20<=30.1 & weekly_range_pct>9.62 | hit_25pc_30d:atr_20_pct>2.44 & dist_sma_50<=-2.94 & weekly_range_pct>10.03 | hit_25pc_30d:dist_high_252<=-24.86 & n_sub_2_5_range_7d<=2.5 & rs_market_60d<=-5.43 & weekly_close_vs_sma20<=13.27 | hit_10pc_20d:dist_high_120<=-15.83 & dist_high_252<=-27.38 & roc_5<=-0.71 & rs_market_20d>-6.92
DEEPAKNTR [GOLD] nf=25 down_streak=2 vol=0.7x sret=-3.8% rsi=48 distSMA200=-25% distHigh60=-23% atr=3.0% | close10d[2049,2082,2029,2008,1983,1975,1974,2025,1996,1921] vol5d[1.1x,0.8x,0.5x,1.7x,0.7x] | patterns: hit_15pc_20d:dist_high_252<=-32.38 & dist_high_60<=-19.39 & n_sub_3_range_7d<=3.5 & rs_sector_60d<=1.7 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:dist_high_120<=-11.56 & dist_high_252<=-38.3 & rs_sector_60d<=-4.73 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56
DLF [ENTERPRISE-Dryup] nf=20 down_streak=2 vol=0.8x sret=-3.8% rsi=49 distSMA200=-18% distHigh60=-19% atr=3.4% | close10d[691,701,690,676,684,676,658,678,675,649] vol5d[0.8x,1.0x,1.0x,0.6x,0.8x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:dist_high_10<=-5.2 & rs_market_60d<=-13.99 & weekly_range_pct>5.35 | hit_10pc_20d:dist_sma_200<=-7.87 & roc_60<=-15.54 & rs_market_60d<=-12.87 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47
DIXON [GOLD] nf=50 down_streak=1 vol=0.8x sret=-2.6% rsi=48 distSMA200=-8% distHigh60=-26% atr=4.4% | close10d[14051,14602,13618,13255,13505,13174,12918,13445,13482,13132] vol5d[1.2x,0.9x,1.2x,1.0x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_10pc_20d:atr_20_pct>4.28 & weekly_close_loc<=0.67 & weekly_close_loc>0.35 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74
BIOCON [GOLD] nf=12 down_streak=1 vol=2.0x sret=-5.2% rsi=54 distSMA200=-7% distHigh60=-19% atr=2.8% | close10d[344,349,348,348,345,341,339,342,345,327] vol5d[1.0x,0.5x,0.5x,1.8x,2.0x] | patterns: hit_15pc_20d:atr_20_pct>2.14 & rs_sector_60d<=10.06 & weekly_close_loc>0.09 & weekly_range_pct>8.01 | hit_25pc_30d:atr_20_pct>2.44 & dist_sma_50<=-2.94 & weekly_range_pct>10.03 | hit_10pc_20d:dist_high_60<=-17.39 & dist_sma_20<=-2.87 & dist_sma_200<=-1.47 & rs_market_60d>-13.49 | hit_15pc_20d:dist_high_60<=-13.65 & n_sub_3_range_7d>3.5 & weekly_close_loc>0.17 & weekly_range_pct>7.49 | hit_10pc_20d:dist_sma_200<=15.86 & weekly_close_vs_sma20<=1.2 & weekly_range_pct>8.79
