ABB [GOLD] nf=26 down_streak=0 vol=0.8x sret=+1.8% rsi=52 distSMA200=-15% distHigh60=-1% atr=3.1% | close10d[5451,5488,5334,5398,5288,5440,5587,5636,5635,5735] vol5d[0.8x,1.6x,1.5x,0.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
AARTIIND [ENTERPRISE-Dryup] nf=22 down_streak=0 vol=0.6x sret=+0.0% rsi=58 distSMA200=-5% distHigh60=-2% atr=4.0% | close10d[424,449,434,457,447,450,467,465,463,463] vol5d[2.2x,0.9x,0.7x,0.4x,0.6x] | patterns: hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_15pc_20d:atr_20_pct>3.78 & dist_high_252<=-38.39 & weekly_close_loc<=0.53 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43
BHARATFORG [GOLD] nf=39 down_streak=1 vol=0.7x sret=-0.0% rsi=70 distSMA200=-6% distHigh60=-1% atr=3.3% | close10d[1098,1113,1081,1134,1107,1159,1192,1197,1239,1239] vol5d[3.2x,1.4x,1.8x,1.7x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06
BPCL [ENTERPRISE-Dryup] nf=14 down_streak=0 vol=0.8x sret=+1.4% rsi=60 distSMA200=+6% distHigh60=-3% atr=2.9% | close10d[292,301,292,297,289,288,290,288,293,298] vol5d[0.5x,0.7x,0.8x,0.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71 | hit_10pc_20d:rs_market_60d<=81.89 & weekly_close_loc>0.37 & weekly_close_vs_sma20>9.42 & weekly_range_pct>4.76 | hit_15pc_20d:atr_20_pct>2.86 & rs_sector_60d<=31.83 & weekly_close_loc>0.7 & weekly_close_vs_sma20>3.06
CANBK [GOLD] nf=28 down_streak=1 vol=0.6x sret=-0.5% rsi=61 distSMA200=+6% distHigh60=-1% atr=3.0% | close10d[93,94,89,90,92,94,97,101,102,102] vol5d[1.3x,1.5x,1.7x,1.3x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20>5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71
CANFINHOME [ENTERPRISE-Dryup] nf=23 down_streak=0 vol=0.6x sret=+0.3% rsi=62 distSMA200=-2% distHigh60=-1% atr=3.3% | close10d[711,704,693,707,702,697,717,710,730,732] vol5d[0.5x,0.6x,0.4x,0.9x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_15pc_20d:atr_20_pct>2.86 & rs_sector_60d<=31.83 & weekly_close_loc>0.7 & weekly_close_vs_sma20>3.06
BEL [GOLD-baseline] nf=60 down_streak=0 vol=1.4x sret=+1.8% rsi=75 distSMA200=+22% distHigh60=-0% atr=2.7% | close10d[309,313,308,308,305,314,321,334,342,348] vol5d[2.1x,1.8x,2.4x,1.7x,1.4x] | patterns: hit_10pc_20d:rs_sector_20d>-6.57 & weekly_close_loc>0.55 & weekly_close_vs_sma20>9.15 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct<=4.4 & weekly_close_loc>0.81 & weekly_close_vs_sma20>2.23 & weekly_range_pct>8.5 | hit_10pc_20d:roc_60>-14.78 & rs_sector_60d>-15.62 & weekly_close_loc>0.66 & weekly_range_pct>9.0
COFORGE [ENTERPRISE-Dryup] nf=55 down_streak=1 vol=0.6x sret=-0.0% rsi=81 distSMA200=+11% distHigh60=-1% atr=3.6% | close10d[1461,1485,1471,1506,1536,1526,1651,1642,1681,1681] vol5d[0.6x,1.3x,0.7x,0.7x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>2.56 & roc_20>29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48
CHOLAFIN [ENTERPRISE-Dryup] nf=35 down_streak=0 vol=0.4x sret=+0.8% rsi=59 distSMA200=+15% distHigh60=-4% atr=3.7% | close10d[1490,1550,1529,1573,1530,1512,1577,1577,1595,1607] vol5d[0.9x,0.4x,0.5x,0.6x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_15pc_20d:atr_20_pct>3.63 & rs_market_60d<=19.1 & slope_sma_20<=2.18 & weekly_close_vs_sma20>13.81 | hit_15pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71
ASTRAL [GOLD] nf=37 down_streak=0 vol=1.0x sret=+1.3% rsi=43 distSMA200=-19% distHigh60=-6% atr=3.3% | close10d[1314,1337,1296,1284,1279,1270,1327,1340,1323,1340] vol5d[0.9x,1.3x,0.8x,1.4x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
APOLLOTYRE [GOLD-baseline] nf=12 down_streak=0 vol=2.1x sret=+1.1% rsi=54 distSMA200=+0% distHigh60=-5% atr=3.2% | close10d[468,479,474,486,476,458,473,464,467,472] vol5d[1.5x,0.8x,1.0x,0.7x,2.1x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43 | hit_10pc_20d:atr_20_pct>3.12 & dist_sma_200<=10.57 & weekly_close_loc>0.53 & weekly_range_pct<=10.47 | hit_10pc_20d:dist_high_120<=-6.42 & dist_sma_200>-7.87 & rs_market_60d>-3.84 & weekly_close_loc>0.49 | hit_10pc_20d:atr_20_pct>3.13 & rs_sector_60d>-21.46 & weekly_close_loc<=0.7 & weekly_close_loc>0.35
