rule_text,rule_json,lift_tr,lift_te,prec_te,n_te
base_tight20>18.272 & rng_contract>1.101 & dh10<=-11.328 & dh20<=-20.713,"[[""base_tight20"", "">"", 18.272], [""rng_contract"", "">"", 1.101], [""dh10"", ""<="", -11.328], [""dh20"", ""<="", -20.713]]",3.47,2.99,0.315,238
dh10<=-10.568 & dh40<=-22.406 & rng_contract>1.121 & dh10>-16.208,"[[""dh10"", ""<="", -10.568], [""dh40"", ""<="", -22.406], [""rng_contract"", "">"", 1.121], [""dh10"", "">"", -16.208]]",2.76,2.95,0.311,238
atrp>3.536 & rng_contract>1.153 & dh10<=-10.779 & dh20<=-21.687,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh10"", ""<="", -10.779], [""dh20"", ""<="", -21.687]]",3.83,2.87,0.302,162
atrp>3.536 & dh10<=-12.317 & v_ratio>1.228 & dh20<=-20.691,"[[""atrp"", "">"", 3.536], [""dh10"", ""<="", -12.317], [""v_ratio"", "">"", 1.228], [""dh20"", ""<="", -20.691]]",3.55,2.85,0.301,173
atrp>3.536 & rng_contract>1.153 & dh40<=-22.413 & dh10<=-11.531,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh40"", ""<="", -22.413], [""dh10"", ""<="", -11.531]]",3.54,2.84,0.299,294
atrp>3.536 & rng_contract>1.153 & dh20<=-18.583 & dh10>-14.511,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh20"", ""<="", -18.583], [""dh10"", "">"", -14.511]]",2.04,2.76,0.291,134
atrp>3.536 & rng_contract>1.153 & dh10<=-10.779 & dh40<=-22.413,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh10"", ""<="", -10.779], [""dh40"", ""<="", -22.413]]",3.47,2.75,0.289,318
atrp>3.536 & rng_contract>1.153 & dh20<=-18.583 & dh10<=-14.511,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh20"", ""<="", -18.583], [""dh10"", ""<="", -14.511]]",3.66,2.7,0.284,204
base_tight20>18.272 & dh10<=-12.317 & rng_contract>1.087 & dh40<=-21.769,"[[""base_tight20"", "">"", 18.272], [""dh10"", ""<="", -12.317], [""rng_contract"", "">"", 1.087], [""dh40"", ""<="", -21.769]]",3.37,2.63,0.277,365
dh5<=-7.145 & dh10<=-14.066 & rng_contract<=1.157 & cloc3>0.386,"[[""dh5"", ""<="", -7.145], [""dh10"", ""<="", -14.066], [""rng_contract"", ""<="", 1.157], [""cloc3"", "">"", 0.386]]",2.79,2.61,0.275,167
atrp>3.536 & rng_contract>1.153 & dh40<=-22.413 & mtd_ret>-9.818,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh40"", ""<="", -22.413], [""mtd_ret"", "">"", -9.818]]",2.01,2.58,0.272,405
atrp>3.536 & rng_contract>1.153 & dh40<=-22.413 & updays5<=2.5,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh40"", ""<="", -22.413], [""updays5"", ""<="", 2.5]]",3.37,2.56,0.27,411
atrp>3.536 & atr5v20>0.978 & dh20<=-20.396 & dh10>-13.916,"[[""atrp"", "">"", 3.536], [""atr5v20"", "">"", 0.978], [""dh20"", ""<="", -20.396], [""dh10"", "">"", -13.916]]",1.71,2.56,0.27,152
dh5<=-7.145 & dh10<=-14.066 & rng_contract>1.157 & dh40<=-21.769,"[[""dh5"", ""<="", -7.145], [""dh10"", ""<="", -14.066], [""rng_contract"", "">"", 1.157], [""dh40"", ""<="", -21.769]]",3.69,2.53,0.266,214
base_tight20>18.272 & atr5v20>0.982 & dh20<=-20.396 & dh10>-14.511,"[[""base_tight20"", "">"", 18.272], [""atr5v20"", "">"", 0.982], [""dh20"", ""<="", -20.396], [""dh10"", "">"", -14.511]]",1.81,2.51,0.264,174
