rule_text,rule_json,lift_tr,lift_te,prec_te,n_te
base_tight20>15.734 & wtd_ret<=3.24 & dh10<=-18.731,"[[""base_tight20"", "">"", 15.734], [""wtd_ret"", ""<="", 3.24], [""dh10"", ""<="", -18.731]]",3.61,3.78,0.059,101
base_tight20>15.734 & wtd_pos<=0.604 & dh20<=-20.548,"[[""base_tight20"", "">"", 15.734], [""wtd_pos"", ""<="", 0.604], [""dh20"", ""<="", -20.548]]",2.19,3.49,0.055,292
base_tight20>15.734 & wtd_ret>3.24 & cloc1<=0.805,"[[""base_tight20"", "">"", 15.734], [""wtd_ret"", "">"", 3.24], [""cloc1"", ""<="", 0.805]]",3.38,2.37,0.037,1477
atrp>3.39 & d_sma200>-50.369 & v5_20>1.191,"[[""atrp"", "">"", 3.39], [""d_sma200"", "">"", -50.369], [""v5_20"", "">"", 1.191]]",2.37,2.06,0.032,2350
atrp>3.39 & v5_20>1.191 & d_sma200>-524.575,"[[""atrp"", "">"", 3.39], [""v5_20"", "">"", 1.191], [""d_sma200"", "">"", -524.575]]",2.37,2.06,0.032,2353
atrp>3.39 & v3_20>0.913 & cloc1<=0.806,"[[""atrp"", "">"", 3.39], [""v3_20"", "">"", 0.913], [""cloc1"", ""<="", 0.806]]",2.22,2.05,0.032,3376
atrp>3.39 & v5_20>1.191 & v_ratio<=6.123,"[[""atrp"", "">"", 3.39], [""v5_20"", "">"", 1.191], [""v_ratio"", ""<="", 6.123]]",2.33,2.01,0.032,2403
v5_20>1.363 & atrp>3.13 & mtd_pos>0.414,"[[""v5_20"", "">"", 1.363], [""atrp"", "">"", 3.13], [""mtd_pos"", "">"", 0.414]]",3.05,1.84,0.029,1522
base_tight20>15.734 & wtd_pos>0.604 & cloc1<=0.805,"[[""base_tight20"", "">"", 15.734], [""wtd_pos"", "">"", 0.604], [""cloc1"", ""<="", 0.805]]",2.69,1.82,0.029,2238
base_tight20>15.734 & wtd_pos<=0.604 & base_tight20>20.018,"[[""base_tight20"", "">"", 15.734], [""wtd_pos"", ""<="", 0.604], [""base_tight20"", "">"", 20.018]]",1.43,1.63,0.026,2812
atrp>3.39 & d_sma200>-50.369 & wtd_pos>0.579,"[[""atrp"", "">"", 3.39], [""d_sma200"", "">"", -50.369], [""wtd_pos"", "">"", 0.579]]",2.16,1.5,0.024,3956
base_tight20>15.734 & wtd_pos>0.604 & v3_20>0.664,"[[""base_tight20"", "">"", 15.734], [""wtd_pos"", "">"", 0.604], [""v3_20"", "">"", 0.664]]",2.47,1.45,0.023,2843
base_tight20<=15.734 & atrp>3.39 & v3_20>1.046,"[[""base_tight20"", ""<="", 15.734], [""atrp"", "">"", 3.39], [""v3_20"", "">"", 1.046]]",1.89,1.4,0.022,547
atrp>3.39 & d_sma200>-50.369 & wtd_pos<=0.579,"[[""atrp"", "">"", 3.39], [""d_sma200"", "">"", -50.369], [""wtd_pos"", ""<="", 0.579]]",1.23,1.38,0.022,4415
base_tight20>15.734 & wtd_pos<=0.604 & wtd_daysup<=1.5,"[[""base_tight20"", "">"", 15.734], [""wtd_pos"", ""<="", 0.604], [""wtd_daysup"", ""<="", 1.5]]",1.26,1.37,0.022,3532
base_tight20>15.734 & d_sma200>-50.369 & wtd_pos<=0.604,"[[""base_tight20"", "">"", 15.734], [""d_sma200"", "">"", -50.369], [""wtd_pos"", ""<="", 0.604]]",1.15,1.35,0.021,4234
base_tight20>15.734 & wtd_pos>0.604 & d_sma200>-15.66,"[[""base_tight20"", "">"", 15.734], [""wtd_pos"", "">"", 0.604], [""d_sma200"", "">"", -15.66]]",2.45,1.33,0.021,2337
v5_20<=1.363 & atrp>3.423 & wtd_pos>0.58,"[[""v5_20"", ""<="", 1.363], [""atrp"", "">"", 3.423], [""wtd_pos"", "">"", 0.58]]",1.78,1.32,0.021,3317
base_tight20>15.734 & d_sma200>-50.369 & wtd_pos>0.604,"[[""base_tight20"", "">"", 15.734], [""d_sma200"", "">"", -50.369], [""wtd_pos"", "">"", 0.604]]",2.2,1.32,0.021,3470
