symbol,pattern_id,avg_fwd_ret,n,hit_rate
IRFC,6201,-0.25181162870309987,38,0.39473684210526316
IDFCFIRSTB,6201,-0.7382855796576521,6,0.16666666666666666
AMBUJACEM,6540,0.07747933910158611,55,0.6
IDEA,6540,-0.5118090167829437,162,0.3395061728395062
NAUKRI,6540,0.2295229409047168,34,0.5
POLYCAB,6540,0.3699798246803766,34,0.5294117647058824
BANDHANBNK,6540,-0.26143540473338966,130,0.4
IDEA,6643,-0.27686249962210385,201,0.3482587064676617
BHEL,6292,0.04674707572780608,129,0.5348837209302325
IRFC,6292,-0.5246749886662003,199,0.32160804020100503
DIXON,6431,-0.2759083719734466,53,0.4528301886792453
GRANULES,6431,0.3832256760319799,36,0.5555555555555556
EICHERMOT,6431,-0.012379033401804712,8,0.375
IRCTC,6431,-0.3466420244987701,6,0.3333333333333333
LTIM,6431,-0.17253739462604906,2,0.5
LAURUSLABS,6431,0.24701413029879685,32,0.5
IDEA,6672,-0.22851976359179443,198,0.3383838383838384
AARTIIND,6633,-0.4144069108417506,139,0.4316546762589928
CROMPTON,6633,-0.058310118406836635,100,0.41
DEEPAKNTR,6633,-0.17520674631387528,59,0.3389830508474576
ABFRL,6633,-0.3958329155216967,107,0.40186915887850466
HAVELLS,6633,0.14538641045318604,21,0.6666666666666666
ICICIPRULI,6633,1.0255732132838806,13,0.6153846153846154
BAJFINANCE,6633,0.0863630862696055,49,0.4897959183673469
AUROPHARMA,6633,-0.41644690257989564,38,0.3157894736842105
IRCTC,6633,-0.05134770315053526,71,0.5070422535211268
JUBLFOOD,6633,-0.28827896855838214,114,0.39473684210526316
LAURUSLABS,6633,-0.15006105346168794,70,0.37142857142857144
PAGEIND,6633,-0.16391358393551192,68,0.39705882352941174
TATACHEM,6633,0.08895620399907903,21,0.6190476190476191
BANDHANBNK,6633,-0.12956730029828364,98,0.47959183673469385
AMBUJACEM,6617,-0.2914535274741753,61,0.5737704918032787
CANFINHOME,6617,-0.04941527101435214,83,0.4819277108433735
POLYCAB,6617,0.07253231391345356,40,0.5
BANDHANBNK,6617,-0.34302718152537176,172,0.4011627906976744
BHEL,6483,0.024223026118902258,116,0.4827586206896552
AMBUJACEM,6483,0.2253694937928645,33,0.5151515151515151
CANBK,6483,-0.19438020470310227,68,0.4411764705882353
CANFINHOME,6483,-0.07210587353569711,55,0.509090909090909
COFORGE,6483,0.47544253439448003,21,0.5714285714285714
IDEA,6483,-0.06645469871658781,130,0.36153846153846153
IRFC,6483,-0.14887194201665616,101,0.39603960396039606
POLYCAB,6483,0.2528123418986277,22,0.5454545454545454
BANKBARODA,6483,0.28749583471179435,42,0.5952380952380952
IDFCFIRSTB,6483,-0.5820093497583297,31,0.25806451612903225
CANBK,6519,-1.2684564668573095,3,0.0
IRFC,6519,-0.5232229041200821,100,0.33
PFC,6519,-0.41151693634522435,109,0.42201834862385323
BHEL,6644,-0.3293164373878234,112,0.48214285714285715
CANBK,6644,-0.06558518594177676,16,0.375
IRFC,6644,-0.4790538492910836,206,0.33495145631067963
BANKBARODA,6644,0.5830732202599672,24,0.7083333333333334
IRFC,6255,-0.33417149559364606,221,0.3574660633484163
COFORGE,6270,-0.1451459788584626,7,0.2857142857142857
PFC,6270,-0.2541582114217029,25,0.52
SAIL,6270,0.32206337496606097,25,0.48
BHEL,6481,-0.0810672066891183,155,0.5096774193548387
IRFC,6481,-0.41895031912327474,177,0.3446327683615819
IRFC,6567,-0.2994621199746815,213,0.352112676056338
ABBOTINDIA,6222,-0.4899435032994941,32,0.375
MCX,6548,0.005373420871157392,57,0.5087719298245614
BHEL,6508,-0.06325612933066725,128,0.515625
IDFCFIRSTB,6508,-0.5049676707941121,19,0.3157894736842105
MCX,6420,1.047585834924811,9,0.5555555555555556
