symbol,side,days,win,raw,neutral,retained,neut_sharpe,best_signal,bs_days,bs_neutral,sector
360ONE,SHORT,535,47.85,-0.024,-0.087,0.0,-0.759,extended_move,43,0.301,Financial Services
360ONE,LONG,535,49.346,-0.065,-0.002,0.0,-0.017,GOLD,95,0.055,Financial Services
ABB,SHORT,535,51.028,0.065,0.001,2.255,0.015,extended_move,38,0.305,Capital Goods
ABB,LONG,535,46.729,-0.154,-0.091,0.0,-0.936,GOLD-baseline,75,0.096,Capital Goods
ABCAPITAL,SHORT,534,49.625,-0.039,-0.103,0.0,-1.144,normal,476,-0.074,Financial Services
ABCAPITAL,LONG,534,47.566,-0.051,0.014,0.0,0.153,extended_move,47,0.336,Financial Services
ADANIENSOL,SHORT,535,54.019,0.024,-0.039,-162.503,-0.295,GOLD,114,0.207,Power
ADANIENSOL,LONG,535,43.738,-0.113,-0.05,0.0,-0.376,extended_move,56,0.084,Power
ADANIENT,SHORT,535,56.636,0.1,0.037,36.662,0.346,ENTERPRISE-Dryup,262,0.135,Metals & Mining
ADANIENT,LONG,535,41.121,-0.189,-0.126,0.0,-1.189,extended_move,36,0.169,Metals & Mining
ADANIGREEN,SHORT,535,57.944,0.185,0.121,65.647,0.852,STANDARD,66,0.311,Power
ADANIGREEN,LONG,535,40.374,-0.274,-0.21,0.0,-1.48,extended_move,47,-0.005,Power
ADANIPORTS,SHORT,535,52.897,0.009,-0.055,-627.493,-0.666,GOLD,145,0.025,Services
ADANIPORTS,LONG,535,45.421,-0.098,-0.035,0.0,-0.422,GOLD-baseline,63,0.08,Services
ADANIPOWER,SHORT,535,62.43,0.107,0.043,40.663,0.309,GOLD-baseline,66,0.242,Power
ADANIPOWER,LONG,535,35.888,-0.196,-0.133,0.0,-0.944,extended_move,60,0.042,Power
ALKEM,SHORT,535,53.271,0.08,0.017,21.071,0.201,STANDARD,40,0.381,Healthcare
ALKEM,LONG,535,43.551,-0.17,-0.106,0.0,-1.26,GOLD-baseline,83,-0.021,Healthcare
AMBER,SHORT,535,50.841,0.047,-0.017,-36.198,-0.109,STANDARD-weak,20,0.61,Consumer Durables
AMBER,LONG,535,46.729,-0.136,-0.072,0.0,-0.471,GOLD-baseline,72,0.241,Consumer Durables
AMBUJACEM,SHORT,534,53.745,0.15,0.085,57.087,1.124,STANDARD,55,0.172,Construction Materials
AMBUJACEM,LONG,534,43.071,-0.239,-0.175,0.0,-2.3,ENTERPRISE-Dryup,256,-0.116,Construction Materials
ANGELONE,SHORT,535,53.271,0.005,-0.058,-1174.106,-0.43,extended_move,81,0.169,Financial Services
ANGELONE,LONG,535,45.981,-0.094,-0.031,0.0,-0.228,GOLD-baseline,69,0.271,Financial Services
APLAPOLLO,SHORT,535,52.71,0.058,-0.006,-9.624,-0.063,ENTERPRISE-Dryup,239,0.035,Capital Goods
APLAPOLLO,LONG,535,45.421,-0.147,-0.084,0.0,-0.954,STANDARD,61,0.074,Capital Goods
APOLLOHOSP,SHORT,535,46.729,-0.068,-0.131,0.0,-1.808,GOLD,147,-0.098,Healthcare
APOLLOHOSP,LONG,535,48.224,-0.022,0.042,0.0,0.577,STANDARD,28,0.101,Healthcare
ASHOKLEY,SHORT,535,50.28,-0.048,-0.112,0.0,-1.231,STANDARD,61,0.25,Capital Goods
ASHOKLEY,LONG,535,45.981,-0.041,0.022,0.0,0.248,GOLD-baseline,97,0.152,Capital Goods
ASIANPAINT,SHORT,535,48.598,-0.057,-0.121,0.0,-1.56,ENTERPRISE-Dryup,255,-0.074,Consumer Durables
ASIANPAINT,LONG,535,48.411,-0.032,0.031,0.0,0.406,GOLD,141,0.149,Consumer Durables
ASTRAL,SHORT,534,51.498,0.06,-0.004,-6.808,-0.046,GOLD-baseline,73,0.135,Capital Goods
ASTRAL,LONG,534,46.442,-0.15,-0.085,0.0,-0.967,STANDARD,55,0.448,Capital Goods
AUBANK,SHORT,535,51.589,-0.102,-0.166,0.0,-1.685,ENTERPRISE-Dryup,261,-0.06,Financial Services
AUBANK,LONG,535,46.168,0.013,0.076,597.314,0.775,GOLD-baseline,81,0.278,Financial Services
AUROPHARMA,SHORT,535,52.71,0.0,-0.063,-31327.614,-0.69,GOLD-baseline,86,0.263,Healthcare
AUROPHARMA,LONG,535,46.168,-0.09,-0.026,0.0,-0.286,ENTERPRISE-Dryup,244,0.136,Healthcare
AXISBANK,SHORT,535,49.159,-0.068,-0.132,0.0,-1.84,STANDARD,38,0.182,Financial Services
AXISBANK,LONG,535,48.598,-0.021,0.042,0.0,0.593,GOLD-baseline,82,0.224,Financial Services
BAJAJ-AUTO,SHORT,535,49.346,-0.04,-0.104,0.0,-1.282,ENTERPRISE-Dryup,235,-0.024,Automobile and Auto Components
BAJAJ-AUTO,LONG,535,47.664,-0.049,0.015,0.0,0.179,STANDARD,50,0.246,Automobile and Auto Components
BAJAJFINSV,SHORT,535,50.093,-0.009,-0.073,0.0,-0.984,GOLD,135,0.06,Financial Services
BAJAJFINSV,LONG,535,45.234,-0.08,-0.016,0.0,-0.222,ENTERPRISE-Dryup,249,0.056,Financial Services
BAJAJHLDNG,SHORT,535,54.206,0.07,0.006,8.979,0.054,GOLD,118,0.168,Financial Services
BAJAJHLDNG,LONG,535,42.991,-0.159,-0.096,0.0,-0.821,ENTERPRISE-Dryup,246,0.107,Financial Services
BAJFINANCE,SHORT,535,49.159,-0.094,-0.158,0.0,-1.98,STANDARD,51,0.156,Financial Services
BAJFINANCE,LONG,535,48.037,0.005,0.068,1413.904,0.857,GOLD-baseline,79,0.331,Financial Services
BANDHANBNK,SHORT,534,50.562,0.04,-0.025,-61.881,-0.236,GOLD-baseline,62,0.078,Financial Services
BANDHANBNK,LONG,534,46.816,-0.129,-0.065,0.0,-0.624,extended_move,35,0.162,Financial Services
BANKBARODA,SHORT,534,52.622,0.03,-0.034,-112.965,-0.431,GOLD-baseline,78,0.205,Financial Services
BANKBARODA,LONG,534,44.944,-0.12,-0.055,0.0,-0.698,ENTERPRISE-Dryup,224,0.027,Financial Services
BANKINDIA,SHORT,535,52.897,0.103,0.039,38.164,0.438,GOLD-baseline,62,0.28,Financial Services
BANKINDIA,LONG,535,44.112,-0.192,-0.128,0.0,-1.439,STANDARD,71,0.025,Financial Services
BDL,SHORT,535,53.832,-0.009,-0.072,0.0,-0.495,GOLD-baseline,48,0.86,Capital Goods
BDL,LONG,535,44.673,-0.081,-0.017,0.0,-0.118,STANDARD,78,0.493,Capital Goods
BEL,SHORT,535,53.458,0.014,-0.05,-358.761,-0.554,GOLD-baseline,69,-0.009,Capital Goods
BEL,LONG,535,44.86,-0.103,-0.04,0.0,-0.444,extended_move,55,0.059,Capital Goods
BHARATFORG,SHORT,535,54.206,0.015,-0.048,-310.8,-0.55,STANDARD,59,0.17,Automobile and Auto Components
BHARATFORG,LONG,535,44.299,-0.105,-0.041,0.0,-0.475,GOLD-baseline,87,0.041,Automobile and Auto Components
BHARTIARTL,SHORT,535,47.29,-0.038,-0.101,0.0,-1.278,STANDARD,36,0.177,Telecommunication
BHARTIARTL,LONG,535,49.159,-0.051,0.012,0.0,0.151,ENTERPRISE-Dryup,246,0.079,Telecommunication
BHEL,SHORT,535,50.467,0.011,-0.052,-472.18,-0.493,ENTERPRISE-Dryup,252,0.043,Capital Goods
BHEL,LONG,535,47.664,-0.1,-0.037,0.0,-0.349,GOLD-baseline,47,0.175,Capital Goods
BIOCON,SHORT,534,51.311,0.051,-0.013,-26.115,-0.135,GOLD-baseline,72,0.196,Healthcare
BIOCON,LONG,534,45.318,-0.14,-0.076,0.0,-0.774,STANDARD,65,-0.023,Healthcare
BLUESTARCO,SHORT,535,50.654,-0.011,-0.075,0.0,-0.571,extended_move,37,0.523,Consumer Durables
BLUESTARCO,LONG,535,47.664,-0.078,-0.014,0.0,-0.11,GOLD,90,0.313,Consumer Durables
BOSCHLTD,SHORT,534,52.622,0.019,-0.046,-245.999,-0.554,GOLD,143,0.121,Automobile and Auto Components
BOSCHLTD,LONG,534,43.82,-0.108,-0.044,0.0,-0.53,extended_move,47,0.132,Automobile and Auto Components
BPCL,SHORT,535,54.393,0.058,-0.006,-9.664,-0.065,GOLD-baseline,85,0.115,Oil Gas & Consumable Fuels
BPCL,LONG,535,42.991,-0.147,-0.084,0.0,-0.981,ENTERPRISE-Dryup,208,-0.043,Oil Gas & Consumable Fuels
