symbol,signal,side,days,win,raw,neutral,retained,sector
360ONE,TIER:ENTERPRISE-Dryup,SHORT,244,47.541,-0.051,-0.14,0.0,Financial Services
360ONE,TIER:ENTERPRISE-Dryup,LONG,244,50.41,-0.038,0.051,0.0,Financial Services
360ONE,TIER:GOLD,SHORT,95,40.0,-0.205,-0.145,0.0,Financial Services
360ONE,TIER:GOLD,LONG,95,55.789,0.115,0.055,48.008,Financial Services
360ONE,TIER:GOLD-baseline,SHORT,91,53.846,0.184,0.103,55.981,Financial Services
360ONE,TIER:GOLD-baseline,LONG,91,41.758,-0.273,-0.192,0.0,Financial Services
360ONE,TIER:STANDARD,SHORT,86,54.651,0.246,0.076,30.959,Financial Services
360ONE,TIER:STANDARD,LONG,86,43.023,-0.336,-0.166,0.0,Financial Services
ABB,TIER:ENTERPRISE-Dryup,SHORT,266,53.759,0.155,0.042,26.928,Capital Goods
ABB,TIER:ENTERPRISE-Dryup,LONG,266,43.985,-0.244,-0.131,0.0,Capital Goods
ABB,TIER:GOLD,SHORT,123,60.163,0.312,0.243,77.992,Capital Goods
ABB,TIER:GOLD,LONG,123,37.398,-0.401,-0.332,0.0,Capital Goods
ABB,TIER:GOLD-baseline,SHORT,75,41.333,-0.224,-0.185,0.0,Capital Goods
ABB,TIER:GOLD-baseline,LONG,75,57.333,0.135,0.096,71.203,Capital Goods
ABB,TIER:STANDARD,SHORT,54,37.037,-0.135,-0.087,0.0,Capital Goods
ABB,TIER:STANDARD,LONG,54,59.259,0.045,-0.002,-4.4,Capital Goods
ABCAPITAL,TIER:ENTERPRISE-Dryup,SHORT,241,51.867,0.054,-0.092,-170.053,Financial Services
ABCAPITAL,TIER:ENTERPRISE-Dryup,LONG,241,44.813,-0.143,0.002,0.0,Financial Services
ABCAPITAL,TIER:GOLD,SHORT,110,50.0,-0.196,-0.175,0.0,Financial Services
ABCAPITAL,TIER:GOLD,LONG,110,50.0,0.107,0.085,79.946,Financial Services
ABCAPITAL,TIER:GOLD-baseline,SHORT,86,44.186,-0.145,-0.112,0.0,Financial Services
ABCAPITAL,TIER:GOLD-baseline,LONG,86,53.488,0.056,0.023,41.121,Financial Services
ABCAPITAL,TIER:STANDARD,SHORT,76,51.316,0.028,-0.092,-329.258,Financial Services
ABCAPITAL,TIER:STANDARD,LONG,76,44.737,-0.117,0.003,0.0,Financial Services
ADANIENSOL,TIER:ENTERPRISE-Dryup,SHORT,253,56.522,0.031,-0.06,-192.348,Power
ADANIENSOL,TIER:ENTERPRISE-Dryup,LONG,253,41.107,-0.121,-0.029,0.0,Power
ADANIENSOL,TIER:GOLD,SHORT,114,58.772,0.328,0.207,63.154,Power
ADANIENSOL,TIER:GOLD,LONG,114,38.596,-0.418,-0.297,0.0,Power
ADANIENSOL,TIER:GOLD-baseline,SHORT,72,47.222,-0.24,-0.144,0.0,Power
ADANIENSOL,TIER:GOLD-baseline,LONG,72,51.389,0.151,0.054,36.121,Power
ADANIENSOL,TIER:STANDARD,SHORT,68,47.059,-0.015,-0.082,0.0,Power
ADANIENSOL,TIER:STANDARD,LONG,68,50.0,-0.074,-0.007,0.0,Power
ADANIENT,TIER:ENTERPRISE-Dryup,SHORT,262,60.687,0.285,0.135,47.239,Metals & Mining
ADANIENT,TIER:ENTERPRISE-Dryup,LONG,262,36.641,-0.374,-0.224,0.0,Metals & Mining
ADANIENT,TIER:GOLD,SHORT,124,51.613,-0.054,-0.06,0.0,Metals & Mining
ADANIENT,TIER:GOLD,LONG,124,45.968,-0.035,-0.029,0.0,Metals & Mining
ADANIENT,TIER:GOLD-baseline,SHORT,72,51.389,-0.292,-0.217,0.0,Metals & Mining
ADANIENT,TIER:GOLD-baseline,LONG,72,47.222,0.202,0.127,62.784,Metals & Mining
ADANIENT,TIER:STANDARD,SHORT,51,58.824,-0.054,0.079,0.0,Metals & Mining
ADANIENT,TIER:STANDARD,LONG,51,41.176,-0.035,-0.168,0.0,Metals & Mining
ADANIGREEN,TIER:ENTERPRISE-Dryup,SHORT,277,63.538,0.315,0.185,58.757,Power
ADANIGREEN,TIER:ENTERPRISE-Dryup,LONG,277,34.657,-0.404,-0.274,0.0,Power
ADANIGREEN,TIER:GOLD,SHORT,93,55.914,0.224,0.112,49.983,Power
ADANIGREEN,TIER:GOLD,LONG,93,41.935,-0.313,-0.201,0.0,Power
ADANIGREEN,TIER:GOLD-baseline,SHORT,65,52.308,-0.101,0.016,0.0,Power
ADANIGREEN,TIER:GOLD-baseline,LONG,65,46.154,0.012,-0.106,-879.285,Power
ADANIGREEN,TIER:STANDARD,SHORT,66,46.97,0.226,0.311,138.0,Power
ADANIGREEN,TIER:STANDARD,LONG,66,51.515,-0.315,-0.401,0.0,Power
ADANIPORTS,TIER:ENTERPRISE-Dryup,SHORT,251,54.98,-0.014,-0.115,0.0,Services
ADANIPORTS,TIER:ENTERPRISE-Dryup,LONG,251,43.825,-0.075,0.026,0.0,Services
ADANIPORTS,TIER:GOLD,SHORT,145,53.793,0.172,0.025,14.373,Services
ADANIPORTS,TIER:GOLD,LONG,145,44.138,-0.261,-0.114,0.0,Services
ADANIPORTS,TIER:GOLD-baseline,SHORT,63,49.206,-0.369,-0.169,0.0,Services
ADANIPORTS,TIER:GOLD-baseline,LONG,63,47.619,0.279,0.08,28.519,Services
ADANIPORTS,TIER:STANDARD,SHORT,56,46.429,-0.096,-0.011,0.0,Services
ADANIPORTS,TIER:STANDARD,LONG,56,51.786,0.007,-0.078,-1142.194,Services
ADANIPOWER,TIER:ENTERPRISE-Dryup,SHORT,272,64.338,0.17,0.051,29.731,Power
ADANIPOWER,TIER:ENTERPRISE-Dryup,LONG,272,33.824,-0.259,-0.14,0.0,Power
ADANIPOWER,TIER:GOLD,SHORT,104,60.577,0.091,0.067,73.496,Power
ADANIPOWER,TIER:GOLD,LONG,104,37.5,-0.18,-0.156,0.0,Power
ADANIPOWER,TIER:GOLD-baseline,SHORT,66,63.636,0.066,0.242,366.598,Power
ADANIPOWER,TIER:GOLD-baseline,LONG,66,34.848,-0.155,-0.332,0.0,Power
ADANIPOWER,TIER:STANDARD,SHORT,56,62.5,0.309,0.215,69.696,Power
ADANIPOWER,TIER:STANDARD,LONG,56,35.714,-0.398,-0.304,0.0,Power
ALKEM,TIER:ENTERPRISE-Dryup,SHORT,255,50.588,0.054,0.005,9.4,Healthcare
ALKEM,TIER:ENTERPRISE-Dryup,LONG,255,45.49,-0.144,-0.094,0.0,Healthcare
ALKEM,TIER:GOLD,SHORT,147,48.299,-0.056,-0.001,0.0,Healthcare
ALKEM,TIER:GOLD,LONG,147,48.299,-0.033,-0.088,0.0,Healthcare
ALKEM,TIER:GOLD-baseline,SHORT,83,59.036,0.163,-0.068,-41.685,Healthcare
ALKEM,TIER:GOLD-baseline,LONG,83,38.554,-0.252,-0.021,0.0,Healthcare
ALKEM,TIER:STANDARD,SHORT,40,75.0,0.49,0.381,77.913,Healthcare
ALKEM,TIER:STANDARD,LONG,40,25.0,-0.579,-0.471,0.0,Healthcare
AMBER,TIER:ENTERPRISE-Dryup,SHORT,245,49.388,-0.033,-0.055,0.0,Consumer Durables
AMBER,TIER:ENTERPRISE-Dryup,LONG,245,48.163,-0.056,-0.034,0.0,Consumer Durables
AMBER,TIER:GOLD,SHORT,106,53.774,0.27,0.221,81.964,Consumer Durables
AMBER,TIER:GOLD,LONG,106,43.396,-0.359,-0.311,0.0,Consumer Durables
