side,config,avg,win%,n
S,HOLD,0.0185,51.9485,112267
S,TGT0.5,-0.0283,76.7323,112267
S,TGT1.0,0.0043,62.8422,112267
S,TGT1.5,0.0158,56.6106,112267
S,BR0.5/0.5,-0.0088,53.5696,112267
S,BR1.0/1.0,0.0191,52.9666,112267
S,BR1.0/0.5,0.0226,38.9144,112267
S,BR1.5/1.0,0.0332,46.7029,112267
S,TRAIL0.3,0.0576,44.5705,112267
S,TRAIL0.5,0.0395,42.7071,112267
L,HOLD,-0.1082,45.4969,112267
L,TGT0.5,-0.1377,70.8285,112267
L,TGT1.0,-0.132,56.2792,112267
L,TGT1.5,-0.1296,49.9105,112267
L,BR0.5/0.5,-0.0864,45.7677,112267
L,BR1.0/1.0,-0.1094,45.9022,112267
L,BR1.0/0.5,-0.076,32.0539,112267
L,BR1.5/1.0,-0.109,39.6866,112267
L,TRAIL0.3,-0.0033,36.9485,112267
L,TRAIL0.5,-0.0404,36.1433,112267
