symbol,tier,side,days,win%,avg%,sharpe
360ONE,AVOID,SHORT,4.0,0.0,-1.82,-31.861
360ONE,ENTERPRISE-Dryup,SHORT,244.0,47.541,-0.051,-0.374
360ONE,GOLD,SHORT,95.0,40.0,-0.205,-1.693
360ONE,GOLD-baseline,SHORT,91.0,53.846,0.184,1.299
360ONE,PREMIUM-Pullback,LONG,2.0,50.0,1.577,4.203
360ONE,STANDARD,SHORT,86.0,54.651,0.246,1.932
360ONE,STANDARD-weak,SHORT,12.0,33.333,-0.712,-4.94
ABB,AVOID,SHORT,4.0,0.0,-2.863,-12.344
ABB,ENTERPRISE-Dryup,SHORT,266.0,53.759,0.155,1.424
ABB,GOLD,SHORT,123.0,60.163,0.312,2.86
ABB,GOLD-baseline,SHORT,75.0,41.333,-0.224,-1.838
ABB,PREMIUM-Compression,LONG,1.0,100.0,2.241,
ABB,PREMIUM-Pullback,LONG,1.0,100.0,6.288,
ABB,STANDARD,SHORT,54.0,37.037,-0.135,-0.835
ABB,STANDARD-weak,SHORT,5.0,20.0,-0.785,-5.214
ABCAPITAL,AVOID,SHORT,2.0,50.0,-0.021,-0.318
ABCAPITAL,ENTERPRISE-Dryup,SHORT,241.0,51.867,0.054,0.519
ABCAPITAL,GOLD,SHORT,110.0,50.0,-0.196,-1.47
ABCAPITAL,GOLD-baseline,SHORT,86.0,44.186,-0.145,-1.234
ABCAPITAL,PREMIUM-Compression,LONG,3.0,100.0,2.957,46.01
ABCAPITAL,STANDARD,SHORT,76.0,51.316,0.028,0.218
ABCAPITAL,STANDARD-weak,SHORT,9.0,66.667,1.242,9.019
ADANIENSOL,AVOID,SHORT,14.0,35.714,0.079,0.215
ADANIENSOL,ENTERPRISE-Dryup,SHORT,253.0,56.522,0.031,0.258
ADANIENSOL,GOLD,SHORT,114.0,58.772,0.328,2.454
ADANIENSOL,GOLD-baseline,SHORT,72.0,47.222,-0.24,-1.179
ADANIENSOL,PREMIUM-Pullback,LONG,3.0,66.667,5.287,9.824
ADANIENSOL,STANDARD,SHORT,68.0,47.059,-0.015,-0.102
ADANIENSOL,STANDARD-weak,SHORT,10.0,60.0,-0.117,-0.66
ADANIENT,AVOID,SHORT,8.0,62.5,0.453,8.633
ADANIENT,ENTERPRISE-Dryup,SHORT,262.0,60.687,0.285,2.523
ADANIENT,GOLD,SHORT,124.0,51.613,-0.054,-0.414
ADANIENT,GOLD-baseline,SHORT,72.0,51.389,-0.292,-1.861
ADANIENT,PREMIUM-Compression,LONG,2.0,0.0,-0.863,-20.969
ADANIENT,STANDARD,SHORT,51.0,58.824,-0.054,-0.353
ADANIENT,STANDARD-weak,SHORT,9.0,44.444,1.661,4.993
ADANIGREEN,AVOID,SHORT,13.0,46.154,-1.025,-3.723
ADANIGREEN,ENTERPRISE-Dryup,SHORT,277.0,63.538,0.315,2.499
ADANIGREEN,GOLD,SHORT,93.0,55.914,0.224,1.618
ADANIGREEN,GOLD-baseline,SHORT,65.0,52.308,-0.101,-0.494
ADANIGREEN,PREMIUM-Compression,LONG,6.0,66.667,0.538,5.914
ADANIGREEN,PREMIUM-Pullback,LONG,3.0,66.667,5.619,8.426
ADANIGREEN,STANDARD,SHORT,66.0,46.97,0.226,1.337
ADANIGREEN,STANDARD-weak,SHORT,11.0,63.636,1.45,3.408
ADANIPORTS,AVOID,SHORT,4.0,75.0,4.315,7.968
ADANIPORTS,ENTERPRISE-Dryup,SHORT,251.0,54.98,-0.014,-0.16
ADANIPORTS,GOLD,SHORT,145.0,53.793,0.172,1.786
ADANIPORTS,GOLD-baseline,SHORT,63.0,49.206,-0.369,-2.949
ADANIPORTS,PREMIUM-Compression,LONG,1.0,0.0,-1.164,
ADANIPORTS,PREMIUM-Pullback,LONG,1.0,0.0,-0.764,
ADANIPORTS,STANDARD,SHORT,56.0,46.429,-0.096,-0.84
ADANIPORTS,STANDARD-weak,SHORT,7.0,57.143,0.473,3.639
ADANIPOWER,AVOID,SHORT,10.0,50.0,1.161,2.803
ADANIPOWER,ENTERPRISE-Dryup,SHORT,272.0,64.338,0.17,1.368
ADANIPOWER,GOLD,SHORT,104.0,60.577,0.091,0.7
ADANIPOWER,GOLD-baseline,SHORT,66.0,63.636,0.066,0.293
ADANIPOWER,PREMIUM-Compression,LONG,7.0,71.429,2.545,12.588
ADANIPOWER,PREMIUM-Pullback,LONG,2.0,50.0,6.712,8.212
ADANIPOWER,STANDARD,SHORT,56.0,62.5,0.309,2.286
ADANIPOWER,STANDARD-weak,SHORT,17.0,58.824,-0.018,-0.114
ALKEM,ENTERPRISE-Dryup,SHORT,255.0,50.588,0.054,0.621
ALKEM,GOLD,SHORT,147.0,48.299,-0.056,-0.594
ALKEM,GOLD-baseline,SHORT,83.0,59.036,0.163,2.058
ALKEM,PREMIUM-Compression,LONG,1.0,0.0,-2.083,
ALKEM,STANDARD,SHORT,40.0,75.0,0.49,5.33
ALKEM,STANDARD-weak,SHORT,1.0,0.0,-1.968,
AMBER,AVOID,SHORT,8.0,75.0,2.151,6.895
AMBER,ENTERPRISE-Dryup,SHORT,245.0,49.388,-0.033,-0.211
AMBER,GOLD,SHORT,106.0,53.774,0.27,2.505
AMBER,GOLD-baseline,SHORT,72.0,55.556,-0.305,-1.4
AMBER,PREMIUM-Compression,LONG,1.0,100.0,2.372,
AMBER,PREMIUM-Pullback,LONG,4.0,75.0,0.726,2.562
AMBER,STANDARD,SHORT,78.0,42.308,0.069,0.389
AMBER,STANDARD-weak,SHORT,20.0,65.0,0.476,3.352
AMBUJACEM,AVOID,SHORT,1.0,0.0,-0.539,
AMBUJACEM,ENTERPRISE-Dryup,SHORT,256.0,52.734,0.062,0.759
AMBUJACEM,GOLD,SHORT,152.0,51.974,0.155,1.442
AMBUJACEM,GOLD-baseline,SHORT,60.0,60.0,0.29,2.42
AMBUJACEM,STANDARD,SHORT,55.0,56.364,0.127,1.626
AMBUJACEM,STANDARD-weak,SHORT,3.0,100.0,5.736,12.014
ANGELONE,AVOID,SHORT,10.0,40.0,-1.836,-7.111
ANGELONE,ENTERPRISE-Dryup,SHORT,249.0,54.618,0.118,0.788
ANGELONE,GOLD,SHORT,102.0,53.922,0.304,1.901
ANGELONE,GOLD-baseline,SHORT,69.0,53.623,-0.409,-2.205
ANGELONE,PREMIUM-Compression,LONG,3.0,33.333,-0.98,-7.284
ANGELONE,PREMIUM-Pullback,LONG,4.0,75.0,1.062,6.033
ANGELONE,STANDARD,SHORT,79.0,49.367,-0.056,-0.353
ANGELONE,STANDARD-weak,SHORT,18.0,61.111,0.002,0.011
APLAPOLLO,AVOID,SHORT,1.0,100.0,0.439,
APLAPOLLO,ENTERPRISE-Dryup,SHORT,239.0,57.322,0.17,1.714
APLAPOLLO,GOLD,SHORT,127.0,49.606,-0.022,-0.202
APLAPOLLO,GOLD-baseline,SHORT,101.0,50.495,-0.005,-0.057
APLAPOLLO,PREMIUM-Compression,LONG,1.0,0.0,-0.303,
APLAPOLLO,PREMIUM-Pullback,LONG,1.0,100.0,1.721,
APLAPOLLO,STANDARD,SHORT,61.0,42.623,-0.1,-0.785
APLAPOLLO,STANDARD-weak,SHORT,3.0,66.667,0.146,1.109
APOLLOHOSP,AVOID,SHORT,1.0,100.0,0.379,
APOLLOHOSP,ENTERPRISE-Dryup,SHORT,256.0,45.703,-0.109,-1.662
APOLLOHOSP,GOLD,SHORT,147.0,43.537,-0.068,-0.874
APOLLOHOSP,GOLD-baseline,SHORT,94.0,53.191,0.044,0.609
APOLLOHOSP,PREMIUM-Compression,LONG,1.0,100.0,4.761,
APOLLOHOSP,STANDARD,SHORT,28.0,50.0,-0.079,-1.427
APOLLOHOSP,STANDARD-weak,SHORT,1.0,0.0,-0.126,
ASHOKLEY,AVOID,SHORT,7.0,42.857,0.222,2.854
ASHOKLEY,ENTERPRISE-Dryup,SHORT,246.0,52.033,-0.07,-0.685
ASHOKLEY,GOLD,SHORT,111.0,45.045,-0.15,-1.581
ASHOKLEY,GOLD-baseline,SHORT,97.0,47.423,-0.27,-2.224
ASHOKLEY,PREMIUM-Compression,LONG,2.0,50.0,-0.807,-7.675
ASHOKLEY,STANDARD,SHORT,61.0,54.098,0.257,2.019
ASHOKLEY,STANDARD-weak,SHORT,4.0,75.0,2.367,7.594
ASIANPAINT,ENTERPRISE-Dryup,SHORT,255.0,49.02,-0.03,-0.438
ASIANPAINT,GOLD,SHORT,141.0,53.191,-0.035,-0.434
ASIANPAINT,GOLD-baseline,SHORT,90.0,42.222,-0.141,-1.781
ASIANPAINT,PREMIUM-Compression,LONG,1.0,0.0,-1.387,
ASIANPAINT,STANDARD,SHORT,40.0,40.0,-0.234,-3.008
ASTRAL,ENTERPRISE-Dryup,SHORT,233.0,54.506,0.159,1.722
ASTRAL,GOLD,SHORT,162.0,48.765,0.006,0.062
ASTRAL,GOLD-baseline,SHORT,73.0,52.055,0.128,1.07
ASTRAL,PREMIUM-Compression,LONG,1.0,0.0,-1.301,
ASTRAL,STANDARD,SHORT,55.0,43.636,-0.399,-3.168
ASTRAL,STANDARD-weak,SHORT,3.0,66.667,-0.046,-0.972
AUBANK,AVOID,SHORT,3.0,66.667,-0.141,-1.291
AUBANK,ENTERPRISE-Dryup,SHORT,261.0,54.406,0.017,0.165
AUBANK,GOLD,SHORT,119.0,44.538,-0.311,-2.965
AUBANK,GOLD-baseline,SHORT,81.0,51.852,-0.344,-2.542
AUBANK,PREMIUM-Compression,LONG,1.0,100.0,1.363,
AUBANK,STANDARD,SHORT,57.0,50.877,0.075,0.799
AUBANK,STANDARD-weak,SHORT,6.0,66.667,0.109,1.16
AUROPHARMA,ENTERPRISE-Dryup,SHORT,244.0,46.721,-0.195,-1.85
AUROPHARMA,GOLD,SHORT,132.0,57.576,0.073,0.803
AUROPHARMA,GOLD-baseline,SHORT,86.0,60.465,0.314,3.003
AUROPHARMA,STANDARD,SHORT,63.0,53.968,0.103,1.018
AUROPHARMA,STANDARD-weak,SHORT,2.0,100.0,1.117,35.691
AXISBANK,ENTERPRISE-Dryup,SHORT,232.0,48.276,-0.076,-1.154
AXISBANK,GOLD,SHORT,172.0,51.163,-0.061,-0.919
AXISBANK,GOLD-baseline,SHORT,82.0,45.122,-0.195,-2.152
AXISBANK,STANDARD,SHORT,38.0,50.0,-0.072,-0.743
AXISBANK,STANDARD-weak,SHORT,3.0,66.667,2.486,11.088
BAJAJ-AUTO,ENTERPRISE-Dryup,SHORT,235.0,49.362,0.021,0.249
BAJAJ-AUTO,GOLD,SHORT,168.0,52.381,0.037,0.433
BAJAJ-AUTO,GOLD-baseline,SHORT,74.0,45.946,-0.23,-2.681
BAJAJ-AUTO,STANDARD,SHORT,50.0,46.0,-0.193,-2.64
BAJAJFINSV,AVOID,SHORT,1.0,0.0,-0.092,
BAJAJFINSV,ENTERPRISE-Dryup,SHORT,249.0,53.012,-0.036,-0.458
BAJAJFINSV,GOLD,SHORT,135.0,50.37,0.091,1.177
BAJAJFINSV,GOLD-baseline,SHORT,89.0,41.573,-0.192,-2.237
BAJAJFINSV,STANDARD,SHORT,52.0,50.0,0.129,1.414
BAJAJFINSV,STANDARD-weak,SHORT,1.0,100.0,1.039,
BAJAJHLDNG,AVOID,SHORT,3.0,100.0,2.049,17.744
BAJAJHLDNG,ENTERPRISE-Dryup,SHORT,246.0,50.0,-0.161,-1.262
BAJAJHLDNG,GOLD,SHORT,118.0,52.542,0.192,1.77
BAJAJHLDNG,GOLD-baseline,SHORT,93.0,62.366,0.24,2.159
BAJAJHLDNG,PREMIUM-Compression,LONG,1.0,100.0,1.079,
BAJAJHLDNG,STANDARD,SHORT,65.0,58.462,0.307,2.52
BAJAJHLDNG,STANDARD-weak,SHORT,8.0,62.5,0.805,4.316
BAJFINANCE,AVOID,SHORT,1.0,0.0,-0.371,
BAJFINANCE,ENTERPRISE-Dryup,SHORT,230.0,52.174,-0.048,-0.58
BAJFINANCE,GOLD,SHORT,161.0,47.205,-0.151,-1.794
BAJFINANCE,GOLD-baseline,SHORT,79.0,43.038,-0.41,-3.88
BAJFINANCE,STANDARD,SHORT,51.0,52.941,0.373,3.695
BAJFINANCE,STANDARD-weak,SHORT,6.0,50.0,-0.258,-5.814
