date,month,n_stocks,portfolio_ret_pct_cash,portfolio_pnl_rs,basket_MFE_pct,basket_MAE_pct,basket_EOD_pct,armed,capture_pct,hit_+1pct,basket_exit_reason
2024-05-13,2024-05,5,-1.39,-1363.0,0.512,-2.968,-1.929,no,0.0,no,mixed/stops
2024-05-14,2024-05,5,3.868,3818.0,5.091,0.383,4.695,YES,76.0,YES,mixed/stops
2024-05-15,2024-05,5,-0.166,-161.0,1.303,-0.01,0.667,no,0.0,no,mixed/stops
2024-05-16,2024-05,5,0.985,971.0,1.962,-0.176,1.094,no,50.0,no,mixed/stops
2024-05-17,2024-05,5,2.063,2036.0,3.719,0.038,2.956,YES,55.0,YES,TRAIL
2024-05-18,2024-05,5,-0.11,-108.0,0.333,-0.32,-0.237,no,0.0,no,mixed/stops
2024-05-21,2024-05,5,-0.688,-671.0,0.355,-1.41,-1.166,no,0.0,no,mixed/stops
2024-05-22,2024-05,5,-0.524,-512.0,1.313,-0.761,0.707,no,0.0,no,mixed/stops
2024-05-23,2024-05,5,1.578,1542.0,7.188,-0.213,7.031,YES,22.0,YES,TRAIL
2024-05-24,2024-05,5,4.423,4355.0,6.653,-0.235,3.823,YES,66.0,YES,TRAIL
2024-05-27,2024-05,5,-1.5,-1455.0,1.096,-2.797,-2.401,no,0.0,no,BASKET_STOP
2024-05-28,2024-05,5,-1.5,-1483.0,0.837,-2.479,-1.28,no,0.0,no,BASKET_STOP
2024-05-29,2024-05,5,2.335,2278.0,3.893,-0.274,3.38,YES,60.0,YES,mixed/stops
2024-05-30,2024-05,5,-0.878,-869.0,0.16,-1.096,-0.653,no,0.0,no,mixed/stops
2024-05-31,2024-05,5,1.626,1590.0,6.821,-0.12,5.867,YES,24.0,YES,TRAIL
2024-06-03,2024-06,5,-1.121,-1102.0,0.334,-2.406,-2.039,no,0.0,no,mixed/stops
2024-06-04,2024-06,4,-1.5,-1178.0,0.097,-11.034,-6.224,no,0.0,no,mixed/stops
2024-06-05,2024-06,5,-0.469,-459.0,3.043,-2.446,2.594,YES,0.0,no,mixed/stops
2024-06-06,2024-06,5,3.364,3305.0,4.46,0.793,4.229,YES,75.0,YES,TRAIL
