month,n_days,mean_ret_pct,median_ret_pct,pct_days_>=+1%,pct_positive_days,worst_day_pct,passes_90%_target
2024-05,15,0.675,-0.11,40.0,46.7,-1.5,FAIL
2024-06,19,1.042,0.873,47.4,68.4,-1.5,FAIL
2024-07,22,1.3,1.524,63.6,86.4,-1.5,FAIL
2024-08,21,0.675,0.901,47.6,66.7,-1.5,FAIL
2024-09,21,0.981,1.457,52.4,61.9,-1.5,FAIL
2024-10,22,0.161,-0.199,22.7,45.5,-1.5,FAIL
2024-11,18,0.815,1.303,55.6,72.2,-1.5,FAIL
2024-12,21,0.986,1.214,57.1,71.4,-1.5,FAIL
2025-01,23,0.996,1.481,52.2,65.2,-1.5,FAIL
2025-02,20,0.742,1.245,55.0,60.0,-1.5,FAIL
2025-03,19,1.595,1.525,57.9,73.7,-1.5,FAIL
2025-04,19,0.823,1.48,52.6,57.9,-1.5,FAIL
2025-05,21,1.335,1.526,66.7,81.0,-1.26,FAIL
2025-06,21,2.11,1.039,52.4,81.0,-0.51,FAIL
2025-07,23,1.723,1.403,73.9,82.6,-1.28,FAIL
2025-08,19,1.432,1.004,52.6,84.2,-0.58,FAIL
2025-09,22,1.129,1.417,54.5,68.2,-1.13,FAIL
2025-10,20,2.057,2.128,65.0,75.0,-1.28,FAIL
2025-11,19,1.364,1.706,52.6,84.2,-1.19,FAIL
2025-12,22,1.454,1.375,54.5,77.3,-0.82,FAIL
2026-01,20,1.35,0.358,40.0,65.0,-1.21,FAIL
2026-02,21,1.516,1.699,57.1,71.4,-1.5,FAIL
2026-03,19,1.36,1.226,52.6,78.9,-1.5,FAIL
2026-04,20,1.679,1.659,55.0,75.0,-1.17,FAIL
2026-05,19,0.568,0.233,42.1,52.6,-1.5,FAIL
2026-06,11,0.067,-0.064,18.2,36.4,-1.5,FAIL
