stock,signal_date,entry_date,entry,exit_date,gross,net,reason,hold,year
ADANIENSOL,2026-05-27,2026-05-29,1557.1,2026-05-29,-2.7037441397469597,-2.85374413974696,stop,1,2026
ADANIGREEN,2026-04-10,2026-04-13,1051.0,2026-04-13,4.0,3.85,target,1,2026
APLAPOLLO,2024-05-21,2024-05-22,1720.6,2024-05-22,-0.9589678019295595,-1.1089678019295595,stop,1,2024
ASTRAL,2024-09-24,2024-09-25,2024.7644469415056,2024-09-26,-1.1540293335226752,-1.3040293335226751,stop,2,2024
BAJAJ-AUTO,2025-08-19,2025-08-20,8794.5,2025-08-21,-1.2507817385866167,-1.4007817385866166,stop,2,2025
BEL,2024-05-21,2024-05-22,272.9323378175305,2024-05-23,4.0,3.85,target,2,2024
BHARATFORG,2026-02-05,2026-02-06,1571.4032117864294,2026-02-06,-0.9979628565447269,-1.1479628565447269,stop,1,2026
BHARTIARTL,2024-03-06,2024-03-07,1193.1703693426298,2024-03-13,-3.3971180892076984,-3.5471180892076988,stop,4,2024
BHARTIARTL,2024-03-07,2024-03-11,1169.6490675331627,2024-03-11,0.8937584811077043,0.7437584811077043,stop,1,2024
BLUESTARCO,2025-12-18,2025-12-19,1857.8,2025-12-19,-4.112391000107647,-4.262391000107647,stop,1,2025
BRITANNIA,2025-06-26,2025-06-27,5773.339934083506,2025-06-27,-0.9317832108052639,-1.0817832108052639,stop,1,2025
BSE,2024-02-05,2024-02-06,853.0,2024-02-06,-3.5169988276670576,-3.6669988276670575,stop,1,2024
DIXON,2025-04-22,2025-04-23,16941.46116119144,2025-04-23,-2.017818160363445,-2.1678181603634448,stop,1,2025
DMART,2026-04-06,2026-04-07,4485.7,2026-04-07,-0.4391733731636048,-0.5891733731636049,stop,1,2026
FORTIS,2024-06-14,2024-06-18,502.25,2024-06-18,-1.7421602787456445,-1.8921602787456446,stop,1,2024
GODREJPROP,2024-09-23,2024-09-24,3192.35009765625,2024-09-25,4.0,3.85,target,2,2024
