trade_date,Falcon%,TailShort%,Combo70_30%,Falcon_cum,TailShort_cum,Combo70_30_cum
5/5/2026,4.75,0.58,3.5,4.8,0.6,3.5
5/6/2026,20.75,-2.28,13.84,25.5,-1.7,17.3
5/7/2026,25.49,0.47,17.98,51,-1.2,35.3
5/8/2026,23.43,3.19,17.36,74.4,2,52.7
5/11/2026,2.23,3.87,2.72,76.6,5.8,55.4
5/12/2026,-11.02,10.6,-4.53,65.6,16.4,50.9
5/13/2026,7.19,-3.01,4.13,72.8,13.4,55
5/14/2026,-3.58,-2.05,-3.12,69.2,11.4,51.9
5/15/2026,-7.39,2.8,-4.33,61.8,14.2,47.6
5/18/2026,0.36,1.17,0.61,62.2,15.3,48.2
5/19/2026,-1.23,-3.05,-1.78,61,12.3,46.4
5/20/2026,20.9,-2.37,13.92,81.9,9.9,60.3
5/21/2026,19.55,3.27,14.67,101.4,13.2,75
5/22/2026,12.92,2.76,9.87,114.4,16,84.8
5/25/2026,0.04,-2.24,-0.64,114.4,13.7,84.2
5/26/2026,0.2,-1.18,-0.21,114.6,12.5,84
5/27/2026,12.78,-2.66,8.15,127.4,9.9,92.1
5/29/2026,-8.69,5.18,-4.53,118.7,15,87.6
6/1/2026,-9.81,5.1,-5.34,108.9,20.2,82.3
6/2/2026,-0.18,-5.86,-1.88,108.7,14.3,80.4
6/3/2026,-8.3,0.89,-5.54,100.4,15.2,74.9
6/4/2026,1.82,-4.33,-0.02,102.2,10.8,74.8
6/5/2026,-1.79,1.09,-0.93,100.4,11.9,73.9
6/8/2026,-2.67,2.91,-1,97.7,14.8,72.9
6/9/2026,-1.8,-6.2,-3.12,95.9,8.6,69.8
6/10/2026,-2,4.98,0.09,93.9,13.6,69.9
6/11/2026,-5.61,1.26,-3.55,88.3,14.9,66.3
6/12/2026,-1.07,-6.78,-2.78,87.3,8.1,63.5
6/15/2026,0.9,0.15,0.68,88.2,8.3,64.2
6/16/2026,-5.56,-1.26,-4.27,82.6,7,60
6/17/2026,-3.45,-2.52,-3.17,79.2,4.5,56.8
6/18/2026,4.65,-2.28,2.57,83.8,2.2,59.4
6/19/2026,6.18,-3.41,3.3,90,-1.2,62.7
6/22/2026,-4.3,-2.16,-3.66,85.7,-3.4,59
6/23/2026,-5.17,4.38,-2.3,80.5,1,56.7
6/24/2026,-1.45,-2.31,-1.71,79.1,-1.3,55
6/25/2026,-5.27,2.88,-2.82,73.8,1.6,52.2
6/29/2026,-6.09,2.44,-3.53,67.7,4,48.6
6/30/2026,-0.76,-1.82,-1.08,67,2.2,47.6
7/1/2026,2.32,-1.87,1.07,69.3,0.3,48.6
7/2/2026,3.28,-3.55,1.23,72.6,-3.2,49.9
7/3/2026,-0.51,1.84,0.2,72,-1.4,50.1
7/6/2026,-4.02,-1.04,-3.13,68,-2.4,46.9
7/7/2026,-3.59,3.08,-1.59,64.4,0.7,45.3
7/8/2026,-9.27,5.47,-4.85,55.2,6.1,40.5
7/9/2026,21.37,-5.3,13.37,76.5,0.8,53.8
7/10/2026,1.25,-4.77,-0.55,77.8,-3.9,53.3
