trade_date,Falcon,TailShort,Combo70_30,Combo80_20,Falcon_cum,TailShort_cum,Combo70_30_cum,Combo80_20_cum
5/5/2026,4.76,1.15,3.67,4.03,4.8,1.2,3.7,4
5/6/2026,20.03,-1.58,13.54,15.7,24.8,-0.4,17.2,19.7
5/7/2026,24.23,1.26,17.34,19.64,49,0.8,34.6,39.4
5/8/2026,25.33,3.62,18.82,20.99,74.4,4.4,53.4,60.4
5/11/2026,2.69,4.5,3.23,3.05,77,9,56.6,63.4
5/12/2026,-10.45,11.05,-4,-6.15,66.6,20,52.6,57.3
5/13/2026,7.92,-2.07,4.92,5.92,74.5,17.9,57.5,63.2
5/14/2026,-3.81,-1.08,-2.99,-3.26,70.7,16.8,54.5,59.9
5/15/2026,-5.01,3.11,-2.57,-3.39,65.7,20,52,56.5
5/18/2026,0.93,1.62,1.14,1.07,66.6,21.6,53.1,57.6
5/19/2026,-0.12,-2.94,-0.96,-0.68,66.5,18.6,52.1,56.9
5/20/2026,19.98,-1.68,13.48,15.65,86.5,17,65.6,72.6
5/21/2026,21.18,3.48,15.87,17.64,107.7,20.4,81.5,90.2
5/22/2026,13.14,3.11,10.13,11.13,120.8,23.6,91.6,101.3
5/25/2026,0.61,-1.63,-0.06,0.16,121.4,21.9,91.6,101.5
5/26/2026,0.98,-0.48,0.54,0.69,122.4,21.4,92.1,102.2
5/27/2026,13.35,-2.22,8.68,10.23,135.7,19.2,100.8,112.4
5/29/2026,-8.86,5.89,-4.43,-5.91,126.9,25.1,96.4,106.5
6/1/2026,-9.24,5.58,-4.79,-6.27,117.6,30.7,91.6,100.2
6/2/2026,0.39,-5.42,-1.35,-0.77,118,25.3,90.2,99.5
6/3/2026,-7.73,1.33,-5.01,-5.92,110.3,26.6,85.2,93.6
6/4/2026,2.39,-3.88,0.51,1.13,112.7,22.7,85.7,94.7
6/5/2026,-1.22,1.53,-0.39,-0.67,111.5,24.3,85.3,94
6/8/2026,-2.1,3.35,-0.47,-1.01,109.4,27.6,84.8,93
6/9/2026,-1.24,-5.76,-2.59,-2.14,108.1,21.8,82.3,90.9
6/10/2026,-1.43,5.42,0.62,-0.06,106.7,27.3,82.9,90.8
6/11/2026,-5.04,1.71,-3.02,-3.69,101.7,29,79.9,87.1
6/12/2026,-0.5,-6.34,-2.25,-1.67,101.2,22.6,77.6,85.4
6/15/2026,1.47,0.59,1.21,1.29,102.6,23.2,78.8,86.7
6/16/2026,-4.99,-0.82,-3.74,-4.15,97.6,22.4,75.1,82.6
6/17/2026,-1.28,-1.9,-1.47,-1.41,96.4,20.5,73.6,81.2
6/18/2026,5.22,-1.84,3.1,3.81,101.6,18.7,76.7,85
6/19/2026,6.74,-2.97,3.83,4.8,108.3,15.7,80.5,89.8
6/22/2026,-3.73,-1.72,-3.13,-3.33,104.6,14,77.4,86.4
6/23/2026,-4.6,4.83,-1.77,-2.71,100,18.8,75.6,83.7
6/24/2026,-0.88,-1.87,-1.17,-1.08,99.1,16.9,74.5,82.7
6/25/2026,-4.7,3.33,-2.29,-3.09,94.4,20.3,72.2,79.6
6/29/2026,-5.52,2.92,-2.99,-3.84,88.9,23.2,69.2,75.7
6/30/2026,-0.19,-1.35,-0.54,-0.42,88.7,21.8,68.6,75.3
7/1/2026,2.89,-1.43,1.6,2.03,91.6,20.4,70.2,77.3
7/2/2026,3.85,-3.11,1.76,2.46,95.4,17.3,72,79.8
7/3/2026,0.06,2.28,0.73,0.51,95.5,19.6,72.7,80.3
7/6/2026,-3.45,-0.6,-2.6,-2.88,92.1,19,70.1,77.4
7/7/2026,-3.02,3.53,-1.06,-1.71,89,22.5,69.1,75.7
7/8/2026,-8.7,5.92,-4.31,-5.77,80.3,28.4,64.8,70
7/9/2026,21.93,-4.86,13.89,16.57,102.3,23.6,78.7,86.5
7/10/2026,1.82,-4.33,-0.02,0.59,104.1,19.2,78.6,87.1
7/13/2026,18.84,-3.88,12.02,14.3,122.9,15.4,90.7,101.4
7/14/2026,-14.81,2.06,-9.75,-11.44,108.1,17.4,80.9,90
7/15/2026,1.35,-1.14,0.6,0.85,109.5,16.3,81.5,90.8
7/16/2026,-6.26,1.38,-3.97,-4.73,103.2,17.7,77.5,86.1
7/17/2026,-5.94,0.69,-3.95,-4.62,97.3,18.3,73.6,81.5
