signal_date,trade_date,Falcon%,TailShort%,Combo70_30%,Falcon_cum,TailShort_cum,Combo70_30_cum
2026-05-04,2026-05-05,4.19,0.7,3.14,4.2,0.7,3.1
2026-05-05,2026-05-06,19.46,-2.02,13.02,23.7,-1.3,16.2
2026-05-06,2026-05-07,23.67,0.82,16.82,47.3,-0.5,33.0
2026-05-07,2026-05-08,35.08,1.83,25.1,82.4,1.3,58.1
2026-05-08,2026-05-11,-0.01,3.03,0.9,82.4,4.4,59.0
2026-05-11,2026-05-12,-13.46,10.04,-6.41,68.9,14.4,52.6
2026-05-12,2026-05-13,18.46,-3.64,11.83,87.4,10.8,64.4
2026-05-13,2026-05-14,1.1,-2.7,-0.04,88.5,8.1,64.4
2026-05-14,2026-05-15,-5.67,2.34,-3.27,82.8,10.4,61.1
2026-05-15,2026-05-18,-2.39,-0.58,-1.84,80.4,9.8,59.2
2026-05-18,2026-05-19,1.14,-1.32,0.4,81.6,8.5,59.6
2026-05-19,2026-05-20,26.1,-3.86,17.12,107.7,4.6,76.8
2026-05-20,2026-05-21,19.73,3.5,14.86,127.4,8.1,91.6
2026-05-21,2026-05-22,0.88,0.9,0.89,128.3,9.0,92.5
2026-05-22,2026-05-25,4.29,-2.07,2.39,132.6,7.0,94.9
2026-05-25,2026-05-26,3.96,-1.25,2.39,136.5,5.7,97.3
2026-05-26,2026-05-27,8.09,-3.9,4.49,144.6,1.8,101.8
2026-05-27,2026-05-29,-11.29,6.34,-6.0,133.3,8.2,95.8
2026-05-29,2026-06-01,-19.9,7.98,-11.53,113.4,16.1,84.3
2026-06-01,2026-06-02,-2.82,-5.87,-3.73,110.6,10.3,80.5
2026-06-02,2026-06-03,-1.06,1.07,-0.42,109.6,11.3,80.1
2026-06-03,2026-06-04,5.92,-4.84,2.69,115.5,6.5,82.8
2026-06-08,2026-06-09,-8.51,-5.57,-7.63,107.0,0.9,75.2
2026-06-15,2026-06-16,-7.81,-0.87,-5.73,99.2,0.1,69.4
2026-06-16,2026-06-17,6.17,-1.89,3.75,105.3,-1.8,73.2
2026-06-17,2026-06-18,8.25,-2.17,5.12,113.6,-4.0,78.3
2026-06-18,2026-06-19,-0.91,-1.84,-1.19,112.7,-5.8,77.1
2026-06-19,2026-06-22,-0.01,-1.76,-0.53,112.7,-7.6,76.6
2026-06-22,2026-06-23,-16.02,5.13,-9.68,96.6,-2.5,66.9
