trade_date,Year,symbol,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,Postive 
2024-05-14,2024,ECLERX,09:15,1091,15:29,1120,2.66,EOD,Yes
2024-05-14,2024,ANGELONE,09:15,249.2,15:29,262,5.14,EOD,Yes
2024-05-14,2024,MMTC,09:15,69.5,15:29,71.6,3.02,EOD,Yes
2024-05-14,2024,RAILTEL,09:15,358.15,15:29,390,8.89,EOD,Yes
2024-05-14,2024,SCI,09:15,197.94,15:29,203.28,2.7,EOD,Yes
2024-05-14,2024,JKTYRE,09:15,383.7,15:29,386,0.6,EOD,Yes
2024-05-14,2024,SHYAMMETL,09:15,585.8,15:29,607.5,3.7,EOD,Yes
2024-05-14,2024,SWANCORP,09:15,541.7,15:29,562.1,3.77,EOD,Yes
2024-05-14,2024,RPOWER,09:15,24.6,15:29,25.6,4.07,EOD,Yes
2024-05-14,2024,FSL,09:15,181.6,15:29,186.8,2.86,EOD,Yes
2024-05-14,2024,HFCL,09:15,93.3,15:29,96.2,3.11,EOD,Yes
2024-05-14,2024,ACE,09:15,1343.55,15:29,1381.05,2.79,EOD,Yes
2024-05-14,2024,GMDCLTD,09:15,392.1,15:29,408.2,4.11,EOD,Yes
2024-05-14,2024,KAYNES,09:15,2494,15:29,2560,2.65,EOD,Yes
2024-05-15,2024,JKTYRE,09:15,387.95,15:29,389.85,0.49,EOD,Yes
2024-05-15,2024,CEATLTD,09:15,2306,15:29,2285,-0.91,EOD,No
2024-05-15,2024,APLAPOLLO,09:15,1581.05,15:29,1585,0.25,EOD,Neutral
2024-05-15,2024,LODHA,09:15,1144,15:29,1185.9,3.66,EOD,Yes
2024-05-16,2024,CEATLTD,09:15,2291.2,15:28,2278,-0.58,TRAIL,No
2024-05-16,2024,SHYAMMETL,09:15,604,15:28,588,-2.65,TRAIL,No
2024-05-16,2024,JKTYRE,09:15,391.5,15:28,397.4,1.51,TRAIL,Yes
2024-05-16,2024,RITES,09:15,334.7,15:28,330.95,-1.12,TRAIL,No
2024-05-16,2024,JSL,09:15,625,15:28,678.7,8.59,TRAIL,Yes
2024-05-16,2024,ACE,09:15,1402.5,15:28,1391.6,-0.78,TRAIL,No
2024-05-16,2024,APLAPOLLO,09:15,1590.45,15:28,1625,2.17,TRAIL,Yes
2024-05-16,2024,GLAXO,09:15,1999,15:28,2015.6,0.83,TRAIL,Yes
2024-05-16,2024,TARIL,09:15,319,15:28,310.9,-2.54,TRAIL,No
2024-05-17,2024,SWANCORP,09:15,584,15:29,596.05,2.06,EOD,Yes
2024-05-17,2024,ANGELONE,09:15,273.5,15:29,274.8,0.48,EOD,Yes
2024-05-17,2024,RITES,09:15,333,15:29,347,4.2,EOD,Yes
2024-05-17,2024,SHYAMMETL,09:15,594.3,15:29,618,3.99,EOD,Yes
