poll_ist,fn,symbol,exchange,periodicity,bars,newest_bar_ist,close,oi,volume,reply_ms,error
2026-09-23 09:10:41,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,56570.0,1928790,21390,1721,
2026-09-23 09:10:42,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,23410.0,17013555,117000,1190,
2026-09-23 09:10:43,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,1247.8,123024500,511000,1171,
2026-09-23 09:10:44,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,52,2026-09-22 15:30:00,550.85,183420,69090,1155,
2026-09-23 09:10:46,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,52,2026-09-22 15:30:00,233.35,209400,56400,1234,
2026-09-23 09:10:47,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,52,2026-09-22 15:30:00,160.05,2322385,1008085,1046,
2026-09-23 09:10:48,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,52,2026-09-22 15:30:00,102.85,1927445,929695,1157,
2026-09-23 09:10:51,GetHistory,HDFCBANK,NSE,15minute,54,2026-09-22 15:45:00,738.6,0,10641,2716,
2026-09-23 09:10:53,GetHistory,RELIANCE,NSE,15minute,54,2026-09-22 15:45:00,1240.4,0,2643,2156,
2026-09-23 09:10:56,GetHistory,NIFTY 50,NSE_IDX,15minute,97,2026-09-22 20:30:00,23329.0,0,0,3525,
2026-09-23 09:11:00,GetHistory,NIFTY BANK,NSE_IDX,15minute,97,2026-09-22 20:30:00,56215.55,0,0,3338,
2026-09-23 09:11:00,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,503,
2026-09-23 09:11:01,GetHistory,RELIANCE,NSE,1minute,0,,,,,1079,
2026-09-23 09:11:02,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,880,
2026-09-23 09:11:03,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,0,,,,,1435,
2026-09-23 09:11:04,GetExchangeSnapshot,NFO,NFO,1minute,2,2026-09-23 05:18:00,0,669,2,653,
2026-09-23 09:11:05,GetExchangeSnapshot,NSE,NSE,1minute,1,2026-09-23 08:50:00,0,434,1,1042,
2026-09-23 09:12:42,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,988,
2026-09-23 09:12:43,GetHistory,RELIANCE,NSE,1minute,0,,,,,1086,
2026-09-23 09:12:44,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,980,
2026-09-23 09:12:45,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,0,,,,,981,
2026-09-23 09:12:46,GetExchangeSnapshot,NFO,NFO,1minute,2,2026-09-23 05:18:00,0,669,2,903,
2026-09-23 09:14:42,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,881,
2026-09-23 09:14:43,GetHistory,RELIANCE,NSE,1minute,0,,,,,978,
2026-09-23 09:14:44,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,978,
2026-09-23 09:14:45,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,0,,,,,980,
2026-09-23 09:14:46,GetExchangeSnapshot,NFO,NFO,1minute,2,2026-09-23 05:18:00,0,669,2,983,
2026-09-23 09:14:47,GetExchangeSnapshot,NSE,NSE,1minute,1,2026-09-23 08:50:00,0,434,1,1201,
2026-09-23 09:15:51,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,56570.0,1928790,21390,1715,
2026-09-23 09:15:53,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,23410.0,17013555,117000,1194,
2026-09-23 09:15:57,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,1247.8,123024500,511000,4053,
2026-09-23 09:15:57,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,52,2026-09-22 15:30:00,550.85,183420,69090,673,
2026-09-23 09:15:59,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,52,2026-09-22 15:30:00,233.35,209400,56400,1234,
2026-09-23 09:15:59,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,52,2026-09-22 15:30:00,160.05,2322385,1008085,718,
2026-09-23 09:16:03,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,52,2026-09-22 15:30:00,102.85,1927445,929695,4233,
2026-09-23 09:16:09,GetHistory,HDFCBANK,NSE,15minute,54,2026-09-22 15:45:00,738.6,0,10641,5767,
2026-09-23 09:16:11,GetHistory,RELIANCE,NSE,15minute,54,2026-09-22 15:45:00,1240.4,0,2643,2033,
2026-09-23 09:16:18,GetHistory,NIFTY 50,NSE_IDX,15minute,98,2026-09-23 09:00:00,23352.15,0,0,6288,
2026-09-23 09:16:21,GetHistory,NIFTY BANK,NSE_IDX,15minute,98,2026-09-23 09:00:00,56209.65,0,0,3182,
2026-09-23 09:17:09,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,751,
2026-09-23 09:17:10,GetHistory,RELIANCE,NSE,1minute,0,,,,,1227,
2026-09-23 09:17:11,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,837,
2026-09-23 09:17:12,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,0,,,,,1197,
2026-09-23 09:17:13,GetExchangeSnapshot,NFO,NFO,1minute,2,2026-09-23 05:18:00,0,669,2,871,
2026-09-23 09:27:46,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,56570.0,1928790,21390,4934,
2026-09-23 09:27:47,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,23410.0,17013555,117000,1101,
2026-09-23 09:27:48,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,52,2026-09-22 15:30:00,1247.8,123024500,511000,1113,
2026-09-23 09:27:49,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,52,2026-09-22 15:30:00,550.85,183420,69090,889,
2026-09-23 09:27:50,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,52,2026-09-22 15:30:00,233.35,209400,56400,1050,
2026-09-23 09:27:51,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,52,2026-09-22 15:30:00,160.05,2322385,1008085,699,
2026-09-23 09:27:52,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,52,2026-09-22 15:30:00,102.85,1927445,929695,1390,
2026-09-23 09:27:59,GetHistory,HDFCBANK,NSE,15minute,54,2026-09-22 15:45:00,738.6,0,10641,6655,
2026-09-23 09:28:01,GetHistory,RELIANCE,NSE,15minute,54,2026-09-22 15:45:00,1240.4,0,2643,2049,
2026-09-23 09:28:04,GetHistory,NIFTY 50,NSE_IDX,15minute,98,2026-09-23 09:00:00,23352.15,0,0,3272,
2026-09-23 09:28:09,GetHistory,NIFTY BANK,NSE_IDX,15minute,98,2026-09-23 09:00:00,56209.65,0,0,5131,
2026-09-23 09:28:10,GetHistory,NIFTY 50,NSE_IDX,1minute,5,2026-09-23 09:13:00,23352.15,0,0,512,
2026-09-23 09:28:11,GetHistory,RELIANCE,NSE,1minute,0,,,,,1026,
2026-09-23 09:28:12,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,931,
2026-09-23 09:28:18,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,0,,,,,6044,
2026-09-23 09:28:18,GetExchangeSnapshot,NFO,NFO,1minute,2,2026-09-23 05:18:00,0,669,2,465,
2026-09-23 09:28:19,GetExchangeSnapshot,NSE,NSE,1minute,0,,0,229,0,983,
2026-09-23 09:29:59,GetHistory,NIFTY 50,NSE_IDX,1minute,6,2026-09-23 09:14:00,23352.15,0,0,978,
2026-09-23 09:29:59,GetHistory,RELIANCE,NSE,1minute,0,,,,,830,
2026-09-23 09:30:01,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,1,2026-09-23 09:15:00,23376.2,16280875,23010,1193,
2026-09-23 09:30:07,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,1,2026-09-23 09:15:00,133.9,2353065,1345435,6084,
2026-09-23 09:30:36,GetExchangeSnapshot,NFO,NFO,1minute,3397,2026-09-23 09:15:00,3003,728304,3397,28823,
2026-09-23 09:32:24,GetHistory,NIFTY 50,NSE_IDX,1minute,9,2026-09-23 09:17:00,23390.65,0,0,965,
2026-09-23 09:32:25,GetHistory,RELIANCE,NSE,1minute,3,2026-09-23 09:17:00,1243.4,0,32788,1089,
2026-09-23 09:32:26,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,3,2026-09-23 09:17:00,23400.9,16280030,17485,980,
