year,month,Days,Win,Loss,Win%,Avg_win,Avg_loss,Sum_month
2024,5,15,9,6,60.0,2.11,-0.85,13.83
2024,6,19,14,5,73.7,1.05,-1.21,8.73
2024,7,22,18,4,81.8,1.01,-1.04,14.04
2024,8,21,15,6,71.4,1.25,-1.0,12.79
2024,9,21,14,7,66.7,1.0,-1.0,7.0
2024,10,22,15,7,68.2,1.18,-1.4,7.97
2024,11,18,13,5,72.2,1.34,-0.69,13.91
2024,12,21,16,5,76.2,1.44,-0.93,18.41
2025,1,23,15,8,65.2,1.54,-1.04,14.82
2025,2,20,11,9,55.0,1.28,-1.38,1.59
2025,3,18,14,4,77.8,1.57,-1.14,17.34
2025,4,19,16,3,84.2,0.96,-1.51,10.83
2025,5,21,17,4,81.0,1.59,-0.95,23.28
2025,6,21,15,6,71.4,1.93,-0.47,26.09
2025,7,23,20,3,87.0,1.2,-0.32,23.05
2025,8,19,14,5,73.7,1.53,-0.94,16.67
2025,9,22,18,4,81.8,2.27,-0.98,36.89
2025,10,20,15,5,75.0,1.71,-0.63,22.5
2025,11,19,13,6,68.4,0.89,-1.05,5.27
2025,12,22,17,5,77.3,1.33,-1.47,15.29
2026,1,20,15,5,75.0,1.18,-0.6,14.78
2026,2,21,15,6,71.4,1.51,-0.97,16.91
2026,3,19,12,7,63.2,2.24,-1.13,19.01
2026,4,20,15,5,75.0,1.38,-0.95,15.94
2026,5,19,12,7,63.2,1.14,-0.98,6.84
2026,6,4,1,3,25.0,0.03,-0.49,-1.43
