year,month,Days,Win,Loss,Win%,Avg_win,Avg_loss,Sum_month
2024,5,15,8,7,53.3,2.19,-1.0,10.5
2024,6,19,15,4,78.9,1.41,-1.32,15.89
2024,7,22,21,1,95.5,1.28,-2.11,24.77
2024,8,21,16,5,76.2,1.61,-1.42,18.72
2024,9,21,14,7,66.7,1.14,-1.06,8.52
2024,10,22,10,12,45.5,1.74,-1.1,4.26
2024,11,18,14,4,77.8,2.0,-1.79,20.88
2024,12,21,16,5,76.2,1.97,-0.78,27.6
2025,1,23,13,10,56.5,1.87,-1.4,10.39
2025,2,20,13,7,65.0,1.87,-1.6,13.15
2025,3,19,16,3,84.2,2.17,-1.3,30.88
2025,4,19,13,6,68.4,2.23,-1.57,19.56
2025,5,21,17,4,81.0,2.26,-1.24,33.42
2025,6,21,17,4,81.0,2.37,-0.8,37.16
2025,7,23,20,3,87.0,1.32,-1.79,21.02
2025,8,19,15,4,78.9,1.09,-0.98,12.37
2025,9,22,20,2,90.9,1.57,-0.85,29.74
2025,10,20,15,5,75.0,2.66,-0.9,35.4
2025,11,19,16,3,84.2,1.58,-0.87,22.64
2025,12,22,18,4,81.8,1.91,-1.14,29.76
2026,1,20,14,6,70.0,1.87,-0.68,22.15
2026,2,21,15,6,71.4,2.52,-1.36,29.72
2026,3,19,15,4,78.9,2.37,-1.39,29.95
2026,4,20,16,4,80.0,2.28,-1.27,31.36
2026,5,19,13,6,68.4,2.03,-0.97,20.58
2026,6,11,4,7,36.4,1.43,-0.78,0.28
