date,config,n_legs,stocks,exit_reason_day,portfolio_return_pct,result
2024-05-13,T_0.75,5,"PAYTM, TATAINVEST, ENDURANCE, MUTHOOTFIN, CGCL",PORT_STOP,-1.539,LOSS
2024-05-14,T_0.75,5,"ECLERX, ANGELONE, MMTC, SWANCORP, RAILTEL",TRAIL,0.921,WIN
2024-05-15,T_0.75,5,"ANGELONE, SWANCORP, APLAPOLLO, ECLERX, AFFLE",MANAGED,-0.201,LOSS
2024-05-16,T_0.75,5,"ANGELONE, APLAPOLLO, RITES, ECLERX, GRAPHITE",TRAIL,0.931,WIN
2024-05-17,T_0.75,5,"APLAPOLLO, AFFLE, ANGELONE, SWANCORP, GRAPHITE",TRAIL,1.801,WIN
2024-05-18,T_0.75,5,"APLAPOLLO, ECLERX, SWANCORP, ANGELONE, PARADEEP",MANAGED,-0.216,LOSS
2024-05-21,T_0.75,5,"AFFLE, ANGELONE, GRAPHITE, APLAPOLLO, SWANCORP",MANAGED,-0.916,LOSS
2024-05-22,T_0.75,5,"SYRMA, ADANIENT, CHENNPETRO, IDEA, UNIONBANK",TRAIL,0.957,WIN
2024-05-23,T_0.75,5,"ADANIENT, SYRMA, IDEA, CHENNPETRO, SAREGAMA",MANAGED,7.053,WIN
2024-05-24,T_0.75,5,"COCHINSHIP, SYRMA, IDEA, HAL, CHENNPETRO",TRAIL,4.166,WIN
2024-05-27,T_0.75,5,"COCHINSHIP, SYRMA, IDEA, ADANIENT, BDL",PORT_STOP,-1.497,LOSS
2024-05-28,T_0.75,5,"NLCINDIA, FIVESTAR, BIKAJI, TARIL, TECHNOE",PORT_STOP,-1.562,LOSS
2024-05-29,T_0.75,5,"TARIL, FIVESTAR, NLCINDIA, ATGL, TECHNOE",TRAIL,0.775,WIN
2024-05-30,T_0.75,5,"TARIL, GVT&D, NLCINDIA, ATGL, FIVESTAR",MANAGED,-1.09,LOSS
2024-05-31,T_0.75,5,"NLCINDIA, FIVESTAR, BIKAJI, TARIL, ATGL",TRAIL,0.919,WIN
2024-06-03,T_0.75,5,"ATGL, TECHNOE, TARIL, GVT&D, POLICYBZR",PORT_STOP,-1.506,LOSS
2024-06-04,T_0.75,5,"POONAWALLA, TTML, BBTC, INDIAMART, BOSCHLTD",PORT_STOP,-1.742,LOSS
2024-06-05,T_0.75,5,"MEDANTA, SHYAMMETL, DLF, BBTC, RKFORGE",PORT_STOP,-1.504,LOSS
2024-06-06,T_0.75,5,"SHYAMMETL, MEDANTA, ACUTAAS, MCX, ITI",TRAIL,0.828,WIN
2024-06-07,T_0.75,5,"DCMSHRIRAM, MEDANTA, PCBL, MCX, MSUMI",TRAIL,0.862,WIN
2024-06-10,T_0.75,5,"INDIAMART, PCBL, MEDANTA, TTML, MSUMI",MANAGED,0.13,WIN
2024-06-11,T_0.75,5,"MEDANTA, BEML, BDL, MSUMI, ELGIEQUIP",MANAGED,0.566,WIN
2024-06-12,T_0.75,5,"BEML, ELGIEQUIP, MEDANTA, BDL, COCHINSHIP",MANAGED,-0.52,LOSS
2024-06-13,T_0.75,5,"ELGIEQUIP, BEML, MEDANTA, BDL, COCHINSHIP",TRAIL,0.957,WIN
2024-06-14,T_0.75,5,"DATAPATTNS, BDL, BEML, BALRAMCHIN, INTELLECT",TRAIL,0.994,WIN
2024-06-18,T_0.75,5,"JWL, TECHNOE, HUDCO, DATAPATTNS, BDL",TRAIL,1.0,WIN
2024-06-19,T_0.75,5,"MAPMYINDIA, KALYANKJIL, SPLPETRO, NEWGEN, TITAGARH",TRAIL,0.919,WIN
2024-06-20,T_0.75,5,"MAPMYINDIA, KALYANKJIL, NEWGEN, RAILTEL, SPLPETRO",TRAIL,0.953,WIN
2024-06-21,T_0.75,5,"CLEAN, RAILTEL, NEWGEN, MAPMYINDIA, TITAGARH",TRAIL,3.347,WIN
2024-06-24,T_0.75,5,"GALLANTT, INDUSTOWER, RAILTEL, ASAHIINDIA, NEWGEN",TRAIL,0.9,WIN
2024-06-25,T_0.75,5,"CEATLTD, JKTYRE, GRSE, AEGISLOG, WELCORP",TRAIL,0.954,WIN
2024-06-26,T_0.75,5,"CEATLTD, GRSE, CDSL, POWERINDIA, AEGISLOG",TRAIL,0.87,WIN
2024-06-27,T_0.75,5,"ARE&M, CEATLTD, CDSL, JKTYRE, AEGISLOG",TRAIL,0.962,WIN
2024-06-28,T_0.75,5,"JKTYRE, CDSL, CEATLTD, ARE&M, APOLLOTYRE",TRAIL,6.915,WIN
