date,stock,entry_time,entry_price,exit_time,exit_price,qty,deployed_rs,pnl_rs,stock_return_pct,leg_reason,was_rotated_in,day_portfolio_return_pct,day_result
2024-05-13,PAYTM,09:15,358.05,09:15,348.05,279,99896.0,-2790.0,-2.79,CUT,False,-1.539,LOSS
2024-05-13,TATAINVEST,09:15,671.0,09:16,655.0,149,99979.0,-2384.0,-2.38,CUT,False,-1.539,LOSS
2024-05-13,ENDURANCE,09:15,2124.85,09:17,2072.7,47,99868.0,-2451.0,-2.45,CUT,False,-1.539,LOSS
2024-05-13,MUTHOOTFIN,09:15,1665.95,09:23,1657.65,60,99957.0,-498.0,-0.5,STOP,False,-1.539,LOSS
2024-05-13,CGCL,09:15,230.7,09:23,231.7,433,99893.0,433.0,0.43,STOP,False,-1.539,LOSS
2024-05-14,ECLERX,09:15,1091.0,09:20,1069.8,91,99281.0,-1929.0,-1.94,CUT,False,0.921,WIN
2024-05-14,ANGELONE,09:15,249.2,09:23,256.5,401,99929.0,2927.0,2.93,TRAIL,False,0.921,WIN
2024-05-14,MMTC,09:15,69.5,09:23,70.8,1438,99941.0,1869.0,1.87,TRAIL,False,0.921,WIN
2024-05-14,SWANCORP,09:15,541.7,09:23,540.05,184,99673.0,-304.0,-0.3,TRAIL,False,0.921,WIN
2024-05-14,RAILTEL,09:15,358.15,09:23,365.5,279,99924.0,2051.0,2.05,TRAIL,False,0.921,WIN
2024-05-15,ANGELONE,09:15,264.0,09:17,258.5,378,99792.0,-2079.0,-2.08,CUT,False,-0.201,LOSS
2024-05-15,SWANCORP,09:15,576.9,15:29,578.0,173,99804.0,190.0,0.19,CLOSE,False,-0.201,LOSS
2024-05-15,APLAPOLLO,09:15,1581.05,15:29,1585.0,63,99606.0,249.0,0.25,CLOSE,False,-0.201,LOSS
2024-05-15,ECLERX,09:15,1132.0,15:29,1152.5,88,99616.0,1804.0,1.81,CLOSE,False,-0.201,LOSS
2024-05-15,AFFLE,09:15,1102.95,15:29,1090.0,90,99266.0,-1166.0,-1.17,CLOSE,False,-0.201,LOSS
2024-05-16,ANGELONE,09:15,270.2,09:57,271.0,370,99974.0,296.0,0.3,TRAIL,False,0.931,WIN
2024-05-16,APLAPOLLO,09:15,1590.45,09:57,1605.0,62,98608.0,902.0,0.91,TRAIL,False,0.931,WIN
2024-05-16,RITES,09:15,334.7,09:57,334.8,298,99741.0,30.0,0.03,TRAIL,False,0.931,WIN
2024-05-16,ECLERX,09:15,1172.5,09:57,1189.5,85,99662.0,1445.0,1.45,TRAIL,False,0.931,WIN
2024-05-16,GRAPHITE,09:15,585.0,09:57,596.5,170,99450.0,1955.0,1.97,TRAIL,False,0.931,WIN
2024-05-17,APLAPOLLO,09:15,1631.0,11:05,1669.0,61,99491.0,2318.0,2.33,TRAIL,False,1.801,WIN
2024-05-17,AFFLE,09:15,1099.0,11:05,1137.0,90,98910.0,3420.0,3.46,TRAIL,False,1.801,WIN
2024-05-17,ANGELONE,09:15,273.5,11:05,273.1,365,99828.0,-146.0,-0.15,TRAIL,False,1.801,WIN
2024-05-17,SWANCORP,09:15,584.0,11:05,594.55,171,99864.0,1804.0,1.81,TRAIL,False,1.801,WIN
2024-05-17,GRAPHITE,09:15,591.0,11:05,600.2,169,99879.0,1555.0,1.56,TRAIL,False,1.801,WIN
2024-05-18,APLAPOLLO,09:15,1709.0,09:41,1675.25,58,99122.0,-1958.0,-1.97,CUT,False,-0.216,LOSS
2024-05-18,ECLERX,09:15,1159.0,12:29,1180.0,86,99674.0,1806.0,1.81,CLOSE,False,-0.216,LOSS
2024-05-18,SWANCORP,09:15,604.0,12:29,600.0,165,99660.0,-660.0,-0.66,CLOSE,False,-0.216,LOSS
2024-05-18,ANGELONE,09:15,277.0,12:29,275.5,361,99997.0,-542.0,-0.54,CLOSE,False,-0.216,LOSS
2024-05-18,PARADEEP,09:15,69.9,12:29,70.1,1430,99957.0,286.0,0.29,CLOSE,False,-0.216,LOSS
2024-05-21,AFFLE,09:15,1233.5,09:16,1204.9,81,99914.0,-2317.0,-2.32,CUT,False,-0.916,LOSS
2024-05-21,ANGELONE,09:15,275.6,09:55,270.0,362,99767.0,-2027.0,-2.03,CUT,False,-0.916,LOSS
2024-05-21,GRAPHITE,09:15,616.0,15:11,603.85,162,99792.0,-1968.0,-1.97,CUT,False,-0.916,LOSS
2024-05-21,APLAPOLLO,09:15,1670.3,15:29,1717.35,59,98548.0,2776.0,2.82,CLOSE,False,-0.916,LOSS
2024-05-21,SWANCORP,09:15,605.0,15:29,598.5,165,99825.0,-1072.0,-1.07,CLOSE,False,-0.916,LOSS
2024-05-22,SYRMA,09:15,421.25,14:00,430.5,237,99836.0,2192.0,2.2,TRAIL,False,0.957,WIN
2024-05-22,ADANIENT,09:15,3034.4,14:00,3029.6,32,97101.0,-154.0,-0.16,TRAIL,False,0.957,WIN
2024-05-22,CHENNPETRO,09:15,896.35,14:00,894.9,111,99495.0,-161.0,-0.16,TRAIL,False,0.957,WIN
2024-05-22,IDEA,09:15,13.65,14:00,13.55,7326,100000.0,-733.0,-0.73,TRAIL,False,0.957,WIN
2024-05-22,UNIONBANK,09:15,135.7,14:00,140.64,736,99875.0,3636.0,3.64,TRAIL,False,0.957,WIN
