entry_date,stocks,n_names,entry_prices,exit_prices,per_stock_return_pct,adv_cr,portfolio_return_pct,win
2024-05-13,"PAYTM, MUTHOOTFIN, TATAINVEST, MARICO, BHARATFORG",5,"358.05, 1665.95, 671.00, 590.85, 1390.45","343.00, 1690.00, 651.00, 594.00, 1415.00","-4.20, 1.44, -2.98, 0.53, 1.77","519, 185, 136, 149, 178",-0.694,LOSS
2024-05-14,"ANGELONE, SWANCORP, RAILTEL, SCI, APLAPOLLO",5,"249.20, 541.70, 358.15, 197.94, 1556.15","254.80, 541.20, 364.55, 200.03, 1568.35","2.25, -0.09, 1.79, 1.06, 0.78","331, 134, 153, 144, 109",1.157,WIN
2024-05-15,"SWANCORP, ANGELONE, APLAPOLLO, SCI, ITI",5,"576.90, 264.00, 1581.05, 203.86, 285.80","582.00, 259.50, 1598.20, 208.91, 295.85","0.88, -1.70, 1.08, 2.48, 3.52","134, 331, 109, 144, 155",1.252,WIN
2024-05-16,"ANGELONE, APLAPOLLO, SWANCORP",3,"270.20, 1590.45, 583.00","271.50, 1635.75, 581.60","0.48, 2.85, -0.24","331, 109, 134",1.027,WIN
2024-05-17,"APLAPOLLO, ANGELONE, SWANCORP, POWERINDIA",4,"1631.00, 273.50, 584.00, 11387.25","1667.70, 273.30, 598.50, 11314.65","2.25, -0.07, 2.48, -0.64","109, 331, 134, 235",1.04,WIN
2024-05-18,"APLAPOLLO, SWANCORP, ANGELONE, SUZLON",4,"1709.00, 604.00, 277.00, 42.60","1672.00, 600.00, 275.50, 42.40","-2.17, -0.66, -0.54, -0.47","109, 134, 331, 422",-0.959,LOSS
2024-05-21,"APLAPOLLO, ANGELONE, SWANCORP, IFCI, ABB",5,"1670.30, 275.60, 605.00, 63.90, 8350.00","1717.35, 265.90, 598.50, 60.90, 8568.00","2.82, -3.52, -1.07, -4.69, 2.61","109, 331, 134, 128, 234",-0.837,LOSS
2024-05-22,"ADANIENT, CHENNPETRO, IDEA, UNIONBANK, SUZLON",5,"3034.40, 896.35, 13.65, 135.70, 44.50","3011.20, 896.80, 13.65, 139.48, 46.15","-0.76, 0.05, 0.00, 2.79, 3.71","469, 165, 520, 197, 422",1.168,WIN
2024-05-23,"ADANIENT, IDEA, CHENNPETRO, COCHINSHIP, PNBHOUSING",5,"3060.40, 13.50, 898.00, 1660.00, 750.60","3048.00, 13.55, 900.65, 1718.10, 765.00","-0.41, 0.37, 0.30, 3.50, 1.92","469, 520, 165, 428, 160",1.141,WIN
2024-05-24,"IDEA, HAL, CHENNPETRO, COCHINSHIP, ADANIENT",5,"14.25, 4950.00, 941.75, 1899.50, 3302.10","14.60, 4978.00, 942.25, 1971.30, 3304.50","2.46, 0.57, 0.05, 3.78, 0.07","520, 843, 165, 428, 469",1.384,WIN
