entry_date,stock,adv_cr,qty,entry_price,exit_price,deployed_rs,exit_value_rs,pnl_rs,stock_return_pct,day_portfolio_return_pct,day_result
2024-05-13,PAYTM,519.0,279,358.05,343.0,99896.0,95697.0,-4199.0,-4.2,-0.694,LOSS
2024-05-13,MUTHOOTFIN,185.0,60,1665.95,1690.0,99957.0,101400.0,1443.0,1.44,-0.694,LOSS
2024-05-13,TATAINVEST,136.0,149,671.0,651.0,99979.0,96999.0,-2980.0,-2.98,-0.694,LOSS
2024-05-13,MARICO,149.0,169,590.85,594.0,99854.0,100386.0,532.0,0.53,-0.694,LOSS
2024-05-13,BHARATFORG,178.0,71,1390.45,1415.0,98722.0,100465.0,1743.0,1.77,-0.694,LOSS
2024-05-14,ANGELONE,331.0,401,249.2,254.8,99929.0,102175.0,2246.0,2.25,1.157,WIN
2024-05-14,SWANCORP,134.0,184,541.7,541.2,99673.0,99581.0,-92.0,-0.09,1.157,WIN
2024-05-14,RAILTEL,153.0,279,358.15,364.55,99924.0,101709.0,1786.0,1.79,1.157,WIN
2024-05-14,SCI,144.0,505,197.94,200.03,99960.0,101015.0,1055.0,1.06,1.157,WIN
2024-05-14,APLAPOLLO,109.0,64,1556.15,1568.35,99594.0,100374.0,781.0,0.78,1.157,WIN
2024-05-15,SWANCORP,134.0,173,576.9,582.0,99804.0,100686.0,882.0,0.88,1.252,WIN
2024-05-15,ANGELONE,331.0,378,264.0,259.5,99792.0,98091.0,-1701.0,-1.7,1.252,WIN
2024-05-15,APLAPOLLO,109.0,63,1581.05,1598.2,99606.0,100687.0,1080.0,1.08,1.252,WIN
2024-05-15,SCI,144.0,490,203.86,208.91,99891.0,102366.0,2474.0,2.48,1.252,WIN
2024-05-15,ITI,155.0,349,285.8,295.85,99744.0,103252.0,3507.0,3.52,1.252,WIN
2024-05-16,ANGELONE,331.0,616,270.2,271.5,166443.0,167244.0,801.0,0.48,1.027,WIN
2024-05-16,APLAPOLLO,109.0,104,1590.45,1635.75,165407.0,170118.0,4711.0,2.85,1.027,WIN
2024-05-16,SWANCORP,134.0,285,583.0,581.6,166155.0,165756.0,-399.0,-0.24,1.027,WIN
2024-05-17,APLAPOLLO,109.0,76,1631.0,1667.7,123956.0,126745.0,2789.0,2.25,1.04,WIN
2024-05-17,ANGELONE,331.0,457,273.5,273.3,124990.0,124898.0,-91.0,-0.07,1.04,WIN
2024-05-17,SWANCORP,134.0,214,584.0,598.5,124976.0,128079.0,3103.0,2.48,1.04,WIN
2024-05-17,POWERINDIA,235.0,10,11387.25,11314.65,113872.0,113146.0,-726.0,-0.64,1.04,WIN
2024-05-18,APLAPOLLO,109.0,73,1709.0,1672.0,124757.0,122056.0,-2701.0,-2.17,-0.959,LOSS
2024-05-18,SWANCORP,134.0,206,604.0,600.0,124424.0,123600.0,-824.0,-0.66,-0.959,LOSS
2024-05-18,ANGELONE,331.0,451,277.0,275.5,124927.0,124250.0,-676.0,-0.54,-0.959,LOSS
2024-05-18,SUZLON,422.0,2934,42.6,42.4,124988.0,124402.0,-587.0,-0.47,-0.959,LOSS
2024-05-21,APLAPOLLO,109.0,59,1670.3,1717.35,98548.0,101324.0,2776.0,2.82,-0.837,LOSS
2024-05-21,ANGELONE,331.0,362,275.6,265.9,99767.0,96256.0,-3511.0,-3.52,-0.837,LOSS
2024-05-21,SWANCORP,134.0,165,605.0,598.5,99825.0,98752.0,-1072.0,-1.07,-0.837,LOSS
2024-05-21,IFCI,128.0,1564,63.9,60.9,99940.0,95248.0,-4692.0,-4.69,-0.837,LOSS
2024-05-21,ABB,234.0,11,8350.0,8568.0,91850.0,94248.0,2398.0,2.61,-0.837,LOSS
2024-05-22,ADANIENT,469.0,32,3034.4,3011.2,97101.0,96358.0,-742.0,-0.76,1.168,WIN
2024-05-22,CHENNPETRO,165.0,111,896.35,896.8,99495.0,99545.0,50.0,0.05,1.168,WIN
2024-05-22,IDEA,520.0,7326,13.65,13.65,100000.0,100000.0,0.0,0.0,1.168,WIN
2024-05-22,UNIONBANK,197.0,736,135.7,139.48,99875.0,102657.0,2782.0,2.79,1.168,WIN
2024-05-22,SUZLON,422.0,2247,44.5,46.15,99992.0,103699.0,3708.0,3.71,1.168,WIN
2024-05-23,ADANIENT,469.0,32,3060.4,3048.0,97933.0,97536.0,-397.0,-0.41,1.141,WIN
2024-05-23,IDEA,520.0,7407,13.5,13.55,99994.0,100365.0,370.0,0.37,1.141,WIN
2024-05-23,CHENNPETRO,165.0,111,898.0,900.65,99678.0,99972.0,294.0,0.3,1.141,WIN
2024-05-23,COCHINSHIP,428.0,60,1660.0,1718.1,99600.0,103086.0,3486.0,3.5,1.141,WIN
2024-05-23,PNBHOUSING,160.0,133,750.6,765.0,99830.0,101745.0,1915.0,1.92,1.141,WIN
2024-05-24,IDEA,520.0,7017,14.25,14.6,99992.0,102448.0,2456.0,2.46,1.384,WIN
2024-05-24,HAL,843.0,20,4950.0,4978.0,99000.0,99560.0,560.0,0.57,1.384,WIN
2024-05-24,CHENNPETRO,165.0,106,941.75,942.25,99826.0,99878.0,53.0,0.05,1.384,WIN
2024-05-24,COCHINSHIP,428.0,52,1899.5,1971.3,98774.0,102508.0,3734.0,3.78,1.384,WIN
2024-05-24,ADANIENT,469.0,30,3302.1,3304.5,99063.0,99135.0,72.0,0.07,1.384,WIN
2024-05-27,COCHINSHIP,428.0,47,2100.0,1973.0,98700.0,92731.0,-5969.0,-6.05,-2.349,LOSS
2024-05-27,IDEA,520.0,6578,15.2,15.0,99986.0,98670.0,-1316.0,-1.32,-2.349,LOSS
2024-05-27,ADANIENT,469.0,30,3255.5,3194.5,97665.0,95835.0,-1830.0,-1.87,-2.349,LOSS
2024-05-27,BDL,293.0,63,1580.0,1550.0,99540.0,97650.0,-1890.0,-1.9,-2.349,LOSS
2024-05-27,CHENNPETRO,165.0,102,979.0,972.7,99858.0,99215.0,-643.0,-0.64,-2.349,LOSS
2024-05-28,GVT&D,149.0,186,1338.0,1309.95,248868.0,243651.0,-5217.0,-2.1,-2.687,LOSS
2024-05-28,FORCEMOT,135.0,29,8357.85,8082.6,242378.0,234395.0,-7982.0,-3.29,-2.687,LOSS
2024-05-29,ATGL,148.0,174,954.65,956.85,166109.0,166492.0,383.0,0.23,1.017,WIN
2024-05-29,HUDCO,217.0,666,250.05,258.8,166533.0,172361.0,5828.0,3.5,1.017,WIN
2024-05-29,GVT&D,149.0,127,1308.95,1300.0,166237.0,165100.0,-1137.0,-0.68,1.017,WIN
2024-05-30,ATGL,148.0,131,952.0,955.85,124712.0,125216.0,504.0,0.4,1.228,WIN
2024-05-30,GVT&D,149.0,97,1278.0,1273.95,123966.0,123573.0,-393.0,-0.32,1.228,WIN
2024-05-30,HUDCO,217.0,476,262.5,270.95,124950.0,128972.0,4022.0,3.22,1.228,WIN
2024-05-30,POLICYBZR,287.0,105,1180.0,1198.8,123900.0,125874.0,1974.0,1.59,1.228,WIN
2024-05-31,ATGL,148.0,129,966.0,986.0,124614.0,127194.0,2580.0,2.07,1.279,WIN
2024-05-31,GVT&D,149.0,96,1300.0,1310.65,124800.0,125822.0,1022.0,0.82,1.279,WIN
2024-05-31,HUDCO,217.0,473,264.0,267.0,124872.0,126291.0,1419.0,1.14,1.279,WIN
2024-05-31,POLICYBZR,287.0,102,1225.0,1238.35,124950.0,126312.0,1362.0,1.09,1.279,WIN
2024-06-03,ATGL,148.0,84,1190.0,1125.0,99960.0,94500.0,-5460.0,-5.46,-2.372,LOSS
2024-06-03,GVT&D,149.0,70,1428.35,1408.0,99984.0,98560.0,-1424.0,-1.42,-2.372,LOSS
2024-06-03,POLICYBZR,287.0,77,1292.9,1278.45,99553.0,98441.0,-1113.0,-1.12,-2.372,LOSS
2024-06-03,BDL,293.0,60,1662.95,1596.0,99777.0,95760.0,-4017.0,-4.03,-2.372,LOSS
2024-06-03,GLENMARK,147.0,85,1174.95,1177.0,99871.0,100045.0,174.0,0.17,-2.372,LOSS
2024-06-04,BOSCHLTD,117.0,5,30300.0,29000.0,151500.0,145000.0,-6500.0,-4.29,-5.334,LOSS
2024-06-04,KALYANKJIL,371.0,423,394.0,387.0,166662.0,163701.0,-2961.0,-1.78,-5.334,LOSS
2024-06-04,ANGELONE,331.0,648,257.0,231.7,166536.0,150142.0,-16394.0,-9.84,-5.334,LOSS
2024-06-05,DLF,259.0,321,777.0,784.95,249417.0,251969.0,2552.0,1.02,1.288,WIN
2024-06-05,LTF,151.0,1651,151.4,153.75,249961.0,253841.0,3880.0,1.55,1.288,WIN
2024-06-06,MCX,486.0,234,710.0,711.0,166140.0,166374.0,234.0,0.14,1.474,WIN
2024-06-06,ITI,155.0,598,278.35,287.7,166453.0,172045.0,5591.0,3.36,1.474,WIN
2024-06-06,APLAPOLLO,109.0,111,1501.0,1514.8,166611.0,168143.0,1532.0,0.92,1.474,WIN
2024-06-07,PCBL,103.0,536,233.0,232.45,124888.0,124593.0,-295.0,-0.24,1.03,WIN
2024-06-07,MCX,486.0,179,697.0,718.0,124763.0,128522.0,3759.0,3.01,1.03,WIN
2024-06-07,TMPV,856.0,193,647.2,649.6,124910.0,125373.0,463.0,0.37,1.03,WIN
2024-06-07,KALYANKJIL,371.0,311,401.0,404.9,124711.0,125924.0,1213.0,0.97,1.03,WIN
2024-06-10,PCBL,103.0,418,239.0,243.99,99902.0,101988.0,2086.0,2.09,-0.329,LOSS
2024-06-10,MRPL,112.0,492,203.01,200.81,99881.0,98799.0,-1082.0,-1.08,-0.329,LOSS
2024-06-10,PATANJALI,129.0,198,503.0,491.0,99594.0,97218.0,-2376.0,-2.39,-0.329,LOSS
2024-06-10,DLF,259.0,118,845.95,845.8,99822.0,99804.0,-18.0,-0.02,-0.329,LOSS
2024-06-10,TMPV,856.0,148,672.65,670.95,99552.0,99301.0,-252.0,-0.25,-0.329,LOSS
2024-06-11,BEML,187.0,50,1977.5,1988.9,98875.0,99445.0,570.0,0.58,1.065,WIN
2024-06-11,BDL,293.0,70,1427.8,1433.0,99946.0,100310.0,364.0,0.36,1.065,WIN
2024-06-11,COCHINSHIP,428.0,52,1905.0,1915.4,99060.0,99601.0,541.0,0.55,1.065,WIN
2024-06-11,RAILTEL,153.0,258,387.0,396.85,99846.0,102387.0,2541.0,2.55,1.065,WIN
2024-06-11,JPPOWER,120.0,5577,17.93,18.16,99996.0,101278.0,1283.0,1.28,1.065,WIN
2024-06-12,BDL,293.0,70,1425.0,1428.05,99750.0,99964.0,214.0,0.21,1.074,WIN
2024-06-12,COCHINSHIP,428.0,52,1902.8,1907.0,98946.0,99164.0,218.0,0.22,1.074,WIN
2024-06-12,BEML,187.0,49,2021.1,2017.5,99034.0,98858.0,-176.0,-0.18,1.074,WIN
2024-06-12,DATAPATTNS,197.0,37,2691.4,2733.2,99582.0,101128.0,1547.0,1.55,1.074,WIN
2024-06-12,JPPOWER,120.0,5359,18.66,19.32,99999.0,103536.0,3537.0,3.54,1.074,WIN
2024-06-13,BEML,187.0,50,2000.0,1997.0,100000.0,99850.0,-150.0,-0.15,1.078,WIN
2024-06-13,BDL,293.0,70,1425.0,1464.75,99750.0,102532.0,2782.0,2.79,1.078,WIN
2024-06-13,COCHINSHIP,428.0,52,1912.4,1970.05,99445.0,102443.0,2998.0,3.01,1.078,WIN
2024-06-13,DATAPATTNS,197.0,36,2748.6,2754.2,98950.0,99151.0,202.0,0.2,1.078,WIN
2024-06-13,HUDCO,217.0,356,280.55,279.25,99876.0,99413.0,-463.0,-0.46,1.078,WIN
2024-06-14,DATAPATTNS,197.0,36,2750.0,2820.0,99000.0,101520.0,2520.0,2.55,1.127,WIN
2024-06-14,BDL,293.0,66,1500.0,1540.0,99000.0,101640.0,2640.0,2.67,1.127,WIN
2024-06-14,BEML,187.0,49,2025.0,2057.6,99225.0,100822.0,1597.0,1.61,1.127,WIN
2024-06-14,ENGINERSIN,118.0,393,254.3,252.36,99940.0,99177.0,-762.0,-0.76,1.127,WIN
2024-06-14,HUDCO,217.0,358,279.0,277.9,99882.0,99488.0,-394.0,-0.39,1.127,WIN
2024-06-18,JWL,138.0,144,693.25,685.6,99828.0,98726.0,-1102.0,-1.1,1.049,WIN
2024-06-18,HUDCO,217.0,352,284.05,281.45,99986.0,99070.0,-915.0,-0.92,1.049,WIN
2024-06-18,DATAPATTNS,197.0,33,2975.0,3122.9,98175.0,103056.0,4881.0,4.97,1.049,WIN
2024-06-18,BDL,293.0,62,1598.6,1634.95,99113.0,101367.0,2254.0,2.27,1.049,WIN
2024-06-18,TITAGARH,195.0,66,1498.0,1499.3,98868.0,98954.0,86.0,0.09,1.049,WIN
2024-06-19,KALYANKJIL,371.0,291,428.85,423.5,124795.0,123238.0,-1557.0,-1.25,-1.909,LOSS
2024-06-19,TITAGARH,195.0,83,1506.0,1485.1,124998.0,123263.0,-1735.0,-1.39,-1.909,LOSS
2024-06-19,RAILTEL,153.0,285,438.0,429.0,124830.0,122265.0,-2565.0,-2.05,-1.909,LOSS
2024-06-19,PRESTIGE,151.0,64,1929.05,1872.0,123459.0,119808.0,-3651.0,-2.96,-1.909,LOSS
2024-06-20,KALYANKJIL,371.0,234,426.0,431.6,99684.0,100994.0,1310.0,1.31,1.059,WIN
2024-06-20,RAILTEL,153.0,233,428.9,424.6,99934.0,98932.0,-1002.0,-1.0,1.059,WIN
2024-06-20,PRESTIGE,151.0,53,1882.0,1967.0,99746.0,104251.0,4505.0,4.52,1.059,WIN
2024-06-20,TITAGARH,195.0,67,1482.9,1484.95,99354.0,99492.0,137.0,0.14,1.059,WIN
2024-06-20,INDUSTOWER,406.0,297,335.75,336.85,99718.0,100044.0,327.0,0.33,1.059,WIN
2024-06-21,RAILTEL,153.0,229,436.65,457.45,99993.0,104756.0,4763.0,4.76,1.169,WIN
2024-06-21,TITAGARH,195.0,66,1496.0,1526.2,98736.0,100729.0,1993.0,2.02,1.169,WIN
2024-06-21,INDUSTOWER,406.0,296,337.75,334.1,99974.0,98894.0,-1080.0,-1.08,1.169,WIN
2024-06-21,PRESTIGE,151.0,50,1985.0,1984.6,99250.0,99230.0,-20.0,-0.02,1.169,WIN
2024-06-21,KALYANKJIL,371.0,228,437.0,437.7,99636.0,99796.0,160.0,0.16,1.169,WIN
2024-06-24,INDUSTOWER,406.0,368,338.95,335.45,124734.0,123446.0,-1288.0,-1.03,1.437,WIN
2024-06-24,RAILTEL,153.0,263,475.0,494.0,124925.0,129922.0,4997.0,4.0,1.437,WIN
2024-06-24,TITAGARH,195.0,78,1595.0,1660.65,124410.0,129531.0,5121.0,4.12,1.437,WIN
2024-06-24,PRESTIGE,151.0,61,2039.0,2011.7,124379.0,122714.0,-1665.0,-1.34,1.437,WIN
2024-06-25,GRSE,467.0,56,1763.85,1759.75,98776.0,98546.0,-230.0,-0.23,1.056,WIN
2024-06-25,CDSL,473.0,98,1019.0,1026.0,99862.0,100548.0,686.0,0.69,1.056,WIN
2024-06-25,SAIL,295.0,663,150.8,151.16,99980.0,100219.0,239.0,0.24,1.056,WIN
2024-06-25,ARE&M,107.0,67,1480.85,1536.35,99217.0,102935.0,3718.0,3.75,1.056,WIN
2024-06-25,POWERINDIA,235.0,8,11686.65,11783.75,93493.0,94270.0,777.0,0.83,1.056,WIN
2024-06-26,GRSE,467.0,50,1970.0,2059.5,98500.0,102975.0,4475.0,4.54,1.014,WIN
2024-06-26,CDSL,473.0,98,1017.45,1015.7,99710.0,99539.0,-172.0,-0.17,1.014,WIN
2024-06-26,POWERINDIA,235.0,8,11525.4,11692.6,92203.0,93541.0,1338.0,1.45,1.014,WIN
2024-06-26,SAIL,295.0,678,147.45,146.7,99971.0,99463.0,-508.0,-0.51,1.014,WIN
2024-06-26,INDUSTOWER,406.0,289,346.0,345.45,99994.0,99835.0,-159.0,-0.16,1.014,WIN
2024-06-27,CDSL,473.0,99,1007.5,1011.0,99742.0,100089.0,346.0,0.35,1.091,WIN
2024-06-27,ARE&M,107.0,59,1667.0,1618.9,98353.0,95515.0,-2838.0,-2.89,1.091,WIN
2024-06-27,GRSE,467.0,47,2105.0,2112.7,98935.0,99297.0,362.0,0.37,1.091,WIN
2024-06-27,SAIL,295.0,691,144.7,146.75,99988.0,101404.0,1417.0,1.42,1.091,WIN
2024-06-27,MANAPPURAM,170.0,508,196.8,208.88,99974.0,106111.0,6137.0,6.14,1.091,WIN
2024-06-28,CDSL,473.0,92,1080.0,1076.3,99360.0,99020.0,-340.0,-0.34,1.036,WIN
2024-06-28,ARE&M,107.0,62,1600.0,1624.0,99200.0,100688.0,1488.0,1.5,1.036,WIN
2024-06-28,SAIL,295.0,694,144.0,149.3,99936.0,103614.0,3678.0,3.68,1.036,WIN
2024-06-28,GRSE,467.0,46,2134.0,2138.35,98164.0,98364.0,200.0,0.2,1.036,WIN
2024-06-28,TITAGARH,195.0,54,1835.9,1837.95,99139.0,99249.0,111.0,0.11,1.036,WIN
2024-07-01,ARE&M,107.0,60,1660.0,1637.0,99600.0,98220.0,-1380.0,-1.39,1.028,WIN
2024-07-01,SAIL,295.0,667,149.9,149.58,99983.0,99770.0,-213.0,-0.21,1.028,WIN
2024-07-01,TITAGARH,195.0,53,1853.0,1814.95,98209.0,96192.0,-2017.0,-2.05,1.028,WIN
2024-07-01,GRSE,467.0,46,2127.7,2271.7,97874.0,104498.0,6624.0,6.77,1.028,WIN
2024-07-01,POWERINDIA,235.0,7,13029.9,13314.65,91209.0,93203.0,1993.0,2.19,1.028,WIN
2024-07-02,SWANCORP,134.0,161,620.25,619.7,99860.0,99772.0,-89.0,-0.09,0.727,WIN
2024-07-02,COCHINSHIP,428.0,44,2272.0,2260.0,99968.0,99440.0,-528.0,-0.53,0.727,WIN
2024-07-02,IRFC,380.0,579,172.5,172.3,99878.0,99762.0,-116.0,-0.12,0.727,WIN
2024-07-02,LAURUSLABS,164.0,229,435.0,438.4,99615.0,100394.0,779.0,0.78,0.727,WIN
2024-07-02,NBCC,200.0,953,104.87,108.63,99941.0,103524.0,3583.0,3.59,0.727,WIN
2024-07-03,MAZDOCK,877.0,45,2177.25,2266.5,97976.0,101992.0,4016.0,4.1,1.002,WIN
2024-07-03,COCHINSHIP,428.0,44,2271.0,2323.95,99924.0,102254.0,2330.0,2.33,1.002,WIN
2024-07-03,YESBANK,251.0,4166,24.0,23.89,99984.0,99526.0,-458.0,-0.46,1.002,WIN
2024-07-03,SWANCORP,134.0,160,623.95,617.6,99832.0,98816.0,-1016.0,-1.02,1.002,WIN
2024-07-03,LAURUSLABS,164.0,228,438.4,438.9,99955.0,100069.0,114.0,0.11,1.002,WIN
2024-07-04,YESBANK,251.0,4168,23.99,23.9,99990.0,99615.0,-375.0,-0.38,1.007,WIN
2024-07-04,SWANCORP,134.0,161,620.9,626.0,99965.0,100786.0,821.0,0.82,1.007,WIN
2024-07-04,IRFC,380.0,562,177.85,177.85,99952.0,99952.0,0.0,0.0,1.007,WIN
2024-07-04,GRSE,467.0,40,2460.0,2551.35,98400.0,102054.0,3654.0,3.71,1.007,WIN
2024-07-04,LAURUSLABS,164.0,228,437.0,441.0,99636.0,100548.0,912.0,0.92,1.007,WIN
2024-07-05,YESBANK,251.0,4170,23.98,24.01,99997.0,100122.0,125.0,0.13,1.177,WIN
2024-07-05,GRSE,467.0,37,2676.9,2707.75,99045.0,100187.0,1141.0,1.15,1.177,WIN
2024-07-05,MAZDOCK,877.0,35,2814.8,2846.0,98518.0,99610.0,1092.0,1.11,1.177,WIN
