entry_date,n_stocks,stocks,exit_time,exit_reason,portfolio_return_pct,result
2024-05-13,5,"PAYTM, MUTHOOTFIN, ENDURANCE, CGCL, TATAINVEST",09:18,STOP_1.5,-1.61,LOSS
2024-05-14,5,"ANGELONE, MMTC, SWANCORP, RAILTEL, ECLERX",09:24,TRAIL_EXIT,0.925,WIN
2024-05-15,5,"SWANCORP, ANGELONE, APLAPOLLO, ECLERX, AFFLE",13:00,TRAIL_EXIT,0.99,WIN
2024-05-16,5,"ANGELONE, APLAPOLLO, RITES, ECLERX, GRAPHITE",09:58,TRAIL_EXIT,0.93,WIN
2024-05-17,5,"APLAPOLLO, AFFLE, ANGELONE, SWANCORP, GRAPHITE",11:06,TRAIL_EXIT,1.797,WIN
2024-05-18,5,"ECLERX, APLAPOLLO, SWANCORP, ANGELONE, PARADEEP",12:29,CLOSE_EXIT,-0.252,LOSS
2024-05-21,5,"APLAPOLLO, AFFLE, GRAPHITE, ANGELONE, SWANCORP",15:29,CLOSE_EXIT,-1.119,LOSS
2024-05-22,5,"SYRMA, ADANIENT, CHENNPETRO, IDEA, UNIONBANK",14:01,TRAIL_EXIT,0.963,WIN
2024-05-23,5,"ADANIENT, SYRMA, IDEA, CHENNPETRO, SAREGAMA",15:29,CLOSE_EXIT,7.053,WIN
2024-05-24,5,"SYRMA, IDEA, HAL, CHENNPETRO, COCHINSHIP",11:37,TRAIL_EXIT,5.726,WIN
2024-05-27,5,"SYRMA, COCHINSHIP, IDEA, ADANIENT, BDL",09:21,STOP_1.5,-1.474,LOSS
2024-05-28,5,"NLCINDIA, FIVESTAR, BIKAJI, TARIL, TECHNOE",09:17,STOP_1.5,-1.563,LOSS
2024-05-29,5,"FIVESTAR, NLCINDIA, TARIL, ATGL, TECHNOE",09:39,TRAIL_EXIT,0.983,WIN
2024-05-30,5,"NLCINDIA, ATGL, FIVESTAR, GVT&D, TARIL",15:29,CLOSE_EXIT,-0.658,LOSS
2024-05-31,5,"NLCINDIA, FIVESTAR, BIKAJI, TARIL, ATGL",09:45,TRAIL_EXIT,0.919,WIN
2024-06-03,5,"TARIL, ATGL, GVT&D, POLICYBZR, TECHNOE",09:19,STOP_1.5,-1.897,LOSS
2024-06-04,5,"POONAWALLA, TTML, BBTC, INDIAMART, BOSCHLTD",09:16,STOP_1.5,-1.75,LOSS
2024-06-05,5,"SHYAMMETL, DLF, MEDANTA, BBTC, RKFORGE",09:21,STOP_1.5,-1.699,LOSS
2024-06-06,5,"SHYAMMETL, MEDANTA, ACUTAAS, MCX, ITI",09:19,TRAIL_EXIT,0.831,WIN
2024-06-07,5,"DCMSHRIRAM, MEDANTA, PCBL, MCX, MSUMI",10:32,TRAIL_EXIT,0.86,WIN
2024-06-10,5,"INDIAMART, PCBL, MEDANTA, TTML, MSUMI",15:29,CLOSE_EXIT,0.133,WIN
2024-06-11,5,"MEDANTA, BEML, BDL, MSUMI, ELGIEQUIP",15:29,CLOSE_EXIT,0.563,WIN
2024-06-12,5,"ELGIEQUIP, MEDANTA, BDL, COCHINSHIP, BEML",15:29,CLOSE_EXIT,-0.468,LOSS
2024-06-13,5,"ELGIEQUIP, BEML, MEDANTA, BDL, COCHINSHIP",12:52,TRAIL_EXIT,0.957,WIN
2024-06-14,5,"DATAPATTNS, BDL, BEML, BALRAMCHIN, INTELLECT",09:45,TRAIL_EXIT,0.99,WIN
2024-06-18,5,"JWL, TECHNOE, HUDCO, DATAPATTNS, BDL",12:23,TRAIL_EXIT,1.134,WIN
2024-06-19,5,"MAPMYINDIA, KALYANKJIL, SPLPETRO, NEWGEN, TITAGARH",09:25,TRAIL_EXIT,0.922,WIN
2024-06-20,5,"KALYANKJIL, NEWGEN, MAPMYINDIA, RAILTEL, SPLPETRO",13:59,TRAIL_EXIT,2.983,WIN
2024-06-21,5,"RAILTEL, NEWGEN, MAPMYINDIA, TITAGARH, CLEAN",10:42,TRAIL_EXIT,3.225,WIN
2024-06-24,5,"GALLANTT, INDUSTOWER, RAILTEL, ASAHIINDIA, NEWGEN",09:22,TRAIL_EXIT,0.388,WIN
2024-06-25,5,"CEATLTD, JKTYRE, GRSE, AEGISLOG, WELCORP",09:35,TRAIL_EXIT,0.955,WIN
2024-06-26,5,"CEATLTD, GRSE, CDSL, POWERINDIA, AEGISLOG",09:21,TRAIL_EXIT,0.872,WIN
2024-06-27,5,"CEATLTD, CDSL, JKTYRE, AEGISLOG, ARE&M",11:46,TRAIL_EXIT,0.971,WIN
2024-06-28,5,"JKTYRE, CDSL, CEATLTD, ARE&M, APOLLOTYRE",15:04,TRAIL_EXIT,6.912,WIN
2024-07-01,5,"ARE&M, SAIL, TITAGARH, GRSE, PTCIL",15:29,CLOSE_EXIT,1.983,WIN
2024-07-02,5,"RITES, SWANCORP, BAJAJHLDNG, COCHINSHIP, IRFC",09:24,TRAIL_EXIT,0.799,WIN
2024-07-03,5,"MAZDOCK, COCHINSHIP, BAJAJHLDNG, YESBANK, SWANCORP",15:29,CLOSE_EXIT,3.595,WIN
2024-07-04,5,"YESBANK, RITES, SWANCORP, IRFC, NIACL",15:29,CLOSE_EXIT,2.779,WIN
2024-07-05,5,"RITES, YESBANK, GRSE, MAZDOCK, COCHINSHIP",09:21,TRAIL_EXIT,0.377,WIN
2024-07-08,5,"GRSE, COCHINSHIP, YESBANK, JMFINANCIL, RITES",09:18,TRAIL_EXIT,0.987,WIN
2024-07-09,5,"NSLNISP, SONACOMS, JUBLINGREA, WELSPUNLIV, SONATSOFTW",10:21,TRAIL_EXIT,0.949,WIN
2024-07-10,5,"RVNL, SONATSOFTW, SONACOMS, NSLNISP, RAILTEL",09:23,TRAIL_EXIT,0.76,WIN
2024-07-11,5,"SONATSOFTW, NSLNISP, IFCI, SONACOMS, NHPC",09:31,TRAIL_EXIT,0.978,WIN
2024-07-12,5,"SONATSOFTW, RVNL, NSLNISP, IFCI, SJVN",09:33,TRAIL_EXIT,1.302,WIN
2024-07-15,5,"SONATSOFTW, RVNL, OIL, SCI, NHPC",09:25,TRAIL_EXIT,0.745,WIN
2024-07-16,5,"TTML, INDIACEM, TECHNOE, RVNL, KARURVYSYA",11:54,TRAIL_EXIT,1.832,WIN
2024-07-18,5,"TTML, INDIACEM, TECHNOE, RVNL, PAYTM",09:20,TRAIL_EXIT,1.778,WIN
2024-07-19,5,"TTML, RVNL, INDIACEM, PAYTM, ELECON",09:48,TRAIL_EXIT,2.209,WIN
2024-07-22,5,"INDIACEM, TTML, RVNL, ELECON, TECHNOE",09:20,TRAIL_EXIT,0.776,WIN
2024-07-23,5,"JPPOWER, AARTIIND, IRB, BSE, RPOWER",12:20,STOP_1.5,-2.421,LOSS
2024-07-24,5,"AARTIIND, JPPOWER, TATAPOWER, VBL, ITI",09:27,TRAIL_EXIT,0.972,WIN
2024-07-25,5,"AARTIIND, TATAPOWER, ZEEL, JPPOWER, RPOWER",09:48,TRAIL_EXIT,0.887,WIN
2024-07-26,5,"AARTIIND, ZEEL, JPPOWER, TATAPOWER, ARE&M",15:29,CLOSE_EXIT,3.214,WIN
2024-07-29,5,"AARTIIND, BSE, PGEL, MOTILALOFS, JPPOWER",15:29,CLOSE_EXIT,-0.051,LOSS
2024-07-30,5,"GVT&D, ADANIENSOL, JUBLPHARMA, AWL, ASTERDM",12:52,TRAIL_EXIT,0.909,WIN
2024-07-31,5,"GVT&D, JUBLPHARMA, GRANULES, AWL, ASTERDM",09:50,TRAIL_EXIT,0.817,WIN
2024-08-01,5,"DEEPAKFERT, ADANIENSOL, GVT&D, AWL, SUZLON",10:43,TRAIL_EXIT,1.48,WIN
2024-08-02,5,"AWL, CLEAN, DEEPAKFERT, ASTERDM, GVT&D",09:46,TRAIL_EXIT,1.838,WIN
2024-08-05,5,"AWL, ASTERDM, NEULANDLAB, GVT&D, SUZLON",09:27,STOP_1.5,-1.95,LOSS
2024-08-06,5,"MANKIND, BSE, KIRLOSENG, COCHINSHIP, NBCC",09:26,TRAIL_EXIT,0.881,WIN
2024-08-07,5,"BSE, KIRLOSENG, MANKIND, NBCC, PTCIL",13:19,TRAIL_EXIT,1.078,WIN
2024-08-08,5,"MANKIND, BSE, PTCIL, COCHINSHIP, KIRLOSENG",09:20,STOP_1.5,-2.018,LOSS
2024-08-09,5,"MANKIND, KIRLOSENG, COCHINSHIP, NBCC, ASTERDM",11:33,TRAIL_EXIT,1.902,WIN
2024-08-12,5,"ASTERDM, COCHINSHIP, MANKIND, PTCIL, BSE",14:24,STOP_1.5,-1.512,LOSS
2024-08-13,5,"CHENNPETRO, ATGL, JSL, ADANIPOWER, PAYTM",15:25,STOP_1.5,-1.519,LOSS
2024-08-14,5,"CHENNPETRO, JSL, PAYTM, ATGL, PGEL",10:26,TRAIL_EXIT,0.964,WIN
2024-08-16,5,"CHENNPETRO, ATGL, ADANIPOWER, JSL, RVNL",15:09,TRAIL_EXIT,0.976,WIN
2024-08-19,5,"JSL, ATGL, CHENNPETRO, ADANIPOWER, TITAGARH",15:02,TRAIL_EXIT,0.99,WIN
