date,stock,entry_time,entry_price,exit_time,exit_price,qty,deployed_rs,pnl_rs,stock_return_pct,exit_reason,day_portfolio_return_pct,day_result
2024-05-13,PAYTM,09:15,358.05,09:18,344.0,279,99896.0,-3920.0,-3.92,STOP_1.5,-1.61,LOSS
2024-05-13,MUTHOOTFIN,09:15,1665.95,09:18,1663.45,60,99957.0,-150.0,-0.15,STOP_1.5,-1.61,LOSS
2024-05-13,ENDURANCE,09:15,2124.85,09:18,2072.7,47,99868.0,-2451.0,-2.45,STOP_1.5,-1.61,LOSS
2024-05-13,CGCL,09:15,230.7,09:18,232.0,433,99893.0,563.0,0.56,STOP_1.5,-1.61,LOSS
2024-05-13,TATAINVEST,09:15,671.0,09:18,657.0,149,99979.0,-2086.0,-2.09,STOP_1.5,-1.61,LOSS
2024-05-14,ANGELONE,09:15,249.2,09:24,256.5,401,99929.0,2927.0,2.93,TRAIL_EXIT,0.925,WIN
2024-05-14,MMTC,09:15,69.5,09:24,70.8,1438,99941.0,1869.0,1.87,TRAIL_EXIT,0.925,WIN
2024-05-14,SWANCORP,09:15,541.7,09:24,540.05,184,99673.0,-304.0,-0.3,TRAIL_EXIT,0.925,WIN
2024-05-14,RAILTEL,09:15,358.15,09:24,365.5,279,99924.0,2051.0,2.05,TRAIL_EXIT,0.925,WIN
2024-05-14,ECLERX,09:15,1091.0,09:24,1069.8,91,99281.0,-1929.0,-1.94,TRAIL_EXIT,0.925,WIN
2024-05-15,SWANCORP,09:15,576.9,13:00,587.75,173,99804.0,1877.0,1.88,TRAIL_EXIT,0.99,WIN
2024-05-15,ANGELONE,09:15,264.0,13:00,267.8,378,99792.0,1436.0,1.44,TRAIL_EXIT,0.99,WIN
2024-05-15,APLAPOLLO,09:15,1581.05,13:00,1591.9,63,99606.0,684.0,0.69,TRAIL_EXIT,0.99,WIN
2024-05-15,ECLERX,09:15,1132.0,13:00,1158.8,88,99616.0,2358.0,2.37,TRAIL_EXIT,0.99,WIN
2024-05-15,AFFLE,09:15,1102.95,13:00,1087.15,90,99266.0,-1422.0,-1.43,TRAIL_EXIT,0.99,WIN
2024-05-16,ANGELONE,09:15,270.2,09:58,271.0,370,99974.0,296.0,0.3,TRAIL_EXIT,0.93,WIN
2024-05-16,APLAPOLLO,09:15,1590.45,09:58,1605.0,62,98608.0,902.0,0.91,TRAIL_EXIT,0.93,WIN
2024-05-16,RITES,09:15,334.7,09:58,334.8,298,99741.0,30.0,0.03,TRAIL_EXIT,0.93,WIN
2024-05-16,ECLERX,09:15,1172.5,09:58,1189.5,85,99662.0,1445.0,1.45,TRAIL_EXIT,0.93,WIN
2024-05-16,GRAPHITE,09:15,585.0,09:58,596.5,170,99450.0,1955.0,1.97,TRAIL_EXIT,0.93,WIN
2024-05-17,APLAPOLLO,09:15,1631.0,11:06,1669.0,61,99491.0,2318.0,2.33,TRAIL_EXIT,1.797,WIN
2024-05-17,AFFLE,09:15,1099.0,11:06,1137.0,90,98910.0,3420.0,3.46,TRAIL_EXIT,1.797,WIN
2024-05-17,ANGELONE,09:15,273.5,11:06,273.1,365,99828.0,-146.0,-0.15,TRAIL_EXIT,1.797,WIN
2024-05-17,SWANCORP,09:15,584.0,11:06,594.55,171,99864.0,1804.0,1.81,TRAIL_EXIT,1.797,WIN
2024-05-17,GRAPHITE,09:15,591.0,11:06,600.2,169,99879.0,1555.0,1.56,TRAIL_EXIT,1.797,WIN
2024-05-18,ECLERX,09:15,1159.0,12:29,1180.0,86,99674.0,1806.0,1.81,CLOSE_EXIT,-0.252,LOSS
2024-05-18,APLAPOLLO,09:15,1709.0,12:29,1672.0,58,99122.0,-2146.0,-2.17,CLOSE_EXIT,-0.252,LOSS
2024-05-18,SWANCORP,09:15,604.0,12:29,600.0,165,99660.0,-660.0,-0.66,CLOSE_EXIT,-0.252,LOSS
2024-05-18,ANGELONE,09:15,277.0,12:29,275.5,361,99997.0,-542.0,-0.54,CLOSE_EXIT,-0.252,LOSS
2024-05-18,PARADEEP,09:15,69.9,12:29,70.1,1430,99957.0,286.0,0.29,CLOSE_EXIT,-0.252,LOSS
2024-05-21,APLAPOLLO,09:15,1670.3,15:29,1717.35,59,98548.0,2776.0,2.82,CLOSE_EXIT,-1.119,LOSS
2024-05-21,AFFLE,09:15,1233.5,15:29,1215.05,81,99914.0,-1494.0,-1.5,CLOSE_EXIT,-1.119,LOSS
2024-05-21,GRAPHITE,09:15,616.0,15:29,602.0,162,99792.0,-2268.0,-2.27,CLOSE_EXIT,-1.119,LOSS
2024-05-21,ANGELONE,09:15,275.6,15:29,265.9,362,99767.0,-3511.0,-3.52,CLOSE_EXIT,-1.119,LOSS
2024-05-21,SWANCORP,09:15,605.0,15:29,598.5,165,99825.0,-1072.0,-1.07,CLOSE_EXIT,-1.119,LOSS
2024-05-22,SYRMA,09:15,421.25,14:01,430.5,237,99836.0,2192.0,2.2,TRAIL_EXIT,0.963,WIN
2024-05-22,ADANIENT,09:15,3034.4,14:01,3029.6,32,97101.0,-154.0,-0.16,TRAIL_EXIT,0.963,WIN
2024-05-22,CHENNPETRO,09:15,896.35,14:01,894.9,111,99495.0,-161.0,-0.16,TRAIL_EXIT,0.963,WIN
2024-05-22,IDEA,09:15,13.65,14:01,13.55,7326,100000.0,-733.0,-0.73,TRAIL_EXIT,0.963,WIN
2024-05-22,UNIONBANK,09:15,135.7,14:01,140.64,736,99875.0,3636.0,3.64,TRAIL_EXIT,0.963,WIN
2024-05-23,ADANIENT,09:15,3060.4,15:29,3294.3,32,97933.0,7485.0,7.64,CLOSE_EXIT,7.053,WIN
2024-05-23,SYRMA,09:15,433.0,15:29,452.0,230,99590.0,4370.0,4.39,CLOSE_EXIT,7.053,WIN
2024-05-23,IDEA,09:15,13.5,15:29,14.05,7407,99994.0,4074.0,4.07,CLOSE_EXIT,7.053,WIN
2024-05-23,CHENNPETRO,09:15,898.0,15:29,941.5,111,99678.0,4828.0,4.84,CLOSE_EXIT,7.053,WIN
2024-05-23,SAREGAMA,09:15,411.05,15:29,469.9,243,99885.0,14301.0,14.32,CLOSE_EXIT,7.053,WIN
2024-05-24,SYRMA,09:15,452.05,11:37,472.05,221,99903.0,4420.0,4.42,TRAIL_EXIT,5.726,WIN
2024-05-24,IDEA,09:15,14.25,11:37,15.3,7017,99992.0,7368.0,7.37,TRAIL_EXIT,5.726,WIN
2024-05-24,HAL,09:15,4950.0,11:37,5274.0,20,99000.0,6480.0,6.55,TRAIL_EXIT,5.726,WIN
2024-05-24,CHENNPETRO,09:15,941.75,11:37,990.5,106,99826.0,5168.0,5.18,TRAIL_EXIT,5.726,WIN
2024-05-24,COCHINSHIP,09:15,1899.5,11:37,1996.65,52,98774.0,5052.0,5.11,TRAIL_EXIT,5.726,WIN
2024-05-27,SYRMA,09:15,478.7,09:21,471.6,208,99570.0,-1477.0,-1.48,STOP_1.5,-1.474,LOSS
2024-05-27,COCHINSHIP,09:15,2100.0,09:21,2014.5,47,98700.0,-4018.0,-4.07,STOP_1.5,-1.474,LOSS
2024-05-27,IDEA,09:15,15.2,09:21,15.2,6578,99986.0,0.0,0.0,STOP_1.5,-1.474,LOSS
2024-05-27,ADANIENT,09:15,3255.5,09:21,3207.5,30,97665.0,-1440.0,-1.47,STOP_1.5,-1.474,LOSS
2024-05-27,BDL,09:15,1580.0,09:21,1574.2,63,99540.0,-365.0,-0.37,STOP_1.5,-1.474,LOSS
2024-05-28,NLCINDIA,09:15,228.85,09:17,228.65,436,99779.0,-87.0,-0.09,STOP_1.5,-1.563,LOSS
2024-05-28,FIVESTAR,09:15,706.1,09:17,701.2,141,99560.0,-691.0,-0.69,STOP_1.5,-1.563,LOSS
2024-05-28,BIKAJI,09:15,562.0,09:17,559.1,177,99474.0,-513.0,-0.52,STOP_1.5,-1.563,LOSS
2024-05-28,TARIL,09:15,334.95,09:17,315.0,298,99815.0,-5945.0,-5.96,STOP_1.5,-1.563,LOSS
2024-05-28,TECHNOE,09:15,1040.0,09:17,1034.2,96,99840.0,-557.0,-0.56,STOP_1.5,-1.563,LOSS
2024-05-29,FIVESTAR,09:15,697.1,09:39,702.75,143,99685.0,808.0,0.81,TRAIL_EXIT,0.983,WIN
2024-05-29,NLCINDIA,09:15,223.05,09:39,224.95,448,99926.0,851.0,0.85,TRAIL_EXIT,0.983,WIN
