symbol,appearances,adv_cr,v915_cr,bucket
RPOWER,42,189.5,5.193,Mid-large
TARIL,41,81.0,1.986,Mid-cap
GODFRYPHLP,35,195.0,3.777,Mid-large
SWANCORP,32,133.9,2.065,Mid-large
NETWEB,31,318.0,8.096,Mid-large
FORCEMOT,31,134.8,2.782,Mid-large
PGEL,29,156.9,3.28,Mid-large
IDEA,29,519.8,15.569,Large-cap
CONCORDBIO,26,34.9,1.439,Small-cap
GRSE,26,467.1,11.453,Mid-large
BSE,26,1338.2,32.45,Large-cap
OLAELEC,22,492.4,14.562,Mid-large
CHENNPETRO,20,165.5,2.434,Mid-large
FIVESTAR,20,87.2,1.91,Mid-cap
TITAGARH,20,195.3,3.64,Mid-large
GMDCLTD,20,183.9,3.077,Mid-large
PTCIL,20,26.6,0.352,Small-cap
COCHINSHIP,20,428.4,10.668,Mid-large
CEMPRO,19,62.0,1.22,Mid-cap
DATAPATTNS,18,196.7,3.217,Mid-large
JWL,18,138.0,2.381,Mid-large
AIIL,18,32.3,0.586,Small-cap
AEGISLOG,18,92.2,1.185,Mid-cap
HONASA,18,45.1,4.289,Small-cap
PAYTM,18,519.1,13.785,Large-cap
GRAVITA,17,65.6,0.957,Mid-cap
JPPOWER,16,119.5,2.813,Mid-large
ASTERDM,16,62.3,1.167,Mid-cap
BEML,16,186.5,3.16,Mid-large
DEVYANI,16,51.6,0.619,Mid-cap
FSL,16,107.5,1.568,Mid-large
NLCINDIA,16,79.6,1.222,Mid-cap
REDINGTON,16,114.4,1.894,Mid-large
SAREGAMA,16,36.2,0.358,Small-cap
CARTRADE,15,82.7,1.427,Mid-cap
HINDCOPPER,15,476.0,12.285,Mid-large
TECHNOE,15,34.5,0.521,Small-cap
IPCALAB,15,49.5,0.501,Small-cap
BLUEJET,15,28.5,0.642,Small-cap
GVT&D,15,149.1,2.279,Mid-large
JUBLINGREA,15,45.8,0.464,Small-cap
WELSPUNLIV,15,65.1,1.336,Mid-cap
POWERINDIA,14,235.3,4.877,Mid-large
RVNL,14,545.7,14.747,Large-cap
WELCORP,14,70.7,1.077,Mid-cap
CEATLTD,13,68.6,0.997,Mid-cap
KFINTECH,13,137.1,7.553,Mid-large
JMFINANCIL,13,101.5,1.883,Mid-large
GABRIEL,13,37.4,0.566,Small-cap
TBOTEK,13,32.5,0.381,Small-cap
ELGIEQUIP,13,31.9,0.568,Small-cap
INDIACEM,13,75.2,1.351,Mid-cap
GPIL,12,55.8,0.996,Mid-cap
PARADEEP,12,96.4,1.829,Mid-cap
LATENTVIEW,12,31.0,0.398,Small-cap
NEULANDLAB,12,76.6,3.106,Mid-cap
NBCC,12,199.9,4.279,Mid-large
RADICO,12,88.9,1.062,Mid-cap
MEDANTA,12,40.7,0.374,Small-cap
CAPLIPOINT,12,31.1,0.361,Small-cap
SOLARINDS,12,179.5,2.55,Mid-large
HFCL,12,246.7,5.267,Mid-large
JBMA,12,82.8,1.15,Mid-cap
ANANTRAJ,12,160.2,3.197,Mid-large
ATGL,12,148.3,3.157,Mid-large
AMBER,12,296.8,5.044,Mid-large
TTML,12,76.7,1.237,Mid-cap
VBL,12,343.5,5.87,Mid-large
ZENTEC,12,91.7,2.228,Mid-cap
ADANIPOWER,11,510.2,19.418,Large-cap
OLECTRA,11,110.3,2.116,Mid-large
INTELLECT,11,64.0,0.806,Mid-cap
KIMS,11,30.2,0.446,Small-cap
TATAINVEST,11,136.4,2.592,Mid-large
KIRLOSENG,11,49.3,0.578,Small-cap
HSCL,11,101.4,1.794,Mid-large
ANGELONE,11,331.3,6.311,Mid-large
RAILTEL,11,153.0,3.353,Mid-large
GALLANTT,11,39.2,0.524,Small-cap
IFCI,11,128.5,2.818,Mid-large
CRAFTSMAN,11,39.5,0.467,Small-cap
SUZLON,11,421.9,10.964,Mid-large
BSOFT,11,110.3,1.923,Mid-large
SAMMAANCAP,11,186.6,3.515,Mid-large
BDL,11,293.0,5.843,Mid-large
APARINDS,10,108.3,1.587,Mid-large
LEMONTREE,10,55.0,1.047,Mid-cap
FIRSTCRY,10,93.3,0.929,Mid-cap
ZFCVINDIA,10,34.3,7.329,Small-cap
YESBANK,10,251.4,7.689,Mid-large
MMTC,10,53.6,1.031,Mid-cap
GRAPHITE,10,76.3,1.027,Mid-cap
ECLERX,10,41.9,0.575,Small-cap
TIMKEN,10,35.9,0.348,Small-cap
SHYAMMETL,10,39.4,0.599,Small-cap
SPLPETRO,10,9.0,0.093,Small-cap
