date,pnl_rs,ym,year
2024-05-13,-1748.1,2024-05,2024
2024-05-14,751.9,2024-05,2024
2024-05-15,755.6999999999999,2024-05,2024
2024-05-16,-500.0,2024-05,2024
2024-05-17,-1751.9,2024-05,2024
2024-05-21,748.1,2024-05,2024
2024-05-22,-500.0,2024-05,2024
2024-05-23,-1751.9,2024-05,2024
2024-05-24,751.9,2024-05,2024
2024-05-27,744.3000000000001,2024-05,2024
2024-05-28,-496.20000000000005,2024-05,2024
2024-05-29,-496.20000000000005,2024-05,2024
2024-05-30,751.9,2024-05,2024
2024-05-31,1996.2,2024-05,2024
2024-06-03,-1751.9,2024-06,2024
2024-06-04,2007.6,2024-06,2024
2024-06-05,-503.79999999999995,2024-06,2024
2024-06-06,748.1,2024-06,2024
2024-06-07,-3000.0,2024-06,2024
2024-06-10,-1148.1,2024-06,2024
2024-06-11,1996.2,2024-06,2024
2024-06-12,-496.20000000000005,2024-06,2024
2024-06-13,-3000.0,2024-06,2024
2024-06-14,748.1,2024-06,2024
2024-06-18,755.6999999999999,2024-06,2024
2024-06-19,-1751.9,2024-06,2024
2024-06-20,751.9,2024-06,2024
2024-06-21,-496.20000000000005,2024-06,2024
2024-06-24,2003.8,2024-06,2024
2024-06-25,2000.0,2024-06,2024
2024-06-26,-503.79999999999995,2024-06,2024
2024-06-27,-1748.1,2024-06,2024
2024-06-28,-1748.1,2024-06,2024
2024-07-01,-496.20000000000005,2024-07,2024
2024-07-02,2000.0,2024-07,2024
2024-07-03,748.1,2024-07,2024
2024-07-04,2000.0,2024-07,2024
2024-07-05,744.3000000000001,2024-07,2024
2024-07-08,748.1,2024-07,2024
2024-07-09,755.6999999999999,2024-07,2024
2024-07-10,2007.6,2024-07,2024
2024-07-11,751.9,2024-07,2024
2024-07-12,-503.79999999999995,2024-07,2024
2024-07-15,1992.4,2024-07,2024
2024-07-16,-1748.1,2024-07,2024
2024-07-18,1992.4,2024-07,2024
2024-07-19,2007.6,2024-07,2024
2024-07-22,755.6999999999999,2024-07,2024
2024-07-23,-500.0,2024-07,2024
2024-07-24,-1748.1,2024-07,2024
2024-07-25,-3000.0,2024-07,2024
2024-07-26,751.9,2024-07,2024
2024-07-29,-500.0,2024-07,2024
2024-07-30,-496.20000000000005,2024-07,2024
2024-07-31,-3000.0,2024-07,2024
2024-08-01,-1126.5,2024-08,2024
2024-08-02,748.1,2024-08,2024
2024-08-05,-1748.1,2024-08,2024
2024-08-06,755.6999999999999,2024-08,2024
2024-08-07,748.1,2024-08,2024
2024-08-08,751.9,2024-08,2024
2024-08-09,-1751.9,2024-08,2024
2024-08-12,1992.4,2024-08,2024
2024-08-13,-500.0,2024-08,2024
2024-08-14,-500.0,2024-08,2024
2024-08-16,-496.20000000000005,2024-08,2024
2024-08-19,-496.20000000000005,2024-08,2024
2024-08-20,748.1,2024-08,2024
2024-08-21,751.9,2024-08,2024
2024-08-22,-500.0,2024-08,2024
2024-08-23,751.9,2024-08,2024
2024-08-26,755.6999999999999,2024-08,2024
2024-08-27,-500.0,2024-08,2024
2024-08-28,2003.8,2024-08,2024
2024-08-29,-503.79999999999995,2024-08,2024
2024-08-30,-503.79999999999995,2024-08,2024
2024-09-02,751.9,2024-09,2024
2024-09-03,748.1,2024-09,2024
2024-09-04,751.9,2024-09,2024
2024-09-05,755.6999999999999,2024-09,2024
2024-09-06,755.6999999999999,2024-09,2024
2024-09-09,755.6999999999999,2024-09,2024
2024-09-10,-503.79999999999995,2024-09,2024
2024-09-11,-500.0,2024-09,2024
2024-09-12,-500.0,2024-09,2024
2024-09-13,751.9,2024-09,2024
2024-09-16,-496.20000000000005,2024-09,2024
2024-09-17,2000.0,2024-09,2024
2024-09-18,751.9,2024-09,2024
2024-09-19,-1748.1,2024-09,2024
2024-09-20,-500.0,2024-09,2024
2024-09-23,-500.0,2024-09,2024
2024-09-24,2003.8,2024-09,2024
2024-09-25,-1748.1,2024-09,2024
2024-09-26,748.1,2024-09,2024
2024-09-27,748.1,2024-09,2024
2024-09-30,-3000.0,2024-09,2024
2024-10-01,-503.79999999999995,2024-10,2024
2024-10-03,-1751.9,2024-10,2024
2024-10-04,-496.20000000000005,2024-10,2024
2024-10-07,2003.8,2024-10,2024
2024-10-08,751.9,2024-10,2024
2024-10-09,-3000.0,2024-10,2024
2024-10-10,755.6999999999999,2024-10,2024
2024-10-11,-1748.1,2024-10,2024
2024-10-14,-1748.1,2024-10,2024
2024-10-15,-503.79999999999995,2024-10,2024
2024-10-16,748.1,2024-10,2024
2024-10-17,-1751.9,2024-10,2024
2024-10-18,751.9,2024-10,2024
2024-10-21,-1751.9,2024-10,2024
2024-10-22,-500.0,2024-10,2024
2024-10-23,1992.4,2024-10,2024
2024-10-24,755.6999999999999,2024-10,2024
2024-10-25,755.6999999999999,2024-10,2024
2024-10-28,-1748.1,2024-10,2024
2024-10-29,751.9,2024-10,2024
2024-10-30,-500.0,2024-10,2024
2024-10-31,-1748.1,2024-10,2024
2024-11-04,751.9,2024-11,2024
2024-11-05,-1751.9,2024-11,2024
2024-11-06,755.6999999999999,2024-11,2024
2024-11-07,-500.0,2024-11,2024
2024-11-08,2000.0,2024-11,2024
2024-11-11,-500.0,2024-11,2024
2024-11-12,-3000.0,2024-11,2024
2024-11-13,755.6999999999999,2024-11,2024
2024-11-14,-503.79999999999995,2024-11,2024
2024-11-18,-1751.9,2024-11,2024
2024-11-19,1351.9,2024-11,2024
2024-11-21,-500.0,2024-11,2024
2024-11-22,755.6999999999999,2024-11,2024
2024-11-25,-500.0,2024-11,2024
2024-11-26,-503.79999999999995,2024-11,2024
2024-11-27,-503.79999999999995,2024-11,2024
