,date,symbol,status,net_pct,pnl_rs
0,2024-05-13,BANKINDIA,trade,-0.6,-600.0
1,2024-05-13,COCHINSHIP,trade,-0.6,-600.0
2,2024-05-13,HINDZINC,trade,-0.6,-600.0
3,2024-05-13,PAYTM,trade,0.652,651.9
4,2024-05-13,POLYCAB,trade,-0.6,-600.0
5,2024-05-14,COCHINSHIP,trade,-0.6,-600.0
6,2024-05-14,ETERNAL,trade,0.652,651.9
7,2024-05-14,GVT&D,trade,0.648,648.1
8,2024-05-14,VBL,trade,0.652,651.9
9,2024-05-14,YESBANK,trade,-0.6,-600.0
10,2024-05-15,GVT&D,trade,-0.6,-600.0
11,2024-05-15,JSWENERGY,trade,0.652,651.9
12,2024-05-15,OBEROIRLTY,trade,0.652,651.9
13,2024-05-15,POLICYBZR,trade,-0.6,-600.0
14,2024-05-15,POWERINDIA,trade,0.652,651.9
15,2024-05-16,DIXON,trade,0.648,648.1
16,2024-05-16,HINDZINC,trade,-0.6,-600.0
17,2024-05-16,MANKIND,trade,-0.6,-600.0
18,2024-05-16,OIL,trade,0.652,651.9
19,2024-05-16,POWERINDIA,trade,-0.6,-600.0
20,2024-05-17,CROMPTON,trade,0.648,648.1
21,2024-05-17,GVT&D,trade,-0.6,-600.0
22,2024-05-17,HINDZINC,trade,-0.6,-600.0
23,2024-05-17,KAYNES,trade,-0.6,-600.0
24,2024-05-17,POWERINDIA,trade,-0.6,-600.0
25,2024-05-21,DELHIVERY,trade,-0.6,-600.0
26,2024-05-21,GVT&D,trade,0.652,651.9
27,2024-05-21,KAYNES,trade,-0.6,-600.0
28,2024-05-21,MAZDOCK,trade,0.648,648.1
29,2024-05-21,ZYDUSLIFE,trade,0.648,648.1
30,2024-05-22,BHEL,trade,0.648,648.1
31,2024-05-22,COCHINSHIP,trade,-0.6,-600.0
32,2024-05-22,HINDZINC,trade,-0.6,-600.0
33,2024-05-22,KAYNES,trade,0.652,651.9
34,2024-05-22,RVNL,trade,-0.6,-600.0
35,2024-05-23,COCHINSHIP,trade,-0.6,-600.0
36,2024-05-23,GVT&D,trade,-0.6,-600.0
37,2024-05-23,IDEA,trade,-0.6,-600.0
38,2024-05-23,PGEL,trade,-0.6,-600.0
39,2024-05-23,RVNL,trade,0.648,648.1
40,2024-05-24,BDL,trade,0.652,651.9
41,2024-05-24,COCHINSHIP,trade,-0.6,-600.0
42,2024-05-24,GVT&D,trade,0.652,651.9
43,2024-05-24,MAZDOCK,trade,0.648,648.1
44,2024-05-24,RVNL,trade,-0.6,-600.0
45,2024-05-27,COCHINSHIP,trade,-0.6,-600.0
46,2024-05-27,GLENMARK,trade,0.648,648.1
47,2024-05-27,GVT&D,trade,0.648,648.1
48,2024-05-27,INOXWIND,trade,-0.6,-600.0
49,2024-05-27,MAZDOCK,trade,0.648,648.1
50,2024-05-28,BDL,trade,0.652,651.9
51,2024-05-28,COCHINSHIP,trade,0.652,651.9
52,2024-05-28,GVT&D,trade,-0.6,-600.0
53,2024-05-28,HINDZINC,trade,-0.6,-600.0
54,2024-05-28,KAYNES,trade,-0.6,-600.0
55,2024-05-29,BDL,trade,-0.6,-600.0
56,2024-05-29,COCHINSHIP,trade,0.652,651.9
57,2024-05-29,INOXWIND,trade,-0.6,-600.0
58,2024-05-29,MAZDOCK,trade,-0.6,-600.0
59,2024-05-29,POWERINDIA,trade,0.652,651.9
60,2024-05-30,ALKEM,trade,0.652,651.9
61,2024-05-30,MAZDOCK,trade,0.652,651.9
62,2024-05-30,MOTHERSON,trade,0.648,648.1
63,2024-05-30,SUZLON,trade,-0.6,-600.0
64,2024-05-30,UNOMINDA,trade,-0.6,-600.0
65,2024-05-31,GVT&D,trade,0.648,648.1
66,2024-05-31,HINDZINC,trade,-0.6,-600.0
67,2024-05-31,PAYTM,trade,0.648,648.1
68,2024-05-31,PHOENIXLTD,trade,0.652,651.9
69,2024-05-31,POLICYBZR,trade,0.648,648.1
70,2024-06-03,ADANIENSOL,trade,-0.6,-600.0
71,2024-06-03,ADANIGREEN,trade,-0.6,-600.0
72,2024-06-03,ADANIPOWER,trade,-0.6,-600.0
73,2024-06-03,INDIANB,trade,-0.6,-600.0
74,2024-06-03,RVNL,trade,0.648,648.1
75,2024-06-04,ADANIENSOL,trade,0.652,651.9
76,2024-06-04,ADANIGREEN,trade,0.652,651.9
77,2024-06-04,ADANIPOWER,trade,0.652,651.9
78,2024-06-04,BDL,trade,0.652,651.9
79,2024-06-04,EXIDEIND,trade,-0.6,-600.0
80,2024-06-05,ADANIGREEN,trade,0.648,648.1
81,2024-06-05,ADANIPOWER,trade,-0.6,-600.0
82,2024-06-05,BEL,trade,-0.6,-600.0
