month,days,avg_touch1,avg_touch2,avg_touch3,pct_days_4of5_at1,pct_days_3of5_at2,pct_days_2of5_at3
2024-05,14,4.86,3.79,2.21,100.0,78.57,78.57
2024-06,19,4.74,3.79,2.26,94.74,94.74,57.89
2024-07,22,4.95,3.73,2.36,100.0,86.36,72.73
2024-08,21,4.95,4.14,2.67,100.0,90.48,80.95
2024-09,21,4.81,3.57,2.43,100.0,80.95,80.95
2024-10,22,4.95,4.09,3.09,100.0,86.36,86.36
2024-11,18,4.83,3.83,2.61,100.0,94.44,88.89
2024-12,21,4.81,3.62,1.9,100.0,90.48,61.9
2025-01,23,4.96,4.17,2.83,100.0,100.0,91.3
2025-02,20,4.9,4.15,3.1,100.0,95.0,90.0
2025-03,19,4.84,3.42,2.0,100.0,84.21,57.89
2025-04,19,4.89,3.32,2.05,100.0,78.95,73.68
2025-05,21,4.76,3.05,1.62,95.24,76.19,52.38
2025-06,21,4.86,3.14,1.71,100.0,71.43,52.38
2025-07,23,4.74,2.48,1.43,95.65,43.48,39.13
2025-08,19,4.53,2.68,1.32,89.47,52.63,42.11
2025-09,22,4.82,2.77,1.41,100.0,59.09,45.45
2025-10,20,4.8,2.5,1.4,100.0,60.0,50.0
2025-11,19,4.42,2.63,1.21,89.47,57.89,36.84
2025-12,22,4.41,3.0,1.59,86.36,68.18,50.0
2026-01,20,4.8,3.45,1.8,100.0,80.0,50.0
2026-02,21,4.81,3.29,1.71,95.24,76.19,57.14
2026-03,19,4.95,3.26,1.68,100.0,68.42,47.37
2026-04,20,4.75,2.65,1.3,95.0,40.0,35.0
2026-05,6,4.67,3.17,0.83,100.0,83.33,16.67
