date,rank,symbol,entry,day_high_1015,day_low_1015,max_up_%,max_down_%,close_%,dir_first,touch_1,touch_2,touch_3
2024-05-13,1,HINDZINC,521.5,586.0,513.6,12.37,-1.51,10.75,UP,1,1,1
2024-05-13,2,PAYTM,345.65,352.9,341.25,2.1,-1.27,-0.62,UP,1,1,0
2024-05-13,3,BANKINDIA,120.09,121.01,117.25,0.77,-2.36,0.37,DOWN,1,1,0
2024-05-13,4,COCHINSHIP,1188.4,1204.4,1168.0,1.35,-1.72,0.61,DOWN,1,0,0
2024-05-13,5,POLYCAB,6273.7,6458.2,6222.25,2.94,-0.82,2.31,UP,1,1,0
2024-05-14,1,YESBANK,22.5,22.7,22.35,0.89,-0.67,0.22,UP,0,0,0
2024-05-14,2,VBL,606.15,612.0,593.0,0.97,-2.17,-1.95,DOWN,1,1,0
2024-05-14,3,ETERNAL,190.05,190.95,186.0,0.47,-2.13,-1.13,DOWN,1,1,0
2024-05-14,4,COCHINSHIP,1293.65,1348.5,1281.05,4.24,-0.97,3.84,UP,1,1,1
2024-05-14,5,GVT&D,1055.0,1091.0,1048.1,3.41,-0.65,1.9,UP,1,1,1
2024-05-15,1,JSWENERGY,609.4,610.2,598.5,0.13,-1.79,-1.61,DOWN,1,0,0
2024-05-15,2,GVT&D,1125.0,1133.45,1115.0,0.75,-0.89,0.75,DOWN,0,0,0
2024-05-15,3,POLICYBZR,1266.3,1285.75,1245.7,1.54,-1.63,0.27,DOWN,1,0,0
2024-05-15,4,OBEROIRLTY,1608.6,1608.6,1550.5,0.0,-3.61,-2.02,DOWN,1,1,1
2024-05-15,5,POWERINDIA,10239.9,10849.95,10050.0,5.96,-1.85,4.48,UP,1,1,1
2024-05-16,1,POWERINDIA,11259.0,12379.6,11145.45,9.95,-1.01,0.15,UP,1,1,1
2024-05-16,2,HINDZINC,570.25,586.3,565.25,2.81,-0.88,2.01,UP,1,1,0
2024-05-16,3,MANKIND,2185.05,2194.65,2060.0,0.44,-5.72,-3.99,DOWN,1,1,1
2024-05-16,4,OIL,437.8,438.0,422.65,0.05,-3.46,-2.81,DOWN,1,1,1
2024-05-16,5,DIXON,8256.0,8349.0,8069.0,1.13,-2.27,0.11,DOWN,1,1,0
2024-05-17,1,GVT&D,1233.0,1249.6,1225.0,1.35,-0.65,1.35,UP,1,0,0
2024-05-17,2,CROMPTON,382.15,398.8,381.65,4.36,-0.13,2.9,UP,1,1,1
2024-05-17,3,POWERINDIA,11251.25,11464.7,10958.1,1.9,-2.61,-2.15,DOWN,1,1,0
2024-05-17,4,HINDZINC,613.0,617.8,588.15,0.78,-4.05,-3.59,DOWN,1,1,1
2024-05-17,5,KAYNES,2940.1,3080.8,2885.0,4.79,-1.87,4.79,UP,1,1,1
2024-05-21,1,KAYNES,3267.35,3445.0,3238.6,5.44,-0.88,3.79,UP,1,1,1
2024-05-21,2,DELHIVERY,400.55,403.8,388.95,0.81,-2.9,-2.7,DOWN,1,1,0
2024-05-21,3,ZYDUSLIFE,1116.3,1129.85,1085.0,1.21,-2.8,-2.61,DOWN,1,1,0
2024-05-21,4,GVT&D,1368.5,1372.0,1260.0,0.26,-7.93,-0.39,DOWN,1,1,1
2024-05-21,5,MAZDOCK,1410.8,1488.9,1407.75,5.54,-0.22,3.18,UP,1,1,1
2024-05-22,1,RVNL,341.1,346.0,337.75,1.44,-0.98,0.07,UP,1,0,0
2024-05-22,2,HINDZINC,797.6,800.0,712.35,0.3,-10.69,-3.57,DOWN,1,1,1
2024-05-22,3,COCHINSHIP,1627.7,1670.65,1611.0,2.64,-1.03,-0.13,UP,1,1,0
2024-05-22,4,BHEL,300.75,306.5,300.25,1.91,-0.17,0.32,UP,1,0,0
2024-05-22,5,KAYNES,3443.0,3468.0,3401.0,0.73,-1.22,0.42,DOWN,1,0,0
2024-05-23,1,GVT&D,1395.0,1415.0,1358.45,1.43,-2.62,-2.62,DOWN,1,1,0
2024-05-23,2,PGEL,253.7,264.0,246.1,4.06,-3.0,-1.2,UP,1,1,1
2024-05-23,3,COCHINSHIP,1769.25,1866.0,1764.5,5.47,-0.27,5.29,UP,1,1,1
2024-05-23,4,RVNL,370.25,374.0,362.25,1.01,-2.16,0.05,DOWN,1,1,0
2024-05-23,5,IDEA,13.9,14.1,13.85,1.44,-0.36,1.08,UP,1,0,0
2024-05-24,1,COCHINSHIP,2017.85,2030.0,1911.0,0.6,-5.3,-4.97,DOWN,1,1,1
2024-05-24,2,GVT&D,1338.0,1400.0,1295.0,4.63,-3.21,2.77,UP,1,1,1
2024-05-24,3,BDL,1596.8,1607.75,1497.3,0.69,-6.23,-4.41,DOWN,1,1,1
2024-05-24,4,RVNL,368.75,375.6,366.5,1.86,-0.61,0.53,UP,1,0,0
2024-05-24,5,MAZDOCK,1598.5,1624.5,1575.0,1.63,-1.47,-0.23,UP,1,0,0
2024-05-27,1,GVT&D,1305.2,1370.0,1305.2,4.96,0.0,4.65,UP,1,1,1
2024-05-27,2,COCHINSHIP,1976.25,2013.0,1953.0,1.86,-1.18,-0.54,UP,1,0,0
2024-05-27,3,INOXWIND,162.89,164.47,159.34,0.97,-2.18,-0.45,DOWN,1,1,0
2024-05-27,4,GLENMARK,1109.75,1123.9,1097.8,1.28,-1.08,0.81,UP,1,0,0
2024-05-27,5,MAZDOCK,1560.0,1607.6,1550.5,3.05,-0.61,0.41,UP,1,1,1
2024-05-28,1,GVT&D,1332.05,1355.0,1320.0,1.72,-0.9,0.01,UP,1,0,0
2024-05-28,2,HINDZINC,727.0,734.75,703.0,1.07,-3.3,-1.53,DOWN,1,1,1
2024-05-28,3,COCHINSHIP,1909.4,1938.0,1863.4,1.5,-2.41,0.08,DOWN,1,1,0
2024-05-28,4,KAYNES,3308.25,3370.4,3274.0,1.88,-1.04,-0.16,UP,1,0,0
2024-05-28,5,BDL,1448.55,1465.95,1431.25,1.2,-1.19,0.33,UP,1,0,0
2024-05-29,1,INOXWIND,137.21,144.71,133.22,5.47,-2.91,2.55,UP,1,1,1
2024-05-29,2,BDL,1486.55,1554.0,1466.2,4.54,-1.37,3.77,UP,1,1,1
2024-05-29,3,COCHINSHIP,1985.75,2026.8,1961.6,2.07,-1.22,1.46,UP,1,1,0
2024-05-29,4,POWERINDIA,10916.5,10924.9,10642.45,0.08,-2.51,-1.77,DOWN,1,1,0
2024-05-29,5,MAZDOCK,1587.5,1702.0,1560.0,7.21,-1.73,4.95,UP,1,1,1
2024-05-30,1,ALKEM,4999.9,5010.0,4895.0,0.2,-2.1,-1.03,DOWN,1,1,0
2024-05-30,2,UNOMINDA,917.35,928.95,852.9,1.26,-7.03,-6.66,DOWN,1,1,1
2024-05-30,3,MAZDOCK,1692.0,1692.4,1642.5,0.02,-2.93,-2.69,DOWN,1,1,0
2024-05-30,4,SUZLON,45.75,46.0,44.5,0.55,-2.73,-0.55,DOWN,1,1,0
2024-05-30,5,MOTHERSON,98.37,101.77,97.33,3.46,-1.06,2.78,UP,1,1,1
2024-05-31,1,GVT&D,1301.1,1361.2,1295.25,4.62,-0.45,4.62,UP,1,1,1
2024-05-31,2,PHOENIXLTD,1547.7,1591.6,1521.0,2.84,-1.73,-0.75,UP,1,1,0
2024-05-31,3,PAYTM,379.15,387.1,358.55,2.1,-5.43,-5.43,DOWN,1,1,1
2024-05-31,4,POLICYBZR,1228.75,1345.0,1227.55,9.46,-0.1,4.28,UP,1,1,1
2024-05-31,5,HINDZINC,682.9,698.5,675.25,2.28,-1.12,0.57,UP,1,1,0
2024-06-03,1,ADANIPOWER,173.2,179.15,170.85,3.44,-1.36,0.49,UP,1,1,1
2024-06-03,2,ADANIENSOL,1220.2,1230.0,1202.5,0.8,-1.45,0.18,DOWN,1,0,0
2024-06-03,3,ADANIGREEN,2025.95,2077.5,1950.1,2.54,-3.74,0.41,DOWN,1,1,1
2024-06-03,4,RVNL,397.2,408.7,394.7,2.9,-0.63,1.83,UP,1,1,0
2024-06-03,5,INDIANB,583.1,595.55,579.8,2.14,-0.57,1.5,UP,1,1,0
