date,long_hits_of5,short_hits_of5,long_avg_move,short_avg_move,combined_hits_of10
2026-01-01,2,2,0.94,1.3,4
2026-01-02,3,2,0.69,0.04,5
2026-01-05,2,1,0.52,0.59,3
2026-01-06,0,2,-0.61,0.17,2
2026-01-07,1,0,-0.01,-1.87,1
2026-01-08,0,4,-1.3,2.04,4
2026-01-09,0,4,-4.89,2.11,4
2026-01-12,2,0,0.92,-0.78,2
2026-01-13,1,0,0.29,-1.21,1
2026-01-14,0,1,-1.43,-0.55,1
2026-01-16,1,1,-0.04,0.42,2
2026-01-19,0,0,-0.14,-0.46,0
2026-01-20,1,2,-0.72,1.14,3
2026-01-21,2,4,0.9,2.61,6
2026-01-22,1,3,-0.04,2.19,4
2026-01-23,0,4,-1.1,2.38,4
2026-01-27,1,3,0.13,1.28,4
2026-01-28,4,0,1.89,-1.1,4
2026-01-29,1,1,-0.2,-0.75,2
2026-01-30,2,2,0.85,1.16,4
2026-02-01,0,2,-2.42,0.67,2
2026-02-02,3,1,0.53,-0.62,4
2026-02-03,4,1,1.81,0.65,5
2026-02-04,1,1,0.38,-0.01,2
2026-02-05,3,1,2.78,0.07,4
2026-02-06,5,0,1.51,-2.44,5
2026-02-09,2,0,0.24,-2.94,2
2026-02-10,1,0,0.17,-0.87,1
2026-02-11,0,2,-0.65,0.12,2
2026-02-12,0,1,-0.38,0.11,1
2026-02-13,4,0,2.84,-1.01,4
2026-02-16,3,0,0.87,-0.63,3
2026-02-17,0,2,-1.58,0.73,2
2026-02-18,2,1,0.78,-1.72,3
2026-02-19,0,4,-1.56,2.0,4
2026-02-20,0,0,-0.67,-1.77,0
2026-02-23,1,1,-0.67,0.76,2
2026-02-24,1,2,-1.2,0.63,3
2026-02-25,0,2,-1.78,0.74,2
2026-02-26,1,2,-0.25,0.21,3
2026-02-27,1,4,-0.41,1.29,5
2026-03-02,0,2,-0.57,0.94,2
2026-03-04,0,0,-0.46,-0.45,0
2026-03-05,1,1,0.18,0.31,2
2026-03-06,0,2,-1.99,1.17,2
2026-03-09,3,1,0.71,-0.88,4
2026-03-10,4,1,1.69,-0.14,5
2026-03-11,0,3,-2.24,0.51,3
2026-03-12,4,0,1.62,-1.79,4
2026-03-13,0,2,-1.03,0.9,2
2026-03-16,0,1,-0.21,0.09,1
2026-03-17,4,1,2.1,-1.33,5
2026-03-18,3,0,1.24,0.01,3
2026-03-19,0,2,-0.85,0.92,2
2026-03-20,0,2,-1.64,0.85,2
2026-03-23,1,1,0.59,0.55,2
2026-03-24,4,0,2.31,-2.18,4
2026-03-25,1,1,0.08,0.92,2
2026-03-27,0,3,-0.11,1.0,3
2026-03-30,0,3,-2.05,1.34,3
2026-04-01,0,1,-0.8,0.29,1
2026-04-02,5,0,3.73,-2.46,5
2026-04-06,4,1,1.36,-2.17,5
2026-04-07,0,0,0.17,-0.59,0
2026-04-08,2,0,0.47,-1.54,2
2026-04-09,2,0,1.18,-1.09,2
2026-04-10,1,0,1.08,-0.06,1
2026-04-13,2,0,1.0,-0.87,2
2026-04-15,1,0,0.27,-0.47,1
2026-04-16,2,0,0.79,-1.91,2
2026-04-17,3,1,1.31,-0.3,4
2026-04-20,2,1,0.86,0.11,3
2026-04-21,0,2,-0.15,0.45,2
2026-04-22,2,0,0.96,-1.25,2
2026-04-23,0,1,-1.38,-0.05,1
2026-04-24,1,2,0.36,0.74,3
2026-04-27,1,1,-0.12,-0.34,2
2026-04-28,0,1,-0.18,0.37,1
2026-04-29,0,1,-1.01,0.28,1
2026-04-30,0,2,-1.69,0.71,2
2026-05-04,2,0,-0.01,-1.22,2
2026-05-05,0,0,-0.41,-0.49,0
2026-05-06,2,0,0.81,-0.78,2
2026-05-07,2,0,0.62,-1.11,2
2026-05-08,0,1,-0.7,0.29,1
2026-05-11,2,2,1.11,1.02,4
