date,direction,rank,symbol,sector,entry_1000,exit_1515,move_pct_in_dir,hit_1pct,confidence,reliability_prior,why_picked
2026-01-01,LONG,1,IDEA,Telecommunication,11.32,11.68,3.18,1,0.317,,"morning volume high (+568732444.00, 100pct); vs morning VWAP high (+1.79, 100pct); volume vs 20d low (+0.00, 0pct)"
2026-01-01,LONG,2,ADANIPOWER,Power,150.82,148.83,-1.32,0,0.232,,"morning move high (+5.28, 100pct); strength vs market high (+5.45, 100pct); strength vs sector high (+3.47, 100pct)"
2026-01-01,LONG,3,SUPREMEIND,Capital Goods,3404.9,3488.1,2.44,1,0.221,,"9:45-10:00 push high (+1.24, 99pct); near morning high/low high (+0.94, 97pct); vs morning VWAP high (+0.54, 96pct)"
2026-01-01,LONG,4,INDUSTOWER,Telecommunication,437.95,436.85,-0.25,0,0.218,,"9:45-10:00 push high (+2.78, 100pct); morning move high (+4.01, 100pct); vs morning VWAP high (+1.59, 100pct)"
2026-01-01,LONG,5,FORCEMOT,Automobile and Auto Components,20735.0,20865.0,0.63,0,0.202,,"5d momentum high (+11.45, 100pct); volume vs 20d high (+3.84, 100pct); RSI high (+90.24, 99pct)"
2026-01-02,LONG,1,IDEA,Telecommunication,11.89,11.69,-1.68,0,0.375,0.55,"morning volume high (+576141226.00, 100pct); volume vs 20d low (+0.00, 0pct); recent volatility high (+5.28, 100pct)"
2026-01-02,LONG,2,PGEL,Consumer Durables,595.95,602.6,1.12,1,0.283,,"morning move high (+3.02, 100pct); strength vs market high (+2.77, 100pct); strength vs sector high (+2.23, 100pct)"
2026-01-02,LONG,3,FORCEMOT,Automobile and Auto Components,21145.0,21240.0,0.45,0,0.277,0.18,"5d momentum high (+13.59, 100pct); vs morning VWAP low (-2.01, 0pct); 9:45-10:00 push low (-0.73, 0pct)"
2026-01-02,LONG,4,BLUESTARCO,Consumer Durables,1792.2,1817.9,1.43,1,0.271,,"vs morning VWAP high (+0.64, 98pct); morning range high (+3.01, 97pct); morning volatility high (+0.16, 96pct)"
2026-01-02,LONG,5,NATIONALUM,Metals & Mining,323.85,330.8,2.15,1,0.267,,"morning move high (+2.42, 100pct); strength vs market high (+2.17, 100pct); strength vs sector high (+1.70, 100pct)"
