pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,lift_over_best_single
6320+4304,39,0.717948717948718,1.2553086428160785,1.4680787386403928,3.576722410636028,-1.872489176282216,0.5622438267752261,0.15900350274282288,1.4517091242428473,0.6923076923076923,1.829551128473832,1.6991799140342592,4.88584439489898,-2.2043833931871895,0.5357845138443541,0.07493842923589328,1.8706845480588228,0.6923076923076923,1.9918874117564884,2.381296060991116,5.828443281555559,-2.7382910553635327,0.5357845138443541,0.07493842923589328,1.8824915304963497,1.0,1.5798926370126598,0.10347020563818954
6299+2681,27,0.7407407407407407,0.677225548449352,0.9807054654188897,2.8326226517317057,-1.6922172072691612,0.5532106959738432,0.14997037194143997,0.8736260298761207,0.7407407407407407,1.8726056983670982,1.5812268952585076,4.394039446162754,-2.016958887136127,0.5532106959738432,0.09236461136538238,1.913739117952089,0.7037037037037037,1.4009971643823815,2.1040306122448937,5.540377718771601,-2.7003622330859014,0.515189666191624,0.05434358158316316,1.2916012831222428,1.0,0.8689874205442321,0.1293932023282784
6320+7246,40,0.7,1.2073727352563144,1.4093210594610486,3.5617724354765103,-1.8556769468751604,0.545696893456796,0.14245656942439272,1.4037732166830832,0.675,1.7445995843045394,1.6934721541540345,4.838166370132887,-2.217784446655382,0.52017458088898,0.05932849628051923,1.7857330038895303,0.7,1.963302992420023,2.182113935230916,5.757200284623054,-2.7383444172773173,0.545696893456796,0.08485080884833512,1.8539071111598842,1.0,1.4776116462546414,0.08692327231975938
5102+2803,31,0.7096774193548387,1.628102690748187,1.3905196796728572,3.7836609551273312,-1.592160749979483,0.5340734004245933,0.13083307639219005,1.8245031721749558,0.8064516129032258,2.6528791778738565,2.3680228953016957,5.496928783714003,-1.9234949388967058,0.6371939644454012,0.1763478798369404,2.694012597458847,0.8709677419354839,4.32803887001417,4.553701431492834,7.450989926268735,-2.0432906872970666,0.7114724304561464,0.25062634584768556,4.2186429887540315,1.0,2.154521144307281,0.0886975243823721
2741+2912,25,0.72,1.7730032561168962,1.3991090805254116,4.22312193023727,-1.4588551974608572,0.524230281034417,0.12098995700201381,1.969403737543665,0.88,3.6854157495502857,2.369801324503311,6.77512761920657,-1.8536986225137086,0.7004380781662651,0.2395919935578043,3.7265491691352763,0.76,5.0292466219319545,3.2769602763385075,9.071790704969514,-2.154383400565641,0.5656994004476144,0.10485331583915353,4.919850740671816,1.0,1.84227449964201,0.07179137835378463
2324+8038,45,0.6666666666666666,0.6725331885205582,0.6812683738559634,2.8549812541772854,-1.570792533022237,0.520702168092554,0.11746184406015076,0.8689336699473269,0.6444444444444445,2.0499559275778294,0.6589655172413879,4.757331259136493,-2.085114082385063,0.49835546011952203,0.037509375511061205,2.09108934716282,0.6666666666666666,2.134934001010061,1.5989707508292252,5.701192710115387,-2.6260424490781014,0.520702168092554,0.05985608348409316,2.025538119749922,1.0,0.6506155875856849,0.02322589238313022
6320+2692,44,0.6590909090909091,1.0174619793286364,1.1936316329606502,3.3752367846641893,-1.9618675348053,0.511388679719395,0.10814835568699172,1.2138624607554052,0.6590909090909091,1.6107082712717045,1.52301315257271,4.670950873462632,-2.310302450021855,0.511388679719395,0.05054259511093412,1.6518416908566953,0.6590909090909091,1.6743167053112809,1.7370398044040216,5.608256993722613,-2.827446964703188,0.511388679719395,0.05054259511093412,1.564920824051142,1.0,1.2334466988621788,0.052615058582358376
6247+8030,46,0.6521739130434783,0.9179063258767192,0.6716847557072626,2.7651062818363057,-1.4315763001244248,0.5076979217727257,0.10445759774032243,1.1143068073034879,0.5869565217391305,0.839248431152731,0.4205274560311102,3.7981983875190566,-2.1108435394811975,0.44339242387017885,-0.017453660738281973,0.8803818507377217,0.5,,,4.544764705626877,-2.7249572371260924,0.3611870167007237,-0.09965906790773715,,1.0,2.1493946815010956,0.05789882036591193
2712+6821,29,0.6896551724137931,0.8812113297713311,1.3991090805254116,3.82468210600437,-2.192958981667856,0.5076952952728147,0.10445497124041142,1.0776118111981,0.6896551724137931,1.2697511963300898,2.288438760225824,5.498172116936665,-3.1883918813027523,0.5076952952728147,0.046849210664353824,1.3108846159150807,0.6551724137931034,1.5875829652169107,1.8045120405576756,6.3470571182168065,-3.82874077484645,0.47344776507155983,0.012601680463099008,1.478187083956772,1.0,0.820835030447804,0.08084358846653317
6247+8038,29,0.6896551724137931,1.2139590261618498,0.806686496133251,3.1690328142161546,-1.4044854998316414,0.5076952952728147,0.10445497124041142,1.4103595075886186,0.6551724137931034,1.3352243133048733,1.0400000000000011,4.438802341677416,-1.9305772314641734,0.47344776507155983,0.012601680463099008,1.3763577328898642,0.5862068965517241,,,5.394119744643889,-2.453165459614459,0.4073752847851524,-0.053470799823308435,,1.0,2.658242205887074,0.05789619386600092
2454+8289,69,0.6231884057971014,0.685100584398081,0.5627488151658745,2.587371255457506,-1.4550326467109642,0.5052166912305034,0.10197636719810016,0.8815010658248497,0.6811594202898551,1.8026701506493767,1.3318414918414947,4.297481799758312,-1.8254251035576974,0.5641565251834875,0.10331044057502664,1.8438035702343676,0.7246376811594203,3.1333981272482863,1.5402814258911814,6.140533549024032,-2.084377827909769,0.6095247943146683,0.1486787097062075,3.0240022459881475,1.0,1.1955193965836284,0.0978470600653325
6320+5467,36,0.6666666666666666,1.1051476515806393,1.4093210594610486,3.279894965608891,-1.8567760240904423,0.5033369709296683,0.1000966468972651,1.3015481330074081,0.6666666666666666,1.5825520935546638,1.52301315257271,4.758834083993415,-2.3763413339981083,0.5033369709296683,0.04249088632120751,1.6236855131396546,0.6388888888888888,1.9017065912060385,1.17038888791982,5.806087872463111,-2.7889094253600644,0.4757478039083198,0.014901719299858951,1.7923107099458997,1.0,2.0507787154270636,0.04456334979263177
7562+8289,73,0.6164383561643836,0.7908652699572328,0.5627488151658745,2.730225519732403,-1.4047458993916686,0.5017387254305414,0.0984984013981382,0.9872657513840015,0.6712328767123288,1.9144123048413613,1.5266028708133919,4.477557614702091,-1.8481074962354072,0.5572879107339749,0.09644182612551405,1.955545724426352,0.684931506849315,2.970784964157986,1.4070793707757592,6.207499780080262,-2.1420148338851197,0.5714069101601096,0.11056082555164876,2.861389082897847,1.0,1.3166464582172714,0.09732397356786693
8030+4501,31,0.6774193548387096,0.6609873653864039,0.8169278736229569,2.670981680817814,-1.4641525466635992,0.501406855599508,0.09816653156710481,0.8573878468131726,0.6451612903225806,1.5569455631011162,0.9606328279498967,3.943525119455827,-1.7875851708640207,0.46947638042814893,0.008630295819688105,1.598078982686107,0.7419354838709677,2.2141216338169274,2.381296060991116,5.295415897507153,-2.1368177085616646,0.567535275722849,0.10668919111438818,2.1047257525567886,1.0,0.8451056541519375,0.07786569416933647
5467+3193,31,0.6774193548387096,1.196558158843054,1.0366998856395961,3.4778003849188988,-1.5681558071331938,0.501406855599508,0.09816653156710481,1.3929586402698229,0.7741935483870968,2.7908192918567187,1.8680537697253021,5.642642616831307,-1.955824316224492,0.6018723994130262,0.14102631480456534,2.8319527114417093,0.7741935483870968,3.3996274520899608,2.687682119205297,6.748988944070992,-2.2673869124563555,0.6018723994130262,0.14102631480456534,3.290231570829822,1.0,1.6397453714095171,0.07661541341970696
9051+7053,93,0.6021505376344086,0.8958483506388474,0.5627488151658745,2.818646858675347,-1.4279966765488072,0.5005293284970952,0.09728900446469196,1.092248832065616,0.6129032258064516,1.8776937944757441,1.0916141849607588,4.363642118536221,-1.8095529995501756,0.5113079516226956,0.050461867014234774,1.918827214060735,0.6881720430107527,2.8682642634043485,1.5665469061876094,5.8606139451147845,-2.138047617773726,0.5881422410187721,0.12729615641031128,2.7588683821442097,1.0,1.4362456825263465,0.0898967283925659
2324+2454,38,0.6578947368421053,0.7525853583976732,0.5629252887805959,2.8518674802532957,-1.5914496238576517,0.4989181162907454,0.09567779225834216,0.948985839824442,0.6052631578947368,1.3432304581186187,0.645087905257662,4.350596293887129,-2.1570978160690295,0.44717586998695963,-0.013670214621501198,1.3843638777036096,0.6052631578947368,1.1573227890042614,0.7010752421101875,5.002163839615076,-2.7116714641547808,0.44717586998695963,-0.013670214621501198,1.0479269077441227,1.0,0.9729538259318882,0.0014418405813216295
5467+7861,33,0.6666666666666666,0.750659689392878,1.3505633802817043,3.1685719928603584,-1.9393496332692586,0.49607581799949974,0.0928354939670965,0.9470601708196467,0.6666666666666666,1.8703703194848877,1.5807407407407539,4.718907815622804,-2.415117949997962,0.49607581799949974,0.03522973339103891,1.9115037390698786,0.6060606060606061,1.4831919083851284,2.1040306122448937,5.726919240874087,-3.113024196523217,0.4368314280651038,-0.02401465654335705,1.3737960271249896,1.0,0.7103196508328453,0.07128437581969865
2324+8030,33,0.6666666666666666,0.6523116154214396,0.40815273583457057,2.5024433432836672,-1.3268100470956594,0.49607581799949974,0.0928354939670965,0.8487120968482083,0.6060606060606061,1.449558341835207,0.5305370843989677,3.9432891152020835,-1.733861062855476,0.4368314280651038,-0.02401465654335705,1.4906917614201978,0.5454545454545454,0.8678847958394442,0.8124770642201674,4.629497169641443,-2.329571650978581,0.3798565794374957,-0.08098950517096515,0.7584889145793053,1.0,0.8627499541769437,-0.00140045770992403
