pattern_id,avg1,win1,avg2,win2,avg3,win3,avg5,win5,avg6,win6,n,last_date,n_recent,best_hold,best_avg,best_win,nstocks,n_consistent_stocks
6145,-0.08,45.0,0.74,48.0,1.04,49.0,1.7,52.0,1.99,53.0,17663,2024-12-31,5714,6,1.99,53.0,432,207
6150,-0.07,45.0,0.08,47.0,0.27,49.0,0.6,51.0,0.7,51.0,32761,2024-12-31,14600,6,0.7,51.0,445,140
6151,-0.07,44.0,0.13,48.0,0.37,50.0,0.92,52.0,1.15,53.0,16051,2024-12-31,11196,6,1.15,53.0,435,172
6166,-0.08,45.0,0.63,48.0,0.92,49.0,1.54,52.0,1.85,53.0,21310,2024-12-31,6052,6,1.85,53.0,423,208
6170,-0.19,43.0,0.04,48.0,0.27,49.0,0.66,51.0,0.84,52.0,12478,2024-12-31,9602,6,0.84,52.0,400,144
6174,0.01,46.0,0.84,50.0,1.21,52.0,1.96,55.0,2.33,56.0,21918,2024-12-31,9689,6,2.33,56.0,440,258
6197,-0.12,45.0,-0.09,48.0,-0.04,48.0,0.15,51.0,0.31,51.0,15333,2024-12-31,3372,6,0.31,51.0,399,172
6199,-0.01,47.0,0.15,48.0,0.25,49.0,0.47,51.0,0.59,51.0,9346,2024-12-31,2776,6,0.59,51.0,407,152
6201,-0.06,44.0,0.13,48.0,0.38,50.0,0.92,53.0,1.12,54.0,16783,2024-12-31,11830,6,1.12,54.0,406,179
6205,-0.04,46.0,0.16,48.0,0.38,49.0,0.66,51.0,0.81,52.0,17896,2024-12-31,5966,6,0.81,52.0,432,185
6222,-0.1,45.0,0.11,49.0,0.32,51.0,0.76,53.0,0.95,54.0,42166,2024-12-31,27293,6,0.95,54.0,441,192
6223,-0.19,42.0,0.54,45.0,1.41,46.0,3.23,49.0,4.18,50.0,19881,2024-12-31,8968,6,4.18,50.0,403,166
6226,-0.05,46.0,0.03,48.0,0.11,49.0,0.26,51.0,0.33,51.0,24578,2024-12-31,9548,6,0.33,51.0,437,142
6227,-0.02,47.0,0.02,48.0,0.18,49.0,0.38,51.0,0.43,51.0,9385,2024-12-31,3842,6,0.43,51.0,429,163
6228,-0.11,43.0,0.1,47.0,0.32,49.0,0.78,52.0,0.99,52.0,27295,2024-12-31,19326,6,0.99,52.0,429,132
6229,-0.09,45.0,0.8,48.0,1.22,50.0,2.27,54.0,2.59,55.0,17312,2024-12-31,8118,6,2.59,55.0,439,231
6236,-0.1,43.0,0.15,47.0,0.35,49.0,0.88,52.0,1.07,52.0,12859,2024-12-31,8535,6,1.07,52.0,430,170
6245,-0.05,45.0,0.22,48.0,0.49,50.0,0.93,52.0,1.09,52.0,28904,2024-12-31,15423,6,1.09,52.0,444,169
6251,-0.07,45.0,1.01,48.0,2.13,49.0,4.39,51.0,4.87,52.0,13944,2024-12-31,3915,6,4.87,52.0,387,175
6255,-0.12,43.0,0.14,47.0,0.4,49.0,0.92,51.0,1.18,52.0,53679,2024-12-31,35537,6,1.18,52.0,417,150
6263,-0.14,43.0,0.44,46.0,1.04,48.0,2.22,50.0,2.52,51.0,28280,2024-12-31,13733,6,2.52,51.0,444,192
6264,-0.18,43.0,-0.09,45.0,0.03,46.0,0.29,48.0,0.42,49.0,22447,2024-12-31,6164,6,0.42,49.0,405,139
6266,-0.12,44.0,0.1,47.0,0.32,48.0,0.89,49.0,1.74,50.0,18929,2024-12-31,5210,6,1.74,50.0,388,149
6270,-0.1,44.0,0.04,47.0,0.26,49.0,0.7,51.0,0.87,52.0,55734,2024-12-31,34547,6,0.87,52.0,445,110
6288,-0.07,44.0,0.05,46.0,0.77,47.0,2.39,49.0,2.69,50.0,16941,2024-12-31,5101,6,2.69,50.0,412,167
6292,-0.09,45.0,0.12,48.0,0.35,50.0,0.79,53.0,1.01,53.0,50870,2024-12-31,35569,6,1.01,53.0,427,180
6295,-0.13,43.0,0.67,46.0,1.55,47.0,3.39,50.0,4.33,50.0,20051,2024-12-31,6769,6,4.33,50.0,368,153
6299,-0.09,45.0,0.03,47.0,0.21,49.0,0.5,51.0,0.6,52.0,48721,2024-12-31,25912,6,0.6,52.0,447,156
6318,-0.03,47.0,0.02,48.0,0.07,50.0,0.19,51.0,0.27,51.0,10443,2024-12-31,2190,6,0.27,51.0,385,152
6320,0.04,47.0,0.34,52.0,0.59,54.0,1.07,57.0,1.33,58.0,26257,2024-12-31,17393,6,1.33,58.0,445,281
6328,-0.09,45.0,0.0,47.0,0.23,48.0,0.9,51.0,0.97,51.0,7220,2024-12-31,1085,6,0.97,51.0,362,121
6329,-0.07,44.0,0.22,47.0,0.42,47.0,0.78,49.0,2.41,50.0,6545,2024-12-31,1311,6,2.41,50.0,365,129
