pattern_id,best_hold,n_consistent_stocks,mfe1,mfe2,mfe3,mfe5,mfe6,mae1,mae2,mae3,mae5,mae6,plain6_ret,plain6_wr,widestop_s8_ret,widestop_s8_wr,t8_s6_ret,t8_s6_wr,t12_s8_ret,t12_s8_wr,t6_s5_ret,t6_s5_wr,best_config,best_config_ret,pattern
6145,6,207,2.6,4.58,5.76,7.72,8.5,-2.59,-3.75,-4.59,-5.81,-6.29,1.99,53.0,1.81,50.0,0.38,49.0,0.55,51.0,0.18,49.0,plain6,1.99,FALCPAT_6145
6150,6,140,1.96,2.93,3.72,4.99,5.54,-1.91,-2.67,-3.22,-4.05,-4.44,0.7,51.0,0.66,50.0,0.37,50.0,0.46,51.0,0.28,50.0,plain6,0.7,FALCPAT_6150
6151,6,172,2.15,3.2,4.03,5.48,6.11,-2.06,-2.82,-3.37,-4.18,-4.52,1.15,53.0,0.97,51.0,0.53,51.0,0.7,52.0,0.38,51.0,plain6,1.15,FALCPAT_6151
6166,6,208,2.62,4.5,5.66,7.58,8.4,-2.57,-3.71,-4.53,-5.75,-6.23,1.85,53.0,1.71,49.0,0.4,49.0,0.56,51.0,0.21,49.0,plain6,1.85,FALCPAT_6166
6170,6,144,1.99,3.05,3.94,5.31,5.93,-2.15,-3.01,-3.67,-4.64,-5.05,0.84,52.0,0.5,50.0,0.24,49.0,0.35,50.0,0.17,49.0,plain6,0.84,FALCPAT_6170
6174,6,258,2.8,4.74,5.95,7.95,8.79,-2.68,-3.78,-4.58,-5.71,-6.15,2.33,56.0,2.07,52.0,0.69,51.0,0.91,53.0,0.47,51.0,plain6,2.33,FALCPAT_6174
6197,6,172,2.19,3.25,4.09,5.45,6.05,-2.24,-3.26,-4.02,-5.19,-5.66,0.31,51.0,0.4,49.0,0.24,49.0,0.31,50.0,0.12,48.0,widestop_s8,0.4,FALCPAT_6197
6199,6,152,1.7,2.61,3.26,4.3,4.79,-1.64,-2.33,-2.84,-3.6,-3.95,0.59,51.0,0.66,51.0,0.29,51.0,0.32,51.0,0.24,50.0,widestop_s8,0.66,FALCPAT_6199
6201,6,179,1.99,2.99,3.83,5.28,5.88,-1.9,-2.65,-3.21,-4.09,-4.46,1.12,54.0,0.97,53.0,0.68,52.0,0.83,53.0,0.57,52.0,plain6,1.12,FALCPAT_6201
6205,6,185,2.15,3.25,4.1,5.42,6.02,-2.03,-2.85,-3.43,-4.36,-4.75,0.81,52.0,0.74,50.0,0.41,50.0,0.51,51.0,0.33,50.0,plain6,0.81,FALCPAT_6205
6222,6,192,1.77,2.74,3.52,4.81,5.36,-1.8,-2.55,-3.11,-3.95,-4.29,0.95,54.0,0.79,53.0,0.48,52.0,0.59,53.0,0.36,51.0,plain6,0.95,FALCPAT_6222
6223,6,166,2.1,3.83,5.49,8.57,10.04,-2.17,-3.15,-3.91,-5.09,-5.57,4.18,50.0,3.86,47.0,0.11,47.0,0.21,48.0,-0.04,46.0,plain6,4.18,FALCPAT_6223
6226,6,142,1.5,2.24,2.81,3.78,4.22,-1.5,-2.12,-2.58,-3.32,-3.65,0.33,51.0,0.39,51.0,0.28,51.0,0.31,51.0,0.24,51.0,widestop_s8,0.39,FALCPAT_6226
6227,6,163,1.7,2.49,3.17,4.19,4.6,-1.63,-2.3,-2.79,-3.55,-3.88,0.43,51.0,0.47,51.0,0.29,50.0,0.35,51.0,0.23,50.0,widestop_s8,0.47,FALCPAT_6227
6228,6,132,1.97,3.01,3.82,5.23,5.86,-1.96,-2.72,-3.27,-4.15,-4.52,0.99,52.0,0.85,51.0,0.44,50.0,0.59,51.0,0.33,50.0,plain6,0.99,FALCPAT_6228
6229,6,231,2.26,4.1,5.18,7.21,7.91,-2.34,-3.3,-3.98,-4.94,-5.32,2.59,55.0,2.42,52.0,0.45,51.0,0.67,53.0,0.22,50.0,plain6,2.59,FALCPAT_6229
