pattern_id,n,win_rate,avg_ret,loss_rate,avg_loss,worst,med
6145,17663.0,45.1,-0.075,54.9,-2.312,-40.57,-0.209
6150,32761.0,45.0,-0.072,55.0,-1.734,-28.7,-0.217
6151,16051.0,44.0,-0.07,56.0,-1.839,-23.87,-0.29
6166,21310.0,45.0,-0.078,55.0,-2.307,-40.57,-0.202
6170,12478.0,43.3,-0.189,56.7,-1.896,-20.54,-0.319
6174,21918.0,46.5,0.014,53.5,-2.402,-40.57,-0.171
6197,15333.0,44.8,-0.124,55.2,-1.987,-31.06,-0.216
6199,9346.0,47.2,-0.014,52.8,-1.51,-13.86,-0.093
6201,16783.0,44.3,-0.057,55.7,-1.691,-23.87,-0.261
6205,17896.0,45.8,-0.037,54.2,-1.85,-14.81,-0.18
6222,42166.0,44.7,-0.103,55.3,-1.615,-21.31,-0.219
6223,19881.0,42.0,-0.188,58.0,-1.933,-40.57,-0.324
6226,24578.0,45.9,-0.055,54.1,-1.35,-13.68,-0.128
6227,9385.0,47.1,-0.02,52.9,-1.479,-19.79,-0.109
6228,27295.0,43.3,-0.111,56.7,-1.731,-23.87,-0.303
6229,17312.0,45.4,-0.093,54.6,-2.093,-33.36,-0.194
6236,12859.0,43.2,-0.104,56.8,-1.745,-23.87,-0.306
6245,28904.0,45.0,-0.052,55.0,-1.981,-23.87,-0.247
6251,13944.0,44.7,-0.068,55.3,-2.238,-33.36,-0.202
6255,53679.0,43.4,-0.121,56.6,-1.969,-25.13,-0.334
6263,28280.0,43.1,-0.139,56.9,-1.85,-33.36,-0.282
6264,22447.0,42.5,-0.179,57.5,-1.781,-31.06,-0.307
6266,18929.0,43.6,-0.117,56.4,-1.86,-40.57,-0.262
6270,55734.0,44.0,-0.098,56.0,-1.728,-23.87,-0.269
6288,16941.0,43.9,-0.075,56.1,-2.03,-33.36,-0.224
6292,50870.0,44.7,-0.088,55.3,-1.834,-25.13,-0.259
6295,20051.0,43.3,-0.13,56.7,-1.998,-33.36,-0.261
