symbol,n,avg,median,win_pct,sum_contrib,p10,p90
OLAELEC,21.0,2.336642857142857,2.3506,80.95238095238095,49.0695,-1.0709,5.9649
ATGL,11.0,3.7798636363636366,1.8989,72.72727272727273,41.578500000000005,-0.2021,8.5943
PWL,7.0,4.4671,3.3598,100.0,31.269700000000004,2.26128,7.396540000000001
ATHERENERG,21.0,1.274547619047619,1.4603,61.904761904761905,26.7655,-2.7303,6.4241
MRPL,16.0,1.5554062499999999,1.7415500000000002,68.75,24.886499999999998,-2.10175,4.4178
ITI,19.0,1.0457210526315792,0.6939,84.21052631578947,19.868700000000004,-0.24867999999999996,2.5978999999999983
SARDAEN,9.0,2.196988888888889,2.7771,77.77777777777779,19.7729,-0.7788199999999998,4.72316
NIACL,8.0,2.122525,1.43335,87.5,16.9802,0.3338500000000001,4.52712
HEXT,9.0,1.7705333333333335,1.5149,77.77777777777779,15.934800000000001,-1.05688,4.8604
JPPOWER,16.0,0.9847999999999999,1.2867,75.0,15.756799999999998,-3.3399,5.28825
SAGILITY,7.0,2.178314285714286,1.5822,85.71428571428571,15.2482,0.15458000000000002,4.38368
KPRMILL,14.0,1.0709071428571428,1.4666000000000001,78.57142857142857,14.9927,-2.955,4.077510000000001
GRAVITA,7.0,1.9958857142857143,2.4089,100.0,13.9712,0.6558600000000001,3.2450200000000002
URBANCO,10.0,1.3549499999999999,1.18655,80.0,13.549499999999998,-2.0055199999999997,4.12696
IRCON,10.0,1.31891,1.2382499999999999,90.0,13.1891,0.06981,2.3521799999999997
INDIACEM,7.0,1.8388571428571427,1.541,85.71428571428571,12.872,-0.09331999999999997,4.383720000000001
JBMA,8.0,1.5291625,1.67875,87.5,12.2333,-0.09589999999999993,2.99773
ACMESOLAR,9.0,1.3551777777777776,0.592,77.77777777777779,12.196599999999998,-0.41847999999999996,3.476000000000001
CANFINHOME,10.0,1.2109,1.575,60.0,12.109000000000002,-1.06595,3.28648
JKCEMENT,5.0,2.38252,2.2959,100.0,11.9126,1.28318,3.57522
AEGISVOPAK,28.0,0.41061071428571433,0.2711,57.14285714285714,11.497100000000001,-1.9887099999999998,2.898280000000001
BALRAMCHIN,6.0,1.9083833333333333,1.81235,100.0,11.4503,0.7401,3.1727
IDEA,10.0,1.13841,1.5392,70.0,11.3841,-1.45782,3.87656
EIHOTEL,5.0,2.22542,1.5979,100.0,11.1271,1.36998,3.5768600000000004
WELSPUNLIV,10.0,1.09381,1.46155,60.0,10.938099999999999,-0.9741799999999999,3.2271099999999997
