rank_in_basket,n,avg,median,win_pct,sum_contrib,p10,p90
1,179.0,0.22082737430167595,0.5001,58.10055865921788,39.528099999999995,-4.07242,4.555100000000002
2,179.0,0.07882625698324015,0.2057,50.83798882681564,14.109899999999987,-3.41608,4.234620000000002
3,179.0,0.06503743016759776,0.1975,51.955307262569825,11.6417,-2.85686,3.158580000000001
4,179.0,0.26631117318435754,0.5215,60.33519553072626,47.6697,-2.1374999999999997,3.0828400000000005
5,179.0,0.48228268156424575,0.5598,61.452513966480446,86.3286,-2.78294,3.2574000000000027
6,179.0,0.26147765363128495,0.3703,55.865921787709496,46.804500000000004,-2.66668,3.3338
7,179.0,0.13758994413407816,0.2165,56.424581005586596,24.62859999999999,-2.19048,2.7448800000000007
8,179.0,0.2957720670391061,0.2233,56.424581005586596,52.94319999999999,-2.4879399999999996,2.7436200000000013
9,179.0,0.14634972067039104,0.2205,55.3072625698324,26.196599999999997,-2.7087399999999997,2.5372400000000006
10,179.0,0.6223921787709497,0.7151,61.452513966480446,111.4082,-2.31108,3.5659400000000003
11,163.0,-0.08045214723926386,0.2777,53.987730061349694,-13.113700000000009,-3.3379399999999997,2.949120000000004
12,153.0,-0.11993790849673207,0.0383,50.98039215686274,-18.350500000000007,-3.1376,2.8664400000000025
13,132.0,-0.09068030303030303,0.2249,52.27272727272727,-11.9698,-2.8803,2.7934200000000016
14,114.0,0.5711859649122808,0.80325,65.78947368421053,65.11520000000002,-1.83845,3.0403500000000006
15,99.0,0.7299121212121211,0.6073,65.65656565656566,72.26129999999999,-2.6462600000000003,3.7782400000000003
