symbol,n,avg,median,win_pct,sum_contrib,p10,p90
CARTRADE,12.0,-2.2749333333333337,-1.5028000000000001,16.666666666666664,-27.299200000000003,-5.25023,1.2093500000000004
GROWW,17.0,-1.6020176470588234,-0.1074,47.05882352941176,-27.234299999999998,-7.4824399999999995,2.04362
HFCL,14.0,-1.8575214285714285,-2.0426,21.428571428571427,-26.0053,-4.422079999999999,2.1911700000000023
ONESOURCE,31.0,-0.8213483870967742,-0.3945,48.38709677419355,-25.4618,-5.2501,3.6329
CHENNPETRO,15.0,-1.6346933333333333,-1.6562,40.0,-24.5204,-6.903560000000001,3.3518799999999995
SCI,16.0,-1.5237,-0.71375,31.25,-24.3792,-5.11465,1.36895
DATAPATTNS,8.0,-2.7848,-2.9942,25.0,-22.2784,-7.38474,1.5065599999999997
CPPLUS,8.0,-2.1817625,-2.60975,25.0,-17.4541,-5.7061399999999995,2.187479999999999
KIRLOSENG,11.0,-1.4077454545454546,-1.0285,18.181818181818183,-15.4852,-3.3568,0.1172
JAINREC,26.0,-0.5846692307692309,-0.2473,46.15384615384615,-15.201400000000003,-4.07105,3.7573499999999997
TATAINVEST,14.0,-0.9485571428571431,0.38654999999999995,64.28571428571429,-13.279800000000003,-8.12425,5.4384700000000015
GALLANTT,10.0,-1.2229999999999999,-0.7912,50.0,-12.229999999999999,-4.18385,2.6492699999999996
LLOYDSME,5.0,-2.43874,-2.1484,0.0,-12.1937,-3.4285,-1.5987399999999998
SAMMAANCAP,8.0,-1.4155375000000001,-1.5199,25.0,-11.324300000000001,-4.55607,2.2934
GRAPHITE,8.0,-1.334275,-0.8133999999999999,37.5,-10.6742,-3.95221,0.8026299999999998
ELECON,8.0,-1.3217000000000003,-1.2856,37.5,-10.573600000000003,-4.3002,1.5613899999999994
PFIZER,6.0,-1.7571833333333335,-0.6125,33.33333333333333,-10.5431,-5.11885,0.4598
ANURAS,12.0,-0.8666250000000001,-0.2209,33.33333333333333,-10.399500000000002,-3.25973,0.6468200000000001
COHANCE,6.0,-1.6135333333333337,0.20794999999999997,50.0,-9.681200000000002,-9.63265,4.584099999999999
ZEEL,5.0,-1.92866,-2.073,20.0,-9.6433,-4.10628,0.3583400000000001
TEJASNET,10.0,-0.96096,0.8513999999999999,80.0,-9.6096,-11.679079999999999,2.778999999999999
AMBER,6.0,-1.5312666666666666,-1.93845,16.666666666666664,-9.1876,-3.5345,0.8791500000000001
TARIL,13.0,-0.6937384615384616,0.0617,53.84615384615385,-9.018600000000001,-3.9293199999999997,2.322120000000001
SYRMA,10.0,-0.8800100000000001,-0.6507,40.0,-8.8001,-4.97148,3.375
SWANCORP,8.0,-1.0934375,-1.0646499999999999,37.5,-8.7475,-3.91423,1.4802999999999993
