tag,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,avg_score,avg_patterns
baseline_15_min10_fast,2025-07-02,2025-07-03,-0.32252887798712365,14,"KPRMILL,LTFOODS,JMFINANCIL,APARINDS,CCL,ZENSARTECH,RBLBANK,ONESOURCE,SAILIFE,RITES,BAJAJHLDNG,FIVESTAR,GABRIEL,CUB","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,LONG,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:16","-4.0526,-0.3014,-1.8552,-0.3980,-3.0065,-0.1881,-0.8380,-0.3945,-0.0445,3.5614,1.3316,-0.7392,-0.3163,2.7258",7.360502357253481,3.2142857142857144
baseline_15_min10_fast,2025-07-04,2025-07-07,0.5798605862039986,15,"TEGA,BLUEJET,GABRIEL,SAPPHIRE,MARICO,BAJAJHFL,CREDITACC,TRENT,ABLBL,POONAWALLA,BDL,GODREJIND,ENGINERSIN,CHOICEIN,CRAFTSMAN","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,LONG,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-2.7847,1.4280,2.9356,-0.4360,-0.2284,0.8509,0.0891,-0.1949,-2.1030,1.0366,1.5802,-0.3540,3.0691,3.3928,0.4166",18.068070287091313,5.533333333333333
baseline_15_min10_fast,2025-07-07,2025-07-08,0.31863876363747584,10,"HOMEFIRST,JPPOWER,CONCORDBIO,TRITURBINE,TEGA,MRPL,360ONE,GILLETTE,ACMESOLAR,DCMSHRIRAM","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.3577,3.1503,-2.1541,-0.3787,1.0634,0.8530,1.5979,1.2602,-1.2564,-2.3069",16.1192867168592,4.5
baseline_15_min10_fast,2025-07-08,2025-07-09,-0.2935484995716854,10,"AEGISVOPAK,JPPOWER,BSE,DIVISLAB,WAAREEENER,VTL,SIEMENS,CARTRADE,LEMONTREE,SCHAEFFLER","SHORT,SHORT,LONG,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-4.4917,0.8555,1.0372,-0.8654,-2.2578,-0.5997,1.8801,1.7604,0.2322,-0.4863",11.932278513869653,3.1
baseline_15_min10_fast,2025-07-10,2025-07-11,0.2612958471553265,10,"LEMONTREE,ACMESOLAR,SARDAEN,HOMEFIRST,GALLANTT,ELGIEQUIP,ATHERENERG,NUVAMA,KIRLOSENG,CGCL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.8858,0.4616,-2.8397,-0.6797,1.9457,1.0455,-0.9157,0.8225,-0.3189,1.2057",24.30997998692749,6.1
baseline_15_min10_fast,2025-07-11,2025-07-14,-1.6437678896928143,15,"PTCIL,GABRIEL,CRISIL,NAVINFLUOR,EMCURE,KIRLOSENG,ZEEL,TATAELXSI,BALRAMCHIN,NMDC,RPOWER,NETWEB,JPPOWER,ELECON,ACMESOLAR","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,LONG,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:16,09:16,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.3618,-2.6675,-0.1872,2.0606,-4.4662,-1.0285,-4.6480,-2.5561,0.8504,-0.2553,-0.2898,-1.3760,-12.0867,0.7765,1.5790",6.395816172209949,2.933333333333333
baseline_15_min10_fast,2025-07-14,2025-07-15,0.6876438620848636,13,"ANANDRATHI,JPPOWER,ABDL,NEULANDLAB,OLAELEC,UTIAMC,NAVA,CASTROLIND,BEML,RAMCOCEM,GODFRYPHLP,HOMEFIRST,HEG","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.6282,9.4596,-0.3823,-1.1937,8.9931,-1.6409,0.0510,-0.6106,-0.2249,-2.5629,-3.3461,-2.0270,0.7959",81.96070103905002,15.0
baseline_15_min10_fast,2025-07-15,2025-07-16,0.10691661325692113,14,"AEGISVOPAK,NAM-INDIA,DEEPAKFERT,GODFRYPHLP,JPPOWER,OLAELEC,TEJASNET,AIAENG,OBEROIRLTY,HSCL,SOBHA,PREMIERENE,INDIACEM,SWANCORP","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:16,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-4.1517,-2.4367,1.3713,0.9779,2.9586,5.1795,0.6323,-0.0129,0.4176,0.6278,-0.4863,-0.2489,1.5410,-4.8726",4.942747412098414,3.4285714285714284
baseline_15_min10_fast,2025-07-18,2025-07-21,-0.14790558053679992,12,"SAMMAANCAP,NUVOCO,RRKABEL,WIPRO,AXISBANK,AEGISVOPAK,SAPPHIRE,SYRMA,POLYCAB,GMDCLTD,ITCHOTELS,ATUL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,LONG","09:15,09:15,09:15,09:15,09:16,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.8924,-2.0473,2.7915,2.1355,-1.2864,-0.8675,2.4452,-1.1962,-0.9603,-1.3840,1.2775,-1.7906",4.452842227454044,3.75
baseline_15_min10_fast,2025-07-21,2025-07-22,0.3264306742121379,11,"AEGISVOPAK,ETERNAL,LATENTVIEW,ZENTEC,IRCON,SUMICHEM,MRPL,KARURVYSYA,MMTC,SWIGGY,PARADEEP","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,LONG,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","3.9851,-2.3890,-0.8764,1.0455,1.8880,-1.5620,2.4961,0.1561,2.1411,-3.3644,0.0706",29.949718691827556,7.0
