tag,month,baskets,avg_positions,win_pct,avg_basket_pct,month_ret_pct,end_equity
baseline_15_min10_fast,2025-07,16,12.6875,56.25,0.03854653832930892,0.5457755200243053,1005457.755200243
baseline_15_min10_fast,2025-08,16,14.0,62.5,0.47332318306895155,7.7544324648922025,1083425.297790267
baseline_15_min10_fast,2025-09,14,13.214285714285714,71.42857142857143,0.45602543809531165,6.541897468978108,1154301.869924677
baseline_15_min10_fast,2025-10,17,13.411764705882353,47.05882352941176,0.05994237160777803,0.9686522390898622,1165483.0408335587
baseline_15_min10_fast,2025-11,14,13.428571428571429,78.57142857142857,0.5115917210281041,7.312793024974895,1250712.4033509004
baseline_15_min10_fast,2025-12,16,12.875,50.0,0.11182804358599532,1.7691557974976124,1272839.4543448046
baseline_15_min10_fast,2026-01,16,13.75,68.75,0.4816677222784752,7.897897645499641,1373367.0116404935
baseline_15_min10_fast,2026-02,20,14.15,45.0,0.009867666370344252,0.07533086190960603,1374401.5808475446
baseline_15_min10_fast,2026-03,18,14.5,77.77777777777779,0.9256159758218975,17.87918274950522,1620133.3511993657
baseline_15_min10_fast,2026-04,20,14.55,35.0,-0.277133976760053,-5.515901940865886,1530768.3842359444
baseline_15_min10_fast,2026-05,8,13.25,25.0,-0.5386982650848935,-4.259995542986905,1465557.7192940405
baseline_15_min10_fast,2026-06,3,13.666666666666666,33.33333333333333,0.2455165727584797,0.7197498540059133,1476106.0688390317
short_only_15_min10,2025-07,15,12.466666666666667,60.0,0.07012105886232295,0.9579332419422437,1009579.3324194223
short_only_15_min10,2025-08,16,13.4375,62.5,0.5130155884317685,8.436983304657009,1094757.3721429168
short_only_15_min10,2025-09,14,13.214285714285714,71.42857142857143,0.45602543809531165,6.541897468978131,1166375.2769625857
short_only_15_min10,2025-10,17,13.294117647058824,47.05882352941176,0.07249400251602062,1.1832168033692358,1180176.0252299516
short_only_15_min10,2025-11,14,13.214285714285714,71.42857142857143,0.5316634101557158,7.612905344193899,1270021.7089255778
short_only_15_min10,2025-12,16,12.6875,50.0,0.10650546583100222,1.6764635873415035,1291313.1604270474
short_only_15_min10,2026-01,13,13.846153846153847,69.23076923076923,0.6989368437480832,9.404279312012953,1412751.8568263887
short_only_15_min10,2026-02,20,13.7,45.0,-0.007651724053894138,-0.28147103784528227,1408775.369512801
short_only_15_min10,2026-03,18,14.222222222222221,83.33333333333334,0.8918341061210874,17.1534402130076,1650428.8102577564
short_only_15_min10,2026-04,20,14.35,30.0,-0.31365168552716816,-6.20245725341575,1548061.668803461
short_only_15_min10,2026-05,7,13.0,28.57142857142857,-0.4628771556685983,-3.2241192903775473,1498150.313912628
short_only_15_min10,2026-06,3,13.333333333333334,33.33333333333333,0.3196801594464104,0.9398301924999908,1512230.3828918121
short_0915_15_min10,2025-07,15,12.066666666666666,73.33333333333333,0.13394546348360317,1.9218051957255344,1019218.0519572553
short_0915_15_min10,2025-08,15,13.533333333333333,60.0,0.4823635683756715,7.393923243234757,1094578.2524001673
short_0915_15_min10,2025-09,14,13.214285714285714,71.42857142857143,0.4939860622658161,7.107380236590766,1172374.0907852773
short_0915_15_min10,2025-10,17,13.294117647058824,52.94117647058824,0.07490408388274969,1.226044642164248,1186747.920511472
short_0915_15_min10,2025-11,12,13.25,66.66666666666666,0.7098380498692207,8.811879711818516,1291322.7197494505
short_0915_15_min10,2025-12,16,12.375,56.25,0.17755513541959955,2.8346284383203413,1327926.92079396
short_0915_15_min10,2026-01,13,13.692307692307692,69.23076923076923,0.694943005036947,9.348164853294527,1452063.7184810573
short_0915_15_min10,2026-02,20,13.4,40.0,-0.026407596654716037,-0.6751946354158322,1442259.4621510536
short_0915_15_min10,2026-03,18,13.944444444444445,77.77777777777779,0.8742324455992009,16.779042050005486,1684256.783775562
short_0915_15_min10,2026-04,19,14.473684210526315,36.84210526315789,-0.33439250194337544,-6.264550686044224,1578745.6638728036
short_0915_15_min10,2026-05,6,13.333333333333334,50.0,-0.26802514929953863,-1.6214415734787435,1553147.225339277
short_0915_15_min10,2026-06,3,13.333333333333334,33.33333333333333,0.3196801594464104,0.9398301924999686,1567744.171896991
short_mr_0915_15_min10,2025-07,9,11.666666666666666,66.66666666666666,-0.0830416701560428,-0.8096540444300526,991903.4595556995
short_mr_0915_15_min10,2025-08,10,13.4,70.0,0.7923760064273517,8.152780492299172,1072771.171308797
short_mr_0915_15_min10,2025-09,11,12.636363636363637,63.63636363636363,0.4427274431803831,4.945332754079712,1125823.2754198555
short_mr_0915_15_min10,2025-10,11,12.636363636363637,45.45454545454545,0.08510086731581316,0.8887636904618246,1135829.1839105552
short_mr_0915_15_min10,2025-11,5,13.0,80.0,0.876788995946041,4.455806572614551,1186439.535340916
short_mr_0915_15_min10,2025-12,8,13.375,50.0,0.24444553285525364,1.9517665654345429,1209596.0655107968
short_mr_0915_15_min10,2026-01,7,14.285714285714286,57.14285714285714,0.7405532406770775,5.236986547918421,1272942.4487457478
short_mr_0915_15_min10,2026-02,12,13.416666666666666,41.66666666666667,-0.03863680332741389,-0.5331457489847202,1266155.8101932378
short_mr_0915_15_min10,2026-03,13,13.846153846153847,76.92307692307693,0.6447222557032022,8.577913998455777,1374765.5666780649
short_mr_0915_15_min10,2026-04,14,14.357142857142858,35.714285714285715,-0.5904114705569575,-8.023725967714036,1264458.144909326
short_mr_0915_15_min10,2026-05,5,13.2,40.0,-0.7517119962155225,-3.735779609226264,1217220.7753646027
short_mr_0915_15_min10,2026-06,3,13.0,33.33333333333333,0.1769518212985712,0.5162840511240718,1223505.0920947788
short_0915_top10_min10,2025-07,15,10.0,73.33333333333333,0.31733287135662647,4.781952362289932,1047819.5236228993
short_0915_top10_min10,2025-08,15,10.0,60.0,0.47848610900402705,7.302826728566325,1124339.9678611688
short_0915_top10_min10,2025-09,14,10.0,85.71428571428571,0.7036939881287896,10.281745072700899,1239941.7371071414
short_0915_top10_min10,2025-10,17,10.0,52.94117647058824,0.12518592443124596,2.066992455755501,1265571.2392689097
short_0915_top10_min10,2025-11,12,10.0,66.66666666666666,0.7331573047352345,9.107959864280124,1380838.9597953947
short_0915_top10_min10,2025-12,17,10.0,76.47058823529412,0.3806390090652318,6.629234774250259,1472378.0162945467
short_0915_top10_min10,2026-01,13,10.0,76.92307692307693,0.6669768621773092,8.922590445893519,1603752.2765038805
short_0915_top10_min10,2026-02,20,10.0,45.0,-0.07101156696902826,-1.5524439983861993,1578854.920538314
short_0915_top10_min10,2026-03,18,10.0,72.22222222222221,0.8791511998104093,16.851594095636923,1844917.1431064215
short_0915_top10_min10,2026-04,19,10.0,36.84210526315789,-0.31653084028698847,-5.997538210579334,1734267.5324950852
short_0915_top10_min10,2026-05,6,10.0,50.0,-0.20330159721027372,-1.2363511645934744,1712825.8956599156
short_0915_top10_min10,2026-06,3,10.0,33.33333333333333,0.5672038478164952,1.684732561321911,1741682.4312428518
short_mr_0915_top10_min10,2025-07,9,10.0,66.66666666666666,-0.012339106534808655,-0.16434503665158084,998356.5496334842
short_mr_0915_top10_min10,2025-08,10,10.0,80.0,0.8066757524297689,8.30914444124755,1081311.4373811858
short_mr_0915_top10_min10,2025-09,11,10.0,90.9090909090909,0.5478825257713632,6.1624366568076905,1147946.5697726181
short_mr_0915_top10_min10,2025-10,11,10.0,72.72727272727273,0.32177220996993516,3.542191474066203,1188609.0352939393
short_mr_0915_top10_min10,2025-11,5,10.0,100.0,1.0189976384409867,5.1957527041648355,1250366.2213871717
short_mr_0915_top10_min10,2025-12,8,10.0,62.5,0.39769152026325294,3.19562516037053,1290323.2389545944
short_mr_0915_top10_min10,2026-01,7,10.0,71.42857142857143,0.7863851658753073,5.5343729509615525,1361734.5392712685
short_mr_0915_top10_min10,2026-02,12,10.0,33.33333333333333,0.02785902644906668,0.2526019001572344,1365174.3065925653
short_mr_0915_top10_min10,2026-03,13,10.0,69.23076923076923,0.6491702700809492,8.62208341604125,1482880.774081339
short_mr_0915_top10_min10,2026-04,14,10.0,35.714285714285715,-0.5927432277563228,-8.068199134695753,1363239.0002983387
short_mr_0915_top10_min10,2026-05,5,10.0,40.0,-0.5640917508115291,-2.8099084761028625,1324933.2320794158
short_mr_0915_top10_min10,2026-06,3,10.0,33.33333333333333,0.2965018147287018,0.87852966023374,1336573.163501527
short_0915_top12_min10,2025-07,15,11.133333333333333,73.33333333333333,0.2237134090845282,3.3178622256742507,1033178.6222567426
short_0915_top12_min10,2025-08,15,11.8,60.0,0.43729237859854403,6.670829499647346,1102100.2065742954
short_0915_top12_min10,2025-09,14,11.571428571428571,78.57142857142857,0.5381698888725125,7.765629404297036,1187685.2242808472
short_0915_top12_min10,2025-10,17,11.705882352941176,58.82352941176471,0.09988443085203853,1.6551422979889319,1207343.1047948843
short_0915_top12_min10,2025-11,12,11.5,66.66666666666666,0.7543299101761786,9.381983165200447,1320615.8316329487
short_0915_top12_min10,2025-12,17,11.352941176470589,58.82352941176471,0.25721977286825826,4.416857770954263,1378945.5546168808
short_0915_top12_min10,2026-01,13,11.76923076923077,69.23076923076923,0.6550263440325156,8.774930334278697,1499947.0663821453
short_0915_top12_min10,2026-02,20,11.8,40.0,-0.1014834923305011,-2.170985236378098,1467383.4370175025
short_0915_top12_min10,2026-03,18,11.777777777777779,77.77777777777779,0.8548762020152758,16.383338015367222,1707789.8254855932
short_0915_top12_min10,2026-04,19,11.947368421052632,36.84210526315789,-0.31840825180741017,-6.018713977914903,1605002.8405456832
short_0915_top12_min10,2026-05,6,11.333333333333334,50.0,-0.27494866709384747,-1.6662128696454004,1578260.0766583367
short_0915_top12_min10,2026-06,3,11.666666666666666,33.33333333333333,0.4957162600383193,1.4764423450483788,1601562.1767451135
short_mr_0915_top12_min10,2025-07,9,11.0,66.66666666666666,-0.05144030485885352,-0.5301832679742713,994698.1673202573
short_mr_0915_top12_min10,2025-08,10,11.6,70.0,0.8023342374881557,8.258127779232293,1076841.612995246
short_mr_0915_top12_min10,2025-09,11,11.272727272727273,63.63636363636363,0.42560140862668094,4.74419169516378,1127929.043369034
short_mr_0915_top12_min10,2025-10,11,11.454545454545455,54.54545454545454,0.16946692618996717,1.8310366690762025,1148581.8377542815
short_mr_0915_top12_min10,2025-11,5,11.2,100.0,0.9758471355332989,4.974005857234198,1205712.3656393075
short_mr_0915_top12_min10,2025-12,8,11.5,50.0,0.2535479154321383,2.024680429137038,1230124.1879380918
short_mr_0915_top12_min10,2026-01,7,11.857142857142858,57.14285714285714,0.7070738302832387,4.963175298552769,1291177.407775358
short_mr_0915_top12_min10,2026-02,12,11.75,41.66666666666667,-0.013418646378167346,-0.23971963936177954,1288082.2019499182
