entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-06-02,2025-05-30,15,"ITI,IFCI,MMTC,RPOWER,TECHNOE,POWERINDIA,CONCORDBIO,ZENTEC,FORCEMOT,ENGINERSIN,SUZLON,NBCC,GRSE,DEEPAKFERT,PTCIL",173.43655113049087,55.53333333333333
2025-06-03,2025-06-02,15,"MMTC,RPOWER,ANANTRAJ,FORCEMOT,ITI,TEGA,CLEAN,RRKABEL,CCL,SUZLON,CONCORDBIO,GLAXO,ZENTEC,YESBANK,GRSE",157.9824448315738,53.53333333333333
2025-06-04,2025-06-03,15,"RPOWER,MAHABANK,PARADEEP,IOB,FACT,ZFCVINDIA,CONCORDBIO,EMCURE,IFCI,SUZLON,IDBI,GRSE,POWERINDIA,CDSL,SPLPETRO",153.91328010874648,52.93333333333333
2025-06-05,2025-06-04,15,"TECHNOE,GRSE,FACT,MMTC,CONCORDBIO,COCHINSHIP,EMCURE,RAILTEL,IRCON,BSE,RADICO,PTCIL,RPOWER,ABFRL,GILLETTE",154.97099558671388,51.0
2025-06-06,2025-06-05,15,"IRCON,COCHINSHIP,GRSE,GILLETTE,FACT,RAILTEL,FORCEMOT,BRIGADE,RPOWER,RITES,FIRSTCRY,DATAPATTNS,SWIGGY,MMTC,CONCORDBIO",162.20520851298488,50.6
2025-06-09,2025-06-06,15,"COCHINSHIP,RAILTEL,FORCEMOT,IRCON,SOBHA,NEULANDLAB,PTCIL,POWERINDIA,FIRSTCRY,GMDCLTD,GRSE,GILLETTE,GODREJIND,MUTHOOTFIN,GVT&D",157.50599295689165,53.666666666666664
2025-06-10,2025-06-09,15,"COCHINSHIP,NEULANDLAB,GODREJIND,FIRSTCRY,FORCEMOT,PRESTIGE,JMFINANCIL,MCX,IRCON,KFINTECH,SOBHA,JPPOWER,PTCIL,ABREL,GMDCLTD",151.1018352235165,48.6
2025-06-11,2025-06-10,15,"JMFINANCIL,JPPOWER,CGCL,RPOWER,JINDALSAW,RAILTEL,NEULANDLAB,MCX,ZFCVINDIA,IRCON,CONCORDBIO,IIFL,ABREL,HINDZINC,GODREJIND",159.01659887919155,51.93333333333333
2025-06-12,2025-06-11,15,"RPOWER,JPPOWER,JINDALSAW,PTCIL,GALLANTT,ATUL,CONCORDBIO,CRISIL,NEULANDLAB,TTML,TATAINVEST,WOCKPHARMA,FIVESTAR,MCX,COCHINSHIP",149.3444644763952,51.2
2025-06-13,2025-06-12,15,"NEULANDLAB,NAVA,RPOWER,RHIM,TTML,ERIS,FORCEMOT,IKS,REDINGTON,GILLETTE,EMCURE,OIL,BLUEJET,WOCKPHARMA,PFIZER",181.7732134775891,47.333333333333336
2025-06-16,2025-06-13,15,"NEULANDLAB,FORCEMOT,SCI,DCMSHRIRAM,PTCIL,ERIS,IKS,RPOWER,PFIZER,GALLANTT,GILLETTE,TTML,SPLPETRO,TEGA,JUBLINGREA",156.50591936284488,57.666666666666664
2025-06-17,2025-06-16,15,"JUBLINGREA,FORCEMOT,SCI,NAVA,NEULANDLAB,DCMSHRIRAM,RHIM,GILLETTE,ONESOURCE,ANANDRATHI,360ONE,ERIS,PFIZER,OIL,MANAPPURAM",150.03533007526767,49.46666666666667
2025-06-18,2025-06-17,15,"FORCEMOT,ONESOURCE,SCI,JUBLINGREA,BAYERCROP,WOCKPHARMA,SPLPETRO,NAVA,POWERINDIA,SAGILITY,GLAND,RPOWER,IKS,SUPREMEIND,BAJAJHLDNG",160.9090438492619,54.666666666666664
2025-06-19,2025-06-18,15,"FORCEMOT,GRSE,SPLPETRO,ZYDUSWELL,ONESOURCE,BAYERCROP,GODREJIND,POWERINDIA,SAGILITY,ABCAPITAL,BEML,MCX,CRISIL,NEULANDLAB,SUPREMEIND",152.7642260810728,48.666666666666664
2025-06-20,2025-06-19,15,"SWIGGY,DCMSHRIRAM,GILLETTE,CEMPRO,GALLANTT,ZYDUSWELL,SPLPETRO,MRF,AEGISVOPAK,ONESOURCE,CRISIL,GODREJIND,SHREECEM,PTCIL,POWERINDIA",167.82896674197826,49.46666666666667
2025-06-23,2025-06-20,15,"FORCEMOT,GILLETTE,CEMPRO,CRISIL,BEML,SWIGGY,ZYDUSWELL,CONCORDBIO,GALLANTT,WAAREEENER,KAYNES,MRF,POWERINDIA,PTCIL,MCX",147.0728116056758,52.13333333333333
2025-06-24,2025-06-23,15,"GALLANTT,BEML,SWIGGY,GRSE,SPLPETRO,CRISIL,TEGA,KFINTECH,CHENNPETRO,BOSCHLTD,WAAREEENER,MCX,ZEEL,POWERINDIA,FORCEMOT",153.92066086561107,49.53333333333333
2025-06-25,2025-06-24,15,"SPLPETRO,ZEEL,JMFINANCIL,GALLANTT,FORCEMOT,SWANCORP,CHENNPETRO,WAAREEENER,USHAMART,GRSE,BEML,ANANDRATHI,POONAWALLA,KFINTECH,BAYERCROP",150.95246380927745,52.0
2025-06-26,2025-06-25,15,"GALLANTT,IDEA,SPLPETRO,JMFINANCIL,PAGEIND,MCX,SAMMAANCAP,NEULANDLAB,ENDURANCE,PTCIL,KFINTECH,CEMPRO,ZEEL,RKFORGE,KAJARIACER",145.75804012412254,46.266666666666666
2025-06-27,2025-06-26,15,"SPLPETRO,SAMMAANCAP,IDEA,NUVAMA,APARINDS,GALLANTT,JMFINANCIL,ABBOTINDIA,GABRIEL,CEMPRO,NH,JSWDULUX,FIRSTCRY,WELSPUNLIV,USHAMART",149.85458176228465,49.0
2025-06-30,2025-06-27,15,"ABBOTINDIA,FIRSTCRY,SPLPETRO,HOMEFIRST,NH,NUVAMA,SAMMAANCAP,JKCEMENT,TBOTEK,WELSPUNLIV,ONESOURCE,HSCL,PAGEIND,APARINDS,IDEA",156.01734427038792,52.0
2025-07-01,2025-06-30,15,"ABBOTINDIA,BAYERCROP,NUVAMA,IDBI,AAVAS,SPLPETRO,FORCEMOT,NH,CEMPRO,REDINGTON,GABRIEL,HSCL,JMFINANCIL,EIDPARRY,GODFRYPHLP",157.02547359648548,48.266666666666666
2025-07-02,2025-07-01,15,"ENDURANCE,HSCL,GABRIEL,BAYERCROP,FORCEMOT,ABBOTINDIA,SPLPETRO,CRAFTSMAN,PTCIL,TBOTEK,RBLBANK,CUB,J&KBANK,SYRMA,LAURUSLABS",154.4783063985781,52.13333333333333
