entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-03-03,2025-02-28,15,"CHOLAHLDNG,TATAINVEST,SHRIRAMFIN,ABREL,PATANJALI,PGEL,ABBOTINDIA,CRAFTSMAN,ZFCVINDIA,CHALET,JBCHEPHARM,FIVESTAR,HOMEFIRST,GODIGIT,BAYERCROP",11021.430938257423,47.4
2025-03-04,2025-03-03,15,"NEULANDLAB,TARIL,DCMSHRIRAM,CAPLIPOINT,JINDALSAW,JYOTICNC,SAREGAMA,WELCORP,DEEPAKFERT,JUBLINGREA,NAVA,INDIACEM,VIJAYA,ACUTAAS,SHYAMMETL",27214.46064932024,38.93333333333333
2025-03-05,2025-03-04,15,"DATAPATTNS,TRITURBINE,NAVA,LLOYDSME,PCBL,ABBOTINDIA,ANURAS,NH,FORCEMOT,PTCIL,VIJAYA,POWERINDIA,ONESOURCE,NLCINDIA,BIKAJI",9173.677734936336,43.666666666666664
2025-03-06,2025-03-05,15,"JYOTICNC,DATAPATTNS,PTCIL,CRAFTSMAN,FORCEMOT,ABBOTINDIA,GALLANTT,POWERINDIA,CONCORDBIO,ANURAS,NEULANDLAB,ZENTEC,INDIACEM,BLUESTARCO,ATUL",3768.5149517769614,53.2
2025-03-07,2025-03-06,15,"NEULANDLAB,PARADEEP,RPOWER,HSCL,ANANTRAJ,DATAPATTNS,SAREGAMA,TITAGARH,PCBL,PTCIL,POWERINDIA,CRAFTSMAN,FORCEMOT,DCMSHRIRAM,CASTROLIND",16383.831525592515,39.266666666666666
2025-03-10,2025-03-07,15,"JINDALSAW,ECLERX,GRAVITA,CAPLIPOINT,SWANCORP,LTFOODS,HBLENGINE,HSCL,PTCIL,ZENTEC,POWERINDIA,NEULANDLAB,JYOTICNC,TRITURBINE,GPIL",14586.537957598102,40.666666666666664
2025-03-11,2025-03-10,15,"JYOTICNC,ZFCVINDIA,CHENNPETRO,KALYANKJIL,TIINDIA,GODFRYPHLP,KIMS,GRAPHITE,ADANIGREEN,MRPL,MCX,TATACOMM,PTCIL,DATAPATTNS,TRITURBINE",21816.706056843654,39.0
2025-03-12,2025-03-11,15,"JYOTICNC,DOMS,ZFCVINDIA,AAVAS,MRPL,ADANIGREEN,PTCIL,CRAFTSMAN,CHENNPETRO,ONESOURCE,CARBORUNIV,SARDAEN,HEG,AADHARHFC,GODREJIND",10986.176813848999,47.13333333333333
2025-03-13,2025-03-12,15,"CHENNPETRO,GRAPHITE,TIINDIA,ZFCVINDIA,ZENTEC,TATACOMM,MCX,KALYANKJIL,MRPL,PTCIL,HEG,DOMS,BHARTIHEXA,IKS,INDGN",16399.946416512215,43.0
2025-03-17,2025-03-13,15,"GRAPHITE,SARDAEN,TIINDIA,MCX,KALYANKJIL,TATACOMM,ZENTEC,ZFCVINDIA,CRAFTSMAN,GODFRYPHLP,CHENNPETRO,SOLARINDS,TBOTEK,ONESOURCE,EIHOTEL",12810.576389771599,49.4
2025-03-18,2025-03-17,15,"JPPOWER,DCMSHRIRAM,TEJASNET,NIACL,BSE,KFINTECH,UTIAMC,JWL,RHIM,RPOWER,SYRMA,MAXHEALTH,ZFCVINDIA,BLUEJET,JYOTICNC",21791.371002555625,38.2
2025-03-19,2025-03-18,15,"BLUEJET,ELGIEQUIP,ZFCVINDIA,PTCIL,GABRIEL,COROMANDEL,GODFRYPHLP,KIRLOSENG,TRITURBINE,SCHAEFFLER,POWERINDIA,GALLANTT,BLUEDART,FINCABLES,DEEPAKFERT",155.67750571043203,56.2
2025-03-20,2025-03-19,15,"BLS,DCMSHRIRAM,MANKIND,MRPL,CRAFTSMAN,BALRAMCHIN,GRSE,ELGIEQUIP,ZFCVINDIA,PTCIL,GABRIEL,GILLETTE,GODFRYPHLP,BLUEJET,MAZDOCK",7368.234977162435,50.8
2025-03-21,2025-03-20,15,"RPOWER,BSE,NETWEB,ELECON,TEJASNET,JMFINANCIL,GICRE,RAILTEL,JWL,PCBL,NIACL,MANAPPURAM,GRSE,MAZDOCK,SCI",21795.86566831032,35.06666666666667
2025-03-24,2025-03-21,15,"LODHA,KEC,IGIL,ZENTEC,FORCEMOT,GRSE,TARIL,BSE,KFINTECH,JSWINFRA,RKFORGE,JWL,BAYERCROP,RHIM,MANAPPURAM",1952.9314916711226,44.0
2025-03-25,2025-03-24,15,"BSE,JSWDULUX,HONAUT,ERIS,NAVA,ZFCVINDIA,ADANIENSOL,RPOWER,ASTERDM,HEG,CUB,FORCEMOT,DCMSHRIRAM,ONESOURCE,BLS",19999.14809144276,44.666666666666664
2025-03-26,2025-03-25,15,"TARIL,NAVA,JSWDULUX,ZFCVINDIA,GODFRYPHLP,BEML,BSE,ERIS,RPOWER,FORTIS,ASTERDM,ADANIENSOL,CUB,PTCIL,ZENTEC",23607.050451180425,37.733333333333334
2025-03-27,2025-03-26,15,"TARIL,ERIS,BSE,JSWDULUX,GODFRYPHLP,BEML,ASTERDM,CUB,FORTIS,ADANIENSOL,PTCIL,GALLANTT,IGIL,BLUEDART,HEG",18204.68946721435,46.86666666666667
2025-03-28,2025-03-27,15,"PTCIL,ZFCVINDIA,HEG,NAVA,HONAUT,GALLANTT,CUB,JSWDULUX,BLUEDART,RPOWER,RHIM,MRPL,AEGISLOG,POWERINDIA,FORCEMOT",12813.953704048703,57.93333333333333
2025-04-01,2025-03-28,15,"RPOWER,PTCIL,ERIS,HONAUT,ADANIENSOL,GODREJCP,JSWDULUX,ZFCVINDIA,RHIM,FORCEMOT,BEML,BSE,FSL,TARIL,GODFRYPHLP",11006.493276127765,50.666666666666664
2025-04-02,2025-04-01,15,"LINDEINDIA,BDL,CREDITACC,VTL,PNBHOUSING,TATACONSUM,SBFC,JSWDULUX,IDEA,HBLENGINE,RHIM,PTCIL,GODFRYPHLP,AIIL,GALLANTT",12780.928514976607,42.06666666666667
2025-04-03,2025-04-02,15,"PARADEEP,WHIRLPOOL,TEJASNET,LINDEINDIA,VTL,CREDITACC,CUB,GMRAIRPORT,TRIDENT,IDEA,AIIL,ZFCVINDIA,GALLANTT,GODFRYPHLP,EMCURE",16401.985245294814,44.86666666666667
2025-04-04,2025-04-03,15,"GALLANTT,WHIRLPOOL,LINDEINDIA,TATACONSUM,SBFC,TEJASNET,GPIL,PTCIL,GODFRYPHLP,PARADEEP,ATUL,IDEA,VTL,BLUEDART,BBTC",9177.53747254551,48.46666666666667
2025-04-07,2025-04-04,15,"PARADEEP,VTL,PNBHOUSING,TATACONSUM,TEJASNET,GALLANTT,BDL,TRIDENT,GPIL,ADANIPOWER,SBFC,GMRAIRPORT,LINDEINDIA,WHIRLPOOL,LEMONTREE",27264.90536931024,36.266666666666666
2025-04-08,2025-04-07,15,"ATUL,CRAFTSMAN,MEDANTA,JMFINANCIL,APARINDS,FSL,NUVAMA,PGEL,AFFLE,JUBLINGREA,LTFOODS,SYRMA,DIXON,MCX,PIIND",27190.60908488363,29.0
2025-04-09,2025-04-08,15,"CRAFTSMAN,ATUL,JUBLINGREA,NUVAMA,ARE&M,SUZLON,LTFOODS,VTL,BLUEDART,PARADEEP,RAINBOW,GMRAIRPORT,ZFCVINDIA,CRISIL,IGIL",12772.03485769508,46.333333333333336
2025-04-11,2025-04-09,15,"CRAFTSMAN,PPLPHARMA,LTFOODS,ATUL,KAYNES,MCX,JUBLINGREA,GRAVITA,FLUOROCHEM,NUVAMA,FSL,SYRMA,MEDANTA,ARE&M,TARIL",25395.347345361195,33.46666666666667
2025-04-15,2025-04-11,15,"CRAFTSMAN,RKFORGE,BLUESTARCO,TARIL,PTCIL,PAGEIND,GALLANTT,ONESOURCE,NBCC,GRAVITA,ATUL,GODFRYPHLP,VTL,MRF,BLUEDART",5547.506598360408,46.333333333333336
2025-04-16,2025-04-15,15,"JBMA,DOMS,NBCC,KFINTECH,KAYNES,TARIL,NEULANDLAB,SYRMA,GALLANTT,GRAVITA,360ONE,3MINDIA,DIXON,DATAPATTNS,COHANCE",7368.689898275387,44.2
2025-04-17,2025-04-16,15,"BLUEJET,FACT,DELHIVERY,NEULANDLAB,SAILIFE,PTCIL,PARADEEP,JBMA,KAYNES,GALLANTT,GMDCLTD,INTELLECT,IREDA,INDUSINDBK,POLYMED",5569.984557357763,45.06666666666667
2025-04-21,2025-04-17,15,"JBMA,PARADEEP,GMDCLTD,BLUEJET,INDUSINDBK,ENGINERSIN,DOMS,ANURAS,NEULANDLAB,PTCIL,CRAFTSMAN,NBCC,POLYMED,HOMEFIRST,GALLANTT",14613.298898946405,47.733333333333334
2025-04-22,2025-04-21,15,"GODFRYPHLP,SPLPETRO,APARINDS,PERSISTENT,LALPATHLAB,GALLANTT,TECHNOE,ONESOURCE,ZFCVINDIA,FACT,PTCIL,EMCURE,VTL,JBMA,KFINTECH",9171.724635500306,51.53333333333333
2025-04-23,2025-04-22,15,"SPLPETRO,ATUL,REDINGTON,GODFRYPHLP,COFORGE,AUBANK,PERSISTENT,HCLTECH,MPHASIS,LALPATHLAB,CHOICEIN,TECHM,NAM-INDIA,FACT,VIJAYA",21783.209605488428,30.866666666666667
2025-04-24,2025-04-23,15,"DATAPATTNS,APARINDS,LALPATHLAB,KFINTECH,SBFC,HOMEFIRST,ELECON,NEULANDLAB,MOTILALOFS,WAAREEENER,GALLANTT,PREMIERENE,DIXON,AUBANK,TARIL",5564.7474757605605,45.93333333333333
2025-04-25,2025-04-24,15,"OFSS,PERSISTENT,ATUL,COFORGE,MPHASIS,HCLTECH,M&M,TECHM,LALPATHLAB,WAAREEENER,NEWGEN,MMTC,GODFRYPHLP,AUBANK,ELECON",16402.351563069624,39.733333333333334
2025-04-28,2025-04-25,15,"REDINGTON,APARINDS,CHOICEIN,ELECON,TECHM,TATAELXSI,AUBANK,GODFRYPHLP,DATAPATTNS,OFSS,HCLTECH,IIFL,ATUL,LALPATHLAB,SONATSOFTW",21846.4970325086,39.333333333333336
2025-04-29,2025-04-28,15,"ATUL,FORCEMOT,INDIACEM,TIMKEN,CEATLTD,MARUTI,HONASA,NEWGEN,CARTRADE,DATAPATTNS,CHOICEIN,PARADEEP,SONATSOFTW,SPLPETRO,JSWDULUX",12786.652486736444,46.06666666666667
