pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,selected_n_dec,winner_n_dec,manual_precision_dec,winner_precision_dec,rank_quality_dec,weight,rule,parsed_conditions,fire_col
8200,FALCPAT_8200,other,hit_10pc_20d,other,PROMOTED,63,2438,107,63,0.043888433141919606,0.025840853158326498,0.5046728971962616,11.570063403409137,volatility (20d ATR%) >= 2.975 AND distance from 120-day high >= -26.1604 AND 60d relative strength vs sector >= -21.3101 AND close position in weekly range >= 0.4434,atr_20_pct>=2.975 AND dist_high_120>=-26.1604 AND rs_sector_60d>=-21.3101 AND weekly_close_loc>=0.4434,pat_8200
9459,FALCPAT_9459,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,63,3297,109,63,0.03306035790112223,0.01910828025477707,0.5100917431192661,6.513977871662132,volatility (20d ATR%) >= 2.5731 AND distance from year-high >= -52.5716 AND close position in weekly range >= 0.4709 AND weekly range % <= 12.3243,atr_20_pct>=2.5731 AND dist_high_252>=-52.5716 AND weekly_close_loc>=0.4709 AND weekly_range_pct<=12.3243,pat_9459
7121,FALCPAT_7121,other,hit_15pc_20d,other,PROMOTED,51,2411,88,51,0.036499377851513894,0.021153048527581916,0.5378787878787878,7.975699526664224,volatility (20d ATR%) >= 2.4454 AND distance from 20-day high <= -2.0303 AND close position in weekly range >= 0.1664 AND weekly range % >= 5.0236,atr_20_pct>=2.4454 AND dist_high_20<=-2.0303 AND weekly_close_loc>=0.1664 AND weekly_range_pct>=5.0236,pat_7121
7444,FALCPAT_7444,dryup,hit_25pc_30d,other,PROMOTED,49,1868,89,49,0.04764453961456103,0.026231263383297645,0.5790262172284645,13.760179267215841,volatility (20d ATR%) >= 3.2758 AND days with sub-75% volume in last 20 <= 11.5 AND 60d relative strength vs market <= 39.7537 AND close position in weekly range >= 0.3227,atr_20_pct>=3.2758 AND n_sub_75v_20d<=11.5 AND rs_market_60d<=39.7537 AND weekly_close_loc>=0.3227,pat_7444
7251,FALCPAT_7251,other,hit_10pc_20d,other,PROMOTED,44,3805,70,44,0.018396846254927726,0.011563731931668857,0.5666666666666667,2.230517086005823,volatility (20d ATR%) >= 2.1521 AND distance from 50-DMA <= 4.8521 AND 60d relative strength vs sector <= 13.7136 AND close position in weekly range >= 0.2647,atr_20_pct>=2.1521 AND dist_sma_50<=4.8521 AND rs_sector_60d<=13.7136 AND weekly_close_loc>=0.2647,pat_7251
7559,FALCPAT_7559,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,43,1222,78,43,0.06382978723404255,0.03518821603927987,0.4897435897435898,20.23272688276851,volatility (20d ATR%) >= 3.4166 AND close position in weekly range >= 0.6636,atr_20_pct>=3.4166 AND weekly_close_loc>=0.6636,pat_7559
7383,FALCPAT_7383,other,hit_15pc_20d,other,PROMOTED,41,1073,77,41,0.0717614165890028,0.03821062441752097,0.5428571428571428,27.042928859887223,volatility (20d ATR%) >= 2.4628 AND 20-day return <= 30.2011 AND close position in weekly range >= 0.267 AND weekly range % >= 7.5957,atr_20_pct>=2.4628 AND roc_20<=30.2011 AND weekly_close_loc>=0.267 AND weekly_range_pct>=7.5957,pat_7383
8767,FALCPAT_8767,fresh_breakout,hit_10pc_20d,other,PROMOTED,41,2311,75,41,0.032453483340545215,0.017741237559498052,0.5582222222222222,5.839092854733796,volatility (20d ATR%) >= 3.6888 AND distance from 20-day high >= -19.8967 AND distance from year-high >= -45.8202 AND 60d relative strength vs market <= 39.5596,atr_20_pct>=3.6888 AND dist_high_20>=-19.8967 AND dist_high_252>=-45.8202 AND rs_market_60d<=39.5596,pat_8767
8315,FALCPAT_8315,other,hit_15pc_20d,other,PROMOTED,40,1564,73,40,0.046675191815856776,0.02557544757033248,0.5789954337899543,12.47580189224447,volatility (20d ATR%) >= 3.1996 AND distance from 200-DMA <= 19.1227 AND close position in weekly range >= 0.4185,atr_20_pct>=3.1996 AND dist_sma_200<=19.1227 AND weekly_close_loc>=0.4185,pat_8315
7246,FALCPAT_7246,other,hit_25pc_30d,other,PROMOTED,40,1467,70,40,0.047716428084526245,0.027266530334014997,0.5304761904761904,12.45798136401457,volatility (20d ATR%) >= 3.6162 AND close position in weekly range >= 0.2192 AND weekly range % >= 5.0288,atr_20_pct>=3.6162 AND weekly_close_loc>=0.2192 AND weekly_range_pct>=5.0288,pat_7246
8246,FALCPAT_8246,fresh_breakout,hit_25pc_30d,breakout,PROMOTED,39,1327,67,39,0.050489826676714394,0.0293896006028636,0.48358208955223875,12.866320211606405,volatility (20d ATR%) >= 3.475 AND distance from year-high >= -41.2081 AND close position in weekly range >= 0.5303 AND weekly range % <= 11.9613,atr_20_pct>=3.475 AND dist_high_252>=-41.2081 AND weekly_close_loc>=0.5303 AND weekly_range_pct<=11.9613,pat_8246
9366,FALCPAT_9366,other,hit_15pc_20d,other,PROMOTED,38,753,67,38,0.08897742363877822,0.05046480743691899,0.5293532338308459,42.326235298155744,volatility (20d ATR%) <= 4.3375 AND close position in weekly range >= 0.0701 AND weekly range % >= 8.43,atr_20_pct<=4.3375 AND weekly_close_loc>=0.0701 AND weekly_range_pct>=8.43,pat_9366
9149,FALCPAT_9149,dryup,hit_10pc_20d,other,PROMOTED,38,2060,64,38,0.031067961165048542,0.018446601941747572,0.525,5.357769896253624,volatility (20d ATR%) <= 4.4687 AND volatility (20d ATR%) >= 3.33 AND days with sub-75% volume in last 20 <= 11.5 AND 20d relative strength vs market >= -10.4124,atr_20_pct<=4.4687 AND atr_20_pct>=3.33 AND n_sub_75v_20d<=11.5 AND rs_market_20d>=-10.4124,pat_9149
7075,FALCPAT_7075,other,hit_25pc_30d,other,PROMOTED,37,853,68,37,0.07971864009378664,0.04337631887456037,0.5480392156862746,33.50654282962598,volatility (20d ATR%) >= 2.1013 AND distance from 200-DMA <= 34.864 AND close position in weekly range >= 0.1023 AND weekly range % >= 8.3165,atr_20_pct>=2.1013 AND dist_sma_200<=34.864 AND weekly_close_loc>=0.1023 AND weekly_range_pct>=8.3165,pat_7075
8162,FALCPAT_8162,dryup,hit_10pc_20d,other,PROMOTED,36,1555,66,36,0.04244372990353698,0.02315112540192926,0.6222222222222221,10.731017511121921,volatility (20d ATR%) >= 3.08 AND days with sub-75% volume in last 20 <= 12.5 AND 60-day return <= 9.1506 AND close position in weekly range >= 0.4086,atr_20_pct>=3.08 AND n_sub_75v_20d<=12.5 AND roc_60<=9.1506 AND weekly_close_loc>=0.4086,pat_8162
8337,FALCPAT_8337,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,35,835,60,35,0.0718562874251497,0.041916167664670656,0.5188888888888888,27.222157328409036,distance from 60-day high >= -24.0447 AND distance from 200-DMA >= 6.4162 AND close position in weekly range >= 0.5083 AND weekly range % >= 5.9699,dist_high_60>=-24.0447 AND dist_sma_200>=6.4162 AND weekly_close_loc>=0.5083 AND weekly_range_pct>=5.9699,pat_8337
8629,FALCPAT_8629,dryup,hit_25pc_30d,other,PROMOTED,35,1771,60,35,0.03387916431394692,0.019762845849802372,0.58,6.764130699767137,volatility (20d ATR%) >= 3.712 AND distance from 200-DMA <= 30.3542 AND days with sub-75% volume in last 20 <= 14.5 AND 60d relative strength vs sector <= 25.6836,atr_20_pct>=3.712 AND dist_sma_200<=30.3542 AND n_sub_75v_20d<=14.5 AND rs_sector_60d<=25.6836,pat_8629
9044,FALCPAT_9044,momentum,hit_10pc_20d,momentum,PROBATION,34,774,56,34,0.07235142118863049,0.04392764857881137,0.5047619047619047,27.72335828608574,volatility (20d ATR%) <= 4.0628 AND 5-day return >= 2.8185 AND close position in weekly range >= 0.4183 AND weekly range % >= 6.2674,atr_20_pct<=4.0628 AND roc_5>=2.8185 AND weekly_close_loc>=0.4183 AND weekly_range_pct>=6.2674,pat_9044
8100,FALCPAT_8100,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,34,955,51,34,0.05340314136125655,0.0356020942408377,0.4483660130718954,14.731578329707222,volatility (20d ATR%) >= 3.1155 AND distance from 200-DMA >= 10.5707 AND close position in weekly range >= 0.53 AND weekly range % <= 10.472,atr_20_pct>=3.1155 AND dist_sma_200>=10.5707 AND weekly_close_loc>=0.53 AND weekly_range_pct<=10.472,pat_8100
9260,FALCPAT_9260,other,hit_10pc_20d,other,PROMOTED,34,1411,54,34,0.03827072997873848,0.024096385542168676,0.48888888888888893,7.7911768220464905,volatility (20d ATR%) <= 4.4771 AND volatility (20d ATR%) >= 3.6046 AND distance from 200-DMA <= 27.3836 AND close position in weekly range >= 0.1095,atr_20_pct<=4.4771 AND atr_20_pct>=3.6046 AND dist_sma_200<=27.3836 AND weekly_close_loc>=0.1095,pat_9260
8069,FALCPAT_8069,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,33,657,59,33,0.0898021308980213,0.0502283105022831,0.5491525423728815,42.45677897512303,5-day return >= 0.3379 AND close position in weekly range >= 0.4857 AND weekly range % <= 13.8814 AND weekly range % >= 7.862,roc_5>=0.3379 AND weekly_close_loc>=0.4857 AND weekly_range_pct<=13.8814 AND weekly_range_pct>=7.862,pat_8069
6697,FALCPAT_6697,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,33,756,58,33,0.07671957671957672,0.04365079365079365,0.5126436781609196,29.42610501078382,volatility (20d ATR%) >= 3.1901 AND close position in weekly range >= 0.7359 AND weekly range % >= 5.1546,atr_20_pct>=3.1901 AND weekly_close_loc>=0.7359 AND weekly_range_pct>=5.1546,pat_6697
8643,FALCPAT_8643,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,33,1068,55,33,0.05149812734082397,0.03089887640449438,0.4521212121212121,12.33127091458924,volatility (20d ATR%) <= 4.9327 AND volatility (20d ATR%) >= 3.4331 AND close position in weekly range >= 0.6079 AND weekly range % <= 11.7238,atr_20_pct<=4.9327 AND atr_20_pct>=3.4331 AND weekly_close_loc>=0.6079 AND weekly_range_pct<=11.7238,pat_8643
7055,FALCPAT_7055,other,hit_15pc_20d,other,PROMOTED,32,744,58,32,0.07795698924731183,0.043010752688172046,0.6034482758620691,34.387352779435844,volatility (20d ATR%) >= 2.1406 AND 60d relative strength vs sector <= 10.0563 AND close position in weekly range >= 0.0938 AND weekly range % >= 8.0101,atr_20_pct>=2.1406 AND rs_sector_60d<=10.0563 AND weekly_close_loc>=0.0938 AND weekly_range_pct>=8.0101,pat_7055
7554,FALCPAT_7554,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,32,731,61,32,0.08344733242134063,0.04377564979480164,0.5409836065573771,33.5858045867808,volatility (20d ATR%) >= 2.3477 AND 20-day return >= 3.5439 AND close position in weekly range >= 0.4998 AND weekly range % >= 6.9997,atr_20_pct>=2.3477 AND roc_20>=3.5439 AND weekly_close_loc>=0.4998 AND weekly_range_pct>=6.9997,pat_7554
8321,FALCPAT_8321,other,hit_10pc_20d,other,PROMOTED,32,1541,51,32,0.03309539260220636,0.020765736534717714,0.5895424836601307,6.885834435274724,volatility (20d ATR%) >= 3.1306 AND 60d relative strength vs sector >= -21.4644 AND close position in weekly range <= 0.7007 AND close position in weekly range >= 0.3546,atr_20_pct>=3.1306 AND rs_sector_60d>=-21.4644 AND weekly_close_loc<=0.7007 AND weekly_close_loc>=0.3546,pat_8321
6677,FALCPAT_6677,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,31,549,58,31,0.10564663023679417,0.056466302367941715,0.5218390804597701,52.44078508598044,volatility (20d ATR%) >= 2.673 AND 60-day return >= -15.4153 AND close position in weekly range >= 0.712 AND weekly range % >= 7.2486,atr_20_pct>=2.673 AND roc_60>=-15.4153 AND weekly_close_loc>=0.712 AND weekly_range_pct>=7.2486,pat_6677
9060,FALCPAT_9060,other,hit_15pc_20d,other,PROMOTED,31,1167,57,31,0.04884318766066838,0.026563838903170524,0.6058479532163742,13.24177086338643,volatility (20d ATR%) <= 5.9082 AND volatility (20d ATR%) >= 4.0877 AND close position in weekly range >= 0.2085,atr_20_pct<=5.9082 AND atr_20_pct>=4.0877 AND weekly_close_loc>=0.2085,pat_9060
6270,FALCPAT_6270,other,hit_10pc_20d,other,PROMOTED,31,1120,53,31,0.04732142857142857,0.027678571428571427,0.5094339622641509,11.24027660802843,distance from 120-day high >= -15.8326 AND 20d relative strength vs market >= -5.4021 AND close position in weekly range >= 0.364 AND weekly range % >= 5.571,dist_high_120>=-15.8326 AND rs_market_20d>=-5.4021 AND weekly_close_loc>=0.364 AND weekly_range_pct>=5.571,pat_6270
8903,FALCPAT_8903,fresh_breakout,hit_10pc_20d,breakout,PROBATION,31,1618,51,31,0.0315203955500618,0.019159456118665017,0.47973856209150323,4.880530718327246,close position in weekly range >= 0.8051,weekly_close_loc>=0.8051,pat_8903
8737,FALCPAT_8737,continuation,hit_10pc_20d,other,PROMOTED,30,482,59,30,0.12240663900414937,0.06224066390041494,0.5909604519774011,75.14989902265627,volatility (20d ATR%) >= 2.9337 AND 60-day return >= -20.5526 AND close position in weekly range >= 0.174 AND weekly range % >= 9.8757,atr_20_pct>=2.9337 AND roc_60>=-20.5526 AND weekly_close_loc>=0.174 AND weekly_range_pct>=9.8757,pat_8737
7695,FALCPAT_7695,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,30,502,63,30,0.1254980079681275,0.05976095617529881,0.5238095238095238,65.57201863413242,volatility (20d ATR%) >= 2.5871 AND close position in weekly range >= 0.6838 AND weekly range % >= 8.5178,atr_20_pct>=2.5871 AND weekly_close_loc>=0.6838 AND weekly_range_pct>=8.5178,pat_7695
