agent_id,pattern_id,target,regime,mined_year,oos_fires,hit_pct,base_pct,real_lift_pp,clean26_lift,bear_lift,avg_ret,cagr5L,status,rule,mandate,fire_col,family,n_conditions,parsed_conditions
FALCPAT_6145,6145,hit_10pc_20d,other,2022,14789,43.25451066156369,34.00746195228712,9.247048709276578,17.17,20.91,1.4567890753253927,-3.303705219974296,PROMOTED,volatility (20d ATR%) >= 2.3809 AND distance from 10-day high <= -10.5981 AND 60-day return <= -5.3808 AND close position in weekly range <= 0.7418,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6145,pullback_reversal,4,atr_20_pct>=2.3809 AND dist_high_10<=-10.5981 AND roc_60<=-5.3808 AND weekly_close_loc<=0.7418
FALCPAT_6150,6150,hit_10pc_20d,breakout,2022,50099,53.7144128113879,34.00746195228712,19.706950859100782,10.63,3.99,3.889291335158205,42.76901127720652,PROMOTED,volatility (20d ATR%) >= 2.3809 AND distance from year-high <= -5.3701 AND close position in weekly range >= 0.7418 AND weekly range % >= 4.478,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6150,fresh_breakout,4,atr_20_pct>=2.3809 AND dist_high_252<=-5.3701 AND weekly_close_loc>=0.7418 AND weekly_range_pct>=4.478
FALCPAT_6151,6151,hit_10pc_20d,breakout,2022,16139,52.23380726698262,34.00746195228712,18.226345314695507,1.42,8.89,3.876174523440569,36.536615126793535,PROMOTED,volatility (20d ATR%) >= 2.3809 AND distance from year-high >= -5.3701 AND close position in weekly range >= 0.7418 AND weekly range % >= 4.478,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6151,fresh_breakout,4,atr_20_pct>=2.3809 AND dist_high_252>=-5.3701 AND weekly_close_loc>=0.7418 AND weekly_range_pct>=4.478
FALCPAT_6166,6166,hit_15pc_20d,capitulation,2022,19426,29.876298345425127,18.31582194494749,11.560476400477636,12.5,11.11,2.6047692594487613,25.2500163296816,PROMOTED,volatility (20d ATR%) >= 2.3998 AND distance from 10-day high <= -10.5311 AND distance from year-high <= -22.7827 AND distance from 200-DMA <= 26.4245,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6166,pullback_reversal,4,atr_20_pct>=2.3998 AND dist_high_10<=-10.5311 AND dist_high_252<=-22.7827 AND dist_sma_200<=26.4245
FALCPAT_6170,6170,hit_15pc_20d,other,2022,11289,30.059363194819213,18.31582194494749,11.74354124987172,11.63,12.78,2.667781789887166,26.982208714648586,PROMOTED,volatility (20d ATR%) >= 2.3998 AND close position in daily range <= 0.1892 AND distance from 200-DMA >= 26.4245,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6170,other,3,atr_20_pct>=2.3998 AND close_loc<=0.1892 AND dist_sma_200>=26.4245
FALCPAT_6174,6174,hit_25pc_30d,other,2022,17389,19.163824532517932,10.722915258072424,8.44090927444551,14.25,12.17,3.514211818416133,-25.522353692461557,PROMOTED,distance from 10-day high <= -10.804 AND days with sub-3% range in last 7 <= 2.5 AND close position in weekly range <= 0.7438,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pat_6174,compression,3,dist_high_10<=-10.804 AND n_sub_3_range_7d<=2.5 AND weekly_close_loc<=0.7438
FALCPAT_6197,6197,hit_10pc_20d,other,2022,11524,41.28774730996182,34.00746195228712,7.280285357674704,29.18,9.49,1.4831171015251203,-1.6669610039690586,PROMOTED,distance from 60-day high <= -17.3864 AND distance from 20-DMA <= -2.8747 AND distance from 200-DMA <= -1.4701 AND 60d relative strength vs market >= -13.4875,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6197,other,4,dist_high_60<=-17.3864 AND dist_sma_20<=-2.8747 AND dist_sma_200<=-1.4701 AND rs_market_60d>=-13.4875
FALCPAT_6199,6199,hit_10pc_20d,breakout,2022,9516,43.89397286210161,34.00746195228712,9.886510909814492,14.91,-4.75,3.4221740460535552,23.292839019825,PROBATION,distance from 20-DMA >= -2.8747 AND distance from 200-DMA <= -1.4701 AND 60d relative strength vs market >= -13.4875 AND close position in weekly range >= 0.8145,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6199,fresh_breakout,4,dist_sma_20>=-2.8747 AND dist_sma_200<=-1.4701 AND rs_market_60d>=-13.4875 AND weekly_close_loc>=0.8145
FALCPAT_6201,6201,hit_10pc_20d,other,2022,19000,53.76315789473685,34.00746195228712,19.75569594244973,16.71,17.1,3.281235152519369,33.927567545430115,PROMOTED,volatility (20d ATR%) >= 3.7864 AND distance from 200-DMA >= -1.4701 AND 20d relative strength vs market <= 4.6032 AND close position in weekly range >= 0.4408,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6201,other,4,atr_20_pct>=3.7864 AND dist_sma_200>=-1.4701 AND rs_market_20d<=4.6032 AND weekly_close_loc>=0.4408
FALCPAT_6205,6205,hit_15pc_20d,breakout,2022,21939,35.824287967343906,18.31582194494749,17.50846602239642,18.41,4.26,4.83225700950804,73.84377307390919,PROMOTED,distance from year-high <= -15.5928 AND days with sub-2.5% range in last 7 <= 2.5 AND close position in weekly range >= 0.7386,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6205,fresh_breakout,3,dist_high_252<=-15.5928 AND n_sub_2_5_range_7d<=2.5 AND weekly_close_loc>=0.7386
