entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-12-02,2024-11-29,15,"WOCKPHARMA,CAPLIPOINT,NEULANDLAB,LAURUSLABS,ASTERDM,PGEL,AEGISLOG,FACT,JUBLINGREA,PREMIERENE,RAMCOCEM,GALLANTT,TARIL,SAGILITY,DEEPAKFERT",8.806030187595601,"{""continuation"": 8, ""fresh_breakout"": 7}"
2024-12-03,2024-12-02,15,"CARTRADE,KAYNES,PGEL,AFFLE,DIXON,GALLANTT,ACUTAAS,ECLERX,COCHINSHIP,WOCKPHARMA,CAMS,SWANCORP,OLAELEC,CAPLIPOINT,POLICYBZR",8.79066689600206,"{""continuation"": 3, ""fresh_breakout"": 12}"
2024-12-04,2024-12-03,15,"PGEL,DIXON,GALLANTT,JYOTICNC,AFFLE,HEG,CAPLIPOINT,OLAELEC,ELECON,GRAPHITE,ECLERX,NEULANDLAB,PHOENIXLTD,LTFOODS,OFSS",8.36323066343993,"{""continuation"": 8, ""fresh_breakout"": 7}"
2024-12-05,2024-12-04,15,"HEG,NEULANDLAB,SWANCORP,PGEL,KEC,DIXON,PREMIERENE,CAPLIPOINT,OBEROIRLTY,JPPOWER,ECLERX,SARDAEN,GRAPHITE,GALLANTT,LODHA",8.192136170651981,"{""continuation"": 5, ""fresh_breakout"": 10}"
2024-12-06,2024-12-05,15,"BSE,ECLERX,RPOWER,CDSL,JYOTICNC,CARTRADE,ANGELONE,ACE,PCBL,KFINTECH,ZEEL,NEULANDLAB,LTFOODS,FINCABLES,SWANCORP",7.760612408856731,"{""continuation"": 9, ""fresh_breakout"": 6}"
2024-12-09,2024-12-06,15,"BSE,POLICYBZR,CDSL,PAYTM,ANGELONE,MCX,NEWGEN,ZEEL,KEC,FINCABLES,SWANCORP,HBLENGINE,PGEL,BLUESTARCO,SAGILITY",8.176213830881483,"{""continuation"": 8, ""fresh_breakout"": 7}"
2024-12-10,2024-12-09,15,"ITI,PGEL,BSE,ANGELONE,NEWGEN,SAGILITY,CDSL,PCBL,CEATLTD,ABDL,BLS,LTFOODS,LLOYDSME,HEG,BLUESTARCO",8.402335399965265,"{""continuation"": 6, ""fresh_breakout"": 9}"
2024-12-11,2024-12-10,15,"ITI,LLOYDSME,ZENTEC,NAM-INDIA,LODHA,CARTRADE,SAGILITY,ELECON,GPIL,PCBL,BSE,GABRIEL,PGEL,ASAHIINDIA,TRITURBINE",8.115971947221341,"{""continuation"": 10, ""fresh_breakout"": 5}"
2024-12-12,2024-12-11,15,"CARTRADE,SWANCORP,TARIL,CDSL,JUBLINGREA,MAXHEALTH,KAYNES,PCBL,BSE,LODHA,360ONE,SYRMA,JWL,AIIL,WAAREEENER",8.358750003630039,"{""continuation"": 6, ""fresh_breakout"": 9}"
2024-12-13,2024-12-12,15,"RPOWER,TARIL,BSE,CHALET,MAXHEALTH,CDSL,EIDPARRY,KAYNES,LODHA,WAAREEENER,ITI,DIXON,MUTHOOTFIN,ZENTEC,AIIL",9.001266694255829,"{""continuation"": 5, ""fresh_breakout"": 10}"
2024-12-16,2024-12-13,15,"ZENTEC,PGEL,RPOWER,MAXHEALTH,KPRMILL,CRISIL,BDL,DIXON,BSE,VTL,TARIL,INDHOTEL,SWANCORP,KAYNES,ITI",8.453243768393857,"{""continuation"": 6, ""fresh_breakout"": 9}"
2024-12-17,2024-12-16,15,"PGEL,PREMIERENE,GVT&D,TARIL,ZENTEC,WOCKPHARMA,SWIGGY,DIXON,KAYNES,BDL,PAYTM,LODHA,360ONE,OBEROIRLTY,HUDCO",9.423009144056762,"{""fresh_breakout"": 15}"
2024-12-18,2024-12-17,15,"JYOTICNC,ZENTEC,OBEROIRLTY,MAZDOCK,DIXON,GVT&D,PAYTM,360ONE,LODHA,NEWGEN,MAXHEALTH,ANANTRAJ,ABDL,PGEL,INDHOTEL",9.52210723528031,"{""continuation"": 2, ""fresh_breakout"": 13}"
2024-12-19,2024-12-18,15,"KFINTECH,LLOYDSME,KPRMILL,EIDPARRY,LEMONTREE,ACE,RADICO,NEWGEN,COFORGE,FIVESTAR,CRAFTSMAN,GRAVITA,TECHNOE,BHARTIHEXA,ZENTEC",8.883618327820797,"{""continuation"": 7, ""fresh_breakout"": 8}"
2024-12-20,2024-12-19,15,"KFINTECH,BSE,NEWGEN,ACE,LEMONTREE,MANKIND,PERSISTENT,COFORGE,JPPOWER,CLEAN,ZENTEC,KPRMILL,POLICYBZR,HEG,CARTRADE",8.742196397000445,"{""continuation"": 8, ""fresh_breakout"": 7}"
2024-12-23,2024-12-20,15,"CARTRADE,GVT&D,NEWGEN,ANANTRAJ,GICRE,TECHNOE,FIVESTAR,KFINTECH,POWERINDIA,KEC,ZENTEC,SAGILITY,SWIGGY,FIRSTCRY,360ONE",9.985000855402472,"{""continuation"": 10, ""fresh_breakout"": 5}"
2024-12-24,2024-12-23,15,"ABDL,MANKIND,POWERINDIA,SAGILITY,INTELLECT,PTCIL,AMBER,ZENTEC,CARTRADE,CAPLIPOINT,SUNDARMFIN,POLICYBZR,KFINTECH,DEVYANI,NEWGEN",9.322246078316908,"{""continuation"": 11, ""fresh_breakout"": 3, ""pullback_reversal"": 1}"
2024-12-26,2024-12-24,15,"SAGILITY,LLOYDSME,AMBER,ABDL,POWERINDIA,CARTRADE,NEWGEN,KFINTECH,ACUTAAS,FINCABLES,INTELLECT,ZENTEC,INDIGO,IGL,MANAPPURAM",9.15757303488169,"{""continuation"": 11, ""fresh_breakout"": 4}"
2024-12-27,2024-12-26,15,"SAGILITY,KFINTECH,AMBER,NEWGEN,INTELLECT,POWERINDIA,FIVESTAR,DEVYANI,INDIGO,HINDPETRO,ELECON,ABDL,PGEL,FIRSTCRY,OBEROIRLTY",9.370166672818106,"{""continuation"": 10, ""fresh_breakout"": 5}"
2024-12-30,2024-12-27,15,"SAGILITY,CAPLIPOINT,POWERINDIA,FIVESTAR,PTCIL,PGEL,INTELLECT,DRREDDY,DEVYANI,ABDL,CEATLTD,PAYTM,ELECON,AWL,ACUTAAS",9.142480644052247,"{""continuation"": 12, ""fresh_breakout"": 3}"
2024-12-31,2024-12-30,15,"BAJAJHLDNG,LLOYDSME,CRISIL,ITI,PGEL,INDHOTEL,IGL,COFORGE,HSCL,NEWGEN,GODREJIND,LUPIN,INDIACEM,KFINTECH,ADANIENT",8.568852860195854,"{""continuation"": 8, ""fresh_breakout"": 7}"
2025-01-01,2024-12-31,15,"CRISIL,LLOYDSME,LUPIN,LAURUSLABS,IGL,IPCALAB,ITI,NIVABUPA,FORTIS,TARIL,AUROPHARMA,NEWGEN,PREMIERENE,FIRSTCRY,KAYNES",8.814208665196867,"{""continuation"": 11, ""fresh_breakout"": 4}"
2025-01-02,2025-01-01,15,"BLUESTARCO,LLOYDSME,MUTHOOTFIN,ACE,LAURUSLABS,JUBLFOOD,COROMANDEL,POWERINDIA,CLEAN,TARIL,AIIL,PGEL,TECHNOE,AUROPHARMA,LEMONTREE",8.714185879460247,"{""continuation"": 8, ""fresh_breakout"": 7}"
2025-01-03,2025-01-02,15,"TARIL,LLOYDSME,KALYANKJIL,MUTHOOTFIN,FSL,JUBLFOOD,EICHERMOT,COROMANDEL,IPCALAB,UNITDSPR,MCDOWELL-N,BLUESTARCO,CREDITACC,AIIL,SUNDARMFIN",8.36501187790182,"{""continuation"": 4, ""fresh_breakout"": 11}"
2025-01-06,2025-01-03,15,"ITI,LLOYDSME,PARADEEP,BLS,PTCIL,IGL,IREDA,AIIL,BLUESTARCO,SAREGAMA,JUBLINGREA,POLICYBZR,APARINDS,TARIL,CARTRADE",8.440377208452547,"{""continuation"": 10, ""fresh_breakout"": 5}"
2025-01-07,2025-01-06,15,"ITI,PTCIL,SAREGAMA,VIJAYA,POLYMED,AEGISLOG,APARINDS,DEVYANI,CHOLAHLDNG,AMBER,RBLBANK,LLOYDSME,PARADEEP,MINDACORP,SAPPHIRE",8.776631726414314,"{""continuation"": 13, ""fresh_breakout"": 2}"
2025-01-08,2025-01-07,15,"AEGISLOG,AMBER,PTCIL,APARINDS,VIJAYA,BIOCON,JKCEMENT,POLYMED,LLOYDSME,SAGILITY,BLUEJET,MAXHEALTH,ANANTRAJ,DEVYANI,TARIL",8.905986976795782,"{""continuation"": 9, ""fresh_breakout"": 6}"
2025-01-09,2025-01-08,15,"PTCIL,ANANTRAJ,KIMS,CREDITACC,OIL,VIJAYA,INDGN,LLOYDSME,ACUTAAS,ONGC,ITI,AEGISLOG,CONCORDBIO,CHOLAHLDNG,JSWDULUX",8.937647856049422,"{""continuation"": 12, ""fresh_breakout"": 3}"
2025-01-10,2025-01-09,15,"SRF,NAVINFLUOR,PTCIL,LLOYDSME,GICRE,ZENTEC,CONCORDBIO,CHOLAHLDNG,VIJAYA,JSWDULUX,MAXHEALTH,BDL,ANANTRAJ,AMBER,GODREJCP",8.264588889637794,"{""continuation"": 13, ""fresh_breakout"": 2}"
2025-01-13,2025-01-10,15,"HCLTECH,UNOMINDA,VIJAYA,PTCIL,CONCORDBIO,JSWDULUX,LLOYDSME,AMBER,BDL,SRF,SHYAMMETL,CREDITACC,SUNDARMFIN,PHOENIXLTD,ANANTRAJ",8.272727686974138,"{""continuation"": 14, ""fresh_breakout"": 1}"
2025-01-14,2025-01-13,15,"PTCIL,CONCORDBIO,REDINGTON,JSWDULUX,CRISIL,BLUEJET,NAVINFLUOR,SUNDARMFIN,TEGA,CEATLTD,BSE,INDGN,ANANDRATHI,SHYAMMETL,GILLETTE",8.04429673921619,"{""continuation"": 15}"
