entry_date,best_lane,n
2024-12-02,continuation,8
2024-12-02,fresh_breakout,7
2024-12-03,continuation,3
2024-12-03,fresh_breakout,12
2024-12-04,continuation,8
2024-12-04,fresh_breakout,7
2024-12-05,continuation,5
2024-12-05,fresh_breakout,10
2024-12-06,continuation,9
2024-12-06,fresh_breakout,6
2024-12-09,continuation,8
2024-12-09,fresh_breakout,7
2024-12-10,continuation,6
2024-12-10,fresh_breakout,9
2024-12-11,continuation,10
2024-12-11,fresh_breakout,5
2024-12-12,continuation,6
2024-12-12,fresh_breakout,9
2024-12-13,continuation,5
2024-12-13,fresh_breakout,10
2024-12-16,continuation,6
2024-12-16,fresh_breakout,9
2024-12-17,fresh_breakout,15
2024-12-18,continuation,2
2024-12-18,fresh_breakout,13
2024-12-19,continuation,7
2024-12-19,fresh_breakout,8
2024-12-20,continuation,8
2024-12-20,fresh_breakout,7
2024-12-23,continuation,10
2024-12-23,fresh_breakout,5
2024-12-24,continuation,11
2024-12-24,fresh_breakout,3
2024-12-24,pullback_reversal,1
2024-12-26,continuation,11
2024-12-26,fresh_breakout,4
2024-12-27,continuation,10
2024-12-27,fresh_breakout,5
2024-12-30,continuation,12
2024-12-30,fresh_breakout,3
2024-12-31,continuation,8
2024-12-31,fresh_breakout,7
2025-01-01,continuation,11
2025-01-01,fresh_breakout,4
2025-01-02,continuation,8
2025-01-02,fresh_breakout,7
2025-01-03,continuation,4
2025-01-03,fresh_breakout,11
2025-01-06,continuation,10
2025-01-06,fresh_breakout,5
2025-01-07,continuation,13
2025-01-07,fresh_breakout,2
2025-01-08,continuation,9
2025-01-08,fresh_breakout,6
2025-01-09,continuation,12
2025-01-09,fresh_breakout,3
2025-01-10,continuation,13
2025-01-10,fresh_breakout,2
2025-01-13,continuation,14
2025-01-13,fresh_breakout,1
2025-01-14,continuation,15
2025-01-15,continuation,15
2025-01-16,continuation,12
2025-01-16,fresh_breakout,2
2025-01-16,pullback_reversal,1
2025-01-17,continuation,11
2025-01-17,fresh_breakout,4
2025-01-20,continuation,15
2025-01-21,continuation,10
2025-01-21,fresh_breakout,5
2025-01-22,continuation,15
2025-01-23,continuation,15
2025-01-24,continuation,15
2025-01-27,continuation,15
2025-01-28,continuation,14
2025-01-28,pullback_reversal,1
2025-01-29,continuation,14
2025-01-29,fresh_breakout,1
2025-01-30,continuation,12
2025-01-30,fresh_breakout,3
2025-01-31,continuation,12
2025-01-31,fresh_breakout,3
