tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v12_dec_fit,2024-12-02,10,5,3,2,30.0,40.0,"PREMIERENE,MAZDOCK,ASTERDM,HUDCO,LAURUSLABS,NCC,HBLENGINE,ABREL,COCHINSHIP,SONATSOFTW,ENGINERSIN,GRAPHITE,DATAPATTNS,GALLANTT,BEML","ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW","BDL,CAMS,GRSE"
v12_dec_fit,2024-12-03,11,9,0,0,0.0,0.0,"KAYNES,ACUTAAS,AFFLE,DIXON,GALLANTT,ACE,LTFOODS,DATAPATTNS,ABDL,JMFINANCIL,MMTC,CAMS,BALRAMCHIN,SAREGAMA,JWL","GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE","ANGELONE,BLS,GRSE,HSCL,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
v12_dec_fit,2024-12-04,8,4,0,0,0.0,0.0,"AFFLE,ZEEL,ABREL,LTFOODS,JKCEMENT,IRCON,MAZDOCK,ACE,PGEL,MAXHEALTH,BRIGADE,CASTROLIND,ANANTRAJ,GMDCLTD,360ONE","FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO","BLUESTARCO,FINCABLES,HSCL,PNBHOUSING"
v12_dec_fit,2024-12-05,8,6,0,0,0.0,0.0,"SARDAEN,KEC,CAPLIPOINT,JPPOWER,ZEEL,LTFOODS,HEG,AFFLE,IOB,ABDL,MAXHEALTH,DIXON,ANANTRAJ,IREDA,GALLANTT","INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE","ANGELONE,CASTROLIND,CESC,FLUOROCHEM,IGL,KPIL"
v12_dec_fit,2024-12-06,9,7,2,1,22.22222222222222,14.285714285714285,"CDSL,MAXHEALTH,CAPLIPOINT,ANGELONE,BSE,CENTRALBK,J&KBANK,AFFLE,IREDA,IOB,SWIGGY,ELECON,BLS,UCOBANK,ANANTRAJ","GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL","GABRIEL,GRSE,INOXWIND,MAZDOCK,MMTC,ZEEL"
v12_dec_fit,2024-12-09,9,3,3,1,33.33333333333333,33.33333333333333,"BSE,POLICYBZR,CDSL,J&KBANK,CASTROLIND,ANGELONE,CENTRALBK,IOB,PCBL,UCOBANK,HSCL,RBLBANK,FINCABLES,BANKINDIA,ANANTRAJ","INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH","INOXWIND,MAXHEALTH"
v12_dec_fit,2024-12-10,7,6,0,0,0.0,0.0,"ANGELONE,ITI,BLS,PCBL,KPITTECH,NAM-INDIA,RAILTEL,GPIL,GRAVITA,WELSPUNLIV,AIIL,INOXWIND,GABRIEL,CEATLTD,TRIDENT","CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL","CLEAN,CRISIL,KPRMILL,RPOWER,SYRMA,TARIL"
v12_dec_fit,2024-12-11,7,4,1,1,14.285714285714285,25.0,"ITI,ASAHIINDIA,NAM-INDIA,MINDACORP,INTELLECT,MAXHEALTH,NUVAMA,PCBL,HUDCO,KALYANKJIL,WELSPUNLIV,ZENTEC,RBLBANK,CYIENT,UTIAMC","PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER","CHALET,POWERINDIA,TITAGARH"
v12_dec_fit,2024-12-12,10,7,3,3,30.0,42.857142857142854,"PCBL,MAXHEALTH,SWANCORP,BLS,UTIAMC,MINDACORP,GPIL,ZENTEC,NUVAMA,CARTRADE,BIKAJI,DOMS,WELSPUNLIV,OLECTRA,CHALET","PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM","CRISIL,MANAPPURAM,PGEL,POWERINDIA"
v12_dec_fit,2024-12-13,9,7,2,1,22.22222222222222,14.285714285714285,"TARIL,MAXHEALTH,LEMONTREE,DELHIVERY,IRCON,EIHOTEL,ELECON,IRFC,JUBLINGREA,MUTHOOTFIN,ASAHIINDIA,RAILTEL,VEDL,CHALET,TITAGARH","PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA","CRISIL,GODFRYPHLP,JBMA,KPRMILL,PGEL,SYRMA"
