entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-12-02,2024-11-29,15,"PREMIERENE,MAZDOCK,ASTERDM,HUDCO,LAURUSLABS,NCC,HBLENGINE,ABREL,COCHINSHIP,SONATSOFTW,ENGINERSIN,GRAPHITE,DATAPATTNS,GALLANTT,BEML",2.890638297872341,"{""continuation"": 4, ""fresh_breakout"": 2, ""pullback_reversal"": 2, ""recovery"": 7}"
2024-12-03,2024-12-02,15,"KAYNES,ACUTAAS,AFFLE,DIXON,GALLANTT,ACE,LTFOODS,DATAPATTNS,ABDL,JMFINANCIL,MMTC,CAMS,BALRAMCHIN,SAREGAMA,JWL",2.895063829787234,"{""continuation"": 2, ""dryup_compression"": 1, ""fresh_breakout"": 4, ""recovery"": 8}"
2024-12-04,2024-12-03,15,"AFFLE,ZEEL,ABREL,LTFOODS,JKCEMENT,IRCON,MAZDOCK,ACE,PGEL,MAXHEALTH,BRIGADE,CASTROLIND,ANANTRAJ,GMDCLTD,360ONE",2.876028368794326,"{""continuation"": 3, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""recovery"": 10}"
2024-12-05,2024-12-04,15,"SARDAEN,KEC,CAPLIPOINT,JPPOWER,ZEEL,LTFOODS,HEG,AFFLE,IOB,ABDL,MAXHEALTH,DIXON,ANANTRAJ,IREDA,GALLANTT",2.889787234042553,"{""continuation"": 8, ""fresh_breakout"": 2, ""recovery"": 5}"
2024-12-06,2024-12-05,15,"CDSL,MAXHEALTH,CAPLIPOINT,ANGELONE,BSE,CENTRALBK,J&KBANK,AFFLE,IREDA,IOB,SWIGGY,ELECON,BLS,UCOBANK,ANANTRAJ",2.8838014184397163,"{""continuation"": 4, ""fresh_breakout"": 2, ""pullback_reversal"": 1, ""recovery"": 8}"
2024-12-09,2024-12-06,15,"BSE,POLICYBZR,CDSL,J&KBANK,CASTROLIND,ANGELONE,CENTRALBK,IOB,PCBL,UCOBANK,HSCL,RBLBANK,FINCABLES,BANKINDIA,ANANTRAJ",2.9015319148936176,"{""continuation"": 2, ""fresh_breakout"": 3, ""recovery"": 10}"
2024-12-10,2024-12-09,15,"ANGELONE,ITI,BLS,PCBL,KPITTECH,NAM-INDIA,RAILTEL,GPIL,GRAVITA,WELSPUNLIV,AIIL,INOXWIND,GABRIEL,CEATLTD,TRIDENT",2.8775886524822694,"{""continuation"": 6, ""dryup_compression"": 2, ""fresh_breakout"": 2, ""recovery"": 5}"
2024-12-11,2024-12-10,15,"ITI,ASAHIINDIA,NAM-INDIA,MINDACORP,INTELLECT,MAXHEALTH,NUVAMA,PCBL,HUDCO,KALYANKJIL,WELSPUNLIV,ZENTEC,RBLBANK,CYIENT,UTIAMC",2.890921985815603,"{""continuation"": 5, ""fresh_breakout"": 2, ""recovery"": 8}"
2024-12-12,2024-12-11,15,"PCBL,MAXHEALTH,SWANCORP,BLS,UTIAMC,MINDACORP,GPIL,ZENTEC,NUVAMA,CARTRADE,BIKAJI,DOMS,WELSPUNLIV,OLECTRA,CHALET",2.8810780141843977,"{""continuation"": 2, ""fresh_breakout"": 3, ""recovery"": 10}"
2024-12-13,2024-12-12,15,"TARIL,MAXHEALTH,LEMONTREE,DELHIVERY,IRCON,EIHOTEL,ELECON,IRFC,JUBLINGREA,MUTHOOTFIN,ASAHIINDIA,RAILTEL,VEDL,CHALET,TITAGARH",2.886581560283688,"{""continuation"": 4, ""fresh_breakout"": 3, ""recovery"": 8}"
2024-12-16,2024-12-13,15,"TARIL,KAYNES,ZENTEC,MANAPPURAM,SWANCORP,MAXHEALTH,PGEL,GODREJPROP,LEMONTREE,BLS,LODHA,ANANTRAJ,KPIL,SYRMA,JSL",2.915177304964539,"{""continuation"": 7, ""fresh_breakout"": 3, ""pullback_reversal"": 1, ""recovery"": 4}"
2024-12-17,2024-12-16,15,"PGEL,LODHA,ZENTEC,KAYNES,DIXON,360ONE,OBEROIRLTY,GICRE,TITAGARH,WELSPUNLIV,PREMIERENE,ANANTRAJ,MANAPPURAM,POWERINDIA,GODREJPROP",2.893957446808511,"{""continuation"": 7, ""fresh_breakout"": 4, ""recovery"": 4}"
2024-12-18,2024-12-17,15,"ZENTEC,LODHA,ANANTRAJ,TBOTEK,GVT&D,BRIGADE,ABDL,LEMONTREE,DIXON,POWERINDIA,NETWEB,ETERNAL,AFFLE,PAYTM,NEWGEN",2.9100425531914897,"{""continuation"": 6, ""fresh_breakout"": 3, ""recovery"": 6}"
