trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable
2024-12-02,ADANIPOWER,2,GOLD-baseline,09:15,111.4,09:51,110.5,-0.81,TRAIL,1.96,9780,1956.0,0
2024-12-02,HSCL,3,GOLD,09:15,525,09:51,524.7,-0.06,TRAIL,1.96,9780,1956.0,0
2024-12-02,BDL,4,GOLD,09:15,1147.95,09:51,1163.15,1.32,TRAIL,1.96,9780,1956.0,1
2024-12-02,CAMS,6,GOLD-baseline,09:15,995,09:51,1018,2.31,TRAIL,1.96,9780,1956.0,1
2024-12-02,ADANIENT,7,GOLD-baseline,09:15,2415.3,09:51,2400,-0.63,TRAIL,1.96,9780,1956.0,0
2024-12-02,RPOWER,8,GOLD,09:15,38.7,09:51,38.18,-1.34,TRAIL,1.96,9780,1956.0,0
2024-12-02,GRSE,10,GOLD,09:15,1669,09:51,1682.3,0.8,TRAIL,1.96,9780,1956.0,1
2024-12-02,COCHINSHIP,11,GOLD,09:15,1631.5,09:51,1656.15,1.51,TRAIL,1.96,9780,1956.0,1
2024-12-02,MAZDOCK,14,GOLD-baseline,09:15,2287.35,09:51,2274.85,-0.55,TRAIL,1.96,9780,1956.0,0
2024-12-02,SONATSOFTW,15,GOLD,09:15,631.6,09:51,643.6,1.9,TRAIL,1.96,9780,1956.0,1
2024-12-03,GRSE,1,GOLD,09:15,1670,15:29,1702.5,1.95,EOD,12.49,62429,12485.8,1
2024-12-03,KPIL,2,GOLD-baseline,09:15,1142,15:29,1148.15,0.54,EOD,12.49,62429,12485.8,1
2024-12-03,PNBHOUSING,3,ENTERPRISE-Dryup,09:15,884,15:29,884,0.0,EOD,12.49,62429,12485.8,0
2024-12-03,KPITTECH,5,GOLD,09:15,1374.85,15:29,1430,4.01,EOD,12.49,62429,12485.8,1
2024-12-03,FINCABLES,6,GOLD,09:15,1159.4,15:29,1156,-0.29,EOD,12.49,62429,12485.8,0
2024-12-03,ZEEL,7,PREMIUM-Compression,09:15,128.41,15:29,135.02,5.15,EOD,12.49,62429,12485.8,1
2024-12-03,BLS,9,ENTERPRISE-Dryup,09:15,398,15:29,418,5.03,EOD,12.49,62429,12485.8,1
2024-12-03,UCOBANK,10,PREMIUM-Compression,09:15,44.49,15:29,45.12,1.42,EOD,12.49,62429,12485.8,1
2024-12-03,HSCL,11,GOLD,09:15,536.15,15:29,539.95,0.71,EOD,12.49,62429,12485.8,1
2024-12-03,TATAELXSI,12,ENTERPRISE-Dryup,09:15,6750.05,15:29,7090,5.04,EOD,12.49,62429,12485.8,1
2024-12-03,ANGELONE,13,ENTERPRISE-Dryup,09:15,294.1,15:29,307.5,4.56,EOD,12.49,62429,12485.8,1
2024-12-04,FINCABLES,1,GOLD-baseline,09:15,1159.25,12:00,1198.75,3.41,TRAIL,2.34,11722,2344.4,1
2024-12-04,PNBHOUSING,2,ENTERPRISE-Dryup,09:15,899,12:00,908.55,1.06,TRAIL,2.34,11722,2344.4,1
2024-12-04,KPIL,3,GOLD-baseline,09:15,1150.05,12:00,1144.45,-0.49,TRAIL,2.34,11722,2344.4,0
2024-12-04,MMTC,6,GOLD,09:15,80.49,12:00,80.46,-0.04,TRAIL,2.34,11722,2344.4,0
2024-12-04,FLUOROCHEM,7,GOLD-baseline,09:15,4080,12:00,4045.35,-0.85,TRAIL,2.34,11722,2344.4,0
2024-12-04,HSCL,9,ENTERPRISE-Dryup,09:15,542.7,12:00,544.5,0.33,TRAIL,2.34,11722,2344.4,1
2024-12-04,RPOWER,14,ENTERPRISE-Dryup,09:15,41.09,12:00,41.09,0.0,TRAIL,2.34,11722,2344.4,0
2024-12-04,BLUESTARCO,15,ENTERPRISE-Dryup,09:15,1877,12:00,1890.65,0.73,TRAIL,2.34,11722,2344.4,1
2024-12-05,INOXWIND,1,GOLD,09:15,201.58,15:29,201.57,0.0,EOD,15.31,76571,15314.2,0
2024-12-05,KPIL,2,GOLD-baseline,09:15,1180.95,15:29,1237.8,4.81,EOD,15.31,76571,15314.2,1
2024-12-05,CASTROLIND,8,GOLD,09:15,202.85,15:29,212.71,4.86,EOD,15.31,76571,15314.2,1
2024-12-05,MMTC,10,GOLD,09:15,80.8,15:29,80.36,-0.54,EOD,15.31,76571,15314.2,0
2024-12-05,CESC,12,GOLD-baseline,09:15,174.24,15:29,180.48,3.58,EOD,15.31,76571,15314.2,1
2024-12-05,FLUOROCHEM,13,PREMIUM-Compression,09:15,4099,15:29,4263,4.0,EOD,15.31,76571,15314.2,1
2024-12-05,IGL,14,GOLD,09:15,187,15:29,191.6,2.46,EOD,15.31,76571,15314.2,1
2024-12-05,ANGELONE,15,GOLD-baseline,09:15,304.6,15:29,322.1,5.75,EOD,15.31,76571,15314.2,1
2024-12-06,GRSE,1,GOLD,09:15,1775,15:29,1778,0.17,EOD,8.01,40025,8005.0,1
2024-12-06,MMTC,2,ENTERPRISE-Dryup,09:15,80.59,15:29,83.65,3.8,EOD,8.01,40025,8005.0,1
2024-12-06,INOXWIND,4,GOLD,09:15,201.31,15:29,204.34,1.51,EOD,8.01,40025,8005.0,1
2024-12-06,ZEEL,5,GOLD,09:15,139.86,15:29,140.75,0.64,EOD,8.01,40025,8005.0,1
2024-12-06,J&KBANK,6,GOLD,09:15,106.6,15:29,106.5,-0.09,EOD,8.01,40025,8005.0,0
2024-12-06,IREDA,7,GOLD,09:15,220.4,15:29,221.19,0.36,EOD,8.01,40025,8005.0,1
2024-12-06,MAZDOCK,10,GOLD,09:15,2435,15:29,2439.5,0.18,EOD,8.01,40025,8005.0,1
2024-12-06,BANKINDIA,12,GOLD,09:15,114.35,15:29,113.58,-0.67,EOD,8.01,40025,8005.0,0
2024-12-06,GABRIEL,13,GOLD,09:15,439.45,15:29,479,9.0,EOD,8.01,40025,8005.0,1
2024-12-09,INOXWIND,1,ENTERPRISE-Dryup,09:15,205.18,15:29,205.23,0.02,EOD,-1.25,-6272,-1254.4,1
2024-12-09,ZEEL,2,GOLD,09:15,140.53,15:29,137.96,-1.83,EOD,-1.25,-6272,-1254.4,0
2024-12-09,IGL,3,PREMIUM-Compression,09:15,193.5,15:29,193.3,-0.1,EOD,-1.25,-6272,-1254.4,0
2024-12-09,GRSE,4,GOLD,09:15,1787,15:29,1755.7,-1.75,EOD,-1.25,-6272,-1254.4,0
2024-12-09,J&KBANK,6,GOLD,09:15,106.9,15:29,105.01,-1.77,EOD,-1.25,-6272,-1254.4,0
2024-12-09,IREDA,8,GOLD,09:15,222.15,15:29,221,-0.52,EOD,-1.25,-6272,-1254.4,0
2024-12-09,BANKINDIA,9,GOLD,09:15,113.48,15:29,111.98,-1.32,EOD,-1.25,-6272,-1254.4,0
2024-12-09,CASTROLIND,10,GOLD,09:15,216.36,15:29,216.51,0.07,EOD,-1.25,-6272,-1254.4,1
2024-12-09,MAXHEALTH,12,GOLD,09:15,1062.05,15:29,1119.5,5.41,EOD,-1.25,-6272,-1254.4,1
2024-12-10,CLEAN,1,PREMIUM-Compression,09:15,1299,15:29,1397.45,7.58,EOD,11.94,59687,11937.4,1
2024-12-10,MAXHEALTH,7,GOLD,09:15,1117,15:29,1117.05,0.0,EOD,11.94,59687,11937.4,0
2024-12-10,RPOWER,8,GOLD,09:15,44.8,15:29,44.91,0.25,EOD,11.94,59687,11937.4,1
2024-12-10,KPRMILL,9,GOLD-baseline,09:15,1009.95,15:29,1024,1.39,EOD,11.94,59687,11937.4,1
2024-12-10,SYRMA,10,ENTERPRISE-Dryup,09:15,557.7,15:29,580,4.0,EOD,11.94,59687,11937.4,1
2024-12-10,CRISIL,12,ENTERPRISE-Dryup,09:15,5272.45,15:29,5433.85,3.06,EOD,11.94,59687,11937.4,1
2024-12-10,TARIL,15,GOLD,09:15,515,15:29,519,0.78,EOD,11.94,59687,11937.4,1
2024-12-11,PGEL,3,GOLD-baseline,09:15,860,11:45,843,-1.98,TRAIL,2.2,11021,2204.2,0
2024-12-11,POWERINDIA,4,ENTERPRISE-Dryup,09:15,12580,11:45,12584.35,0.03,TRAIL,2.2,11021,2204.2,1
2024-12-11,KPRMILL,5,GOLD-baseline,09:15,1029.9,11:45,1017.05,-1.25,TRAIL,2.2,11021,2204.2,0
2024-12-11,CHALET,7,GOLD-baseline,09:15,923.8,11:45,931.15,0.8,TRAIL,2.2,11021,2204.2,1
2024-12-11,MAXHEALTH,10,ENTERPRISE-Dryup,09:15,1110.05,11:45,1125,1.35,TRAIL,2.2,11021,2204.2,1
2024-12-11,TITAGARH,12,GOLD,09:15,1241.1,11:45,1322.1,6.53,TRAIL,2.2,11021,2204.2,1
2024-12-11,RPOWER,13,GOLD,09:15,45.3,11:45,44.37,-2.05,TRAIL,2.2,11021,2204.2,0
2024-12-12,PGEL,1,GOLD-baseline,09:15,847,15:29,855,0.94,EOD,9.24,46178,9235.6,1
2024-12-12,JBMA,2,GOLD-baseline,09:15,883.2,15:29,854.9,-3.2,EOD,9.24,46178,9235.6,0
2024-12-12,POWERINDIA,3,ENTERPRISE-Dryup,09:15,12735,15:29,13125,3.06,EOD,9.24,46178,9235.6,1
2024-12-12,KPRMILL,4,GOLD,09:15,1024,15:29,1016,-0.78,EOD,9.24,46178,9235.6,0
2024-12-12,CHALET,5,GOLD-baseline,09:15,927.1,15:29,1000,7.86,EOD,9.24,46178,9235.6,1
2024-12-12,RPOWER,8,GOLD,09:15,46.24,15:29,46.24,0.0,EOD,9.24,46178,9235.6,0
2024-12-12,BLS,9,GOLD,09:15,450.8,15:29,478,6.03,EOD,9.24,46178,9235.6,1
2024-12-12,CRISIL,10,GOLD,09:15,5450,15:29,5530,1.47,EOD,9.24,46178,9235.6,1
2024-12-12,MAXHEALTH,12,GOLD-baseline,09:15,1132,15:29,1170.25,3.38,EOD,9.24,46178,9235.6,1
2024-12-12,MANAPPURAM,15,ENTERPRISE-Dryup,09:15,178,15:29,178.45,0.25,EOD,9.24,46178,9235.6,1
2024-12-13,PGEL,1,ENTERPRISE-Dryup,09:15,852.55,15:29,931,9.2,EOD,15.89,79470,15894.0,1
2024-12-13,TITAGARH,3,GOLD-baseline,09:15,1323.05,15:29,1306,-1.29,EOD,15.89,79470,15894.0,0
2024-12-13,JBMA,5,GOLD,09:15,851,15:29,884,3.88,EOD,15.89,79470,15894.0,1
2024-12-13,LATENTVIEW,6,GOLD-baseline,09:15,508.05,15:29,507,-0.21,EOD,15.89,79470,15894.0,0
2024-12-13,GODFRYPHLP,9,GOLD,09:15,1990,15:29,2017,1.36,EOD,15.89,79470,15894.0,1
2024-12-13,KPRMILL,10,GOLD,09:15,1018.4,15:29,1084.35,6.48,EOD,15.89,79470,15894.0,1
2024-12-13,DELHIVERY,12,GOLD-baseline,09:15,380,15:29,389,2.37,EOD,15.89,79470,15894.0,1
2024-12-13,CRISIL,14,GOLD,09:15,5562.6,15:29,5890,5.89,EOD,15.89,79470,15894.0,1
2024-12-13,SYRMA,15,GOLD-baseline,09:15,596.5,15:29,604.95,1.42,EOD,15.89,79470,15894.0,1
2024-12-16,LATENTVIEW,2,GOLD,09:15,507.8,15:29,499.9,-1.56,EOD,0.31,1566,313.2,0
2024-12-16,TARIL,3,GOLD-baseline,09:15,570,15:29,576,1.05,EOD,0.31,1566,313.2,1
2024-12-16,MANAPPURAM,4,GOLD-baseline,09:15,182.1,15:29,185.51,1.87,EOD,0.31,1566,313.2,1
2024-12-16,TITAGARH,5,GOLD,09:15,1308.6,15:29,1337,2.17,EOD,0.31,1566,313.2,1
2024-12-16,BLS,6,GOLD-baseline,09:15,469.8,15:29,470.4,0.13,EOD,0.31,1566,313.2,1
2024-12-16,POWERINDIA,10,ENTERPRISE-Dryup,09:15,13024.7,15:29,13205,1.38,EOD,0.31,1566,313.2,1
2024-12-16,MAXHEALTH,13,GOLD-baseline,09:15,1180.05,15:29,1181,0.08,EOD,0.31,1566,313.2,1
2024-12-16,CHALET,14,GOLD-baseline,09:15,1007.55,15:29,973,-3.43,EOD,0.31,1566,313.2,0
2024-12-16,SYRMA,15,GOLD-baseline,09:15,613,15:29,608.9,-0.67,EOD,0.31,1566,313.2,0
2024-12-17,AEGISLOG,4,ENTERPRISE-Dryup,09:15,772,09:15,772.25,0.03,HARD_STOP,-3.36,-16807,-3361.4,1
2024-12-17,CARTRADE,7,ENTERPRISE-Dryup,09:15,1500,09:15,1494.55,-0.36,HARD_STOP,-3.36,-16807,-3361.4,0
2024-12-17,BLUEJET,10,GOLD-baseline,09:15,525,09:15,517.8,-1.37,HARD_STOP,-3.36,-16807,-3361.4,0
2024-12-17,KFINTECH,11,ENTERPRISE-Dryup,09:15,1249.9,09:15,1248.6,-0.1,HARD_STOP,-3.36,-16807,-3361.4,0
2024-12-17,MANKIND,13,GOLD,09:15,2735,09:15,2725.35,-0.35,HARD_STOP,-3.36,-16807,-3361.4,0
2024-12-17,POWERINDIA,14,ENTERPRISE-Dryup,09:15,13234.5,09:15,13185.35,-0.37,HARD_STOP,-3.36,-16807,-3361.4,0
2024-12-17,KPRMILL,15,GOLD-baseline,09:15,1096.75,09:15,1076.6,-1.84,HARD_STOP,-3.36,-16807,-3361.4,0
2024-12-18,TECHNOE,2,GOLD,09:15,1501.2,10:08,1499.35,-0.12,TRAIL,2.84,14187,2837.4,0
2024-12-18,KFINTECH,5,ENTERPRISE-Dryup,09:15,1243,10:08,1263.45,1.65,TRAIL,2.84,14187,2837.4,1
2024-12-18,AEGISLOG,7,ENTERPRISE-Dryup,09:15,782.85,10:08,779.5,-0.43,TRAIL,2.84,14187,2837.4,0
2024-12-18,GICRE,8,GOLD,09:15,428.2,10:08,440.8,2.94,TRAIL,2.84,14187,2837.4,1
2024-12-18,CARTRADE,9,ENTERPRISE-Dryup,09:15,1534.5,10:08,1561.95,1.79,TRAIL,2.84,14187,2837.4,1
2024-12-18,KPRMILL,11,GOLD-baseline,09:15,1075.9,10:08,1085.4,0.88,TRAIL,2.84,14187,2837.4,1
2024-12-18,HONASA,12,ENTERPRISE-Dryup,09:15,245,10:08,245.3,0.12,TRAIL,2.84,14187,2837.4,1
2024-12-18,POWERINDIA,13,ENTERPRISE-Dryup,09:15,13199.05,10:08,12950,-1.89,TRAIL,2.84,14187,2837.4,0
2024-12-19,AEGISLOG,2,ENTERPRISE-Dryup,09:15,780,15:29,759.95,-2.57,EOD,20.9,104496,20899.2,0
2024-12-19,FIVESTAR,3,GOLD-baseline,09:15,711.95,15:29,748.65,5.15,EOD,20.9,104496,20899.2,1
2024-12-19,ZENTEC,5,GOLD-baseline,09:15,2316.9,15:29,2435,5.1,EOD,20.9,104496,20899.2,1
2024-12-19,NEWGEN,6,GOLD-baseline,09:15,1466,15:29,1525,4.02,EOD,20.9,104496,20899.2,1
2024-12-19,ANANTRAJ,8,GOLD-baseline,09:15,780,15:29,838,7.44,EOD,20.9,104496,20899.2,1
