tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
V13C0002_prior_months,2024-11-01,11,8,4,3,36.36363636363637,37.5,"NBCC,BHEL,MANAPPURAM,CEMPRO,SWANCORP,SAREGAMA,SCI,TARIL,JINDALSAW,COCHINSHIP,MINDACORP,FACT,SJVN,ITI,IDEA","INDIANB,BHEL,IFCI,DATAPATTNS,PHOENIXLTD,NBCC,CEMPRO,COCHINSHIP,BRIGADE,JUBLINGREA,RVNL","BRIGADE,DATAPATTNS,IFCI,JUBLINGREA,RVNL"
V13C0002_prior_months,2024-11-04,10,1,3,0,30.0,0.0,"NBCC,IDEA,CEMPRO,CREDITACC,SAREGAMA,MANAPPURAM,BHEL,OLAELEC,SCI,HFCL,SWANCORP,ELECON,RBLBANK,TARIL,MINDACORP","BHEL,RVNL,DATAPATTNS,ENGINERSIN,KEC,SCI,HUDCO,PHOENIXLTD,MANAPPURAM,GRSE",GRSE
V13C0002_prior_months,2024-11-05,14,10,0,0,0.0,0.0,"SAREGAMA,CEMPRO,AUBANK,KAJARIACER,IDEA,PTCIL,TARIL,GODIGIT,PHOENIXLTD,BHEL,INDUSINDBK,NBCC,OIL,FACT,FIVESTAR","SUPREMEIND,LATENTVIEW,GLAND,MAPMYINDIA,ITI,VOLTAS,DCMSHRIRAM,COROMANDEL,INDHOTEL,PGEL,PAYTM,VIJAYA,GRANULES,BEL","BEL,COROMANDEL,GLAND,INDHOTEL,ITI,PAYTM,PGEL,SUPREMEIND,VIJAYA,VOLTAS"
V13C0002_prior_months,2024-11-06,12,12,0,0,0.0,0.0,"OIL,INDUSINDBK,KAJARIACER,CEMPRO,JINDALSAW,PCBL,MOTHERSON,GODIGIT,SUPREMEIND,ADANIGREEN,MAZDOCK,TARIL,PHOENIXLTD,HFCL,BHEL","MAPMYINDIA,LATENTVIEW,DCMSHRIRAM,INDHOTEL,ITI,DIXON,JSWENERGY,PGEL,VOLTAS,CARTRADE,BEL,ECLERX","BEL,CARTRADE,DCMSHRIRAM,DIXON,ECLERX,INDHOTEL,ITI,JSWENERGY,LATENTVIEW,MAPMYINDIA,PGEL,VOLTAS"
V13C0002_prior_months,2024-11-07,1,0,0,0,0.0,0.0,"INTELLECT,KPITTECH,OIL,SUPREMEIND,JINDALSAW,CEMPRO,PCBL,MAZDOCK,FACT,TARIL,SARDAEN,IGL,PHOENIXLTD,ETERNAL,NBCC",GLAND,
V13C0002_prior_months,2024-11-08,10,4,1,0,10.0,0.0,"INTELLECT,SUPREMEIND,IGL,JPPOWER,BHEL,OIL,HFCL,GUJGASLTD,MAZDOCK,CEMPRO,WHIRLPOOL,CHENNPETRO,PHOENIXLTD,TARIL,FACT","SUPREMEIND,VOLTAS,INDHOTEL,BLUEJET,LATENTVIEW,CARTRADE,PAYTM,BEL,PGEL,GRANULES","CARTRADE,INDHOTEL,PAYTM,PGEL"
V13C0002_prior_months,2024-11-11,10,4,2,1,20.0,25.0,"OIL,IGL,SUPREMEIND,INTELLECT,BDL,TARIL,HAVELLS,SWANCORP,GAIL,WHIRLPOOL,MAZDOCK,MGL,CEMPRO,BAJAJ-AUTO,FACT","SUPREMEIND,GLAND,VOLTAS,COROMANDEL,DCMSHRIRAM,JSWENERGY,BLUEJET,TARIL,KALYANKJIL,DIXON","GLAND,JSWENERGY,KALYANKJIL"
V13C0002_prior_months,2024-11-12,13,4,0,0,0.0,0.0,"OLAELEC,SUZLON,MANAPPURAM,CHENNPETRO,PTCIL,TRENT,SIGNATURE,ABB,INDUSTOWER,EIHOTEL,STARHEALTH,OIL,CGPOWER,COLPAL,TARIL","NEULANDLAB,SAREGAMA,DCMSHRIRAM,DEEPAKNTR,EICHERMOT,AEGISLOG,POLYMED,NUVAMA,UNOMINDA,POLICYBZR,RAINBOW,BLUESTARCO,MEDANTA","AEGISLOG,NEULANDLAB,RAINBOW,UNOMINDA"
V13C0002_prior_months,2024-11-13,10,3,0,0,0.0,0.0,"OLAELEC,INDUSINDBK,MANAPPURAM,TRITURBINE,TRENT,SIGNATURE,EIHOTEL,KEI,INDUSTOWER,TARIL,CEMPRO,BRIGADE,CRAFTSMAN,DATAPATTNS,GRSE","SAREGAMA,ETERNAL,DEEPAKNTR,DCMSHRIRAM,EICHERMOT,AEGISLOG,POLYMED,NUVAMA,POLICYBZR,COHANCE","AEGISLOG,EICHERMOT,ETERNAL"
V13C0002_prior_months,2024-11-14,13,13,0,0,0.0,0.0,"FIVESTAR,TRITURBINE,SIGNATURE,TRENT,INDUSINDBK,INDUSTOWER,EIHOTEL,PHOENIXLTD,OLAELEC,TARIL,CEMPRO,GRSE,FACT,BANDHANBNK,BDL","NEULANDLAB,ETERNAL,SAREGAMA,DCMSHRIRAM,DEEPAKNTR,EICHERMOT,POLYMED,AEGISLOG,NUVAMA,RAINBOW,ZYDUSWELL,POLICYBZR,MEDANTA","AEGISLOG,DCMSHRIRAM,DEEPAKNTR,EICHERMOT,ETERNAL,MEDANTA,NEULANDLAB,NUVAMA,POLICYBZR,POLYMED,RAINBOW,SAREGAMA,ZYDUSWELL"
V13C0002_prior_months,2024-11-18,2,0,0,0,0.0,0.0,"FIVESTAR,TRITURBINE,TRENT,AARTIIND,DATAPATTNS,INDUSTOWER,BRIGADE,TARIL,MANAPPURAM,JWL,AUBANK,CEMPRO,BEML,GRSE,BDL","POLYMED,COHANCE",
V13C0002_prior_months,2024-11-19,10,8,0,0,0.0,0.0,"LTF,FIRSTCRY,WHIRLPOOL,JWL,INDUSTOWER,MAPMYINDIA,RBLBANK,JINDALSAW,FIVESTAR,HEG,HINDCOPPER,CEMPRO,BDL,CHOLAFIN,HSCL","PTCIL,CONCORDBIO,CRAFTSMAN,NLCINDIA,EIDPARRY,MRPL,UNOMINDA,VIJAYA,KFINTECH,PAYTM","CRAFTSMAN,EIDPARRY,KFINTECH,NLCINDIA,PAYTM,PTCIL,UNOMINDA,VIJAYA"
V13C0002_prior_months,2024-11-21,6,4,0,0,0.0,0.0,"SUZLON,MAZDOCK,CRAFTSMAN,TIINDIA,FIRSTCRY,JWL,WHIRLPOOL,INDUSTOWER,BDL,BEML,CHOLAFIN,AIIL,CEMPRO,TARIL,CUB","SWANCORP,CONCORDBIO,PHOENIXLTD,FORTIS,MRPL,NLCINDIA","CONCORDBIO,FORTIS,NLCINDIA,PHOENIXLTD"
V13C0002_prior_months,2024-11-22,8,6,1,1,12.5,16.666666666666664,"FIRSTCRY,INDUSTOWER,TIINDIA,INDIGO,CRAFTSMAN,OLECTRA,BDL,CEMPRO,GRSE,TORNTPOWER,TARIL,GALLANTT,RECLTD,BEML,FACT","SWANCORP,CRAFTSMAN,CCL,PTCIL,GVT&D,EIDPARRY,MRPL,OIL","CCL,EIDPARRY,MRPL,OIL,SWANCORP"
V13C0002_prior_months,2024-11-25,8,2,0,0,0.0,0.0,"ABB,CEMPRO,BDL,NEWGEN,CHENNPETRO,MGL,TMPV,JWL,TRENT,GRSE,CASTROLIND,ADANIGREEN,FIRSTCRY,MAPMYINDIA,HONASA","SUZLON,PTCIL,CONCORDBIO,UNOMINDA,GVT&D,EIDPARRY,SAMMAANCAP,FORTIS","GVT&D,UNOMINDA"
V13C0002_prior_months,2024-11-26,10,5,0,0,0.0,0.0,"OLECTRA,MGL,IDEA,NEWGEN,CEMPRO,TORNTPOWER,IGL,COLPAL,BIKAJI,BDL,FIVESTAR,MAPMYINDIA,STARHEALTH,GRSE,GSPL","FACT,PCBL,RPOWER,SONATSOFTW,ADANIGREEN,ADANIENSOL,ADANIENT,HBLENGINE,ATGL,HONASA","FACT,HBLENGINE,PCBL,RPOWER,SONATSOFTW"
V13C0002_prior_months,2024-11-27,7,7,0,0,0.0,0.0,"MAPMYINDIA,LINDEINDIA,CHENNPETRO,AARTIIND,BALRAMCHIN,BIKAJI,POWERINDIA,JBMA,GSPL,OLAELEC,CEMPRO,OLECTRA,IDEA,NEWGEN,JWL","HONASA,GALLANTT,ADANIENT,ADANIGREEN,ADANIENSOL,ATGL,ADANIPOWER","ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPOWER,ATGL,GALLANTT,HONASA"
V13C0002_prior_months,2024-11-28,2,1,1,0,50.0,0.0,"ADANIPOWER,ADANIENT,MAPMYINDIA,HSCL,RPOWER,CHENNPETRO,AARTIIND,LINDEINDIA,BALRAMCHIN,CEMPRO,BIKAJI,FIRSTCRY,TARIL,NEWGEN,CUB","BALRAMCHIN,FACT",FACT
V13C0002_prior_months,2024-11-29,7,5,3,2,42.857142857142854,40.0,"ADANIENT,ADANIENSOL,MAPMYINDIA,HONASA,CHENNPETRO,BALRAMCHIN,ADANIPOWER,LINDEINDIA,AWL,HSCL,ADANIGREEN,CHOLAHLDNG,CEMPRO,GSPL,POWERINDIA","HSCL,ADANIENT,PCBL,MAZDOCK,KFINTECH,BALRAMCHIN,PPLPHARMA","KFINTECH,MAZDOCK,PPLPHARMA"
V13C0002_prior_months,2024-12-02,10,5,4,0,40.0,0.0,"ADANIENT,HONASA,ADANIGREEN,ADANIENSOL,CEMPRO,HSCL,ADANIPOWER,RPOWER,MAPMYINDIA,BALRAMCHIN,AWL,FACT,FIRSTCRY,ADANIPORTS,AMBUJACEM","ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW","BDL,CAMS,COCHINSHIP,GRSE,SONATSOFTW"
V13C0002_prior_months,2024-12-03,11,9,1,1,9.090909090909092,11.11111111111111,"IGL,MGL,ADANIGREEN,INOXWIND,BALRAMCHIN,ADANIENSOL,HSCL,HONASA,ADANIPOWER,HOMEFIRST,RPOWER,CEMPRO,TORNTPOWER,FACT,RBLBANK","GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE","ANGELONE,BLS,GRSE,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
V13C0002_prior_months,2024-12-04,8,4,2,1,25.0,25.0,"MGL,IGL,INOXWIND,ADANIGREEN,HOMEFIRST,ADANIENSOL,ADANIPORTS,HSCL,ANANTRAJ,RPOWER,GSPL,FACT,CEMPRO,ADANIENT,TORNTPOWER","FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO","BLUESTARCO,FINCABLES,PNBHOUSING"
V13C0002_prior_months,2024-12-05,8,6,2,1,25.0,16.666666666666664,"HONASA,IGL,INOXWIND,MGL,ADANIPORTS,HOMEFIRST,TORNTPOWER,RPOWER,BAYERCROP,FACT,RHIM,GSPL,SUNDARMFIN,WHIRLPOOL,CEMPRO","INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE","ANGELONE,CASTROLIND,CESC,FLUOROCHEM,KPIL"
V13C0002_prior_months,2024-12-06,9,7,1,1,11.11111111111111,14.285714285714285,"IGL,MGL,HONASA,PNBHOUSING,HOMEFIRST,ADANIPORTS,RHIM,INOXWIND,TIINDIA,BAYERCROP,FACT,CEMPRO,WAAREEENER,USHAMART,ADANIGREEN","GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL","GABRIEL,GRSE,IREDA,MAZDOCK,MMTC,ZEEL"
V13C0002_prior_months,2024-12-09,9,3,2,1,22.22222222222222,33.33333333333333,"IGL,WAAREEENER,MGL,INOXWIND,HOMEFIRST,SUNDARMFIN,NUVAMA,MAPMYINDIA,FACT,ADANIPORTS,CEMPRO,MOTHERSON,AEGISLOG,TORNTPOWER,RHIM","INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH","CASTROLIND,MAXHEALTH"
V13C0002_prior_months,2024-12-10,7,6,0,0,0.0,0.0,"MAPMYINDIA,SUNDARMFIN,WAAREEENER,IGL,CHOLAHLDNG,ADANIGREEN,GODFRYPHLP,FACT,AEGISLOG,TEGA,CEMPRO,JSWENERGY,BBTC,POWERINDIA,DCMSHRIRAM","CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL","CLEAN,CRISIL,KPRMILL,RPOWER,SYRMA,TARIL"
V13C0002_prior_months,2024-12-11,7,4,1,1,14.285714285714285,25.0,"MAPMYINDIA,SUNDARMFIN,GODFRYPHLP,NYKAA,POWERINDIA,CLEAN,TBOTEK,CEMPRO,FACT,AEGISLOG,SONACOMS,DCMSHRIRAM,IGL,TARIL,CRAFTSMAN","PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER","CHALET,MAXHEALTH,TITAGARH"
V13C0002_prior_months,2024-12-12,10,7,1,1,10.0,14.285714285714285,"MAPMYINDIA,POWERINDIA,GODFRYPHLP,TBOTEK,IGL,FACT,AEGISLOG,CEMPRO,TARIL,TEGA,KIRLOSENG,DCMSHRIRAM,NYKAA,BAJAJFINSV,HONAUT","PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM","BLS,CHALET,CRISIL,MANAPPURAM,MAXHEALTH,PGEL"
V13C0002_prior_months,2024-12-13,9,7,1,1,11.11111111111111,14.285714285714285,"GODFRYPHLP,MAPMYINDIA,TEGA,TBOTEK,NYKAA,FACT,AEGISLOG,ADANIENSOL,CRAFTSMAN,CEMPRO,DCMSHRIRAM,TARIL,CHOLAHLDNG,THERMAX,JSWENERGY","PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA","CRISIL,DELHIVERY,JBMA,KPRMILL,PGEL,SYRMA"
V13C0002_prior_months,2024-12-16,9,6,1,1,11.11111111111111,16.666666666666664,"MAPMYINDIA,ADANIENSOL,GODFRYPHLP,TEGA,IGL,ADANIENT,FACT,FIVESTAR,ADANIGREEN,THERMAX,CEMPRO,ADANIPOWER,TARIL,NEULANDLAB,AEGISLOG","LATENTVIEW,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CHALET,SYRMA","BLS,MANAPPURAM,MAXHEALTH,POWERINDIA,TITAGARH"
