rule,family,winner_hits,loser_hits,universe_hits,winner_rate,loser_rate,universe_rate,lift_vs_universe,purity_vs_manual_losers,rule_weight,test_month
ret_20d__pct<=20pct AND ret_3d__pct>=80pct,pullback_reversal,14,4,157,0.125,0.04081632653061224,0.015433008945247222,8.099522292993631,0.75,16.43614901649421,2024-11
rs_market_20d__pct<=20pct AND ret_3d__pct>=80pct,pullback_reversal,14,4,157,0.125,0.04081632653061224,0.015433008945247222,8.099522292993631,0.75,16.43614901649421,2024-11
rs_sector_20d__pct<=20pct AND ret_3d__pct>=80pct,pullback_reversal,15,4,182,0.13392857142857142,0.04081632653061224,0.017890494446082768,7.486018445839874,0.7619047619047619,15.799543098982559,2024-11
ret_20d__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,23,5,378,0.20535714285714285,0.05102040816326531,0.03715718077263344,5.52671485260771,0.8,14.033500702399511,2024-11
rs_market_20d__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,23,5,378,0.20535714285714285,0.05102040816326531,0.03715718077263344,5.52671485260771,0.8,14.033500702399511,2024-11
ret_20d__pct<=20pct AND wtd_ret>=0,pullback_reversal,26,6,462,0.23214285714285715,0.061224489795918366,0.045414332055440876,5.111665120593692,0.7941176470588235,13.357241648579402,2024-11
rs_market_20d__pct<=20pct AND wtd_ret>=0,pullback_reversal,26,6,462,0.23214285714285715,0.061224489795918366,0.045414332055440876,5.111665120593692,0.7941176470588235,13.357241648579402,2024-11
rs_sector_20d__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,23,5,412,0.20535714285714285,0.05102040816326531,0.040499361053769785,5.07062673370319,0.8,12.87392262779095,2024-11
ret_20d__pct<=20pct AND dist_prior_low_20__pct>=65pct,pullback_reversal,17,7,242,0.15178571428571427,0.07142857142857142,0.023788459648088078,6.380644923258559,0.6923076923076923,12.74284022693467,2024-11
rs_sector_20d__pct<=20pct AND wtd_ret>=0,pullback_reversal,25,5,487,0.22321428571428573,0.05102040816326531,0.04787181755627642,4.662749339982399,0.8125,12.325388936477975,2024-11
ret_60d__pct<=20pct AND ret_3d__pct>=80pct,pullback_reversal,18,12,232,0.16071428571428573,0.12244897959183673,0.02280546544775386,7.0471828817733995,0.59375,12.277455339572654,2024-11
qtd_ret__pct<=20pct AND wtd_ret__pct>=80pct,pullback_reversal,9,2,121,0.08035714285714286,0.02040816326530612,0.011894229824044039,6.755976977567887,0.7692307692307693,11.959173971440825,2024-11
mtd_ret__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,15,2,266,0.13392857142857142,0.02040816326530612,0.0261476457288902,5.1220126208378085,0.8421052631578947,11.951791397766389,2024-11
dist_prior_high_20__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,18,3,334,0.16071428571428573,0.030612244897959183,0.03283200629116288,4.895049187339607,0.8260869565217391,11.895820453879416,2024-11
mtd_ret__pct<=20pct AND wtd_ret__pct>=80pct,pullback_reversal,9,2,122,0.08035714285714286,0.02040816326530612,0.01199252924407746,6.70060011709602,0.7692307692307693,11.861089407272107,2024-11
dist_prior_high_60__pct<=20pct AND ret_3d__pct>=80pct,pullback_reversal,15,8,204,0.13392857142857142,0.08163265306122448,0.020053081686818047,6.678702731092437,0.64,11.822497929136679,2024-11
dist_prior_high_20__pct<=20pct AND wtd_ret>=0,pullback_reversal,22,5,423,0.19642857142857142,0.05102040816326531,0.04158065467413742,4.72403748733536,0.7931034482758621,11.729743581265872,2024-11
rs_market_20d__pct<=35pct AND ret_3d__pct>=80pct,pullback_reversal,20,9,324,0.17857142857142858,0.09183673469387756,0.03184901209082867,5.606812169312169,0.6774193548387096,11.531449869470189,2024-11
ret_20d__pct<=35pct AND ret_3d__pct>=80pct,pullback_reversal,20,9,324,0.17857142857142858,0.09183673469387756,0.03184901209082867,5.606812169312169,0.6774193548387096,11.531449869470189,2024-11
ret_20d__pct<=20pct AND red_count_5__pct<=20pct,pullback_reversal,7,0,103,0.0625,0.0,0.010124840263442446,6.172936893203883,0.8888888888888888,11.410010142129972,2024-11
rs_sector_20d__pct<=20pct AND wtd_ret__pct>=80pct,pullback_reversal,12,3,190,0.10714285714285714,0.030612244897959183,0.01867688980635014,5.736654135338346,0.7647058823529411,11.241341914250244,2024-11
dist_prior_high_120__pct<=20pct AND ret_3d__pct>=80pct,pullback_reversal,16,8,239,0.14285714285714285,0.08163265306122448,0.02349356138798781,6.080693365212193,0.6538461538461539,11.235825760596487,2024-11
ret_20d__pct<=20pct AND wtd_ret__pct>=80pct,pullback_reversal,11,3,169,0.09821428571428571,0.030612244897959183,0.016612601985648286,5.91203508030431,0.75,11.0074271779068,2024-11
rs_market_20d__pct<=20pct AND wtd_ret__pct>=80pct,pullback_reversal,11,3,169,0.09821428571428571,0.030612244897959183,0.016612601985648286,5.91203508030431,0.75,11.0074271779068,2024-11
ret_20d<=-10 AND wtd_ret>=0,pullback_reversal,20,2,449,0.17857142857142858,0.02040816326530612,0.04413643959500639,4.045895641107222,0.875,10.770949695390682,2024-11
mtd_ret__pct<=20pct AND wtd_ret>=0,pullback_reversal,17,3,344,0.15178571428571427,0.030612244897959183,0.0338150004914971,4.488709509966777,0.8181818181818182,10.604408693655818,2024-11
ret_20d<=-10 AND wtd_ret__pct>=65pct,pullback_reversal,18,2,393,0.16071428571428573,0.02040816326530612,0.03863167207313477,4.160169029443839,0.8636363636363636,10.571853195315947,2024-11
ret_60d__pct<=20pct AND wtd_ret>=3,pullback_reversal,12,10,143,0.10714285714285714,0.10204081632653061,0.014056817064779318,7.622127872127871,0.5416666666666666,10.554070541175408,2024-11
rs_sector_20d__pct<=20pct AND wtd_ret>=3,pullback_reversal,9,3,128,0.08035714285714286,0.030612244897959183,0.01258232576427799,6.386509486607144,0.7142857142857143,10.493201100090477,2024-11
ret_20d<=-10 AND wtd_ret__pct>=80pct,pullback_reversal,10,1,177,0.08928571428571429,0.01020408163265306,0.01739899734591566,5.131658595641646,0.8461538461538461,10.40850386136292,2024-11
dist_prior_high_20__pct<=35pct AND ret_3d__pct>=80pct,pullback_reversal,16,6,280,0.14285714285714285,0.061224489795918366,0.027523837609358105,5.1903061224489795,0.7083333333333334,10.394786329388308,2024-11
rs_market_20d__pct<=20pct AND wtd_ret>=3,pullback_reversal,8,3,107,0.07142857142857142,0.030612244897959183,0.010518037943576133,6.79105473965287,0.6923076923076923,10.319535823517112,2024-11
ret_20d__pct<=20pct AND wtd_ret>=3,pullback_reversal,8,3,107,0.07142857142857142,0.030612244897959183,0.010518037943576133,6.79105473965287,0.6923076923076923,10.319535823517112,2024-11
ret_60d__pct<=20pct AND wtd_ret>=0,pullback_reversal,28,16,528,0.25,0.16326530612244897,0.051902093777646714,4.816761363636363,0.6304347826086957,10.168169168086884,2024-11
dist_prior_high_20__pct<=20pct AND wtd_ret>=3,pullback_reversal,7,1,105,0.0625,0.01020408163265306,0.01032143910350929,6.055357142857143,0.8,10.069837525480462,2024-11
dist_prior_high_60__pct<=20pct AND wtd_ret>=0,pullback_reversal,25,13,481,0.22321428571428573,0.1326530612244898,0.047282021036075886,4.720912533412534,0.65,9.95134413649027,2024-11
ret_60d__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,25,16,454,0.22321428571428573,0.16326530612244897,0.044627936695173495,5.001671648835746,0.6046511627906976,9.796209611884828,2024-11
ret_20d__pct<=20pct AND green_count_5__pct>=65pct,pullback_reversal,15,1,344,0.13392857142857142,0.01020408163265306,0.0338150004914971,3.96062603820598,0.8888888888888888,9.757483759463348,2024-11
rs_market_20d__pct<=20pct AND green_count_5__pct>=65pct,pullback_reversal,15,1,344,0.13392857142857142,0.01020408163265306,0.0338150004914971,3.96062603820598,0.8888888888888888,9.757483759463348,2024-11
ret_20d__pct<=20pct AND red_count_5__pct<=35pct,pullback_reversal,15,1,344,0.13392857142857142,0.01020408163265306,0.0338150004914971,3.96062603820598,0.8888888888888888,9.757483759463348,2024-11
rs_market_20d__pct<=20pct AND ret_3d__pct>=65pct,pullback_reversal,19,7,379,0.16964285714285715,0.07142857142857142,0.03725548019266686,4.553500753863551,0.7142857142857143,9.718620832858191,2024-11
ret_20d__pct<=20pct AND ret_3d__pct>=65pct,pullback_reversal,19,7,379,0.16964285714285715,0.07142857142857142,0.03725548019266686,4.553500753863551,0.7142857142857143,9.718620832858191,2024-11
rs_sector_20d__pct<=20pct AND atr_5_vs_20__pct>=65pct,pullback_reversal,23,4,570,0.20535714285714285,0.04081632653061224,0.056030669419050425,3.6650845864661656,0.8275862068965517,9.62530278935678,2024-11
rs_market_20d__pct<=20pct AND ret_60d__pct<=20pct,pullback_reversal,36,11,924,0.32142857142857145,0.11224489795918367,0.09082866411088175,3.538845083487941,0.7551020408163265,9.60976993419313,2024-11
ret_20d__pct<=20pct AND ret_60d__pct<=20pct,pullback_reversal,36,11,924,0.32142857142857145,0.11224489795918367,0.09082866411088175,3.538845083487941,0.7551020408163265,9.60976993419313,2024-11
wtd_ret>=3 AND ret_10d__pct<=35pct,pullback_reversal,8,1,138,0.07142857142857142,0.01020408163265306,0.013565319964612209,5.265527950310559,0.8181818181818182,9.46242191921571,2024-11
dist_prior_high_20__pct<=20pct AND wtd_ret__pct>=80pct,pullback_reversal,10,3,169,0.08928571428571429,0.030612244897959183,0.016612601985648286,5.374577345731192,0.7333333333333333,9.440246362072275,2024-11
qtd_ret__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,13,2,273,0.11607142857142858,0.02040816326530612,0.02683574166912415,4.325255102040817,0.8235294117647058,9.393112820089645,2024-11
wtd_ret>=3 AND lower_wick_proxy__pct>=80pct,pullback_reversal,12,7,185,0.10714285714285714,0.07142857142857142,0.018185392706183034,5.891698841698841,0.6190476190476191,9.329991383754294,2024-11
dist_prior_high_60__pct<=20pct AND wtd_ret__pct>=65pct,pullback_reversal,21,13,389,0.1875,0.1326530612244898,0.038238474393001085,4.903438303341902,0.6111111111111112,9.216021183770541,2024-11
rs_sector_20d__pct<=35pct AND ret_3d__pct>=80pct,pullback_reversal,19,10,361,0.16964285714285715,0.10204081632653061,0.03548609063206527,4.7805451127819545,0.6451612903225806,9.203791055925523,2024-11
rs_market_20d__pct<=20pct AND atr_5_vs_20__pct>=65pct,pullback_reversal,23,5,577,0.20535714285714285,0.05102040816326531,0.05671876535928438,3.62062082198564,0.8,9.187365154382052,2024-11
ret_20d__pct<=20pct AND atr_5_vs_20__pct>=65pct,pullback_reversal,23,5,577,0.20535714285714285,0.05102040816326531,0.05671876535928438,3.62062082198564,0.8,9.187365154382052,2024-11
rs_sector_20d__pct<=20pct AND ret_3d__pct>=65pct,pullback_reversal,19,6,416,0.16964285714285715,0.061224489795918366,0.04089255873390347,4.148501888736264,0.7407407407407407,9.184349943376548,2024-11
rs_market_20d__pct<=20pct AND lower_wick_proxy__pct>=80pct,pullback_reversal,16,3,363,0.14285714285714285,0.030612244897959183,0.035682689472132115,4.003541912632821,0.8095238095238095,9.171623918862577,2024-11
ret_20d__pct<=20pct AND lower_wick_proxy__pct>=80pct,pullback_reversal,16,3,363,0.14285714285714285,0.030612244897959183,0.035682689472132115,4.003541912632821,0.8095238095238095,9.171623918862577,2024-11
mtd_ret__pct<=35pct AND wtd_ret>=3,pullback_reversal,8,1,143,0.07142857142857142,0.01020408163265306,0.014056817064779318,5.081418581418581,0.8181818181818182,9.131443130831544,2024-11
wtd_ret>=3 AND qtd_ret__pct<=35pct,pullback_reversal,8,1,144,0.07142857142857142,0.01020408163265306,0.01415511648481274,5.0461309523809526,0.8181818181818182,9.06800552972458,2024-11
