entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-11-01,2024-10-31,15,"NBCC,BHEL,MANAPPURAM,CEMPRO,SWANCORP,SAREGAMA,SCI,TARIL,JINDALSAW,COCHINSHIP,MINDACORP,FACT,SJVN,ITI,IDEA",8.96930690662021,"{""continuation"": 11, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 1, ""recovery"": 1}"
2024-11-04,2024-11-01,15,"NBCC,IDEA,CEMPRO,CREDITACC,SAREGAMA,MANAPPURAM,BHEL,OLAELEC,SCI,HFCL,SWANCORP,ELECON,RBLBANK,TARIL,MINDACORP",9.54811182145789,"{""continuation"": 13, ""pullback_reversal"": 2}"
2024-11-05,2024-11-04,15,"SAREGAMA,CEMPRO,AUBANK,KAJARIACER,IDEA,PTCIL,TARIL,GODIGIT,PHOENIXLTD,BHEL,INDUSINDBK,NBCC,OIL,FACT,FIVESTAR",9.088048040869277,"{""continuation"": 9, ""fresh_breakout"": 1, ""pullback_reversal"": 5}"
2024-11-06,2024-11-05,15,"OIL,INDUSINDBK,KAJARIACER,CEMPRO,JINDALSAW,PCBL,MOTHERSON,GODIGIT,SUPREMEIND,ADANIGREEN,MAZDOCK,TARIL,PHOENIXLTD,HFCL,BHEL",9.424470219666995,"{""continuation"": 12, ""pullback_reversal"": 1, ""recovery"": 2}"
2024-11-07,2024-11-06,15,"INTELLECT,KPITTECH,OIL,SUPREMEIND,JINDALSAW,CEMPRO,PCBL,MAZDOCK,FACT,TARIL,SARDAEN,IGL,PHOENIXLTD,ETERNAL,NBCC",9.433942381301211,"{""continuation"": 11, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 2}"
2024-11-08,2024-11-07,15,"INTELLECT,SUPREMEIND,IGL,JPPOWER,BHEL,OIL,HFCL,GUJGASLTD,MAZDOCK,CEMPRO,WHIRLPOOL,CHENNPETRO,PHOENIXLTD,TARIL,FACT",8.852992944282958,"{""continuation"": 12, ""fresh_breakout"": 1, ""pullback_reversal"": 1, ""recovery"": 1}"
2024-11-11,2024-11-08,15,"OIL,IGL,SUPREMEIND,INTELLECT,BDL,TARIL,HAVELLS,SWANCORP,GAIL,WHIRLPOOL,MAZDOCK,MGL,CEMPRO,BAJAJ-AUTO,FACT",8.841564948114284,"{""continuation"": 11, ""fresh_breakout"": 1, ""pullback_reversal"": 1, ""recovery"": 2}"
2024-11-12,2024-11-11,15,"OLAELEC,SUZLON,MANAPPURAM,CHENNPETRO,PTCIL,TRENT,SIGNATURE,ABB,INDUSTOWER,EIHOTEL,STARHEALTH,OIL,CGPOWER,COLPAL,TARIL",8.419816668261708,"{""continuation"": 9, ""pullback_reversal"": 1, ""recovery"": 5}"
2024-11-13,2024-11-12,15,"OLAELEC,INDUSINDBK,MANAPPURAM,TRITURBINE,TRENT,SIGNATURE,EIHOTEL,KEI,INDUSTOWER,TARIL,CEMPRO,BRIGADE,CRAFTSMAN,DATAPATTNS,GRSE",8.790661498214696,"{""continuation"": 8, ""dryup_compression"": 1, ""pullback_reversal"": 2, ""recovery"": 4}"
2024-11-14,2024-11-13,15,"FIVESTAR,TRITURBINE,SIGNATURE,TRENT,INDUSINDBK,INDUSTOWER,EIHOTEL,PHOENIXLTD,OLAELEC,TARIL,CEMPRO,GRSE,FACT,BANDHANBNK,BDL",9.167382480733817,"{""continuation"": 7, ""pullback_reversal"": 5, ""recovery"": 3}"
2024-11-18,2024-11-14,15,"FIVESTAR,TRITURBINE,TRENT,AARTIIND,DATAPATTNS,INDUSTOWER,BRIGADE,TARIL,MANAPPURAM,JWL,AUBANK,CEMPRO,BEML,GRSE,BDL",8.963978493859083,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 4, ""recovery"": 3}"
