entry_month,best_lane,selected_count
2024-11,continuation,172
2024-11,dryup_compression,10
2024-11,fresh_breakout,5
2024-11,pullback_reversal,44
2024-11,recovery,54
2024-12,continuation,203
2024-12,dryup_compression,16
2024-12,fresh_breakout,2
2024-12,pullback_reversal,52
2024-12,recovery,42
2025-01,continuation,257
2025-01,dryup_compression,5
2025-01,fresh_breakout,6
2025-01,pullback_reversal,55
2025-01,recovery,22
2025-02,continuation,160
2025-02,dryup_compression,13
2025-02,fresh_breakout,1
2025-02,pullback_reversal,70
2025-02,recovery,56
2025-03,continuation,180
2025-03,dryup_compression,17
2025-03,fresh_breakout,2
2025-03,pullback_reversal,45
2025-03,recovery,41
2025-04,continuation,77
2025-04,dryup_compression,31
2025-04,pullback_reversal,98
2025-04,recovery,79
2025-05,continuation,104
2025-05,dryup_compression,23
2025-05,fresh_breakout,3
2025-05,pullback_reversal,143
2025-05,recovery,42
