state,kind,family,feature,op,threshold
prev_day_ret__pct>=80pct,single,continuation,prev_day_ret__pct,>=,0.8
prev_day_ret__pct>=65pct,single,continuation,prev_day_ret__pct,>=,0.65
prev_day_ret__pct<=35pct,single,pullback_reversal,prev_day_ret__pct,<=,0.35
prev_day_ret__pct<=20pct,single,pullback_reversal,prev_day_ret__pct,<=,0.2
wtd_ret__pct>=80pct,single,continuation,wtd_ret__pct,>=,0.8
wtd_ret__pct>=65pct,single,continuation,wtd_ret__pct,>=,0.65
wtd_ret__pct<=35pct,single,pullback_reversal,wtd_ret__pct,<=,0.35
wtd_ret__pct<=20pct,single,pullback_reversal,wtd_ret__pct,<=,0.2
mtd_ret__pct>=80pct,single,continuation,mtd_ret__pct,>=,0.8
mtd_ret__pct>=65pct,single,continuation,mtd_ret__pct,>=,0.65
mtd_ret__pct<=35pct,single,pullback_reversal,mtd_ret__pct,<=,0.35
mtd_ret__pct<=20pct,single,pullback_reversal,mtd_ret__pct,<=,0.2
qtd_ret__pct>=80pct,single,continuation,qtd_ret__pct,>=,0.8
qtd_ret__pct>=65pct,single,continuation,qtd_ret__pct,>=,0.65
qtd_ret__pct<=35pct,single,pullback_reversal,qtd_ret__pct,<=,0.35
qtd_ret__pct<=20pct,single,pullback_reversal,qtd_ret__pct,<=,0.2
ret_3d__pct>=80pct,single,continuation,ret_3d__pct,>=,0.8
ret_3d__pct>=65pct,single,continuation,ret_3d__pct,>=,0.65
ret_3d__pct<=35pct,single,pullback_reversal,ret_3d__pct,<=,0.35
ret_3d__pct<=20pct,single,pullback_reversal,ret_3d__pct,<=,0.2
ret_5d__pct>=80pct,single,continuation,ret_5d__pct,>=,0.8
ret_5d__pct>=65pct,single,continuation,ret_5d__pct,>=,0.65
ret_5d__pct<=35pct,single,pullback_reversal,ret_5d__pct,<=,0.35
ret_5d__pct<=20pct,single,pullback_reversal,ret_5d__pct,<=,0.2
ret_10d__pct>=80pct,single,continuation,ret_10d__pct,>=,0.8
ret_10d__pct>=65pct,single,continuation,ret_10d__pct,>=,0.65
ret_10d__pct<=35pct,single,pullback_reversal,ret_10d__pct,<=,0.35
ret_10d__pct<=20pct,single,pullback_reversal,ret_10d__pct,<=,0.2
ret_20d__pct>=80pct,single,continuation,ret_20d__pct,>=,0.8
ret_20d__pct>=65pct,single,continuation,ret_20d__pct,>=,0.65
ret_20d__pct<=35pct,single,pullback_reversal,ret_20d__pct,<=,0.35
ret_20d__pct<=20pct,single,pullback_reversal,ret_20d__pct,<=,0.2
ret_60d__pct>=80pct,single,continuation,ret_60d__pct,>=,0.8
ret_60d__pct>=65pct,single,continuation,ret_60d__pct,>=,0.65
ret_60d__pct<=35pct,single,pullback_reversal,ret_60d__pct,<=,0.35
ret_60d__pct<=20pct,single,pullback_reversal,ret_60d__pct,<=,0.2
close_loc__pct>=80pct,single,mixed,close_loc__pct,>=,0.8
close_loc__pct>=65pct,single,mixed,close_loc__pct,>=,0.65
close_loc__pct<=35pct,single,pullback_reversal,close_loc__pct,<=,0.35
close_loc__pct<=20pct,single,pullback_reversal,close_loc__pct,<=,0.2
wtd_close_loc__pct>=80pct,single,continuation,wtd_close_loc__pct,>=,0.8
wtd_close_loc__pct>=65pct,single,continuation,wtd_close_loc__pct,>=,0.65
wtd_close_loc__pct<=35pct,single,pullback_reversal,wtd_close_loc__pct,<=,0.35
wtd_close_loc__pct<=20pct,single,pullback_reversal,wtd_close_loc__pct,<=,0.2
mtd_close_loc__pct>=80pct,single,continuation,mtd_close_loc__pct,>=,0.8
mtd_close_loc__pct>=65pct,single,continuation,mtd_close_loc__pct,>=,0.65
mtd_close_loc__pct<=35pct,single,pullback_reversal,mtd_close_loc__pct,<=,0.35
mtd_close_loc__pct<=20pct,single,pullback_reversal,mtd_close_loc__pct,<=,0.2
vol_vs_5d__pct>=80pct,single,mixed,vol_vs_5d__pct,>=,0.8
vol_vs_5d__pct>=65pct,single,mixed,vol_vs_5d__pct,>=,0.65
vol_vs_5d__pct<=35pct,single,pullback_reversal,vol_vs_5d__pct,<=,0.35
vol_vs_5d__pct<=20pct,single,pullback_reversal,vol_vs_5d__pct,<=,0.2
vol_vs_20d__pct>=80pct,single,mixed,vol_vs_20d__pct,>=,0.8
vol_vs_20d__pct>=65pct,single,mixed,vol_vs_20d__pct,>=,0.65
vol_vs_20d__pct<=35pct,single,pullback_reversal,vol_vs_20d__pct,<=,0.35
vol_vs_20d__pct<=20pct,single,pullback_reversal,vol_vs_20d__pct,<=,0.2
range_vs_5d__pct>=80pct,single,mixed,range_vs_5d__pct,>=,0.8
range_vs_5d__pct>=65pct,single,mixed,range_vs_5d__pct,>=,0.65
range_vs_5d__pct<=35pct,single,pullback_reversal,range_vs_5d__pct,<=,0.35
range_vs_5d__pct<=20pct,single,pullback_reversal,range_vs_5d__pct,<=,0.2
range_vs_20d__pct>=80pct,single,mixed,range_vs_20d__pct,>=,0.8
range_vs_20d__pct>=65pct,single,mixed,range_vs_20d__pct,>=,0.65
range_vs_20d__pct<=35pct,single,pullback_reversal,range_vs_20d__pct,<=,0.35
range_vs_20d__pct<=20pct,single,pullback_reversal,range_vs_20d__pct,<=,0.2
atr_20_pct__pct>=80pct,single,mixed,atr_20_pct__pct,>=,0.8
atr_20_pct__pct>=65pct,single,mixed,atr_20_pct__pct,>=,0.65
atr_20_pct__pct<=35pct,single,pullback_reversal,atr_20_pct__pct,<=,0.35
atr_20_pct__pct<=20pct,single,pullback_reversal,atr_20_pct__pct,<=,0.2
atr_5_vs_20__pct>=80pct,single,mixed,atr_5_vs_20__pct,>=,0.8
atr_5_vs_20__pct>=65pct,single,mixed,atr_5_vs_20__pct,>=,0.65
atr_5_vs_20__pct<=35pct,single,pullback_reversal,atr_5_vs_20__pct,<=,0.35
atr_5_vs_20__pct<=20pct,single,pullback_reversal,atr_5_vs_20__pct,<=,0.2
dist_prior_high_20__pct>=80pct,single,mixed,dist_prior_high_20__pct,>=,0.8
dist_prior_high_20__pct>=65pct,single,mixed,dist_prior_high_20__pct,>=,0.65
dist_prior_high_20__pct<=35pct,single,pullback_reversal,dist_prior_high_20__pct,<=,0.35
dist_prior_high_20__pct<=20pct,single,pullback_reversal,dist_prior_high_20__pct,<=,0.2
dist_prior_high_60__pct>=80pct,single,mixed,dist_prior_high_60__pct,>=,0.8
dist_prior_high_60__pct>=65pct,single,mixed,dist_prior_high_60__pct,>=,0.65
dist_prior_high_60__pct<=35pct,single,pullback_reversal,dist_prior_high_60__pct,<=,0.35
dist_prior_high_60__pct<=20pct,single,pullback_reversal,dist_prior_high_60__pct,<=,0.2
dist_prior_high_120__pct>=80pct,single,mixed,dist_prior_high_120__pct,>=,0.8
dist_prior_high_120__pct>=65pct,single,mixed,dist_prior_high_120__pct,>=,0.65
dist_prior_high_120__pct<=35pct,single,pullback_reversal,dist_prior_high_120__pct,<=,0.35
dist_prior_high_120__pct<=20pct,single,pullback_reversal,dist_prior_high_120__pct,<=,0.2
dist_prior_low_20__pct>=80pct,single,pullback_reversal,dist_prior_low_20__pct,>=,0.8
dist_prior_low_20__pct>=65pct,single,pullback_reversal,dist_prior_low_20__pct,>=,0.65
dist_prior_low_20__pct<=35pct,single,pullback_reversal,dist_prior_low_20__pct,<=,0.35
dist_prior_low_20__pct<=20pct,single,pullback_reversal,dist_prior_low_20__pct,<=,0.2
dist_prior_low_60__pct>=80pct,single,pullback_reversal,dist_prior_low_60__pct,>=,0.8
dist_prior_low_60__pct>=65pct,single,pullback_reversal,dist_prior_low_60__pct,>=,0.65
dist_prior_low_60__pct<=35pct,single,pullback_reversal,dist_prior_low_60__pct,<=,0.35
dist_prior_low_60__pct<=20pct,single,pullback_reversal,dist_prior_low_60__pct,<=,0.2
rs_market_5d__pct>=80pct,single,continuation,rs_market_5d__pct,>=,0.8
rs_market_5d__pct>=65pct,single,continuation,rs_market_5d__pct,>=,0.65
rs_market_5d__pct<=35pct,single,pullback_reversal,rs_market_5d__pct,<=,0.35
rs_market_5d__pct<=20pct,single,pullback_reversal,rs_market_5d__pct,<=,0.2
rs_market_20d__pct>=80pct,single,continuation,rs_market_20d__pct,>=,0.8
rs_market_20d__pct>=65pct,single,continuation,rs_market_20d__pct,>=,0.65
rs_market_20d__pct<=35pct,single,pullback_reversal,rs_market_20d__pct,<=,0.35
rs_market_20d__pct<=20pct,single,pullback_reversal,rs_market_20d__pct,<=,0.2
rs_sector_5d__pct>=80pct,single,continuation,rs_sector_5d__pct,>=,0.8
rs_sector_5d__pct>=65pct,single,continuation,rs_sector_5d__pct,>=,0.65
rs_sector_5d__pct<=35pct,single,pullback_reversal,rs_sector_5d__pct,<=,0.35
