trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_selected,teacher_profitable,month,rank_weight,profit_weight,teacher_weight
2024-10-01,TARIL,1,ENTERPRISE-Dryup,09:15,321.0,15:29,325.5,1.4,EOD,6.01,30057,6011.4,1,1,2024-10,1.0,1.2333333333333334,1.2333333333333334
2024-10-01,SARDAEN,3,ENTERPRISE-Dryup,09:15,444.0,15:29,452.85,1.99,EOD,6.01,30057,6011.4,1,1,2024-10,0.8666666666666667,1.3316666666666666,1.154111111111111
2024-10-01,BSE,4,ENTERPRISE-Dryup,09:15,1248.5,15:29,1286.0,3.0,EOD,6.01,30057,6011.4,1,1,2024-10,0.8,1.5,1.2000000000000002
2024-10-01,CEMPRO,5,ENTERPRISE-Dryup,09:15,524.05,15:29,538.4,2.74,EOD,6.01,30057,6011.4,1,1,2024-10,0.7333333333333333,1.4566666666666668,1.0682222222222222
2024-10-01,THERMAX,7,ENTERPRISE-Dryup,09:15,5100.2,15:29,5081.0,-0.38,EOD,6.01,30057,6011.4,1,0,2024-10,0.6,0.25,0.15
2024-10-01,ANANTRAJ,9,ENTERPRISE-Dryup,09:15,704.75,15:29,724.0,2.73,EOD,6.01,30057,6011.4,1,1,2024-10,0.4666666666666667,1.455,0.679
2024-10-01,HOMEFIRST,10,ENTERPRISE-Dryup,09:15,1195.0,15:29,1184.6,-0.87,EOD,6.01,30057,6011.4,1,0,2024-10,0.4,0.25,0.1
2024-10-01,POLICYBZR,11,GOLD-baseline,09:15,1645.0,15:29,1727.1,4.99,EOD,6.01,30057,6011.4,1,1,2024-10,0.3333333333333333,1.8316666666666666,0.6105555555555555
2024-10-01,OIL,12,ENTERPRISE-Dryup,09:15,572.5,15:29,568.3,-0.73,EOD,6.01,30057,6011.4,1,0,2024-10,0.26666666666666666,0.25,0.06666666666666667
2024-10-01,ANGELONE,13,GOLD-baseline,09:15,260.2,15:29,259.5,-0.27,EOD,6.01,30057,6011.4,1,0,2024-10,0.2,0.25,0.05
2024-10-01,PETRONET,14,GOLD,09:15,327.3,15:29,328.8,0.46,EOD,6.01,30057,6011.4,1,1,2024-10,0.13333333333333333,1.0766666666666667,0.14355555555555555
2024-10-01,NBCC,15,GOLD,09:15,120.0,15:29,120.07,0.06,EOD,6.01,30057,6011.4,1,1,2024-10,0.06666666666666667,1.01,0.06733333333333333
2024-10-03,SARDAEN,3,ENTERPRISE-Dryup,09:15,450.0,15:29,490.8,9.07,EOD,18.97,94869,18973.8,1,1,2024-10,0.8666666666666667,2.5116666666666667,2.1767777777777777
2024-10-03,CEMPRO,6,ENTERPRISE-Dryup,09:15,533.85,15:29,645.35,20.89,EOD,18.97,94869,18973.8,1,1,2024-10,0.6666666666666666,3.5,2.333333333333333
2024-10-03,THERMAX,7,ENTERPRISE-Dryup,09:15,5080.0,15:29,4917.0,-3.21,EOD,18.97,94869,18973.8,1,0,2024-10,0.6,0.25,0.15
2024-10-03,VIJAYA,8,GOLD-baseline,09:15,950.5,15:29,978.0,2.89,EOD,18.97,94869,18973.8,1,1,2024-10,0.5333333333333333,1.4816666666666667,0.7902222222222223
2024-10-03,OIL,9,ENTERPRISE-Dryup,09:15,574.4,15:29,540.0,-5.99,EOD,18.97,94869,18973.8,1,0,2024-10,0.4666666666666667,0.25,0.11666666666666667
2024-10-03,NBCC,10,GOLD,09:15,116.73,15:29,113.83,-2.48,EOD,18.97,94869,18973.8,1,0,2024-10,0.4,0.25,0.1
2024-10-03,HOMEFIRST,11,ENTERPRISE-Dryup,09:15,1167.05,15:29,1175.0,0.68,EOD,18.97,94869,18973.8,1,1,2024-10,0.3333333333333333,1.1133333333333333,0.37111111111111106
2024-10-03,ANGELONE,12,GOLD-baseline,09:15,252.5,15:29,271.2,7.41,EOD,18.97,94869,18973.8,1,1,2024-10,0.26666666666666666,2.2350000000000003,0.5960000000000001
2024-10-03,WHIRLPOOL,14,GOLD-baseline,09:15,2274.8,15:29,2322.0,2.07,EOD,18.97,94869,18973.8,1,1,2024-10,0.13333333333333333,1.345,0.17933333333333332
2024-10-03,PETRONET,15,GOLD,09:15,324.8,15:29,348.1,7.17,EOD,18.97,94869,18973.8,1,1,2024-10,0.06666666666666667,2.1950000000000003,0.14633333333333334
2024-10-04,THERMAX,6,ENTERPRISE-Dryup,09:15,4910.05,09:26,4826.4,-1.7,HARD_STOP,-4.01,-20053,-4010.6,1,0,2024-10,0.6666666666666666,0.25,0.16666666666666666
2024-10-04,OIL,9,ENTERPRISE-Dryup,09:15,544.15,09:26,549.55,0.99,HARD_STOP,-4.01,-20053,-4010.6,1,1,2024-10,0.4666666666666667,1.165,0.5436666666666667
2024-10-04,HOMEFIRST,10,ENTERPRISE-Dryup,09:15,1175.0,09:26,1199.95,2.12,HARD_STOP,-4.01,-20053,-4010.6,1,1,2024-10,0.4,1.3533333333333333,0.5413333333333333
2024-10-04,ANANTRAJ,11,ENTERPRISE-Dryup,09:15,701.55,09:26,679.2,-3.19,HARD_STOP,-4.01,-20053,-4010.6,1,0,2024-10,0.3333333333333333,0.25,0.08333333333333333
2024-10-04,POLICYBZR,13,GOLD-baseline,09:15,1699.95,09:26,1648.9,-3.0,HARD_STOP,-4.01,-20053,-4010.6,1,0,2024-10,0.2,0.25,0.05
2024-10-04,NETWEB,15,GOLD-baseline,09:15,2396.2,09:26,2402.0,0.24,HARD_STOP,-4.01,-20053,-4010.6,1,1,2024-10,0.06666666666666667,1.04,0.06933333333333333
2024-10-07,TARIL,1,ENTERPRISE-Dryup,09:15,335.0,09:26,335.5,0.15,HARD_STOP,-3.9,-19497,-3899.4,1,1,2024-10,1.0,1.025,1.025
2024-10-07,RPOWER,2,GOLD-baseline,09:15,48.4,09:26,48.4,0.0,HARD_STOP,-3.9,-19497,-3899.4,1,0,2024-10,0.9333333333333333,0.25,0.23333333333333334
2024-10-07,SARDAEN,3,GOLD-baseline,09:15,482.5,09:26,470.95,-2.39,HARD_STOP,-3.9,-19497,-3899.4,1,0,2024-10,0.8666666666666667,0.25,0.21666666666666667
2024-10-07,JPPOWER,4,GOLD-baseline,09:15,19.43,09:26,18.79,-3.29,HARD_STOP,-3.9,-19497,-3899.4,1,0,2024-10,0.8,0.25,0.2
2024-10-07,VIJAYA,6,GOLD-baseline,09:15,989.0,09:26,995.95,0.7,HARD_STOP,-3.9,-19497,-3899.4,1,1,2024-10,0.6666666666666666,1.1166666666666667,0.7444444444444445
2024-10-07,CEMPRO,7,GOLD-baseline,09:15,655.05,09:26,667.65,1.92,HARD_STOP,-3.9,-19497,-3899.4,1,1,2024-10,0.6,1.32,0.792
2024-10-07,PETRONET,12,GOLD-baseline,09:15,345.2,09:26,342.9,-0.67,HARD_STOP,-3.9,-19497,-3899.4,1,0,2024-10,0.26666666666666666,0.25,0.06666666666666667
2024-10-07,ANGELONE,13,GOLD-baseline,09:15,269.0,09:26,262.1,-2.57,HARD_STOP,-3.9,-19497,-3899.4,1,0,2024-10,0.2,0.25,0.05
2024-10-07,POLICYBZR,14,GOLD-baseline,09:15,1705.0,09:26,1722.0,1.0,HARD_STOP,-3.9,-19497,-3899.4,1,1,2024-10,0.13333333333333333,1.1666666666666667,0.15555555555555556
2024-10-07,JUBLINGREA,15,GOLD-baseline,09:15,795.0,09:26,778.2,-2.11,HARD_STOP,-3.9,-19497,-3899.4,1,0,2024-10,0.06666666666666667,0.25,0.016666666666666666
2024-10-08,NMDC,1,ENTERPRISE-Dryup,09:15,70.04,15:29,68.72,-1.88,EOD,18.84,94215,18843.0,1,0,2024-10,1.0,0.25,0.25
2024-10-08,FACT,2,PREMIUM-Pullback,09:15,850.2,15:29,885.0,4.09,EOD,18.84,94215,18843.0,1,1,2024-10,0.9333333333333333,1.6816666666666666,1.5695555555555556
2024-10-08,LAURUSLABS,3,PREMIUM-Pullback,09:15,431.6,15:29,442.0,2.41,EOD,18.84,94215,18843.0,1,1,2024-10,0.8666666666666667,1.4016666666666666,1.2147777777777777
2024-10-08,MAZDOCK,4,ENTERPRISE-Dryup,09:15,1944.5,15:29,2046.5,5.25,EOD,18.84,94215,18843.0,1,1,2024-10,0.8,1.875,1.5
2024-10-08,EXIDEIND,5,GOLD-baseline,09:15,480.5,15:29,494.0,2.81,EOD,18.84,94215,18843.0,1,1,2024-10,0.7333333333333333,1.4683333333333333,1.0767777777777776
2024-10-08,OLECTRA,6,PREMIUM-Pullback,09:15,1569.7,15:29,1660.0,5.75,EOD,18.84,94215,18843.0,1,1,2024-10,0.6666666666666666,1.9583333333333335,1.3055555555555556
2024-10-08,BDL,7,GOLD,09:15,1110.0,15:29,1147.75,3.4,EOD,18.84,94215,18843.0,1,1,2024-10,0.6,1.5666666666666667,0.94
2024-10-08,RECLTD,8,PREMIUM-Pullback,09:15,499.0,15:29,525.3,5.27,EOD,18.84,94215,18843.0,1,1,2024-10,0.5333333333333333,1.8783333333333334,1.0017777777777779
2024-10-08,TARIL,9,ENTERPRISE-Dryup,09:15,312.5,15:29,337.05,7.86,EOD,18.84,94215,18843.0,1,1,2024-10,0.4666666666666667,2.31,1.078
2024-10-08,360ONE,10,GOLD,09:15,965.0,15:29,978.95,1.45,EOD,18.84,94215,18843.0,1,1,2024-10,0.4,1.2416666666666667,0.4966666666666667
2024-10-08,VBL,11,PREMIUM-Pullback,09:15,540.3,15:29,591.0,9.38,EOD,18.84,94215,18843.0,1,1,2024-10,0.3333333333333333,2.5633333333333335,0.8544444444444445
2024-10-08,NETWEB,12,GOLD-baseline,09:15,2447.1,15:29,2469.5,0.92,EOD,18.84,94215,18843.0,1,1,2024-10,0.26666666666666666,1.1533333333333333,0.3075555555555555
2024-10-08,BEML,13,GOLD,09:15,1750.0,15:29,1800.0,2.86,EOD,18.84,94215,18843.0,1,1,2024-10,0.2,1.4766666666666666,0.29533333333333334
2024-10-08,NAM-INDIA,14,GOLD,09:15,630.0,15:29,636.95,1.1,EOD,18.84,94215,18843.0,1,1,2024-10,0.13333333333333333,1.1833333333333333,0.15777777777777777
2024-10-08,JWL,15,PREMIUM-Pullback,09:15,460.5,15:29,492.0,6.84,EOD,18.84,94215,18843.0,1,1,2024-10,0.06666666666666667,2.1399999999999997,0.14266666666666664
2024-10-09,BANDHANBNK,6,ENTERPRISE-Dryup,09:15,188.5,15:29,188.99,0.26,EOD,4.58,22924,4584.8,1,1,2024-10,0.6666666666666666,1.0433333333333334,0.6955555555555556
2024-10-09,LAURUSLABS,7,ENTERPRISE-Dryup,09:15,441.65,15:29,453.7,2.73,EOD,4.58,22924,4584.8,1,1,2024-10,0.6,1.455,0.873
2024-10-09,NETWEB,9,GOLD,09:15,2481.25,15:29,2454.95,-1.06,EOD,4.58,22924,4584.8,1,0,2024-10,0.4666666666666667,0.25,0.11666666666666667
2024-10-09,NAM-INDIA,11,GOLD,09:15,648.0,15:29,645.5,-0.39,EOD,4.58,22924,4584.8,1,0,2024-10,0.3333333333333333,0.25,0.08333333333333333
2024-10-09,MEDANTA,13,ENTERPRISE-Dryup,09:15,996.0,15:29,998.0,0.2,EOD,4.58,22924,4584.8,1,1,2024-10,0.2,1.0333333333333334,0.2066666666666667
2024-10-09,EIHOTEL,14,GOLD,09:15,391.15,15:29,406.95,4.04,EOD,4.58,22924,4584.8,1,1,2024-10,0.13333333333333333,1.6733333333333333,0.22311111111111112
2024-10-10,GRSE,1,GOLD,09:15,1655.0,15:29,1745.55,5.47,EOD,10.52,52608,10521.6,1,1,2024-10,1.0,1.9116666666666666,1.9116666666666666
2024-10-10,RECLTD,2,PREMIUM-Compression,09:15,536.95,15:29,543.5,1.22,EOD,10.52,52608,10521.6,1,1,2024-10,0.9333333333333333,1.2033333333333334,1.1231111111111112
2024-10-10,MAZDOCK,3,GOLD,09:15,2077.5,15:29,2215.0,6.62,EOD,10.52,52608,10521.6,1,1,2024-10,0.8666666666666667,2.1033333333333335,1.822888888888889
2024-10-10,DATAPATTNS,6,GOLD,09:15,2429.8,15:29,2501.0,2.93,EOD,10.52,52608,10521.6,1,1,2024-10,0.6666666666666666,1.4883333333333333,0.9922222222222221
2024-10-10,IRCON,7,GOLD,09:15,223.2,15:29,220.59,-1.17,EOD,10.52,52608,10521.6,1,0,2024-10,0.6,0.25,0.15
2024-10-10,BDL,8,GOLD,09:15,1180.05,15:29,1220.0,3.39,EOD,10.52,52608,10521.6,1,1,2024-10,0.5333333333333333,1.565,0.8346666666666667
2024-10-10,MEDANTA,9,GOLD-baseline,09:15,1001.5,15:29,1038.25,3.67,EOD,10.52,52608,10521.6,1,1,2024-10,0.4666666666666667,1.6116666666666668,0.7521111111111112
2024-10-10,PFC,11,GOLD,09:15,474.95,15:29,472.1,-0.6,EOD,10.52,52608,10521.6,1,0,2024-10,0.3333333333333333,0.25,0.08333333333333333
2024-10-10,BANDHANBNK,13,PREMIUM-Compression,09:15,190.3,15:29,187.9,-1.26,EOD,10.52,52608,10521.6,1,0,2024-10,0.2,0.25,0.05
2024-10-10,BEML,14,ENTERPRISE-Dryup,09:15,1800.8,15:29,1885.0,4.68,EOD,10.52,52608,10521.6,1,1,2024-10,0.13333333333333333,1.7799999999999998,0.2373333333333333
2024-10-10,NAM-INDIA,15,GOLD-baseline,09:15,649.9,15:29,642.3,-1.17,EOD,10.52,52608,10521.6,1,0,2024-10,0.06666666666666667,0.25,0.016666666666666666
2024-10-11,BANDHANBNK,1,PREMIUM-Compression,09:15,202.0,15:29,209.3,3.61,EOD,13.22,66115,13223.0,1,1,2024-10,1.0,1.6016666666666666,1.6016666666666666
2024-10-11,JWL,3,ENTERPRISE-Dryup,09:15,499.95,15:29,505.6,1.13,EOD,13.22,66115,13223.0,1,1,2024-10,0.8666666666666667,1.1883333333333332,1.0298888888888889
2024-10-11,SWANCORP,5,GOLD,09:15,556.95,15:29,567.0,1.8,EOD,13.22,66115,13223.0,1,1,2024-10,0.7333333333333333,1.3,0.9533333333333333
2024-10-11,IRCON,7,GOLD,09:15,220.5,15:29,226.02,2.5,EOD,13.22,66115,13223.0,1,1,2024-10,0.6,1.4166666666666667,0.85
2024-10-11,SARDAEN,8,GOLD-baseline,09:15,497.35,15:29,496.55,-0.16,EOD,13.22,66115,13223.0,1,0,2024-10,0.5333333333333333,0.25,0.13333333333333333
2024-10-11,GRANULES,9,ENTERPRISE-Dryup,09:15,581.2,15:29,603.7,3.87,EOD,13.22,66115,13223.0,1,1,2024-10,0.4666666666666667,1.645,0.7676666666666667
2024-10-11,NAM-INDIA,10,GOLD,09:15,646.25,15:29,700.0,8.32,EOD,13.22,66115,13223.0,1,1,2024-10,0.4,2.3866666666666667,0.9546666666666668
2024-10-11,NMDC,12,GOLD,09:15,70.78,15:29,73.18,3.39,EOD,13.22,66115,13223.0,1,1,2024-10,0.26666666666666666,1.565,0.41733333333333333
2024-10-11,PFC,15,GOLD,09:15,469.6,15:29,468.7,-0.19,EOD,13.22,66115,13223.0,1,0,2024-10,0.06666666666666667,0.25,0.016666666666666666
2024-10-14,LAURUSLABS,3,GOLD-baseline,09:15,474.1,09:27,469.4,-0.99,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.8666666666666667,0.25,0.21666666666666667
2024-10-14,DATAPATTNS,4,GOLD,09:15,2500.0,09:27,2488.0,-0.48,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.8,0.25,0.2
2024-10-14,MEDANTA,5,GOLD-baseline,09:15,1044.0,09:27,1035.05,-0.86,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.7333333333333333,0.25,0.18333333333333332
2024-10-14,JWL,6,ENTERPRISE-Dryup,09:15,509.0,09:27,507.7,-0.26,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.6666666666666666,0.25,0.16666666666666666
2024-10-14,RECLTD,8,PREMIUM-Compression,09:15,540.0,09:27,541.6,0.3,HARD_STOP,-3.26,-16307,-3261.4,1,1,2024-10,0.5333333333333333,1.05,0.56
2024-10-14,BEML,9,GOLD,09:15,1896.0,09:27,1876.0,-1.05,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.4666666666666667,0.25,0.11666666666666667
2024-10-14,FACT,11,GOLD,09:15,926.65,09:27,933.65,0.76,HARD_STOP,-3.26,-16307,-3261.4,1,1,2024-10,0.3333333333333333,1.1266666666666667,0.37555555555555553
2024-10-14,BDL,14,GOLD,09:15,1222.0,09:27,1206.1,-1.3,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.13333333333333333,0.25,0.03333333333333333
2024-10-14,GRSE,15,GOLD,09:15,1747.6,09:27,1721.15,-1.51,HARD_STOP,-3.26,-16307,-3261.4,1,0,2024-10,0.06666666666666667,0.25,0.016666666666666666
2024-10-15,BEML,1,GOLD,09:15,1857.8,15:29,1860.0,0.12,EOD,5.24,26208,5241.6,1,1,2024-10,1.0,1.02,1.02
2024-10-15,TEJASNET,4,ENTERPRISE-Dryup,09:15,1206.0,15:29,1189.95,-1.33,EOD,5.24,26208,5241.6,1,0,2024-10,0.8,0.25,0.2
2024-10-15,AEGISLOG,6,ENTERPRISE-Dryup,09:15,675.5,15:29,732.0,8.36,EOD,5.24,26208,5241.6,1,1,2024-10,0.6666666666666666,2.3933333333333335,1.5955555555555556
2024-10-15,PAYTM,7,ENTERPRISE-Dryup,09:15,721.4,15:29,729.0,1.05,EOD,5.24,26208,5241.6,1,1,2024-10,0.6,1.175,0.705
2024-10-15,ABREL,8,ENTERPRISE-Dryup,09:15,2748.0,15:29,2860.1,4.08,EOD,5.24,26208,5241.6,1,1,2024-10,0.5333333333333333,1.6800000000000002,0.896
2024-10-15,CEATLTD,9,ENTERPRISE-Dryup,09:15,3035.0,15:29,2948.0,-2.87,EOD,5.24,26208,5241.6,1,0,2024-10,0.4666666666666667,0.25,0.11666666666666667
2024-10-15,ANANDRATHI,13,GOLD,09:15,2040.0,15:29,2070.0,1.47,EOD,5.24,26208,5241.6,1,1,2024-10,0.2,1.245,0.24900000000000003
