tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v14_expanding_day,2024-10-14,9,2,8,2,88.88888888888889,100.0,"MAZDOCK,BANDHANBNK,RECLTD,GRSE,LAURUSLABS,TARIL,CEMPRO,BDL,JWL,SWANCORP,FACT,DATAPATTNS,MEDANTA,NAM-INDIA,OLECTRA","LAURUSLABS,DATAPATTNS,MEDANTA,JWL,RECLTD,BEML,FACT,BDL,GRSE",
v14_expanding_day,2024-10-15,9,6,0,0,0.0,0.0,"RECLTD,MAZDOCK,BANDHANBNK,FACT,GRSE,CEMPRO,TARIL,BDL,SWANCORP,NAM-INDIA,LAURUSLABS,JWL,IRCON,OLECTRA,VIJAYA","BEML,TEJASNET,AEGISLOG,PAYTM,ABREL,CEATLTD,ANANDRATHI,GMDCLTD,PGEL","ABREL,AEGISLOG,ANANDRATHI,BEML,GMDCLTD,PAYTM"
v14_expanding_day,2024-10-16,8,1,2,1,25.0,100.0,"AEGISLOG,RECLTD,MAZDOCK,BEML,BANDHANBNK,FACT,TARIL,CEMPRO,GRSE,ABREL,PAYTM,BDL,SWANCORP,JWL,VIJAYA","BEML,KARURVYSYA,TEJASNET,PAYTM,CEATLTD,CARTRADE,PGEL,GMDCLTD",
v14_expanding_day,2024-10-17,10,5,1,1,10.0,20.0,"BEML,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,TARIL,CEMPRO,ABREL,GRSE,BDL,SWANCORP,NAM-INDIA,JWL,LAURUSLABS","TITAGARH,KARURVYSYA,TEJASNET,CEATLTD,PAYTM,AEGISLOG,FIVESTAR,CARTRADE,SUNDARMFIN,PGEL","CARTRADE,FIVESTAR,PGEL,TITAGARH"
v14_expanding_day,2024-10-18,13,2,3,0,23.076923076923077,0.0,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,BANDHANBNK,FACT,CEMPRO,TARIL,BDL,GRSE,ABREL,SWANCORP,LAURUSLABS,JWL","BEML,PAYTM,MOTILALOFS,TEJASNET,CEATLTD,FIVESTAR,ABREL,DCMSHRIRAM,HINDPETRO,ANANDRATHI,AEGISLOG,SUNDARMFIN,LTFOODS","ANANDRATHI,FIVESTAR"
v14_expanding_day,2024-10-21,5,1,2,0,40.0,0.0,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,FIVESTAR,BANDHANBNK,FACT,CEMPRO,GRSE,TARIL,BDL,ANANDRATHI,SWANCORP,ABREL","AEGISLOG,HINDPETRO,FIVESTAR,GMDCLTD,LTFOODS",HINDPETRO
v14_expanding_day,2024-10-22,14,5,0,0,0.0,0.0,"BEML,TITAGARH,HINDPETRO,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,CEMPRO,FIVESTAR,TARIL,GRSE,BDL,ANANDRATHI,SWANCORP","CUB,SONACOMS,ASTERDM,MFSL,COFORGE,RPOWER,IDBI,DEEPAKFERT,J&KBANK,PERSISTENT,VBL,THERMAX,ZENSARTECH,GESHIP","COFORGE,CUB,DEEPAKFERT,PERSISTENT,SONACOMS"
v14_expanding_day,2024-10-23,13,6,5,3,38.46153846153847,50.0,"CUB,SONACOMS,BEML,COFORGE,DEEPAKFERT,TITAGARH,MAZDOCK,RECLTD,HINDPETRO,BANDHANBNK,CEMPRO,TARIL,PERSISTENT,FACT,AEGISLOG","IDBI,ASTERDM,DEEPAKFERT,RPOWER,J&KBANK,COFORGE,ZENSARTECH,SONACOMS,MFSL,PERSISTENT,THERMAX,PPLPHARMA,AEGISLOG","MFSL,RPOWER,ZENSARTECH"
v14_expanding_day,2024-10-24,7,7,2,2,28.57142857142857,28.57142857142857,"COFORGE,SONACOMS,PERSISTENT,CUB,RPOWER,BEML,RECLTD,MAZDOCK,CEMPRO,HINDPETRO,FACT,BANDHANBNK,ZENSARTECH,TITAGARH,GRSE","ASTERDM,CUB,IDBI,THERMAX,SONACOMS,GESHIP,PPLPHARMA","ASTERDM,GESHIP,IDBI,PPLPHARMA,THERMAX"
v14_expanding_day,2024-10-25,9,1,3,0,33.33333333333333,0.0,"SONACOMS,CUB,COFORGE,ASTERDM,PERSISTENT,RPOWER,IDBI,BEML,CEMPRO,RECLTD,MAZDOCK,FACT,TITAGARH,BANDHANBNK,HINDPETRO","COFORGE,J&KBANK,VBL,CUB,PERSISTENT,MFSL,ZENSARTECH,DEEPAKFERT,AEGISLOG",MFSL
