entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-10-14,2024-10-11,15,"MAZDOCK,BANDHANBNK,RECLTD,GRSE,LAURUSLABS,TARIL,CEMPRO,BDL,JWL,SWANCORP,FACT,DATAPATTNS,MEDANTA,NAM-INDIA,OLECTRA",20.259858751456214,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}"
2024-10-15,2024-10-14,15,"RECLTD,MAZDOCK,BANDHANBNK,FACT,GRSE,CEMPRO,TARIL,BDL,SWANCORP,NAM-INDIA,LAURUSLABS,JWL,IRCON,OLECTRA,VIJAYA",18.753105984758182,"{""continuation"": 8, ""fresh_breakout"": 1, ""pullback_reversal"": 6}"
2024-10-16,2024-10-15,15,"AEGISLOG,RECLTD,MAZDOCK,BEML,BANDHANBNK,FACT,TARIL,CEMPRO,GRSE,ABREL,PAYTM,BDL,SWANCORP,JWL,VIJAYA",19.13677200607617,"{""continuation"": 9, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 3}"
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,TARIL,CEMPRO,ABREL,GRSE,BDL,SWANCORP,NAM-INDIA,JWL,LAURUSLABS",17.57777983396915,"{""continuation"": 11, ""fresh_breakout"": 1, ""pullback_reversal"": 3}"
2024-10-18,2024-10-17,15,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,BANDHANBNK,FACT,CEMPRO,TARIL,BDL,GRSE,ABREL,SWANCORP,LAURUSLABS,JWL",17.665655957773893,"{""continuation"": 10, ""pullback_reversal"": 4, ""recovery"": 1}"
2024-10-21,2024-10-18,15,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,FIVESTAR,BANDHANBNK,FACT,CEMPRO,GRSE,TARIL,BDL,ANANDRATHI,SWANCORP,ABREL",17.636866923737106,"{""continuation"": 8, ""fresh_breakout"": 2, ""pullback_reversal"": 5}"
2024-10-22,2024-10-21,15,"BEML,TITAGARH,HINDPETRO,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,CEMPRO,FIVESTAR,TARIL,GRSE,BDL,ANANDRATHI,SWANCORP",17.32654459911939,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}"
2024-10-23,2024-10-22,15,"CUB,SONACOMS,BEML,COFORGE,DEEPAKFERT,TITAGARH,MAZDOCK,RECLTD,HINDPETRO,BANDHANBNK,CEMPRO,TARIL,PERSISTENT,FACT,AEGISLOG",17.114279432715445,"{""continuation"": 6, ""pullback_reversal"": 8, ""recovery"": 1}"
2024-10-24,2024-10-23,15,"COFORGE,SONACOMS,PERSISTENT,CUB,RPOWER,BEML,RECLTD,MAZDOCK,CEMPRO,HINDPETRO,FACT,BANDHANBNK,ZENSARTECH,TITAGARH,GRSE",16.24668260724674,"{""continuation"": 7, ""fresh_breakout"": 1, ""pullback_reversal"": 7}"
2024-10-25,2024-10-24,15,"SONACOMS,CUB,COFORGE,ASTERDM,PERSISTENT,RPOWER,IDBI,BEML,CEMPRO,RECLTD,MAZDOCK,FACT,TITAGARH,BANDHANBNK,HINDPETRO",16.044477466291774,"{""continuation"": 9, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 3}"
2024-10-28,2024-10-25,15,"SONACOMS,CUB,ASTERDM,MFSL,COFORGE,BEML,IDBI,RPOWER,MAZDOCK,PERSISTENT,CEMPRO,BANDHANBNK,RECLTD,FACT,HINDPETRO",15.869052101737989,"{""continuation"": 9, ""pullback_reversal"": 6}"
2024-10-29,2024-10-28,15,"CUB,COFORGE,SONACOMS,PERSISTENT,ZENSARTECH,BEML,MAZDOCK,CEMPRO,RECLTD,BANDHANBNK,FACT,GRSE,BDL,TARIL,TITAGARH",15.182362875252126,"{""continuation"": 7, ""dryup_compression"": 2, ""pullback_reversal"": 3, ""recovery"": 3}"
