entry_month,best_lane,best_tier_proto,selected_count
2024-10,continuation,BASELINE,56
2024-10,continuation,DRYUP,32
2024-10,continuation,GOLD,32
2024-10,dryup_compression,DRYUP,5
2024-10,dryup_compression,GOLD,1
2024-10,fresh_breakout,BASELINE,11
2024-10,pullback_reversal,BASELINE,7
2024-10,pullback_reversal,DRYUP,50
2024-10,pullback_reversal,GOLD,2
2024-10,pullback_reversal,PULLBACK,3
2024-10,recovery,DRYUP,7
2024-10,recovery,GOLD,4
2024-11,continuation,BASELINE,102
2024-11,continuation,DRYUP,42
2024-11,continuation,GOLD,41
2024-11,dryup_compression,BASELINE,1
2024-11,dryup_compression,DRYUP,5
2024-11,fresh_breakout,BASELINE,8
2024-11,pullback_reversal,BASELINE,8
2024-11,pullback_reversal,DRYUP,59
2024-11,pullback_reversal,GOLD,5
2024-11,pullback_reversal,PULLBACK,1
2024-11,recovery,DRYUP,4
2024-11,recovery,GOLD,9
2024-12,continuation,BASELINE,111
2024-12,continuation,DRYUP,40
2024-12,continuation,GOLD,45
2024-12,dryup_compression,DRYUP,4
2024-12,fresh_breakout,BASELINE,28
2024-12,fresh_breakout,GOLD,1
2024-12,pullback_reversal,BASELINE,17
2024-12,pullback_reversal,DRYUP,62
2024-12,pullback_reversal,GOLD,6
2024-12,recovery,GOLD,1
2025-01,continuation,BASELINE,109
2025-01,continuation,COMPRESSION,1
2025-01,continuation,DRYUP,49
2025-01,continuation,GOLD,50
2025-01,dryup_compression,DRYUP,17
2025-01,fresh_breakout,BASELINE,6
2025-01,pullback_reversal,BASELINE,6
2025-01,pullback_reversal,COMPRESSION,1
2025-01,pullback_reversal,DRYUP,81
2025-01,pullback_reversal,GOLD,8
2025-01,pullback_reversal,PULLBACK,7
2025-01,recovery,COMPRESSION,1
2025-01,recovery,DRYUP,3
2025-01,recovery,GOLD,6
2025-02,continuation,BASELINE,72
2025-02,continuation,COMPRESSION,3
2025-02,continuation,DRYUP,52
2025-02,continuation,GOLD,38
2025-02,dryup_compression,COMPRESSION,2
2025-02,dryup_compression,DRYUP,7
2025-02,fresh_breakout,BASELINE,1
2025-02,pullback_reversal,BASELINE,3
2025-02,pullback_reversal,COMPRESSION,1
2025-02,pullback_reversal,DRYUP,61
2025-02,pullback_reversal,GOLD,12
2025-02,pullback_reversal,PULLBACK,23
2025-02,recovery,COMPRESSION,1
2025-02,recovery,DRYUP,11
2025-02,recovery,GOLD,11
2025-02,recovery,PULLBACK,2
2025-03,continuation,BASELINE,93
2025-03,continuation,COMPRESSION,1
2025-03,continuation,DRYUP,33
2025-03,continuation,GOLD,61
2025-03,dryup_compression,DRYUP,13
2025-03,fresh_breakout,BASELINE,4
2025-03,fresh_breakout,DRYUP,1
2025-03,fresh_breakout,GOLD,1
2025-03,pullback_reversal,BASELINE,4
2025-03,pullback_reversal,DRYUP,40
2025-03,pullback_reversal,GOLD,18
2025-03,pullback_reversal,PULLBACK,3
2025-03,recovery,COMPRESSION,1
2025-03,recovery,DRYUP,3
2025-03,recovery,GOLD,9
2025-04,continuation,BASELINE,104
2025-04,continuation,COMPRESSION,2
2025-04,continuation,DRYUP,26
2025-04,continuation,GOLD,25
2025-04,dryup_compression,DRYUP,25
2025-04,fresh_breakout,BASELINE,25
2025-04,fresh_breakout,DRYUP,1
2025-04,pullback_reversal,BASELINE,10
2025-04,pullback_reversal,COMPRESSION,2
2025-04,pullback_reversal,DRYUP,50
2025-04,pullback_reversal,GOLD,6
2025-04,pullback_reversal,PULLBACK,3
2025-04,recovery,DRYUP,3
2025-04,recovery,GOLD,3
2025-05,continuation,BASELINE,120
2025-05,continuation,COMPRESSION,3
2025-05,continuation,DRYUP,21
2025-05,continuation,GOLD,27
2025-05,dryup_compression,DRYUP,7
2025-05,dryup_compression,PULLBACK,1
2025-05,fresh_breakout,BASELINE,70
2025-05,fresh_breakout,DRYUP,1
2025-05,pullback_reversal,BASELINE,18
2025-05,pullback_reversal,DRYUP,32
2025-05,pullback_reversal,GOLD,10
2025-05,pullback_reversal,PULLBACK,4
2025-05,recovery,GOLD,1
