entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-10-14,2024-10-11,15,"MAZDOCK,BANDHANBNK,RECLTD,GRSE,LAURUSLABS,JWL,BDL,TARIL,SWANCORP,FACT,NAM-INDIA,DATAPATTNS,CEMPRO,MEDANTA,GRANULES",50.214745555963276,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}"
2024-10-15,2024-10-14,15,"RECLTD,MAZDOCK,BANDHANBNK,FACT,GRSE,TARIL,BDL,SWANCORP,CEMPRO,NAM-INDIA,IRCON,JWL,GRANULES,OLECTRA,LAURUSLABS",47.99742575462347,"{""continuation"": 9, ""fresh_breakout"": 1, ""pullback_reversal"": 5}"
2024-10-16,2024-10-15,15,"AEGISLOG,RECLTD,BEML,MAZDOCK,BANDHANBNK,ABREL,FACT,PAYTM,GRSE,TARIL,BDL,SWANCORP,CEMPRO,NAM-INDIA,JWL",48.541333964495365,"{""continuation"": 10, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 3}"
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,ABREL,FACT,GRSE,BDL,TARIL,SWANCORP,PAYTM,NAM-INDIA,CEMPRO,JWL",42.20115446830027,"{""continuation"": 10, ""fresh_breakout"": 1, ""pullback_reversal"": 4}"
2024-10-18,2024-10-17,15,"BEML,AEGISLOG,TITAGARH,RECLTD,MAZDOCK,BANDHANBNK,ABREL,FACT,GRSE,BDL,SWANCORP,TARIL,FIVESTAR,CEMPRO,NAM-INDIA",41.547396916860265,"{""continuation"": 10, ""pullback_reversal"": 4, ""recovery"": 1}"
2024-10-21,2024-10-18,15,"BEML,AEGISLOG,TITAGARH,FIVESTAR,RECLTD,MAZDOCK,BANDHANBNK,ANANDRATHI,FACT,GRSE,ABREL,BDL,SWANCORP,TARIL,CEMPRO",42.101315479024734,"{""continuation"": 8, ""fresh_breakout"": 2, ""pullback_reversal"": 5}"
2024-10-22,2024-10-21,15,"BEML,HINDPETRO,TITAGARH,AEGISLOG,RECLTD,FIVESTAR,MAZDOCK,BANDHANBNK,ANANDRATHI,FACT,GRSE,BDL,ABREL,SWANCORP,TARIL",42.74711969914595,"{""continuation"": 8, ""dryup_compression"": 1, ""pullback_reversal"": 6}"
2024-10-23,2024-10-22,15,"CUB,SONACOMS,COFORGE,DEEPAKFERT,BEML,HINDPETRO,TITAGARH,PERSISTENT,AEGISLOG,RECLTD,FIVESTAR,MAZDOCK,BANDHANBNK,FACT,ANANDRATHI",43.8041031550485,"{""continuation"": 7, ""pullback_reversal"": 7, ""recovery"": 1}"
2024-10-24,2024-10-23,15,"COFORGE,SONACOMS,PERSISTENT,CUB,RPOWER,ZENSARTECH,BEML,HINDPETRO,TITAGARH,MFSL,RECLTD,MAZDOCK,AEGISLOG,BANDHANBNK,FACT",40.44952430308697,"{""continuation"": 8, ""fresh_breakout"": 2, ""pullback_reversal"": 5}"
2024-10-25,2024-10-24,15,"SONACOMS,CUB,COFORGE,ASTERDM,PERSISTENT,RPOWER,IDBI,ZENSARTECH,HINDPETRO,BEML,TITAGARH,MFSL,THERMAX,FIVESTAR,RECLTD",42.08491774520116,"{""continuation"": 12, ""fresh_breakout"": 2, ""pullback_reversal"": 1}"
2024-10-28,2024-10-25,15,"SONACOMS,CUB,ASTERDM,MFSL,COFORGE,RPOWER,IDBI,PERSISTENT,BEML,HINDPETRO,TITAGARH,ZENSARTECH,THERMAX,RECLTD,MAZDOCK",41.39240913036856,"{""continuation"": 12, ""pullback_reversal"": 3}"
2024-10-29,2024-10-28,15,"CUB,COFORGE,ZENSARTECH,PERSISTENT,SONACOMS,BEML,HINDPETRO,TITAGARH,THERMAX,RECLTD,RPOWER,MAZDOCK,MFSL,ASTERDM,FIVESTAR",35.0643647057806,"{""continuation"": 5, ""dryup_compression"": 2, ""pullback_reversal"": 7, ""recovery"": 1}"
2024-10-30,2024-10-29,15,"PHOENIXLTD,CUB,MAHABANK,COFORGE,ZENSARTECH,PERSISTENT,SONACOMS,ESCORTS,HINDPETRO,THERMAX,TITAGARH,MFSL,MAZDOCK,RPOWER,BANDHANBNK",39.070445594361914,"{""continuation"": 7, ""fresh_breakout"": 1, ""pullback_reversal"": 5, ""recovery"": 2}"
2024-10-31,2024-10-30,15,"GPIL,EMAMILTD,FACT,PHOENIXLTD,NBCC,CUB,IFCI,RVNL,ARE&M,MAHABANK,COFORGE,ZENSARTECH,PERSISTENT,SONACOMS,JWL",50.03547236676077,"{""continuation"": 10, ""pullback_reversal"": 3, ""recovery"": 2}"
2024-11-01,2024-10-31,15,"GPIL,GRAVITA,FACT,BHEL,EMAMILTD,INDIANB,PHOENIXLTD,NBCC,IFCI,CUB,RVNL,HUDCO,ARE&M,MAHABANK,COFORGE",50.825460015283696,"{""continuation"": 13, ""pullback_reversal"": 2}"
2024-11-04,2024-11-01,15,"BHEL,IFCI,NBCC,GPIL,GRAVITA,FACT,EMAMILTD,DATAPATTNS,CUB,RVNL,PHOENIXLTD,CEMPRO,HUDCO,ARE&M,MAHABANK",47.52209702017925,"{""continuation"": 13, ""pullback_reversal"": 1, ""recovery"": 1}"
