config_id,profile,tier,fast_mem,slow_mem,lane,train_prof_capture,train_capture,valid_prof_capture,valid_capture,valid_days_ge70
V15W0000,0.0,0.0,0.0,0.0,0.5,7.435897435897436,8.720930232558139,4.736842105263158,5.9880239520958085,1
V15W0001,0.0,0.0,0.0,2.0,0.0,12.82051282051282,15.261627906976743,14.210526315789473,13.023952095808383,1
V15W0002,0.0,0.0,0.0,2.0,0.5,13.333333333333334,16.424418604651162,13.684210526315791,12.574850299401197,2
V15W0003,0.0,0.0,0.0,5.0,0.0,12.82051282051282,15.261627906976743,14.210526315789473,13.023952095808383,1
V15W0004,0.0,0.0,0.0,5.0,0.5,13.076923076923078,15.55232558139535,14.736842105263156,13.323353293413174,2
V15W0005,0.0,0.0,3.0,0.0,0.0,28.974358974358978,32.122093023255815,24.210526315789473,25.299401197604794,8
V15W0006,0.0,0.0,3.0,0.0,0.5,28.974358974358978,31.831395348837212,23.94736842105263,25.0,8
V15W0007,0.0,0.0,3.0,2.0,0.0,25.128205128205128,27.906976744186046,22.105263157894736,22.005988023952096,5
V15W0008,0.0,0.0,3.0,2.0,0.5,25.64102564102564,28.343023255813954,21.578947368421055,21.55688622754491,5
V15W0009,0.0,0.0,3.0,5.0,0.0,22.82051282051282,24.709302325581394,18.947368421052634,18.41317365269461,5
V15W0010,0.0,0.0,3.0,5.0,0.5,22.05128205128205,24.709302325581394,18.947368421052634,18.862275449101794,5
V15W0011,0.0,0.0,6.0,0.0,0.0,28.974358974358978,32.122093023255815,24.210526315789473,25.299401197604794,8
V15W0012,0.0,0.0,6.0,0.0,0.5,28.717948717948715,31.831395348837212,23.94736842105263,24.850299401197603,8
V15W0013,0.0,0.0,6.0,2.0,0.0,26.410256410256412,29.505813953488374,22.63157894736842,22.45508982035928,6
V15W0014,0.0,0.0,6.0,2.0,0.5,26.666666666666668,29.651162790697676,22.36842105263158,22.305389221556887,5
V15W0015,0.0,0.0,6.0,5.0,0.0,24.615384615384617,27.325581395348834,20.263157894736842,20.65868263473054,5
V15W0016,0.0,0.0,6.0,5.0,0.5,24.358974358974358,27.180232558139533,20.526315789473685,20.808383233532936,5
V15W0017,0.0,0.0,10.0,0.0,0.0,28.974358974358978,32.122093023255815,24.210526315789473,25.299401197604794,8
V15W0018,0.0,0.0,10.0,0.0,0.5,28.717948717948715,31.976744186046513,23.94736842105263,25.0,8
V15W0019,0.0,0.0,10.0,2.0,0.0,27.94871794871795,30.813953488372093,23.42105263157895,23.802395209580837,6
V15W0020,0.0,0.0,10.0,2.0,0.5,27.692307692307693,30.668604651162788,23.684210526315788,23.952095808383234,7
V15W0021,0.0,0.0,10.0,5.0,0.0,25.384615384615383,28.488372093023255,22.36842105263158,22.15568862275449,5
V15W0022,0.0,0.0,10.0,5.0,0.5,25.64102564102564,28.63372093023256,22.36842105263158,22.005988023952096,5
V15W0023,0.0,1.5,0.0,0.0,0.0,6.923076923076923,8.720930232558139,7.894736842105263,8.08383233532934,3
V15W0024,0.0,1.5,0.0,0.0,0.5,7.6923076923076925,10.029069767441861,7.894736842105263,8.233532934131736,2
V15W0025,0.0,1.5,0.0,2.0,0.0,16.41025641025641,18.459302325581394,16.05263157894737,14.820359281437126,2
V15W0026,0.0,1.5,0.0,2.0,0.5,16.153846153846153,18.6046511627907,16.05263157894737,14.820359281437126,2
V15W0027,0.0,1.5,0.0,5.0,0.0,15.384615384615385,17.151162790697676,15.0,13.922155688622754,2
V15W0028,0.0,1.5,0.0,5.0,0.5,15.64102564102564,17.587209302325583,15.526315789473685,13.922155688622754,2
V15W0029,0.0,1.5,3.0,0.0,0.0,28.974358974358978,31.831395348837212,24.47368421052632,25.449101796407188,5
V15W0030,0.0,1.5,3.0,0.0,0.5,28.46153846153846,31.831395348837212,24.210526315789473,25.299401197604794,7
V15W0031,0.0,1.5,3.0,2.0,0.0,25.384615384615383,28.197674418604652,22.36842105263158,22.15568862275449,6
V15W0032,0.0,1.5,3.0,2.0,0.5,25.64102564102564,28.052325581395348,21.842105263157897,21.55688622754491,6
V15W0033,0.0,1.5,3.0,5.0,0.0,23.333333333333332,25.436046511627907,19.473684210526315,19.01197604790419,5
V15W0034,0.0,1.5,3.0,5.0,0.5,22.82051282051282,25.0,19.473684210526315,19.01197604790419,5
V15W0035,0.0,1.5,6.0,0.0,0.0,28.974358974358978,31.976744186046513,23.94736842105263,25.299401197604794,6
V15W0036,0.0,1.5,6.0,0.0,0.5,28.717948717948715,31.686046511627907,24.210526315789473,25.449101796407188,7
V15W0037,0.0,1.5,6.0,2.0,0.0,26.923076923076923,29.796511627906973,23.157894736842106,22.904191616766468,6
V15W0038,0.0,1.5,6.0,2.0,0.5,26.923076923076923,29.941860465116278,23.157894736842106,23.053892215568865,6
V15W0039,0.0,1.5,6.0,5.0,0.0,24.615384615384617,27.180232558139533,21.31578947368421,20.958083832335326,5
V15W0040,0.0,1.5,6.0,5.0,0.5,25.384615384615383,27.61627906976744,21.31578947368421,21.25748502994012,5
V15W0041,0.0,1.5,10.0,0.0,0.0,28.717948717948715,31.831395348837212,23.94736842105263,25.149700598802394,7
V15W0042,0.0,1.5,10.0,0.0,0.5,28.717948717948715,31.540697674418606,24.210526315789473,25.149700598802394,8
V15W0043,0.0,1.5,10.0,2.0,0.0,27.94871794871795,30.813953488372093,24.210526315789473,23.802395209580837,7
V15W0044,0.0,1.5,10.0,2.0,0.5,27.94871794871795,30.959302325581394,23.94736842105263,23.652694610778443,6
V15W0045,0.0,1.5,10.0,5.0,0.0,25.8974358974359,28.63372093023256,22.63157894736842,22.305389221556887,5
