entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json,exit_time,exit_reason,n_positions_filled,gross_ret5x_pct,net_ret5x_pct,charges_rs
2024-10-14,2024-10-11,15,"MAZDOCK,BANDHANBNK,RECLTD,GRSE,TARIL,LAURUSLABS,CEMPRO,BDL,JWL,SWANCORP,FACT,DATAPATTNS,MEDANTA,NAM-INDIA,OLECTRA",20.35684687246849,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}",09:28,HARD_STOP,15,-3.46648200000003,-3.782724556739154,1581.2127836956197
2024-10-15,2024-10-14,15,"RECLTD,MAZDOCK,BANDHANBNK,FACT,GRSE,CEMPRO,TARIL,BDL,SWANCORP,NAM-INDIA,JWL,LAURUSLABS,IRCON,OLECTRA,VIJAYA",18.786681416641464,"{""continuation"": 8, ""fresh_breakout"": 1, ""pullback_reversal"": 6}",15:29,EOD,15,5.554150000000093,5.235081602832713,1595.3419858369002
2024-10-16,2024-10-15,15,"AEGISLOG,RECLTD,MAZDOCK,BEML,BANDHANBNK,FACT,TARIL,GRSE,CEMPRO,ABREL,PAYTM,BDL,SWANCORP,JWL,LAURUSLABS",19.10148833855251,"{""continuation"": 10, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 3}",15:29,EOD,15,1.2431139999999665,0.9254347328413065,1588.3963357933
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,TARIL,CEMPRO,ABREL,GRSE,BDL,SWANCORP,NAM-INDIA,JWL,VIJAYA",17.627032912148124,"{""continuation"": 11, ""fresh_breakout"": 1, ""pullback_reversal"": 3}",09:35,HARD_STOP,15,-3.0891900000001304,-3.40535080921447,1580.8040460716998
2024-10-18,2024-10-17,15,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,BANDHANBNK,FACT,CEMPRO,TARIL,BDL,GRSE,ABREL,SWANCORP,LAURUSLABS,JWL",17.65083941232152,"{""continuation"": 10, ""pullback_reversal"": 4, ""recovery"": 1}",09:17,HARD_STOP,15,-5.512045999999996,-5.827760580484441,1578.57290242222
2024-10-21,2024-10-18,15,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,FIVESTAR,BANDHANBNK,FACT,CEMPRO,TARIL,GRSE,BDL,ANANDRATHI,SWANCORP,ABREL",17.58368304916355,"{""continuation"": 8, ""fresh_breakout"": 2, ""pullback_reversal"": 5}",09:45,HARD_STOP,15,-3.0686699999999254,-3.385160159492865,1582.4507974647
2024-10-22,2024-10-21,15,"BEML,TITAGARH,HINDPETRO,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,CEMPRO,FIVESTAR,TARIL,GRSE,BDL,ANANDRATHI,SWANCORP",17.298849486034733,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}",09:17,HARD_STOP,15,-3.2248360000000336,-3.54126958520577,1582.1679260286799
2024-10-23,2024-10-22,15,"CUB,SONACOMS,BEML,COFORGE,DEEPAKFERT,TITAGARH,MAZDOCK,RECLTD,HINDPETRO,BANDHANBNK,CEMPRO,PERSISTENT,FACT,TARIL,AEGISLOG",17.06032590699076,"{""continuation"": 6, ""pullback_reversal"": 8, ""recovery"": 1}",09:47,HARD_STOP,15,-2.6238579999999145,-2.9401198662824464,1581.30933141266
2024-10-24,2024-10-23,15,"COFORGE,SONACOMS,CUB,PERSISTENT,RPOWER,BEML,RECLTD,MAZDOCK,CEMPRO,HINDPETRO,FACT,ZENSARTECH,BANDHANBNK,TITAGARH,GRSE",16.29747963966583,"{""continuation"": 7, ""fresh_breakout"": 1, ""pullback_reversal"": 7}",15:29,EOD,15,4.045512000000104,3.727091935385168,1592.10032307468
2024-10-25,2024-10-24,15,"SONACOMS,CUB,COFORGE,ASTERDM,PERSISTENT,IDBI,RPOWER,BEML,RECLTD,CEMPRO,MAZDOCK,FACT,TITAGARH,BANDHANBNK,HINDPETRO",16.119365273938552,"{""continuation"": 9, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 3}",09:25,HARD_STOP,15,-3.8812439999999477,-4.197405078329563,1580.8053916480799
